"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,46.2,NA
4,"trial",53.5,54.03,NA
6,"trial",NA,NA,NA
10,"trial",50.33,52.33,NA
12,"trial",NA,57.9,NA
14,"trial",54.6,NA,NA
18,"trial",NA,NA,NA
22,"trial",50.83,NA,NA
24,"trial",NA,54.57,NA
26,"trial",54.8,NA,NA
28,"trial",52.57,NA,NA
30,"trial",NA,56.2,NA
32,"trial",54.03,52.5,NA
34,"trial",52.5,57.03,NA
36,"trial",55.4,NA,NA
38,"trial",NA,55.57,NA
40,"trial",54.63,NA,NA
42,"trial",51.17,NA,NA
44,"trial",56.27,NA,NA
46,"trial",NA,52.43,NA
48,"trial",54.03,47.93,NA
50,"trial",NA,56.93,NA
52,"trial",NA,NA,NA
56,"trial",54.77,52.27,NA
58,"trial",NA,NA,NA
60,"trial",NA,54.53,NA
