"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,7.73,NA
4,"trial",0,0,NA
6,"trial",NA,NA,NA
10,"trial",3.6,3.6,NA
12,"trial",NA,0,NA
14,"trial",0,NA,NA
18,"trial",NA,NA,NA
22,"trial",0.13,NA,NA
24,"trial",NA,3.17,NA
26,"trial",0,NA,NA
28,"trial",0,NA,NA
30,"trial",NA,0,NA
32,"trial",0,0.13,NA
34,"trial",0,0,NA
36,"trial",0,NA,NA
38,"trial",NA,0,NA
40,"trial",0,NA,NA
42,"trial",0,NA,NA
44,"trial",0.07,NA,NA
46,"trial",NA,0,NA
48,"trial",0,6.97,NA
50,"trial",NA,0,NA
52,"trial",NA,NA,NA
56,"trial",0,0,NA
58,"trial",NA,NA,NA
60,"trial",NA,0,NA
