"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,6.1,NA
4,"trial",6.1,5.97,NA
6,"trial",NA,NA,NA
10,"trial",5.7,4.1,NA
12,"trial",NA,2.13,NA
14,"trial",4.97,NA,NA
18,"trial",NA,NA,NA
22,"trial",8.57,NA,NA
24,"trial",NA,2.27,NA
26,"trial",4.77,NA,NA
28,"trial",7.03,NA,NA
30,"trial",NA,3.8,NA
32,"trial",5.53,7.4,NA
34,"trial",7.13,2.97,NA
36,"trial",4.13,NA,NA
38,"trial",NA,4.4,NA
40,"trial",4.93,NA,NA
42,"trial",8.37,NA,NA
44,"trial",3.27,NA,NA
46,"trial",NA,7.6,NA
48,"trial",5.63,5.1,NA
50,"trial",NA,3.03,NA
52,"trial",NA,NA,NA
56,"trial",4.83,7.77,NA
58,"trial",NA,NA,NA
60,"trial",NA,5.5,NA
