"phase","phase_type","OL_CS_1"
2,"trial","pole"
4,"trial","pole"
6,"trial","pole"
8,"trial","safe"
10,"trial","pole"
12,"trial","pole"
14,"trial","pole"
16,"trial","safe"
18,"trial","pole"
20,"trial","safe"
22,"trial","pole"
24,"trial","pole"
26,"trial","safe"
28,"trial","pole"
30,"trial","pole"
32,"trial","safe"
34,"trial","pole"
36,"trial","pole"
38,"trial","unsafe"
40,"trial","pole"
42,"trial","pole"
44,"trial","pole"
46,"trial","pole"
48,"trial","pole"
50,"trial","pole"
52,"trial","pole"
54,"trial","pole"
56,"trial","unsafe"
58,"trial","safe"
60,"trial","unsafe"
