"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,1
6,"trial",0,0,NA
8,"trial",0,0,1
10,"trial",NA,NA,1
12,"trial",0,NA,NA
14,"trial",NA,0,1
16,"trial",0,0,1
18,"trial",0,NA,NA
20,"trial",0,0,1
22,"trial",NA,0,NA
24,"trial",0,NA,NA
26,"trial",NA,0,NA
28,"trial",NA,0,1
30,"trial",0,NA,NA
32,"trial",NA,NA,1
36,"trial",NA,0,NA
38,"trial",0,NA,1
40,"trial",NA,0,NA
42,"trial",NA,0,1
44,"trial",NA,0,NA
46,"trial",0,NA,1
48,"trial",NA,NA,1
50,"trial",0,NA,1
52,"trial",0,0,NA
54,"trial",0,0,1
56,"trial",NA,NA,1
58,"trial",0,0,NA
60,"trial",0,NA,NA
