"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,NA
6,"trial",1,1,NA
8,"trial",1,1,NA
10,"trial",NA,NA,NA
12,"trial",1,NA,NA
14,"trial",NA,1,NA
16,"trial",1,1,NA
18,"trial",1,NA,NA
20,"trial",1,1,NA
22,"trial",NA,1,NA
24,"trial",1,NA,NA
26,"trial",NA,1,NA
28,"trial",NA,1,NA
30,"trial",1,NA,NA
32,"trial",NA,NA,NA
36,"trial",NA,1,NA
38,"trial",1,NA,NA
40,"trial",NA,1,NA
42,"trial",NA,1,NA
44,"trial",NA,1,NA
46,"trial",1,NA,NA
48,"trial",NA,NA,NA
50,"trial",1,NA,NA
52,"trial",1,1,NA
54,"trial",1,1,NA
56,"trial",NA,NA,NA
58,"trial",1,1,NA
60,"trial",1,NA,NA
