"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,NA
6,"trial","pole","pole",NA
8,"trial","pole","pole",NA
10,"trial",NA,NA,NA
12,"trial","pole",NA,NA
14,"trial",NA,"pole",NA
16,"trial","pole","pole",NA
18,"trial","pole",NA,NA
20,"trial","pole","pole",NA
22,"trial",NA,"pole",NA
24,"trial","pole",NA,NA
26,"trial",NA,"pole",NA
28,"trial",NA,"pole",NA
30,"trial","pole",NA,NA
32,"trial",NA,NA,NA
36,"trial",NA,"pole",NA
38,"trial","pole",NA,NA
40,"trial",NA,"pole",NA
42,"trial",NA,"pole",NA
44,"trial",NA,"pole",NA
46,"trial","pole",NA,NA
48,"trial",NA,NA,NA
50,"trial","pole",NA,NA
52,"trial","pole","pole",NA
54,"trial","pole","pole",NA
56,"trial",NA,NA,NA
58,"trial","pole","pole",NA
60,"trial","pole",NA,NA
