"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,NA
6,"trial",0,2.13,NA
8,"trial",0,0,NA
10,"trial",NA,NA,NA
12,"trial",0,NA,NA
14,"trial",NA,0.07,NA
16,"trial",0.03,0.27,NA
18,"trial",0,NA,NA
20,"trial",0,2.43,NA
22,"trial",NA,3.03,NA
24,"trial",1.87,NA,NA
26,"trial",NA,5.97,NA
28,"trial",NA,1.93,NA
30,"trial",0,NA,NA
32,"trial",NA,NA,NA
36,"trial",NA,2.2,NA
38,"trial",0,NA,NA
40,"trial",NA,3.33,NA
42,"trial",NA,2.17,NA
44,"trial",NA,1.43,NA
46,"trial",0,NA,NA
48,"trial",NA,NA,NA
50,"trial",0,NA,NA
52,"trial",0,0,NA
54,"trial",0,0,NA
56,"trial",NA,NA,NA
58,"trial",0,0.53,NA
60,"trial",0,NA,NA
