"phase","phase_type","FC_1","FC_11","FS_9"
2,"trial",NA,NA,NA
6,"trial",3.6,2.83,NA
8,"trial",3.57,1.43,NA
10,"trial",NA,NA,NA
12,"trial",3.27,NA,NA
14,"trial",NA,3.4,NA
16,"trial",4.27,1.13,NA
18,"trial",2.2,NA,NA
20,"trial",3.13,2.97,NA
22,"trial",NA,1.37,NA
24,"trial",4.2,NA,NA
26,"trial",NA,1.8,NA
28,"trial",NA,3.93,NA
30,"trial",4.63,NA,NA
32,"trial",NA,NA,NA
36,"trial",NA,4,NA
38,"trial",2.57,NA,NA
40,"trial",NA,2.3,NA
42,"trial",NA,2.6,NA
44,"trial",NA,4.1,NA
46,"trial",3.3,NA,NA
48,"trial",NA,NA,NA
50,"trial",5.27,NA,NA
52,"trial",6.53,3.2,NA
54,"trial",5.47,3.13,NA
56,"trial",NA,NA,NA
58,"trial",5.53,5.33,NA
60,"trial",4.43,NA,NA
