"phase","phase_type","safe_location","FC_1","FC_11","OL_CS_1"
2,"trial","long",NA,NA,NA
2,"trial",NA,NA,NA,0
4,"trial","long",NA,NA,NA
4,"trial",NA,NA,NA,1
6,"trial","short",NA,NA,NA
6,"trial",NA,NA,NA,1
8,"trial","short",NA,NA,NA
8,"trial",NA,NA,NA,0
10,"trial","long",NA,NA,NA
10,"trial",NA,NA,NA,1
12,"trial","long",NA,NA,NA
12,"trial","short",NA,NA,NA
12,"trial",NA,NA,NA,0
14,"trial","long",NA,NA,NA
14,"trial","short",NA,NA,NA
14,"trial",NA,NA,NA,0
16,"trial","short",NA,NA,NA
16,"trial",NA,NA,NA,0
18,"trial","long",NA,NA,NA
18,"trial","short",NA,NA,NA
18,"trial",NA,NA,NA,1
20,"trial","short",NA,NA,NA
20,"trial",NA,NA,NA,0
22,"trial","long",NA,NA,NA
22,"trial","short",NA,NA,NA
22,"trial",NA,NA,NA,0
24,"trial","long",NA,NA,NA
24,"trial","short",NA,NA,NA
24,"trial",NA,NA,NA,1
26,"trial","long",NA,NA,NA
26,"trial","short",NA,NA,NA
26,"trial",NA,NA,NA,0
28,"trial","long",NA,NA,NA
28,"trial","short",NA,NA,NA
28,"trial",NA,NA,NA,0
30,"trial","long",NA,NA,NA
30,"trial","short",NA,NA,NA
30,"trial",NA,NA,NA,1
32,"trial","long",NA,NA,NA
32,"trial",NA,NA,NA,0
34,"trial","long",NA,NA,NA
34,"trial",NA,NA,NA,1
36,"trial","long",NA,NA,NA
36,"trial","short",NA,NA,NA
36,"trial",NA,NA,NA,0
38,"trial","long",NA,NA,NA
38,"trial","short",NA,NA,NA
38,"trial",NA,NA,NA,0
40,"trial","long",NA,NA,NA
40,"trial","short",NA,NA,NA
40,"trial",NA,NA,NA,1
42,"trial","long",NA,NA,NA
42,"trial","short",NA,NA,NA
42,"trial",NA,NA,NA,1
44,"trial","long",NA,NA,NA
44,"trial","short",NA,NA,NA
44,"trial",NA,NA,NA,0
46,"trial","long",NA,NA,NA
46,"trial","short",NA,NA,NA
46,"trial",NA,NA,NA,0
48,"trial","long",NA,NA,NA
48,"trial",NA,NA,NA,1
50,"trial","long",NA,NA,NA
50,"trial","short",NA,NA,NA
50,"trial",NA,NA,NA,1
52,"trial","short",NA,NA,NA
52,"trial",NA,NA,NA,1
54,"trial","short",NA,NA,NA
54,"trial",NA,NA,NA,1
56,"trial","long",NA,NA,NA
56,"trial",NA,NA,NA,0
58,"trial","short",NA,NA,NA
58,"trial",NA,NA,NA,0
60,"trial","long",NA,NA,NA
60,"trial","short",NA,NA,NA
60,"trial",NA,NA,NA,0
