"phase","phase_type","safe_location","FC_1","FC_11","FS_9","OL_CS_1"
2,"trial","long","safe","pole",NA,NA
2,"trial","short",NA,NA,NA,NA
2,"trial",NA,NA,NA,NA,"pole"
4,"trial","long","pole","pole",NA,NA
4,"trial",NA,NA,NA,NA,"pole"
6,"trial","long",NA,NA,NA,NA
6,"trial","short","pole","pole",NA,NA
6,"trial",NA,NA,NA,NA,"pole"
8,"trial","short","pole","pole",NA,NA
8,"trial",NA,NA,NA,NA,"safe"
10,"trial","long","pole","pole",NA,NA
10,"trial","short",NA,NA,NA,NA
10,"trial",NA,NA,NA,NA,"pole"
12,"trial","long",NA,"pole",NA,NA
12,"trial","short","pole",NA,NA,NA
12,"trial",NA,NA,NA,NA,"pole"
14,"trial","long","pole",NA,NA,NA
14,"trial","short",NA,"pole",NA,NA
14,"trial",NA,NA,NA,NA,"pole"
16,"trial","short","pole","pole",NA,NA
16,"trial",NA,NA,NA,NA,"safe"
18,"trial","long",NA,"unsafe",NA,NA
18,"trial","short","pole",NA,NA,NA
18,"trial",NA,NA,NA,NA,"pole"
20,"trial","short","pole","pole",NA,NA
20,"trial",NA,NA,NA,NA,"safe"
22,"trial","long","pole",NA,NA,NA
22,"trial","short",NA,"pole",NA,NA
22,"trial",NA,NA,NA,NA,"pole"
24,"trial","long",NA,"pole",NA,NA
24,"trial","short","pole",NA,NA,NA
24,"trial",NA,NA,NA,NA,"pole"
26,"trial","long","pole",NA,NA,NA
26,"trial","short",NA,"pole",NA,NA
26,"trial",NA,NA,NA,NA,"safe"
28,"trial","long","pole",NA,NA,NA
28,"trial","short",NA,"pole",NA,NA
28,"trial",NA,NA,NA,NA,"pole"
30,"trial","long",NA,"pole",NA,NA
30,"trial","short","pole",NA,NA,NA
30,"trial",NA,NA,NA,NA,"pole"
32,"trial","long","pole","pole",NA,NA
32,"trial","short",NA,NA,NA,NA
32,"trial",NA,NA,NA,NA,"safe"
34,"trial","long","pole","pole",NA,NA
34,"trial",NA,NA,NA,NA,"pole"
36,"trial","long","pole",NA,NA,NA
36,"trial","short",NA,"pole",NA,NA
36,"trial",NA,NA,NA,NA,"pole"
38,"trial","long",NA,"pole",NA,NA
38,"trial","short","pole",NA,NA,NA
38,"trial",NA,NA,NA,NA,"unsafe"
40,"trial","long","pole",NA,NA,NA
40,"trial","short",NA,"pole",NA,NA
40,"trial",NA,NA,NA,NA,"pole"
42,"trial","long","pole",NA,NA,NA
42,"trial","short",NA,"pole",NA,NA
42,"trial",NA,NA,NA,NA,"pole"
44,"trial","long","pole",NA,NA,NA
44,"trial","short",NA,"pole",NA,NA
44,"trial",NA,NA,NA,NA,"pole"
46,"trial","long",NA,"pole",NA,NA
46,"trial","short","pole",NA,NA,NA
46,"trial",NA,NA,NA,NA,"pole"
48,"trial","long","pole","pole",NA,NA
48,"trial","short",NA,NA,NA,NA
48,"trial",NA,NA,NA,NA,"pole"
50,"trial","long",NA,"pole",NA,NA
50,"trial","short","pole",NA,NA,NA
50,"trial",NA,NA,NA,NA,"pole"
52,"trial","long",NA,NA,NA,NA
52,"trial","short","pole","pole",NA,NA
52,"trial",NA,NA,NA,NA,"pole"
54,"trial","short","pole","pole",NA,NA
54,"trial",NA,NA,NA,NA,"pole"
56,"trial","long","pole","pole",NA,NA
56,"trial","short",NA,NA,NA,NA
56,"trial",NA,NA,NA,NA,"unsafe"
58,"trial","long",NA,NA,NA,NA
58,"trial","short","pole","pole",NA,NA
58,"trial",NA,NA,NA,NA,"safe"
60,"trial","long",NA,"pole",NA,NA
60,"trial","short","pole",NA,NA,NA
60,"trial",NA,NA,NA,NA,"unsafe"
