"phase","phase_type","FC_1","FC_11","OL_CS_1"
2,"trial",0,4.63,0.87
4,"trial",5.47,2.63,3.9
6,"trial",3.6,2.83,1.33
8,"trial",3.57,1.43,0
10,"trial",2.3,3.23,1.23
12,"trial",3.27,1.07,4.27
14,"trial",4.33,3.4,2.73
16,"trial",4.27,1.13,0
18,"trial",2.2,0,1.23
20,"trial",3.13,2.97,0
22,"trial",2.63,1.37,1.97
24,"trial",4.2,1.2,2.53
26,"trial",2.03,1.8,0
28,"trial",3.37,3.93,2.07
30,"trial",4.63,3.2,1.3
32,"trial",4.9,2.37,0
34,"trial",6.53,2.17,4.63
36,"trial",1.53,4,2.33
38,"trial",2.57,3.57,0
40,"trial",4.27,2.3,7.7
42,"trial",7.7,2.6,4.63
44,"trial",2.27,4.1,5.27
46,"trial",3.3,2.2,4.1
48,"trial",4.77,4.03,1.7
50,"trial",5.27,2.4,4.17
52,"trial",6.53,3.2,3.27
54,"trial",5.47,3.13,5
56,"trial",4.2,3.93,0
58,"trial",5.53,5.33,0
60,"trial",4.43,2.5,0
