"phase","phase_type","FC_1","FC_11","OL_CS_1"
2,"trial",53.87,46.2,55.37
4,"trial",53.5,54.03,56.1
6,"trial",55.97,55.03,52.57
8,"trial",55.97,58.57,57.5
10,"trial",50.33,52.33,58.77
12,"trial",56.33,57.9,52.73
14,"trial",54.6,56.53,50.5
16,"trial",55.23,58.6,56.87
18,"trial",57.37,54.2,58.77
20,"trial",56.47,54.6,59
22,"trial",50.83,55.6,50.33
24,"trial",53.57,54.57,57.47
26,"trial",54.8,52.23,60
28,"trial",52.57,54.13,54.8
30,"trial",54.97,56.2,58.7
32,"trial",54.03,52.5,60
34,"trial",52.5,57.03,55.37
36,"trial",55.4,53.77,51.2
38,"trial",57.03,55.57,54
40,"trial",54.63,54.4,52.3
42,"trial",51.17,55.27,55.37
44,"trial",56.27,54.5,53.07
46,"trial",56.23,52.43,52.9
48,"trial",54.03,47.93,58.3
50,"trial",54.4,56.93,55.83
52,"trial",53.03,56.8,56.73
54,"trial",54.1,56.9,55
56,"trial",54.77,52.27,52.73
58,"trial",54.03,54.17,60
60,"trial",55.17,54.53,55.73
