"phase","phase_type","safe_location","FC_1","FC_11","OL_CS_1"
2,"trial","long",0,7.73,NA
2,"trial",NA,NA,NA,0.37
4,"trial","long",0,0,NA
4,"trial",NA,NA,NA,0
6,"trial","short",0,2.13,NA
6,"trial",NA,NA,NA,6.1
8,"trial","short",0,0,NA
8,"trial",NA,NA,NA,0
10,"trial","long",3.6,3.6,NA
10,"trial",NA,NA,NA,0
12,"trial","long",NA,0,NA
12,"trial","short",0,NA,NA
12,"trial",NA,NA,NA,0.07
14,"trial","long",0,NA,NA
14,"trial","short",NA,0.07,NA
14,"trial",NA,NA,NA,0
16,"trial","short",0.03,0.27,NA
16,"trial",NA,NA,NA,0
18,"trial","long",NA,4.13,NA
18,"trial","short",0,NA,NA
18,"trial",NA,NA,NA,0
20,"trial","short",0,2.43,NA
20,"trial",NA,NA,NA,0
22,"trial","long",0.13,NA,NA
22,"trial","short",NA,3.03,NA
22,"trial",NA,NA,NA,0
24,"trial","long",NA,3.17,NA
24,"trial","short",1.87,NA,NA
24,"trial",NA,NA,NA,0
26,"trial","long",0,NA,NA
26,"trial","short",NA,5.97,NA
26,"trial",NA,NA,NA,0
28,"trial","long",0,NA,NA
28,"trial","short",NA,1.93,NA
28,"trial",NA,NA,NA,0
30,"trial","long",NA,0,NA
30,"trial","short",0,NA,NA
30,"trial",NA,NA,NA,0
32,"trial","long",0,0.13,NA
32,"trial",NA,NA,NA,0
34,"trial","long",0,0,NA
34,"trial",NA,NA,NA,0
36,"trial","long",0,NA,NA
36,"trial","short",NA,2.2,NA
36,"trial",NA,NA,NA,0
38,"trial","long",NA,0,NA
38,"trial","short",0,NA,NA
38,"trial",NA,NA,NA,0
40,"trial","long",0,NA,NA
40,"trial","short",NA,3.33,NA
40,"trial",NA,NA,NA,0
42,"trial","long",0,NA,NA
42,"trial","short",NA,2.17,NA
42,"trial",NA,NA,NA,0
44,"trial","long",0.07,NA,NA
44,"trial","short",NA,1.43,NA
44,"trial",NA,NA,NA,0
46,"trial","long",NA,0,NA
46,"trial","short",0,NA,NA
46,"trial",NA,NA,NA,0
48,"trial","long",0,6.97,NA
48,"trial",NA,NA,NA,0
50,"trial","long",NA,0,NA
50,"trial","short",0,NA,NA
50,"trial",NA,NA,NA,0
52,"trial","short",0,0,NA
52,"trial",NA,NA,NA,0
54,"trial","short",0,0,NA
54,"trial",NA,NA,NA,0
56,"trial","long",0,0,NA
56,"trial",NA,NA,NA,1.23
58,"trial","short",0,0.53,NA
58,"trial",NA,NA,NA,0
60,"trial","long",NA,0,NA
60,"trial","short",0,NA,NA
60,"trial",NA,NA,NA,0
