"phase","phase_type","safe_location","FC_1","FC_11","OL_CS_1"
2,"trial","long",0,6.1,NA
2,"trial",NA,NA,NA,4.27
4,"trial","long",6.1,5.97,NA
4,"trial",NA,NA,NA,3.9
6,"trial","short",3.6,2.83,NA
6,"trial",NA,NA,NA,1.33
8,"trial","short",3.57,1.43,NA
8,"trial",NA,NA,NA,0
10,"trial","long",5.7,4.1,NA
10,"trial",NA,NA,NA,1.23
12,"trial","long",NA,2.13,NA
12,"trial","short",3.27,NA,NA
12,"trial",NA,NA,NA,7.2
14,"trial","long",4.97,NA,NA
14,"trial","short",NA,3.4,NA
14,"trial",NA,NA,NA,9.5
16,"trial","short",4.27,1.13,NA
16,"trial",NA,NA,NA,0
18,"trial","long",NA,1.67,NA
18,"trial","short",2.2,NA,NA
18,"trial",NA,NA,NA,1.23
20,"trial","short",3.13,2.97,NA
20,"trial",NA,NA,NA,0
22,"trial","long",8.57,NA,NA
22,"trial","short",NA,1.37,NA
22,"trial",NA,NA,NA,9.67
24,"trial","long",NA,2.27,NA
24,"trial","short",4.2,NA,NA
24,"trial",NA,NA,NA,2.53
26,"trial","long",4.77,NA,NA
26,"trial","short",NA,1.8,NA
26,"trial",NA,NA,NA,0
28,"trial","long",7.03,NA,NA
28,"trial","short",NA,3.93,NA
28,"trial",NA,NA,NA,5.2
30,"trial","long",NA,3.8,NA
30,"trial","short",4.63,NA,NA
30,"trial",NA,NA,NA,1.3
32,"trial","long",5.53,7.4,NA
32,"trial",NA,NA,NA,0
34,"trial","long",7.13,2.97,NA
34,"trial",NA,NA,NA,4.63
36,"trial","long",4.13,NA,NA
36,"trial","short",NA,4,NA
36,"trial",NA,NA,NA,8.8
38,"trial","long",NA,4.4,NA
38,"trial","short",2.57,NA,NA
38,"trial",NA,NA,NA,6
40,"trial","long",4.93,NA,NA
40,"trial","short",NA,2.3,NA
40,"trial",NA,NA,NA,7.7
42,"trial","long",8.37,NA,NA
42,"trial","short",NA,2.6,NA
42,"trial",NA,NA,NA,4.63
44,"trial","long",3.27,NA,NA
44,"trial","short",NA,4.1,NA
44,"trial",NA,NA,NA,6.93
46,"trial","long",NA,7.6,NA
46,"trial","short",3.3,NA,NA
46,"trial",NA,NA,NA,7.1
48,"trial","long",5.63,5.1,NA
48,"trial",NA,NA,NA,1.7
50,"trial","long",NA,3.03,NA
50,"trial","short",5.27,NA,NA
50,"trial",NA,NA,NA,4.17
52,"trial","short",6.53,3.2,NA
52,"trial",NA,NA,NA,3.27
54,"trial","short",5.47,3.13,NA
54,"trial",NA,NA,NA,5
56,"trial","long",4.83,7.77,NA
56,"trial",NA,NA,NA,6.03
58,"trial","short",5.53,5.33,NA
58,"trial",NA,NA,NA,0
60,"trial","long",NA,5.5,NA
60,"trial","short",4.43,NA,NA
60,"trial",NA,NA,NA,4.27
