frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,765,56
7,0,0,763,57
8,0,0,763,57
9,0,0,763,57
10,0,0,763,57
11,0,0,763,57
12,0,0,763,57
13,0,0,763,57
14,0,0,720,49
15,0,0,713,46
16,0,0,705,43
17,0,0,699,40
18,0,0,694,38
19,0,0,687,35
20,0,0,682,31
21,0,0,677,28
22,0,0,672,27
23,0,0,663,28
24,0,0,650,27
25,0,0,641,23
26,0,0,632,21
27,0,0,625,19
28,0,0,615,17
29,0,0,605,16
30,0,0,593,20
31,0,0,581,22
32,0,0,568,22
33,0,0,556,22
34,0,0,541,21
35,0,0,528,18
36,0,0,516,17
37,0,0,504,14
38,0,0,490,13
39,0,0,479,10
40,0,0,466,9
41,0,0,456,8
42,0,0,447,8
43,0,0,441,10
44,0,0,437,17
45,0,0,433,26
46,0,0,430,34
47,0,0,425,42
48,0,0,420,52
49,0,0,413,60
50,0,0,405,67
51,0,0,396,76
52,0,0,386,88
53,0,0,375,96
54,0,0,364,103
55,0,0,352,110
56,0,0,340,118
57,0,0,328,122
58,0,0,315,129
59,0,0,304,133
60,0,0,291,138
61,0,0,281,142
62,0,0,271,147
63,0,0,262,150
64,0,0,250,155
65,0,0,240,157
66,0,0,228,161
67,0,0,217,164
68,0,0,205,167
69,0,0,194,169
70,0,0,180,172
71,0,0,170,173
72,0,0,157,176
73,0,0,146,177
74,0,0,134,180
75,0,0,125,182
76,0,0,117,184
77,0,0,107,185
78,0,0,99,186
79,0,0,92,188
80,0,0,86,189
81,0,0,82,190
82,0,0,76,191
83,0,0,68,192
84,0,0,60,192
85,0,0,58,192
86,0,0,58,192
87,0,0,58,192
88,0,0,58,192
89,0,0,58,192
90,0,0,57,191
91,0,0,48,181
92,0,0,41,175
93,0,0,32,169
94,0,0,25,165
95,0,0,21,164
96,0,0,18,163
97,0,0,17,164
98,0,0,17,164
99,0,0,17,164
100,0,0,17,164
101,0,0,17,164
102,0,0,17,164
103,0,0,19,166
104,0,0,23,174
105,0,0,27,178
106,0,0,30,181
107,0,0,31,184
108,0,0,31,184
109,0,0,31,184
110,0,0,31,184
111,0,0,31,184
112,0,0,49,220
113,0,0,50,224
114,0,0,50,226
115,0,0,50,226
116,0,0,50,226
117,0,0,50,226
118,0,0,50,226
119,0,0,50,226
120,0,0,50,226
121,0,0,51,226
122,0,0,57,226
123,0,0,63,227
124,0,0,69,230
125,0,0,74,235
126,0,0,78,238
127,0,0,78,238
128,0,0,78,238
129,0,0,78,238
130,0,0,78,238
131,0,0,78,238
132,0,0,78,238
133,0,0,78,238
134,0,0,78,238
135,0,0,29,225
136,0,0,20,224
137,0,0,14,223
138,0,0,7,223
139,0,0,3,223
140,0,0,2,223
141,0,0,2,223
142,0,0,2,223
143,0,0,2,223
144,0,0,2,223
145,0,0,2,223
146,0,0,2,223
147,0,0,2,223
148,0,0,2,223
149,0,0,2,223
150,0,0,2,223
151,0,0,2,223
152,0,0,2,223
153,0,0,2,223
154,0,0,2,223
155,0,0,2,223
156,0,0,2,223
157,0,0,2,223
158,0,0,2,223
159,0,0,2,223
160,0,0,2,223
161,0,0,2,223
162,0,0,2,223
163,0,0,2,223
164,0,0,2,223
165,0,0,2,223
166,0,0,2,223
167,0,0,2,223
168,0,0,2,223
169,0,0,2,223
170,0,0,2,223
171,0,0,2,223
172,0,0,2,223
173,0,0,2,223
174,0,0,2,223
175,0,0,2,223
176,0,0,2,223
177,0,0,2,223
178,0,0,2,223
179,0,0,2,223
180,0,0,2,223
181,0,0,2,223
182,0,0,2,223
183,0,0,39,19
184,0,0,47,17
185,0,0,54,15
186,0,0,60,13
187,0,0,65,13
188,0,0,66,14
189,0,0,66,14
190,0,0,67,14
191,0,0,77,16
192,0,0,86,17
193,0,0,95,18
194,0,0,103,20
195,0,0,112,23
196,0,0,121,23
197,0,0,128,22
198,0,0,136,22
199,0,0,146,21
200,0,0,157,22
201,0,0,169,21
202,0,0,178,21
203,0,0,190,20
204,0,0,202,20
205,0,0,214,19
206,0,0,226,19
207,0,0,241,18
208,0,0,252,18
209,0,0,263,17
210,0,0,273,18
211,0,0,286,16
212,0,0,298,15
213,0,0,311,14
214,0,0,320,13
215,0,0,332,13
216,0,0,342,12
217,0,0,351,12
218,0,0,358,12
219,0,0,365,11
220,0,0,375,11
221,0,0,384,11
222,0,0,393,9
223,0,0,401,9
224,0,0,406,10
225,0,0,408,11
226,0,0,408,11
227,0,0,408,11
228,0,0,408,11
229,0,0,411,14
230,0,0,418,21
231,0,0,425,28
232,0,0,433,35
233,0,0,426,36
234,0,0,433,42
235,0,0,442,49
236,0,0,450,53
237,0,0,461,59
238,0,0,470,63
239,0,0,480,67
240,0,0,490,73
241,0,0,501,78
242,0,0,510,83
243,0,0,520,89
244,0,0,528,94
245,0,0,535,98
246,0,0,544,102
247,0,0,553,108
248,0,0,563,114
249,0,0,570,118
250,0,0,579,123
251,0,0,586,127
252,0,0,591,130
253,0,0,598,135
254,0,0,606,140
255,0,0,616,146
256,0,0,623,152
257,0,0,633,157
258,0,0,639,161
259,0,0,646,164
260,0,0,649,166
261,0,0,649,166
262,0,0,649,166
263,0,0,649,166
264,0,0,649,167
265,0,0,649,167
266,0,0,649,167
267,0,0,649,167
268,0,0,649,167
269,0,0,649,167
270,0,0,649,167
271,0,0,648,166
272,0,0,647,166
273,0,0,647,166
274,0,0,646,166
275,0,0,645,165
276,0,0,644,165
277,0,0,643,165
278,0,0,643,165
279,0,0,643,165
280,0,0,642,165
281,0,0,642,165
282,0,0,642,165
283,0,0,642,165
284,0,0,642,165
285,0,0,642,165
286,0,0,642,165
287,0,0,642,165
288,0,0,642,164
289,0,0,642,164
290,0,0,642,165
291,0,0,642,164
292,0,0,642,164
293,0,0,642,164
294,0,0,642,165
295,0,0,642,164
296,0,0,642,164
297,0,0,642,164
298,0,0,642,164
299,0,0,642,164
300,0,0,642,164
301,0,0,642,164
302,0,0,642,164
303,0,0,643,165
304,0,0,644,165
305,0,0,646,167
306,0,0,649,168
307,0,0,653,170
308,0,0,656,172
309,0,0,660,174
310,0,0,663,175
311,0,0,667,176
312,0,0,686,181
313,0,0,690,185
314,0,0,694,188
315,0,0,698,193
316,0,0,702,199
317,0,0,702,210
318,0,0,703,216
319,0,0,705,221
320,0,0,707,224
321,0,0,707,224
322,0,0,707,224
323,0,0,707,224
324,0,0,707,223
