frame_idx,led_1_status,led_2_status,0_x,0_y
7,0,0,661,139
8,0,0,652,135
9,0,0,645,133
10,0,0,636,128
11,0,0,626,125
12,0,0,617,122
13,0,0,607,119
14,0,0,598,115
15,0,0,589,113
16,0,0,580,109
17,0,0,571,106
18,0,0,561,102
19,0,0,552,100
20,0,0,541,97
21,0,0,532,95
22,0,0,522,93
23,0,0,513,90
24,0,0,504,88
25,0,0,494,85
26,0,0,485,83
27,0,0,476,82
28,0,0,466,80
29,0,0,457,77
30,0,0,447,76
31,0,0,438,73
32,0,0,429,72
33,0,0,421,70
34,0,0,413,69
35,0,0,405,68
36,0,0,397,67
37,0,0,389,66
38,0,0,380,65
39,0,0,372,64
40,0,0,365,61
41,0,0,356,62
42,0,0,347,60
43,0,0,340,60
44,0,0,331,58
45,0,0,323,58
46,0,0,315,58
47,0,0,308,60
48,0,0,299,60
49,0,0,292,61
50,0,0,284,62
51,0,0,276,63
52,0,0,268,65
53,0,0,260,65
54,0,0,251,66
55,0,0,242,65
56,0,0,234,66
57,0,0,225,65
58,0,0,216,67
59,0,0,208,68
60,0,0,199,70
61,0,0,192,71
62,0,0,183,72
63,0,0,174,72
64,0,0,174,72
65,0,0,174,72
66,0,0,174,72
67,0,0,174,72
68,0,0,174,72
69,0,0,174,72
70,0,0,174,72
71,0,0,108,80
72,0,0,100,80
73,0,0,92,80
74,0,0,85,81
75,0,0,77,80
76,0,0,71,80
77,0,0,65,77
78,0,0,59,72
79,0,0,54,67
80,0,0,47,65
81,0,0,39,68
82,0,0,36,74
83,0,0,30,79
84,0,0,24,81
85,0,0,18,84
86,0,0,11,88
87,0,0,8,91
88,0,0,8,91
89,0,0,8,91
90,0,0,8,91
91,0,0,8,91
92,0,0,8,91
93,0,0,8,91
94,0,0,8,91
95,0,0,8,91
96,0,0,8,91
97,0,0,8,91
98,0,0,8,91
99,0,0,8,91
100,0,0,71,46
101,0,0,77,47
102,0,0,82,47
103,0,0,90,46
104,0,0,96,45
105,0,0,103,43
106,0,0,110,42
107,0,0,117,42
108,0,0,125,41
109,0,0,132,42
110,0,0,141,42
111,0,0,150,42
112,0,0,158,40
113,0,0,165,39
114,0,0,173,37
115,0,0,180,37
116,0,0,189,36
117,0,0,196,34
118,0,0,204,34
119,0,0,211,34
120,0,0,219,36
121,0,0,219,36
122,0,0,219,36
123,0,0,219,36
124,0,0,219,36
125,0,0,219,36
126,0,0,272,45
127,0,0,281,45
128,0,0,289,44
129,0,0,298,41
130,0,0,307,39
131,0,0,313,34
132,0,0,320,31
133,0,0,328,30
134,0,0,336,30
135,0,0,344,34
136,0,0,353,38
137,0,0,360,40
138,0,0,368,41
139,0,0,376,43
140,0,0,385,44
141,0,0,394,45
142,0,0,403,45
143,0,0,412,46
144,0,0,420,45
145,0,0,429,47
146,0,0,437,46
147,0,0,444,48
148,0,0,453,48
149,0,0,461,48
150,0,0,470,48
151,0,0,477,48
152,0,0,485,49
153,0,0,491,49
154,0,0,499,50
155,0,0,507,50
156,0,0,515,51
157,0,0,524,51
158,0,0,532,52
159,0,0,540,52
160,0,0,549,53
161,0,0,558,53
162,0,0,566,53
163,0,0,576,55
164,0,0,584,56
165,0,0,592,58
166,0,0,601,57
167,0,0,609,58
168,0,0,617,58
169,0,0,625,60
170,0,0,633,62
171,0,0,640,65
172,0,0,648,67
173,0,0,656,70
174,0,0,665,73
175,0,0,673,75
176,0,0,683,78
177,0,0,691,79
178,0,0,700,83
179,0,0,708,86
180,0,0,715,90
181,0,0,723,91
182,0,0,731,91
183,0,0,740,91
184,0,0,747,96
185,0,0,754,102
186,0,0,754,102
187,0,0,754,102
188,0,0,754,102
189,0,0,754,102
190,0,0,754,102
191,0,0,754,102
192,0,0,754,102
193,0,0,754,102
194,0,0,754,102
195,0,0,754,102
196,0,0,689,132
197,0,0,680,130
198,0,0,680,130
199,0,0,680,130
200,0,0,680,130
201,0,0,680,130
202,0,0,680,130
203,0,0,680,130
204,0,0,617,108
205,0,0,607,104
206,0,0,598,101
207,0,0,589,97
208,0,0,581,94
209,0,0,571,89
210,0,0,562,88
211,0,0,551,86
212,0,0,542,84
213,0,0,533,81
214,0,0,525,79
215,0,0,519,76
216,0,0,512,74
217,0,0,505,72
218,0,0,497,69
219,0,0,490,65
220,0,0,481,62
221,0,0,473,61
222,0,0,465,59
223,0,0,457,59
224,0,0,448,58
225,0,0,440,56
226,0,0,433,54
227,0,0,426,52
228,0,0,424,46
229,0,0,424,46
230,0,0,424,46
231,0,0,424,46
232,0,0,424,46
233,0,0,424,46
234,0,0,398,55
235,0,0,391,60
236,0,0,384,64
237,0,0,376,69
238,0,0,369,73
239,0,0,361,76
240,0,0,353,80
241,0,0,344,83
242,0,0,337,87
243,0,0,328,90
244,0,0,321,93
245,0,0,311,95
246,0,0,303,98
247,0,0,295,99
248,0,0,287,102
249,0,0,279,103
250,0,0,271,105
251,0,0,264,106
252,0,0,256,108
253,0,0,248,110
254,0,0,240,112
255,0,0,232,113
256,0,0,223,114
257,0,0,215,115
258,0,0,205,115
259,0,0,196,116
260,0,0,188,116
261,0,0,179,118
262,0,0,171,117
263,0,0,162,118
264,0,0,154,117
265,0,0,145,117
266,0,0,137,116
267,0,0,127,117
268,0,0,119,117
269,0,0,110,118
270,0,0,103,119
271,0,0,94,119
272,0,0,86,120
273,0,0,79,119
274,0,0,70,119
275,0,0,63,117
276,0,0,55,117
277,0,0,48,116
278,0,0,40,114
279,0,0,33,113
280,0,0,26,110
281,0,0,19,109
282,0,0,16,109
283,0,0,21,117
284,0,0,27,123
285,0,0,32,128
286,0,0,38,131
287,0,0,44,134
288,0,0,50,136
289,0,0,55,140
290,0,0,60,141
291,0,0,60,141
292,0,0,60,141
293,0,0,60,141
294,0,0,60,141
295,0,0,60,141
296,0,0,109,132
297,0,0,117,130
298,0,0,124,127
299,0,0,132,124
300,0,0,139,121
301,0,0,148,118
302,0,0,155,114
303,0,0,163,112
304,0,0,172,109
305,0,0,180,107
306,0,0,189,103
307,0,0,197,101
308,0,0,206,97
309,0,0,214,94
310,0,0,223,92
311,0,0,230,89
312,0,0,238,86
313,0,0,246,83
314,0,0,256,80
315,0,0,264,76
316,0,0,272,74
317,0,0,280,70
318,0,0,288,68
319,0,0,295,64
320,0,0,302,63
321,0,0,310,58
322,0,0,318,55
323,0,0,327,52
324,0,0,335,51
325,0,0,344,54
326,0,0,350,57
327,0,0,357,58
328,0,0,365,58
329,0,0,372,59
330,0,0,380,59
331,0,0,387,60
332,0,0,396,60
333,0,0,404,61
334,0,0,413,61
335,0,0,420,62
336,0,0,429,62
337,0,0,437,62
338,0,0,446,62
339,0,0,454,59
340,0,0,461,57
341,0,0,469,55
342,0,0,475,55
343,0,0,483,55
344,0,0,489,55
345,0,0,494,56
346,0,0,502,55
347,0,0,508,56
348,0,0,516,56
349,0,0,523,57
350,0,0,530,57
351,0,0,537,58
352,0,0,544,61
353,0,0,552,63
354,0,0,559,65
355,0,0,567,66
356,0,0,574,68
357,0,0,581,69
358,0,0,588,70
359,0,0,594,72
360,0,0,603,74
361,0,0,610,76
362,0,0,618,78
363,0,0,618,78
364,0,0,618,78
365,0,0,618,78
366,0,0,618,78
367,0,0,618,78
368,0,0,618,78
369,0,0,618,78
370,0,0,618,78
371,0,0,618,78
372,0,0,618,78
373,0,0,618,78
374,0,0,618,78
375,0,0,714,98
376,0,0,719,104
377,0,0,729,113
378,0,0,735,117
379,0,0,741,120
380,0,0,748,123
381,0,0,755,127
382,0,0,762,129
383,0,0,768,126
384,0,0,766,123
385,0,0,766,123
386,0,0,766,123
387,0,0,766,123
388,0,0,766,123
389,0,0,766,123
390,0,0,766,123
391,0,0,766,123
