frame_idx,led_1_status,led_2_status,0_x,0_y
12,0,0,255,212
13,0,0,245,210
14,0,0,235,208
15,0,0,222,205
16,0,0,209,202
17,0,0,194,199
18,0,0,180,197
19,0,0,165,195
20,0,0,153,192
21,0,0,139,190
22,0,0,126,187
23,0,0,111,185
24,0,0,97,184
25,0,0,84,183
26,0,0,71,181
27,0,0,55,178
28,0,0,41,175
29,0,0,28,174
30,0,0,17,170
31,0,0,17,170
32,0,0,17,170
33,0,0,17,170
34,0,0,17,170
35,0,0,17,170
36,0,0,17,170
37,0,0,17,170
38,0,0,17,170
39,0,0,17,170
40,0,0,17,170
41,0,0,17,170
42,0,0,17,170
43,0,0,17,170
44,0,0,17,170
45,0,0,17,170
46,0,0,17,170
47,0,0,17,170
48,0,0,17,170
49,0,0,17,170
50,0,0,17,170
51,0,0,17,170
52,0,0,17,170
53,0,0,17,170
54,0,0,17,170
55,0,0,17,170
56,0,0,17,170
57,0,0,17,170
58,0,0,17,170
59,0,0,17,170
60,0,0,17,170
61,0,0,17,170
62,0,0,17,170
63,0,0,17,170
64,0,0,17,170
65,0,0,45,117
66,0,0,52,109
67,0,0,59,98
68,0,0,67,88
69,0,0,74,75
70,0,0,79,65
71,0,0,83,54
72,0,0,90,45
73,0,0,98,43
74,0,0,102,48
75,0,0,106,50
76,0,0,115,52
77,0,0,124,52
78,0,0,135,52
79,0,0,147,52
80,0,0,157,50
81,0,0,170,48
82,0,0,182,44
83,0,0,203,40
84,0,0,215,37
85,0,0,228,34
86,0,0,241,29
87,0,0,251,27
88,0,0,261,24
89,0,0,269,23
90,0,0,277,22
91,0,0,284,21
92,0,0,290,22
93,0,0,297,21
94,0,0,304,19
95,0,0,311,18
96,0,0,319,15
97,0,0,326,14
98,0,0,334,12
99,0,0,342,10
100,0,0,348,9
101,0,0,352,8
102,0,0,355,7
103,0,0,355,7
104,0,0,355,7
105,0,0,355,7
106,0,0,355,7
107,0,0,355,7
108,0,0,355,7
109,0,0,355,7
110,0,0,355,7
111,0,0,355,7
112,0,0,355,7
113,0,0,355,7
114,0,0,355,7
115,0,0,355,7
116,0,0,355,7
117,0,0,355,7
118,0,0,355,7
119,0,0,355,7
120,0,0,355,7
121,0,0,355,7
122,0,0,355,7
123,0,0,355,7
124,0,0,355,7
125,0,0,355,7
126,0,0,355,7
127,0,0,355,7
128,0,0,355,7
129,0,0,355,7
130,0,0,355,7
131,0,0,355,7
132,0,0,355,7
133,0,0,355,7
134,0,0,355,7
135,0,0,355,7
136,0,0,355,7
137,0,0,355,7
138,0,0,355,7
139,0,0,355,7
140,0,0,355,7
141,0,0,109,26
142,0,0,101,33
143,0,0,93,41
144,0,0,85,46
145,0,0,74,50
146,0,0,63,50
147,0,0,52,51
148,0,0,41,54
149,0,0,28,56
150,0,0,18,59
151,0,0,9,61
152,0,0,6,60
153,0,0,7,59
154,0,0,12,48
155,0,0,14,41
156,0,0,11,34
157,0,0,8,28
158,0,0,8,25
159,0,0,8,25
160,0,0,8,25
161,0,0,8,25
162,0,0,8,25
163,0,0,8,25
164,0,0,8,25
165,0,0,8,25
166,0,0,8,25
167,0,0,8,25
168,0,0,8,25
169,0,0,8,25
170,0,0,8,25
171,0,0,8,25
172,0,0,8,25
173,0,0,8,25
174,0,0,20,144
175,0,0,20,156
176,0,0,20,169
177,0,0,20,178
178,0,0,21,192
179,0,0,20,202
180,0,0,19,215
181,0,0,20,224
182,0,0,19,230
183,0,0,19,232
184,0,0,19,232
185,0,0,19,232
186,0,0,19,232
187,0,0,19,232
188,0,0,19,232
189,0,0,19,232
190,0,0,19,232
191,0,0,19,232
192,0,0,19,232
193,0,0,19,232
194,0,0,19,232
195,0,0,19,232
196,0,0,19,232
197,0,0,19,232
198,0,0,19,232
199,0,0,19,232
200,0,0,19,232
201,0,0,19,232
202,0,0,19,232
203,0,0,19,232
204,0,0,19,232
205,0,0,19,232
206,0,0,19,232
207,0,0,19,232
208,0,0,19,232
209,0,0,19,232
210,0,0,19,232
211,0,0,19,232
212,0,0,19,232
213,0,0,83,199
214,0,0,83,199
215,0,0,83,199
216,0,0,83,199
217,0,0,83,199
218,0,0,83,199
219,0,0,83,199
220,0,0,27,140
221,0,0,20,129
222,0,0,14,118
223,0,0,13,108
224,0,0,25,99
225,0,0,35,93
226,0,0,45,87
227,0,0,59,81
228,0,0,68,80
229,0,0,79,75
230,0,0,89,71
231,0,0,100,64
232,0,0,111,57
233,0,0,122,52
234,0,0,133,48
235,0,0,147,42
236,0,0,157,35
237,0,0,168,29
238,0,0,178,22
239,0,0,189,16
240,0,0,198,17
241,0,0,206,24
242,0,0,209,31
243,0,0,214,38
244,0,0,220,46
245,0,0,220,46
