frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,332,45
7,0,0,332,45
8,0,0,332,45
9,0,0,332,45
10,0,0,332,45
11,0,0,332,45
12,0,0,333,45
13,0,0,333,45
14,0,0,333,45
15,0,0,333,45
16,0,0,333,45
17,0,0,333,45
18,0,0,333,45
19,0,0,333,45
20,0,0,333,45
21,0,0,333,45
22,0,0,333,45
23,0,0,333,45
24,0,0,333,45
25,0,0,333,45
26,0,0,333,45
27,0,0,334,45
28,0,0,333,45
29,0,0,334,45
30,0,0,334,45
31,0,0,334,45
32,0,0,334,45
33,0,0,334,44
34,0,0,334,45
35,0,0,334,44
36,0,0,334,44
37,0,0,335,44
38,0,0,335,43
39,0,0,335,43
40,0,0,335,41
41,0,0,336,40
42,0,0,337,37
43,0,0,337,32
44,0,0,341,27
45,0,0,346,24
46,0,0,346,23
47,0,0,340,28
48,0,0,337,35
49,0,0,334,38
50,0,0,333,41
51,0,0,332,46
52,0,0,322,56
53,0,0,320,64
54,0,0,318,72
55,0,0,315,81
56,0,0,313,89
57,0,0,312,96
58,0,0,310,102
59,0,0,309,109
60,0,0,309,109
61,0,0,309,109
62,0,0,309,109
63,0,0,309,109
64,0,0,309,109
65,0,0,313,161
66,0,0,314,169
67,0,0,315,177
68,0,0,315,185
69,0,0,317,194
70,0,0,316,200
71,0,0,316,203
72,0,0,316,204
73,0,0,316,205
74,0,0,316,205
75,0,0,316,205
76,0,0,319,194
77,0,0,320,194
78,0,0,320,194
79,0,0,320,194
80,0,0,320,194
81,0,0,320,194
82,0,0,320,194
83,0,0,320,194
84,0,0,320,195
85,0,0,320,195
86,0,0,320,195
87,0,0,320,195
88,0,0,320,195
89,0,0,320,195
90,0,0,320,195
91,0,0,320,195
92,0,0,320,195
93,0,0,321,195
94,0,0,320,195
95,0,0,320,195
96,0,0,323,194
97,0,0,321,195
98,0,0,324,197
99,0,0,330,202
100,0,0,335,209
101,0,0,338,215
102,0,0,338,219
103,0,0,338,219
104,0,0,336,218
105,0,0,338,210
106,0,0,340,208
107,0,0,338,206
108,0,0,334,203
109,0,0,331,198
110,0,0,327,194
111,0,0,323,189
112,0,0,319,183
113,0,0,315,177
114,0,0,310,168
115,0,0,309,162
116,0,0,301,150
117,0,0,300,143
118,0,0,301,136
119,0,0,303,130
120,0,0,306,122
121,0,0,311,114
122,0,0,315,106
123,0,0,317,100
124,0,0,319,95
125,0,0,320,91
126,0,0,323,100
127,0,0,324,98
128,0,0,325,95
129,0,0,326,92
130,0,0,327,91
131,0,0,328,90
132,0,0,329,90
133,0,0,329,89
134,0,0,333,85
135,0,0,334,82
136,0,0,336,80
137,0,0,337,78
138,0,0,339,76
139,0,0,340,74
140,0,0,341,71
141,0,0,344,69
142,0,0,344,68
143,0,0,345,67
144,0,0,347,64
145,0,0,351,60
146,0,0,354,57
147,0,0,360,54
148,0,0,366,49
149,0,0,372,45
150,0,0,377,41
151,0,0,380,37
152,0,0,385,33
153,0,0,385,33
154,0,0,385,33
155,0,0,385,33
156,0,0,385,33
157,0,0,385,33
158,0,0,385,33
159,0,0,385,33
160,0,0,385,33
161,0,0,385,33
162,0,0,385,34
163,0,0,385,34
164,0,0,385,34
165,0,0,386,34
166,0,0,387,34
167,0,0,388,33
168,0,0,388,33
169,0,0,388,33
170,0,0,388,33
171,0,0,388,33
172,0,0,388,33
173,0,0,387,33
174,0,0,384,31
175,0,0,381,26
176,0,0,382,21
177,0,0,386,26
178,0,0,393,31
179,0,0,400,35
180,0,0,407,39
181,0,0,415,45
182,0,0,423,51
183,0,0,438,59
184,0,0,442,69
185,0,0,448,78
186,0,0,453,87
187,0,0,457,98
188,0,0,461,106
189,0,0,465,114
190,0,0,468,122
191,0,0,471,128
192,0,0,474,133
193,0,0,474,133
194,0,0,474,133
195,0,0,474,133
196,0,0,474,133
197,0,0,474,133
198,0,0,466,125
199,0,0,466,125
200,0,0,467,125
201,0,0,468,125
202,0,0,470,126
203,0,0,470,126
204,0,0,470,126
205,0,0,470,126
206,0,0,470,126
207,0,0,470,126
208,0,0,471,126
209,0,0,472,126
210,0,0,473,127
211,0,0,473,128
212,0,0,474,129
213,0,0,474,129
214,0,0,474,129
215,0,0,476,130
216,0,0,484,130
217,0,0,495,129
218,0,0,508,132
219,0,0,520,135
220,0,0,532,138
221,0,0,543,142
222,0,0,557,146
223,0,0,567,148
224,0,0,577,151
225,0,0,588,153
226,0,0,598,156
227,0,0,603,157
228,0,0,607,159
229,0,0,610,160
230,0,0,613,162
231,0,0,614,162
232,0,0,614,162
233,0,0,614,162
234,0,0,614,162
235,0,0,614,162
236,0,0,614,162
237,0,0,614,162
238,0,0,616,163
239,0,0,618,164
240,0,0,619,164
241,0,0,621,164
242,0,0,622,165
243,0,0,623,165
244,0,0,623,165
245,0,0,623,165
246,0,0,623,165
247,0,0,624,166
248,0,0,624,166
249,0,0,624,167
250,0,0,625,168
251,0,0,626,171
252,0,0,630,175
253,0,0,635,179
254,0,0,642,182
255,0,0,650,180
256,0,0,657,174
257,0,0,664,168
258,0,0,673,161
259,0,0,681,155
260,0,0,689,149
261,0,0,695,142
262,0,0,700,136
263,0,0,705,128
264,0,0,711,119
265,0,0,716,112
266,0,0,722,104
267,0,0,731,95
268,0,0,739,88
269,0,0,756,78
270,0,0,762,74
271,0,0,762,68
272,0,0,748,63
273,0,0,742,60
274,0,0,737,57
275,0,0,733,54
276,0,0,731,53
277,0,0,729,54
278,0,0,728,54
279,0,0,724,55
280,0,0,720,57
281,0,0,717,57
282,0,0,713,55
283,0,0,711,54
284,0,0,710,53
285,0,0,708,53
286,0,0,707,52
287,0,0,706,52
288,0,0,706,52
289,0,0,706,53
290,0,0,706,53
291,0,0,706,53
292,0,0,706,53
293,0,0,707,54
294,0,0,707,55
295,0,0,707,55
296,0,0,707,55
297,0,0,707,55
298,0,0,707,55
299,0,0,707,55
300,0,0,707,55
301,0,0,707,55
302,0,0,707,55
303,0,0,707,55
304,0,0,708,55
305,0,0,708,55
306,0,0,708,55
307,0,0,708,55
308,0,0,708,55
309,0,0,708,55
310,0,0,708,55
311,0,0,708,55
312,0,0,709,55
313,0,0,709,55
314,0,0,709,55
315,0,0,709,55
316,0,0,708,55
317,0,0,708,55
318,0,0,708,55
319,0,0,708,55
320,0,0,708,55
321,0,0,709,55
322,0,0,708,55
323,0,0,709,55
324,0,0,709,55
325,0,0,709,55
326,0,0,709,55
327,0,0,708,55
328,0,0,708,55
329,0,0,708,55
330,0,0,708,55
331,0,0,708,55
332,0,0,710,55
333,0,0,709,55
334,0,0,712,56
335,0,0,713,56
336,0,0,713,56
337,0,0,713,56
338,0,0,712,56
339,0,0,713,56
340,0,0,713,56
341,0,0,713,56
342,0,0,713,57
343,0,0,714,57
344,0,0,713,57
345,0,0,713,57
346,0,0,713,57
347,0,0,713,57
348,0,0,713,57
349,0,0,713,57
350,0,0,712,57
351,0,0,708,55
352,0,0,707,53
353,0,0,702,49
354,0,0,696,44
355,0,0,689,36
356,0,0,683,25
357,0,0,678,15
358,0,0,674,5
359,0,0,673,3
360,0,0,673,3
361,0,0,673,3
362,0,0,673,3
363,0,0,673,3
364,0,0,673,3
365,0,0,665,42
366,0,0,664,50
367,0,0,663,59
368,0,0,662,67
369,0,0,668,91
370,0,0,672,101
371,0,0,675,111
372,0,0,678,122
373,0,0,681,130
374,0,0,683,138
375,0,0,685,146
376,0,0,686,157
377,0,0,690,166
378,0,0,691,174
379,0,0,692,180
380,0,0,694,186
381,0,0,694,194
382,0,0,696,205
383,0,0,696,215
384,0,0,698,223
385,0,0,697,226
386,0,0,691,224
387,0,0,685,219
388,0,0,683,217
389,0,0,680,217
390,0,0,675,215
391,0,0,665,208
392,0,0,660,205
393,0,0,655,201
394,0,0,648,197
395,0,0,642,194
396,0,0,639,191
397,0,0,635,190
398,0,0,633,189
399,0,0,633,189
400,0,0,633,189
401,0,0,633,187
402,0,0,633,182
403,0,0,633,176
404,0,0,632,172
405,0,0,630,167
406,0,0,627,162
407,0,0,624,159
408,0,0,622,155
409,0,0,620,152
410,0,0,619,151
411,0,0,618,151
412,0,0,618,151
413,0,0,618,151
414,0,0,618,151
415,0,0,618,151
416,0,0,618,152
417,0,0,618,151
418,0,0,618,151
419,0,0,619,151
420,0,0,618,151
421,0,0,618,151
422,0,0,619,151
423,0,0,618,151
424,0,0,617,150
425,0,0,616,149
426,0,0,614,148
427,0,0,614,147
428,0,0,614,147
429,0,0,614,147
430,0,0,614,147
431,0,0,614,147
432,0,0,614,146
433,0,0,613,146
434,0,0,611,145
435,0,0,610,142
436,0,0,609,142
437,0,0,608,141
438,0,0,608,142
439,0,0,608,142
440,0,0,608,142
441,0,0,608,142
442,0,0,608,142
443,0,0,608,142
444,0,0,608,142
445,0,0,608,142
446,0,0,608,143
447,0,0,608,144
448,0,0,607,144
449,0,0,605,143
450,0,0,603,143
451,0,0,602,143
452,0,0,600,143
453,0,0,599,143
454,0,0,597,141
455,0,0,591,139
456,0,0,582,137
457,0,0,570,133
458,0,0,558,129
459,0,0,545,125
460,0,0,533,121
461,0,0,520,119
462,0,0,508,115
463,0,0,497,112
464,0,0,485,109
465,0,0,475,106
466,0,0,467,105
467,0,0,462,105
468,0,0,457,104
469,0,0,456,104
470,0,0,455,104
471,0,0,455,104
472,0,0,453,105
473,0,0,447,106
474,0,0,440,108
475,0,0,432,115
476,0,0,423,122
477,0,0,412,126
478,0,0,402,131
479,0,0,391,134
480,0,0,381,141
481,0,0,370,145
482,0,0,359,149
483,0,0,348,153
484,0,0,338,157
485,0,0,327,161
486,0,0,315,164
487,0,0,304,167
488,0,0,295,168
489,0,0,287,171
490,0,0,279,173
491,0,0,274,175
492,0,0,271,177
493,0,0,267,179
494,0,0,261,181
495,0,0,255,183
496,0,0,249,183
497,0,0,243,184
498,0,0,236,186
499,0,0,231,186
500,0,0,231,186
501,0,0,231,186
502,0,0,231,186
503,0,0,231,186
504,0,0,230,187
505,0,0,225,188
506,0,0,220,189
507,0,0,215,193
508,0,0,209,198
509,0,0,203,205
510,0,0,197,211
511,0,0,192,214
512,0,0,191,214
513,0,0,191,205
514,0,0,195,197
515,0,0,198,191
516,0,0,199,185
517,0,0,203,180
518,0,0,207,171
519,0,0,213,164
520,0,0,217,156
521,0,0,220,147
522,0,0,223,136
523,0,0,226,129
524,0,0,230,119
525,0,0,232,109
526,0,0,235,98
527,0,0,237,88
528,0,0,239,80
529,0,0,241,72
530,0,0,242,63
531,0,0,243,58
532,0,0,244,53
533,0,0,244,47
534,0,0,249,51
535,0,0,250,46
536,0,0,251,45
537,0,0,251,45
538,0,0,251,45
539,0,0,251,45
540,0,0,251,45
541,0,0,251,45
542,0,0,251,45
543,0,0,252,44
544,0,0,256,42
545,0,0,260,39
546,0,0,263,38
547,0,0,264,37
548,0,0,264,36
549,0,0,265,36
550,0,0,265,36
551,0,0,265,36
552,0,0,265,36
553,0,0,265,36
554,0,0,265,36
555,0,0,265,37
556,0,0,267,40
557,0,0,273,45
558,0,0,273,45
559,0,0,273,45
560,0,0,273,45
561,0,0,273,45
562,0,0,319,64
563,0,0,327,74
564,0,0,330,84
565,0,0,333,91
566,0,0,335,95
567,0,0,338,99
568,0,0,341,104
569,0,0,344,107
570,0,0,344,107
571,0,0,344,107
572,0,0,344,107
573,0,0,344,107
574,0,0,344,108
575,0,0,345,109
576,0,0,341,107
577,0,0,343,110
578,0,0,344,114
579,0,0,346,117
580,0,0,347,123
581,0,0,347,128
582,0,0,347,132
583,0,0,348,134
584,0,0,348,135
585,0,0,348,135
586,0,0,348,135
587,0,0,348,135
588,0,0,348,135
589,0,0,348,135
590,0,0,348,136
591,0,0,349,139
592,0,0,349,141
593,0,0,349,143
594,0,0,350,144
595,0,0,350,145
596,0,0,350,145
597,0,0,350,144
598,0,0,350,144
599,0,0,350,145
600,0,0,347,144
601,0,0,344,148
602,0,0,340,154
603,0,0,335,161
604,0,0,330,167
605,0,0,326,174
606,0,0,324,181
607,0,0,323,188
608,0,0,323,195
609,0,0,321,202
610,0,0,323,210
611,0,0,322,203
612,0,0,323,202
613,0,0,322,202
614,0,0,322,201
615,0,0,322,198
616,0,0,323,194
617,0,0,321,194
618,0,0,317,193
619,0,0,312,192
620,0,0,312,192
621,0,0,294,184
622,0,0,286,170
623,0,0,280,163
624,0,0,277,156
625,0,0,274,150
626,0,0,272,145
627,0,0,270,141
628,0,0,270,140
629,0,0,269,138
630,0,0,267,135
631,0,0,266,132
632,0,0,264,131
633,0,0,263,128
634,0,0,263,124
635,0,0,265,117
636,0,0,267,110
637,0,0,267,104
638,0,0,267,99
639,0,0,266,95
640,0,0,266,94
641,0,0,266,94
642,0,0,266,94
643,0,0,266,94
644,0,0,272,102
645,0,0,272,102
646,0,0,273,103
647,0,0,273,103
648,0,0,273,102
649,0,0,273,102
650,0,0,273,103
651,0,0,273,102
652,0,0,273,102
653,0,0,273,102
654,0,0,272,102
655,0,0,272,102
656,0,0,272,102
657,0,0,272,102
658,0,0,272,102
659,0,0,272,102
660,0,0,272,102
661,0,0,272,102
662,0,0,272,102
663,0,0,272,102
664,0,0,273,102
665,0,0,272,101
666,0,0,272,101
667,0,0,272,101
668,0,0,272,101
669,0,0,273,101
670,0,0,273,100
671,0,0,273,100
672,0,0,273,99
673,0,0,273,99
674,0,0,272,99
675,0,0,273,100
676,0,0,273,100
677,0,0,272,100
678,0,0,273,100
679,0,0,273,99
680,0,0,272,99
681,0,0,272,100
682,0,0,272,99
683,0,0,272,99
684,0,0,273,98
685,0,0,273,99
686,0,0,273,99
687,0,0,273,99
688,0,0,273,99
689,0,0,274,103
690,0,0,274,103
691,0,0,274,103
692,0,0,274,103
693,0,0,274,103
694,0,0,274,103
695,0,0,274,103
696,0,0,274,103
697,0,0,273,103
698,0,0,273,103
699,0,0,272,103
700,0,0,272,103
701,0,0,272,103
702,0,0,272,103
703,0,0,272,103
704,0,0,272,103
705,0,0,272,103
706,0,0,272,103
707,0,0,272,103
708,0,0,272,103
709,0,0,272,103
710,0,0,272,103
711,0,0,272,103
712,0,0,272,103
713,0,0,272,103
714,0,0,272,103
715,0,0,273,103
716,0,0,273,102
717,0,0,273,102
718,0,0,273,103
719,0,0,273,103
720,0,0,273,103
721,0,0,273,103
722,0,0,273,103
723,0,0,273,103
724,0,0,273,103
725,0,0,272,103
726,0,0,272,103
727,0,0,272,102
728,0,0,272,102
729,0,0,272,103
730,0,0,273,102
731,0,0,273,102
732,0,0,273,103
733,0,0,273,103
734,0,0,272,103
735,0,0,273,102
736,0,0,273,103
737,0,0,273,103
738,0,0,273,103
739,0,0,273,103
740,0,0,272,103
741,0,0,273,103
742,0,0,273,103
743,0,0,272,103
744,0,0,272,102
745,0,0,272,103
746,0,0,273,102
747,0,0,273,101
748,0,0,272,99
749,0,0,271,97
750,0,0,271,96
751,0,0,271,96
752,0,0,271,96
753,0,0,271,96
754,0,0,271,96
755,0,0,271,96
756,0,0,271,96
757,0,0,271,96
758,0,0,271,96
759,0,0,271,96
760,0,0,271,96
761,0,0,271,96
762,0,0,271,96
763,0,0,271,96
764,0,0,271,96
765,0,0,271,96
766,0,0,271,96
767,0,0,271,96
768,0,0,271,96
769,0,0,271,96
770,0,0,271,96
771,0,0,271,96
772,0,0,271,96
773,0,0,271,96
774,0,0,271,95
775,0,0,271,94
776,0,0,271,94
777,0,0,271,94
778,0,0,271,94
779,0,0,271,94
780,0,0,271,94
