frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,476,200
7,0,0,476,200
8,0,0,476,200
9,0,0,473,200
10,0,0,468,198
11,0,0,466,197
12,0,0,466,194
13,0,0,467,193
14,0,0,468,192
15,0,0,468,192
16,0,0,468,192
17,0,0,468,192
18,0,0,468,192
19,0,0,467,192
20,0,0,467,192
21,0,0,464,194
22,0,0,461,191
23,0,0,458,188
24,0,0,458,185
25,0,0,457,182
26,0,0,455,179
27,0,0,455,175
28,0,0,456,171
29,0,0,455,167
30,0,0,454,165
31,0,0,452,159
32,0,0,452,154
33,0,0,452,148
34,0,0,451,141
35,0,0,451,136
36,0,0,448,130
37,0,0,447,123
38,0,0,446,117
39,0,0,444,111
40,0,0,442,103
41,0,0,441,97
42,0,0,439,91
43,0,0,438,85
44,0,0,437,78
45,0,0,435,72
46,0,0,434,65
47,0,0,435,58
48,0,0,436,51
49,0,0,437,46
50,0,0,437,42
51,0,0,436,40
52,0,0,436,40
53,0,0,436,40
54,0,0,436,40
55,0,0,436,40
56,0,0,436,40
57,0,0,436,40
58,0,0,438,42
59,0,0,442,42
60,0,0,447,41
61,0,0,451,40
62,0,0,455,41
63,0,0,461,42
64,0,0,465,41
65,0,0,470,41
66,0,0,473,40
67,0,0,476,40
68,0,0,476,39
69,0,0,476,39
70,0,0,476,39
71,0,0,475,40
72,0,0,473,41
73,0,0,471,43
74,0,0,469,45
75,0,0,467,48
76,0,0,467,52
77,0,0,468,56
78,0,0,469,59
79,0,0,471,63
80,0,0,472,66
81,0,0,475,69
82,0,0,476,73
83,0,0,477,77
84,0,0,478,81
85,0,0,479,86
86,0,0,480,92
87,0,0,480,95
88,0,0,481,101
89,0,0,483,106
90,0,0,484,111
91,0,0,486,116
92,0,0,489,119
93,0,0,490,121
94,0,0,491,124
95,0,0,493,127
96,0,0,494,131
97,0,0,496,135
98,0,0,498,140
99,0,0,500,144
100,0,0,502,150
101,0,0,505,156
102,0,0,509,161
103,0,0,510,167
104,0,0,513,174
105,0,0,513,181
106,0,0,514,187
107,0,0,516,190
108,0,0,516,192
109,0,0,516,192
110,0,0,515,194
111,0,0,515,194
112,0,0,515,193
113,0,0,515,193
114,0,0,513,190
