"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",13.0516330318209,NA,23.545202153872,4.01776483239988,26.6118920186078,NA,NA,34.739659453668,61.6755296145359,53.9885550874103,NA,39.7478887754421,15.2557288703362,17.59204138578,23.9447298233684,NA,10.4044804264415,19.6502358277118,62.3645130198767,76.21676615358,NA,NA,NA,24.7272137991902,32.8101957803721,24.5827947734368,NA,NA,61.6755296145359,6.7243351218287,19.6902447899786,NA,NA,NA,39.2039395287531,56.3788899560713,NA,42.1002065464313,NA,NA,45.339809296521,40.2153199066751,NA,NA,62.8279310082542,NA,26.1223315793499,77.5156368111697,47.2784745990489,NA,6.80960026968833,NA,9.13576120950406,NA,12.4149154504391,70.0063365089917,41.6468962782526,20.8150546705417,58.342199907004,NA,NA,NA,51.1758892137089,NA,NA,6.71742653921694,NA,NA,NA,NA,NA,NA,58.8705628013511,20.8324183266271,20.8324183266271,NA,42.1309605424268,NA,NA,83.4862343557221,51.7034331270234,30.672065781741,7.58044802382486,NA,18.0349681058015,46.4595941543955,46.239012813705,41.4749476208915,58.6302804087418,9.42331807936694,54.2190270375562,30.8357646783599,31.1610895328579,NA,12.078041568192,36.3279342617966,75.111477948172,NA,NA,81.5650417996429,14.5306699346562,NA,NA,43.8367695286902,43.8367695286902,NA,6.48242040407806,11.8741762571161,NA,NA,NA,NA,NA,9.73253377298071,NA,NA,31.3102450582658,12.2777946988138,NA,34.1839269709711
4,"trial",6.42061857545961,42.8585183584684,14.1996121154112,17.0349479059269,5.72640813526414,7.98488939683969,NA,18.3417126891727,69.8397089514945,19.4849340708818,NA,6.23592655438224,NA,9.25788765069786,66.3025802844731,NA,19.0511393948288,24.3782886154927,27.2301961923287,7.88795754076892,7.1076391814186,NA,14.0182744118389,14.7108768778089,24.6131384072742,83.3286870355678,NA,NA,69.8397089514945,8.72766032829184,NA,28.1171189098641,NA,NA,15.3776893459348,12.7548428800115,NA,6.90003513585528,6.50555756792298,NA,27.5829030940525,NA,34.9706478984838,23.3490307653128,NA,8.47693993371067,NA,NA,11.9633807732891,16.0274398201621,12.6191261769327,16.3636435206548,27.3286500486742,NA,NA,19.5349571601156,15.9803909832968,NA,62.6042648490069,NA,5.21457537939013,NA,13.4840872247628,30.046844975662,27.066558011444,NA,NA,9.68646804599249,6.86350730057984,31.2745583578256,NA,1.36371877375823,NA,38.4760055634654,38.4760055634654,45.0524152127331,9.76878700253847,32.573235666847,NA,5.28510424190405,31.8582873988962,24.7954865609267,4.33813334433996,NA,6.8436220192998,37.8894480631733,4.99278871446766,NA,18.3440111316792,15.188678863188,25.8473486742862,82.8965560237998,35.913965050451,NA,41.2359764428579,47.2025154222028,50.5335836925715,12.5302238058926,9.19213619571939,NA,7.6994905867499,NA,NA,11.7189555682178,11.7189555682178,3.01628039716981,33.1925570603891,23.0113754434088,NA,NA,10.9559518858682,29.9919141717204,NA,10.8913791694517,38.2096898314596,4.48944751058875,19.6303203745461,11.8853912129441,24.9966977629909,10.957547665646
6,"trial",47.8766604825543,56.8488751717813,46.4532902246431,10.735683014331,16.1921865499631,41.8460664604913,44.3642412021237,15.7261726859756,4.31016174032595,26.3526510891681,50.8823563014555,NA,20.3543717460848,77.2936392474317,19.5541490305867,15.9791614710115,16.9183962720132,14.48312296895,26.5395762027055,34.9391983042009,3.95312493714733,NA,15.9091517081394,7.66942562315096,2.8110564039903,56.6179964576796,NA,NA,4.31016174032595,20.2898907258296,NA,36.7398056850829,5.14616710773855,NA,1.11282445252941,8.99440502364378,13.6763743233738,NA,39.3232018481757,1.45925794179781,10.7734108060072,9.18658235456411,34.6169501092917,NA,64.0058126361198,NA,4.82092392909783,42.0630756434387,6.82996493082554,NA,10.0421911953337,16.088267506423,15.3611622625267,NA,2.18060624897869,8.79013248819332,18.6580321120476,25.6485203391269,22.4686495409335,48.0340531665719,19.7860570083817,NA,15.0868156691546,18.9508365301236,29.5196429256275,NA,NA,26.4127337518067,3.34034084356562,8.99459087075376,13.4714327919701,5.65859110604496,NA,32.3782901186625,32.3782901186625,NA,27.2147698951291,9.28816979515445,16.6704905329561,11.9328450579453,35.5549322595304,NA,11.9220054399065,21.8093848429971,19.8131767145672,25.0958638168113,8.50763766878944,NA,28.7812667475903,12.9299192735943,NA,NA,49.790250745197,31.1909421503978,16.985977235034,55.2911973006116,74.8226970641287,19.0820173299264,29.212846098727,47.7218254446817,12.8831317503408,45.1751952905257,NA,15.7869003962049,15.7869003962049,5.99946688367811,6.640046769507,NA,23.3666316198301,23.3666316198301,NA,14.3839335119698,15.9421974971997,NA,19.2667257019291,27.738055952615,9.48822904146982,11.6140205117111,NA,26.7753256191453
8,"trial",33.0978592079597,34.1040447889738,60.2502185054741,16.9535207988474,7.10549189061279,11.1208072914355,55.3376413330887,8.6522245454126,11.290984458179,19.4591139257618,19.2128139305841,52.6753052839286,47.050993613115,19.7582396378697,32.1850734132564,37.3196885329608,15.7146092502763,NA,48.5489952060852,22.1900350423934,5.88490607373427,13.8875317417706,8.43786114092567,14.0206177679288,11.7700347391777,8.26763936443814,NA,50.5097184226369,11.290984458179,17.9372124287753,20.436668072376,11.7621692890951,4.92269605113244,NA,64.8722595373762,10.0128289944215,15.0734838765475,6.93559660236832,17.5081118019613,10.8944824477692,19.0497614755538,11.6648799320502,39.6006500174222,8.19037126172036,56.8331551365684,86.0316571275869,26.4516494341596,NA,NA,27.8054196879711,5.72966088116274,15.3274873212501,53.0793810185078,NA,32.0317558696394,NA,NA,20.7221520046737,48.1257931506233,28.7351906770622,9.97988388643547,41.6976231670604,5.43835479914456,20.8068055678837,12.2702994506746,NA,10.3158076660241,19.4693002027786,NA,6.42447742794997,NA,13.4101114087774,5.8691352646687,12.111919449992,12.111919449992,35.7912887100555,16.5925893256816,NA,12.5750631959653,31.916719169609,NA,12.6327338308294,12.1330489847409,68.8409288552737,8.29889662260686,NA,43.5732195644718,30.0284629378204,14.2086189431931,4.08800050609886,NA,NA,15.4007584880567,NA,24.8496296654889,13.7692887229106,NA,18.0769057354964,NA,NA,33.6158622207988,1.88120222911192,NA,21.8497680567985,21.8497680567985,14.6002772000991,9.67300052646456,8.17037120716908,16.5316249099329,16.5316249099329,33.198567816312,4.93253605684342,27.5831832352561,5.60054026153951,15.6453032229503,NA,27.5464236959207,8.44206139476024,37.7709146992908,NA
10,"trial",17.4334829529336,23.9772056368802,18.8474538575231,41.0242298138409,7.31770248535743,NA,NA,NA,17.8788904125497,10.7740741619861,45.8848055384747,22.7161343593736,21.9360638682625,26.5859256968031,7.2003091704363,30.3969482509019,28.7047942699834,11.3499885740931,42.3555315858925,17.0030819718986,8.64105824494355,13.0100439642408,15.4828413329135,7.00868071899003,11.2171195125975,77.4921893741812,57.6030199092246,16.2532691596106,17.8788904125497,15.6282847775457,18.5911857905476,26.3649266142771,10.1289505702018,NA,18.4583787171022,11.4514705608261,15.8127104851046,2.88697472995699,8.54478227164215,3.47003164753572,44.4717179281435,39.4498212595976,32.0789380583622,21.0380408518927,26.4670081645835,3.89385843382202,12.7907264210186,26.5752403300131,11.3338025291972,11.8743625578101,13.8278213813884,22.3499838024849,6.74927539796081,NA,33.308711843524,8.00873152968008,10.8810735176273,17.4220174631768,51.5437307744379,41.4573950216431,18.5788189824181,25.8503684541929,11.2368439762922,11.3868664160122,22.0220749619318,NA,20.1356780948071,22.4940475825161,5.61807741651841,9.5892191586571,9.41800576939752,13.7759657880157,11.69421580727,15.7590413817963,15.7590413817963,14.7720620755365,30.3911798491726,NA,54.7582617823151,NA,13.6985391641892,NA,9.86088891295305,NA,27.9089463940966,10.4043664545151,NA,NA,10.4884019111626,26.5812191881041,NA,77.1335516920262,21.6357183581012,15.3585214456988,28.8522263638985,33.1278622874962,72.1100388655296,13.4531622615736,49.2314828253425,NA,14.530184597097,NA,NA,3.68208645037088,3.68208645037088,19.6301187992285,44.8731645048348,28.252179437578,14.0282817955102,14.0282817955102,14.9815767736564,5.98006683436426,NA,6.70745385684336,3.31154418758064,24.9464447395786,NA,11.7177267980258,12.201039993763,34.0326209945823
12,"trial",9.00484847228029,NA,46.4655096811611,NA,13.2062781915816,56.2574906757786,NA,5.03756881593925,8.78138504034643,14.6222593987195,13.5714305264673,57.8564214867639,10.0765783063301,11.2041083722833,8.19896306587493,31.5030324255553,20.3268364570417,NA,NA,6.89421365157603,5.11641086425046,15.4254500188317,11.7639093471226,NA,16.4031692692888,30.2854470199555,2.02750489360326,0.842227604034479,8.78138504034643,8.63329044360755,33.4741775738248,8.83407972288645,6.7156727743774,NA,10.6677097135382,3.20768053389768,8.16785200294304,10.5378314115567,8.5525821301631,10.8081765530875,14.9266159575932,NA,19.2805711184389,14.8288070148915,42.2939938131792,10.0760640444463,23.2894270986406,31.3974451586475,43.8644476202068,23.7872169673177,4.51069839369896,59.5010781822976,8.15159879249482,NA,24.296445424425,10.1609053125896,12.6317160668784,7.12915270194004,38.422142662229,21.8078584508984,5.46638671050549,7.05271161671734,6.95946875901657,7.65271732405098,25.5197747084246,17.9420961035717,13.4703075257942,20.818919818009,14.5394176349311,7.07317781182393,18.8091987002325,3.2522305317694,8.28389922191239,9.57034866844335,9.57034866844335,21.5289576834838,11.7268001947301,6.15306835360653,NA,NA,17.8998787340623,25.814500346509,5.15376653748923,35.3356998772769,30.8168991638176,17.6590401435256,10.4730164598769,NA,75.3573101566878,28.0909761718602,9.47279377527243,NA,35.0978314015453,33.2932562523255,35.69392442927,46.1866972320481,23.7760771724359,17.4635584683793,NA,NA,8.24170635052809,1.21355004616778,NA,26.7097196006908,26.7097196006908,8.14798933731564,16.6262602829491,19.8133080058217,38.8236042947542,38.8236042947542,19.2116746445535,7.57408997666597,NA,15.5816791053043,39.6412264809542,14.5568687518593,27.9117000088859,6.07848741423326,13.0974724510676,27.5868666901105
14,"trial",33.3339707760408,30.1062469474829,23.1542828042105,NA,9.82736403754955,16.6696563486653,26.9498920442621,8.12573433683177,NA,8.86795903695573,NA,18.0147934164379,8.54741322559458,11.3444605557683,34.0304026445503,8.15219914932551,5.36104324273399,21.2432467283965,18.5673016603694,7.46256030340953,11.3975711685247,5.15202179186131,7.86670140024305,NA,21.1764982255858,65.1311538013955,24.8722528113233,37.5477683244975,NA,8.64158148860221,NA,11.2982805699734,2.99606961002433,NA,16.7459946913895,8.1697728007846,11.4541674393436,19.2187399320286,9.80917575134253,9.09359338809542,50.1667472605817,8.65791015566486,17.8211689223044,12.6923271626218,38.9966536767932,49.5512267014459,6.79824659322452,24.4014480292697,4.31914335064644,25.3869618653085,8.86223211936931,16.1574721661647,84.4213524412445,NA,10.0134012619249,60.1336303522575,27.6399770093967,18.8073105188185,18.2096007162258,13.2703254425252,4.26182431290933,NA,2.69015042782897,20.5566004918442,37.963354723393,10.5589926354216,15.9978725071994,11.7493219051821,12.1471544352615,13.7227344381333,8.21041981156928,15.2037467450769,20.168209756931,10.5447913337235,10.5447913337235,18.7960818820834,13.4508415404319,13.0134727672989,3.87517896297674,8.79805070256706,26.6981078520433,8.91591366918551,7.63721508557218,NA,17.8389195614493,59.2027022748827,10.9455241887415,NA,28.9492615102662,6.97332622051379,NA,25.3335634441866,37.210204439093,NA,34.6905668262351,33.0985680115896,NA,12.7566150827105,14.2967710376729,77.3352126989751,9.43760416899327,NA,NA,26.0116146758442,26.0116146758442,14.03140062392,22.3694084566815,13.961293730404,4.83765586635493,4.83765586635493,11.006989353349,22.088313285898,12.7913925718655,3.84751740552469,26.2828882213264,3.8838630528956,14.610470078174,17.998729642319,NA,12.4653027138019
16,"trial",15.427406023738,30.5695699025753,38.6217218701705,14.2697037131495,13.0014697609202,NA,10.8041738506181,8.94692030222443,NA,13.5157309997397,24.5989736962023,11.4921683612693,19.4370723412887,33.7379666732475,9.10738135128871,16.0029627745929,8.91546994350684,23.8860701376466,NA,60.2801227819709,5.87499849788488,6.69779776320838,21.1219201210791,5.73943613726622,24.3487221024155,NA,1.54885062196167,NA,NA,9.77024269109018,10.9005031028128,18.1466008212458,4.04455434983731,NA,12.5342176367534,53.4904416907371,4.74643650144695,12.7204531575988,5.01407730228734,4.08337265106163,24.1792041102666,29.6948164946665,26.0113280849494,12.6428091470886,NA,1.75224482385775,13.6800971426461,30.0293604732739,13.5320386044888,NA,6.11357199426429,7.63105166846193,NA,NA,30.3699731343202,9.87606121871886,14.9221852638078,8.93314233883184,16.896489567313,NA,6.64562710130337,NA,7.70347289371309,15.6438292816039,22.2161437177983,16.0320284904343,NA,25.3761824817663,3.35534196994568,7.3205055948987,15.6391743320402,3.19437426001562,2.91612432125524,12.6730590232049,12.6730590232049,42.6413442893782,13.0035499232849,24.7708088985242,18.8744279237918,8.34339601048407,NA,86.6558992900771,39.9326045401443,51.8076152770275,52.5907620222627,64.729231937153,23.7891400034584,NA,16.9517427705872,NA,NA,14.9484527936093,29.8149588698259,39.6312867617611,4.70042658650233,25.0231601971283,NA,27.741894928225,24.3006135447549,NA,12.5720440267285,58.1468907172389,NA,13.3216908962649,13.3216908962649,NA,12.5530809811917,25.0879850826574,17.0046157454816,17.0046157454816,5.11712884740623,14.1137462213206,6.25094680360877,6.25548436905255,12.4716577169663,16.1222639825452,17.5065690976735,6.31593676222209,9.83488450541243,NA
18,"trial",33.6216395006724,NA,46.3380676428255,NA,10.3594267358467,11.4979421745956,75.3748717219048,12.3152593067989,13.2086451192382,11.0833414045043,8.62276158020703,6.30453572959718,23.5065155660348,19.2437883825608,9.41597880621728,12.149039111903,8.8641216364666,30.2801307545348,30.3061820152407,15.4186037375384,24.9133867825838,4.05567026109936,9.11041595397999,1.48570321417079,NA,NA,9.57594292524228,6.38281634202504,13.2086451192382,15.4608133215401,8.9169376383524,11.9864026136532,3.51746553971652,NA,23.591609047547,NA,6.06094358595166,6.31637258917352,17.5260464607408,1.25620081584148,12.0776386056992,14.2062105298958,19.5598495812448,47.9780317569683,61.0943814085313,5.1013065531799,22.7928863303215,34.8157672579389,49.4683751855663,14.5673764937158,15.1153400653203,7.62627280099901,94.8075698663758,NA,7.86506019883088,NA,11.9008491262095,5.14431384377676,18.0519385552652,8.33438729540686,3.1155175655295,34.311542008237,3.89221767638202,24.5511286276456,11.2950205004844,12.8101983873334,NA,17.0494142633181,NA,8.35986793611743,6.57153562482357,25.2850029853643,66.9307872721869,9.97339674818446,9.97339674818446,10.6964676326667,10.3965229241429,15.4386999114091,NA,23.7862648847956,19.6601554090999,24.2546364096027,5.80655947274739,41.260118600561,43.064640194355,51.4970806076736,52.5273321595739,14.2355597317765,15.225092284204,6.47152560161288,NA,NA,22.6150250619989,27.0017526846899,26.3315276700745,NA,NA,17.1533280038019,NA,43.2406858033757,5.06085318313825,49.3671084121725,NA,5.74586649424472,5.74586649424472,58.8271775126688,11.4971706352835,26.8619925205117,9.80057958720052,9.80057958720052,NA,15.3839772812652,41.7390167274702,5.97157536786144,5.90043647501264,31.6265272376166,13.3150662536499,7.27664564817015,NA,NA
20,"trial",NA,12.0097739238069,22.1033441698426,NA,11.6216192993919,35.7040065150924,10.1533736496914,7.67776462410291,16.5961444697092,27.9196111653538,NA,45.7464969158289,10.641496134817,9.30080208625002,56.1837346636915,25.2769318213351,3.24842559449998,31.5311095023588,NA,8.8901667022852,3.18505793441952,9.84427569280651,11.0755985194123,7.53992892000773,NA,NA,10.9966355469702,8.48876916351346,16.5961444697092,14.3038065913138,15.1373916160399,3.27318101248209,11.449078888926,NA,5.34119038728602,11.0149418241233,8.09134184800123,6.10506536351914,4.90345464049252,10.1571947508675,5.80563258813611,9.84157353747498,11.5675581213716,10.4715796680599,NA,8.17719794868212,8.33535064653656,26.7336805700337,16.6846430185653,11.7889688371944,12.8777745200628,38.0786745823356,NA,NA,37.7279148509874,37.0275746196981,12.6343806981804,14.4885643172156,24.1845595711901,21.7731394597482,9.65804876817191,NA,2.82907776045875,4.52308777930633,8.46295231354388,5.68387255142054,14.1030869958585,11.61143048764,20.3235880905296,NA,3.87473024257918,7.15872825076742,19.453542522541,11.1140220000295,11.1140220000295,8.85003098752963,8.5928872863437,10.9050312372651,14.809067738078,36.554710006806,NA,14.1059005717861,16.2894327164796,4.47199638568523,27.6081632852762,14.7255049957583,3.8104876953142,NA,8.41503530831065,8.07743507803373,78.6151530489913,13.9556664922333,14.2687230036855,23.1191680737021,8.31998276139362,48.0427320276199,38.3899283864595,19.7364582808781,27.4794412424398,18.4896612533472,7.31520772412295,NA,NA,4.54732853112048,4.54732853112048,NA,7.86668097850581,8.98903365840395,10.1439601986157,10.1439601986157,17.7128595618563,7.83340148929873,14.179925938255,16.300133016611,25.0384198007205,64.1922411944921,8.02963996493765,19.1500138347135,7.86063586078081,18.6880250909038
