"phase","phase_type","NT_CS_1","NT_CS_2","NT_CS_3","NT_OR_1","NT_OR_2","NT_OR_3","OT_CS_1","OT_CS_2","OT_CS_3","OT_OR_1","OT_OR_2","OT_OR_3","TT_CS_1","TT_CS_2","TT_CS_3","TT_OR_1","TT_OR_2","TT_OR_3"
2,"trial",1,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,1,NA,0,NA,1
4,"trial",1,1,1,1,0,NA,0,0,NA,1,1,0,0,0,NA,1,0,1
6,"trial",1,NA,0,1,0,NA,1,0,NA,0,1,0,0,NA,0,0,0,NA
8,"trial",0,0,1,0,1,NA,1,1,NA,1,0,1,NA,NA,NA,0,1,1
10,"trial",1,0,1,1,1,NA,0,0,NA,0,0,0,0,1,1,0,1,1
12,"trial",1,1,1,1,0,NA,1,0,NA,1,1,0,1,NA,1,0,1,0
14,"trial",0,0,1,1,1,NA,0,0,NA,1,0,0,1,0,NA,0,0,1
16,"trial",1,1,0,0,0,NA,0,1,NA,1,1,1,NA,0,0,0,0,1
18,"trial",1,1,0,0,0,NA,1,1,NA,1,0,0,0,NA,0,1,0,1
20,"trial",NA,1,1,1,1,NA,1,0,NA,1,0,0,NA,0,1,1,0,0
22,"trial",NA,1,1,1,0,NA,1,0,NA,0,1,0,1,1,1,1,NA,0
24,"trial",0,0,1,0,0,NA,1,1,NA,1,1,0,NA,0,0,NA,1,1
26,"trial",0,0,1,1,0,NA,1,0,NA,NA,1,1,1,1,1,1,0,0
28,"trial",0,0,NA,0,0,NA,0,0,NA,1,1,0,0,NA,1,1,1,1
30,"trial",1,1,1,1,1,NA,0,1,NA,0,1,1,1,1,0,0,1,1
32,"trial",1,1,1,1,1,NA,0,1,NA,1,0,1,0,0,0,NA,0,0
34,"trial",1,1,1,1,1,NA,1,0,NA,0,1,1,0,1,1,0,1,0
36,"trial",1,0,0,0,0,NA,1,0,NA,1,0,0,0,0,1,0,1,0
38,"trial",1,NA,1,1,1,NA,0,1,NA,1,0,1,1,1,0,1,0,0
40,"trial",1,1,0,0,1,NA,0,1,NA,1,0,NA,1,0,NA,0,0,1
42,"trial",1,NA,1,0,0,NA,1,0,NA,0,0,1,1,1,1,1,1,1
44,"trial",0,0,1,0,0,NA,1,0,NA,1,1,0,NA,0,NA,0,0,1
46,"trial",0,1,0,0,0,NA,1,0,NA,0,1,1,1,1,0,1,1,1
48,"trial",0,1,1,1,1,NA,1,1,NA,0,NA,0,0,0,1,1,0,0
50,"trial",0,1,0,1,1,NA,0,0,NA,1,1,NA,1,1,0,NA,1,0
52,"trial",0,1,0,1,1,NA,1,0,NA,1,1,NA,1,0,0,1,1,NA
54,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,0,0,0,0,1,0
56,"trial",1,1,0,0,1,NA,0,0,NA,1,1,1,1,0,0,NA,1,1
58,"trial",0,1,1,0,1,NA,0,1,NA,1,0,1,1,1,1,1,1,0
60,"trial",0,0,0,1,0,NA,1,0,NA,1,1,1,1,1,1,NA,0,0
