"phase","phase_type","NT_CS_1","NT_CS_2","NT_CS_3","NT_OR_1","NT_OR_2","NT_OR_3","OT_CS_1","OT_CS_2","OT_CS_3","OT_OR_1","OT_OR_2","OT_OR_3","TT_CS_1","TT_CS_2","TT_CS_3","TT_OR_1","TT_OR_2","TT_OR_3"
2,"trial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"trial",1,1,0,0,0,NA,1,1,NA,0,1,1,1,1,NA,1,0,0
6,"trial",1,NA,1,0,0,NA,1,1,NA,1,0,0,0,NA,0,1,1,NA
8,"trial",1,1,1,0,0,NA,1,1,NA,1,0,1,NA,NA,NA,0,0,1
10,"trial",1,1,1,0,0,NA,1,0,NA,1,1,1,1,0,0,1,1,0
12,"trial",1,0,0,0,0,NA,0,1,NA,1,1,1,1,NA,1,0,0,0
14,"trial",1,1,0,0,0,NA,1,1,NA,1,1,0,0,0,NA,0,1,0
16,"trial",1,1,0,1,0,NA,1,0,NA,0,0,0,NA,1,1,1,0,0
18,"trial",0,1,1,1,0,NA,0,1,NA,0,1,0,0,NA,0,1,1,1
20,"trial",NA,0,1,0,0,NA,0,1,NA,0,0,1,NA,1,0,0,0,0
22,"trial",NA,1,0,0,1,NA,0,0,NA,1,1,1,0,0,1,1,NA,1
24,"trial",1,1,0,0,0,NA,0,0,NA,0,0,1,NA,0,1,NA,1,0
26,"trial",1,1,0,0,0,NA,1,0,NA,NA,1,1,1,0,0,0,0,1
28,"trial",1,1,NA,0,1,NA,1,1,NA,0,0,1,1,NA,0,0,0,1
30,"trial",0,0,1,0,1,NA,1,0,NA,1,1,0,1,0,1,0,1,0
32,"trial",1,0,0,1,0,NA,1,0,NA,1,0,0,1,0,1,NA,1,1
34,"trial",0,0,1,0,0,NA,1,0,NA,0,0,1,0,1,1,1,0,1
36,"trial",0,0,1,0,1,NA,0,1,NA,0,0,0,1,1,0,0,0,1
38,"trial",1,NA,1,1,0,NA,1,1,NA,0,0,0,0,1,1,0,1,0
40,"trial",1,0,1,1,0,NA,0,1,NA,0,1,NA,1,1,NA,1,0,0
42,"trial",0,NA,1,0,0,NA,1,1,NA,1,0,1,1,0,0,0,0,0
44,"trial",1,1,0,0,0,NA,0,0,NA,1,1,0,NA,1,NA,1,0,0
46,"trial",0,1,0,1,1,NA,1,1,NA,1,0,0,1,1,1,0,0,0
48,"trial",1,1,0,0,1,NA,0,1,NA,0,NA,0,1,1,0,1,0,0
50,"trial",0,0,0,1,0,NA,1,1,NA,0,0,NA,1,1,1,NA,1,0
52,"trial",0,1,1,0,0,NA,1,0,NA,0,1,NA,0,1,0,0,0,NA
54,"trial",0,1,1,0,1,NA,0,0,NA,1,0,0,0,1,1,1,0,1
56,"trial",1,0,1,1,0,NA,1,0,NA,0,0,0,1,1,1,NA,1,0
58,"trial",1,0,0,0,0,NA,1,1,NA,0,0,0,0,1,0,0,0,0
60,"trial",0,0,0,0,1,NA,1,1,NA,1,0,0,0,0,0,NA,1,0
