"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",0.0152396387686289,NA,0.0209144439626265,0.0136875931151484,0.0131728997221106,NA,NA,0.0263344160891174,0.379993815911459,0.0781687573659416,NA,0.153466752028734,0.0199895117887317,0.0146807506585237,0.0481514032805832,NA,0.00975042211122083,0.0293310450001669,0.114298872892106,0.104599488765,NA,NA,NA,0.0277534499856224,0.00690481245939185,0.0423724399707612,NA,NA,0.379993815911459,0.0087318443502459,0.0445453776317688,NA,NA,NA,0.0880038150506266,0.0475974734255473,NA,0.0818199966567943,NA,NA,0.0516901118359389,0.107827434327207,NA,NA,0.30836298839206,NA,0.0233468571959011,0.0529401249438855,0.0505191069103231,NA,0.00749768809880976,NA,0.0119705461435875,NA,0.00885480969609268,0.117861076550561,0.200998534161451,0.0152210239488576,0.134083011369287,NA,NA,NA,0.255504705833322,NA,NA,0.114423572664381,NA,NA,NA,NA,NA,NA,0.897234751087448,0.603255356948662,0.603255356948662,NA,0.530438482572102,NA,NA,0.755485952784647,0.258138562410249,0.0274980567511454,0.0207085889774483,NA,0.0206422178328797,0.177020400405388,0.0509113137840462,0.0663542539637548,0.0505294060334579,0.0150760224397389,0.0303684534910847,0.120665884946102,0.0593650100326239,NA,0.0210692914735638,0.0533993506778265,0.0667191042247542,NA,NA,0.149488737964254,0.01745943134461,NA,NA,0.0729542829328488,0.0729542829328488,NA,0.0243785553981775,0.101131412591836,NA,NA,NA,NA,NA,0.0256209207782925,NA,NA,0.0314815044424326,0.0555522805508587,NA,0.0559255398386413
4,"trial",0.0182279655219725,0.0277026068402262,0.0456872976686331,0.014813513431708,0.00969722978944682,0.0152120174955034,NA,0.0180656692628366,0.132182051918189,0.0389127960409037,NA,0.0132777223364373,NA,0.0133375895388375,0.0979570861503326,NA,0.0137918480174919,0.0446794302859574,0.0341350300761278,0.0340919043138171,0.0199824919820968,NA,0.0263593887802215,0.0370426646243299,0.00676861983062023,0.150812054239083,NA,NA,0.132182051918189,0.013163097744166,NA,0.0577448429102606,NA,NA,0.0585920900703673,0.0362106600045751,NA,0.00904108449115369,0.0229737648363416,NA,0.0331424363103212,NA,0.0468825717214765,0.0404868403902263,NA,0.0318793809872286,NA,NA,0.0249230176383067,0.0234401541771412,0.0205291411060247,0.0161723781945407,0.032836936728409,NA,NA,0.0168358359419088,0.024227886630966,NA,0.0901922792154193,NA,0.251668695916512,NA,0.0169767759250833,0.0568681296382429,0.0489862898373141,NA,NA,0.040651620135943,0.0414062940430734,0.0943368676334024,NA,0.0207841715163315,NA,0.0373882565528219,0.0373882565528219,0.0690268051920284,0.1285817875027,0.0321925056335542,NA,0.139130508298632,0.0349445939352582,0.0463236142002615,0.0129506826742625,NA,0.0120105686544398,0.0571450411184443,0.0108705882539865,NA,0.019747109053637,0.0257208542694371,0.106925049672998,0.153876885996064,0.0427975178159719,NA,0.0416059924019526,0.0776629663185594,0.152429970115141,0.0178741043696282,0.0143108360252201,NA,0.0229853836725806,NA,NA,0.0190647188325091,0.0190647188325091,0.00493469078785715,0.0373997833560564,0.0312841582514123,NA,NA,0.144207860905601,0.0417544097653517,NA,0.0246396427880332,0.0188493730792622,0.0171056981962079,0.0231075435240443,0.0614592071822124,0.0274182802770609,0.0634607007662896
6,"trial",0.113638506746996,0.0254830177862199,0.131879656554176,0.0252747033956374,0.015577598368979,0.183599800195206,0.0576089147663362,0.0242229309013425,0.0168664369469084,0.162363331281328,0.920892066266689,NA,0.0368382693280976,0.0664164034641038,0.0207413859631155,0.0345311217174513,0.0189889515489059,0.0332853533943509,0.0582212535159386,0.0822563289956702,0.0260165295091304,NA,0.0179956922374285,0.0504744578568201,0.00413204300608103,0.655806908776212,NA,NA,0.0168664369469084,0.0299767907264443,NA,0.0524085707891514,0.0323957137049179,NA,0.00947783714963726,0.0268511076214339,0.011446069523211,NA,0.0229577168593005,0.00828558904041454,0.0291562014379728,0.0229328210821564,0.0407488347646808,NA,0.0712865451100236,NA,0.0151741352477059,0.0380638353433627,0.0295192398900429,NA,0.0192580822739019,0.0206140031944122,0.0245757624883103,NA,0.00474774199998263,0.0247126714628519,0.0154811033001468,0.0214658315155502,0.0162253508657893,0.159879021323964,0.0376944288668112,NA,0.0278265542430858,0.783956282272074,0.0678425329233948,NA,NA,0.0509898334976964,0.0197404115725649,0.0351974494055375,0.130033135057626,0.00895403365093512,NA,0.0355149724888804,0.0355149724888804,NA,0.121241921124721,0.0289206930973796,0.0144531800103081,0.0397178972771445,0.040694979465942,NA,0.0367267891231819,0.0509311204142728,0.02785148730353,0.142492981017552,0.0264903402316273,NA,0.0706300309557383,0.0374418511783617,NA,NA,0.169623838559608,0.0344737637607922,0.0137779251444096,2.28728063846987,0.285089528541437,0.0162999430501302,1.69186367367145,0.921270761480342,0.0173517981732165,0.0204081439280409,NA,0.108845148898269,0.108845148898269,0.0190911797817412,0.0149053757059958,NA,0.0550113749407433,0.0550113749407433,NA,0.0258710044221141,0.0412184505064113,NA,0.0146820201955363,0.154466453552578,0.0218060053352404,0.043677056530027,NA,0.123070994756138
8,"trial",0.0305233189951181,0.0968204769162326,0.238999650283522,0.024183845786438,0.0127799681478203,0.0188322280218036,0.0942612559614274,0.024091061809695,0.0467084299152469,0.0670818874991788,0.0317917494714574,0.0427267977060515,0.0431164718364648,0.0255424016278307,0.032137937771192,0.161296412146145,0.0188820021751505,NA,0.0495020751598291,0.0462279555617762,0.0205316069930721,0.0197131667922022,0.0268505064096663,0.130968530650724,0.0100244447585547,0.0145097215943105,NA,0.0515012899246529,0.0467084299152469,0.133183935467592,0.211355502679013,0.0851508394480826,0.0339402651070908,NA,0.182382556708146,0.0235729093945321,0.0144533392664228,0.0299757820075851,0.0337994436331299,0.0217570545488668,0.0530417326502278,0.0215150381158244,0.168637789649481,0.0145504854591522,0.374033576276117,0.0954507357293602,0.0198954390769891,NA,NA,0.021077912193473,0.00959056768110352,0.0382625998233843,0.0826369738113523,NA,0.0372514256287382,NA,NA,0.0287111156333806,0.0521949081933792,0.0252917968428919,0.0321103085149146,0.236756888298094,0.0189736525997042,0.043979100346399,0.034496849675773,NA,0.10668582114614,0.03637308544547,NA,0.0156333606014162,NA,0.0172588306419272,0.077252570173772,0.116910419401467,0.116910419401467,0.049828234579265,0.0762667279172717,NA,0.0627832339034349,0.0803677669202844,NA,0.029501028687016,0.0225219946999199,0.20983823060945,0.0207168568331619,NA,0.111661306841678,0.0270046610270814,0.0309358266536848,0.00851643115350726,NA,NA,0.0637097014122587,NA,0.0231377450360857,0.0230476634056798,NA,0.0265717015887391,NA,NA,0.0352692863656191,0.00801102470948183,NA,0.0357466266226008,0.0357466266226008,0.0204245386381555,0.0225892091009105,0.0285052723885975,0.0402281518524697,0.0402281518524697,0.109244146464698,0.00519396566182178,0.0694557241109352,0.00849098464928467,0.0264941123466611,NA,0.0745491926963537,0.0394292318225818,0.683595222598169,NA
10,"trial",0.0332125386473791,0.0299276132133873,0.0306615556660066,0.051875996628586,0.0249297154849787,NA,NA,NA,0.369806062035638,0.0201284235184695,0.189815797870138,0.0246368209181528,0.0488626311291858,0.0530939802226129,0.0187840685861325,0.0391209115198222,0.0266416638234922,0.0220582297182499,0.511046471837505,0.100483109911937,0.0625559235879118,0.0209299291574016,0.0344880635571283,0.0382932216743828,0.0155416298136893,0.100177782043981,0.0734819875357925,0.0324589318857888,0.369806062035638,0.0538757748812248,0.0205478931635337,0.136332701052867,0.0269091173803668,NA,0.0288923803356499,0.019506252374789,0.0215989161211999,0.10449956792798,0.0193309203177233,0.0115498324042595,0.0429263686565091,0.0380789780498046,0.0351866203693864,0.0503479072048231,0.037754638194339,0.00741819199696839,0.0420895262186906,0.0371764875077124,0.218799276625428,0.0140923031811468,0.040446417986979,0.0399506359975778,0.0155112966491102,NA,0.0241738844046825,0.0828260982799236,0.0220341959073912,0.0250994316014187,0.132086643936271,0.0348983638617135,0.0216062927180748,0.0430208501767289,0.0258247011773583,0.0471050734253124,0.0352323134483432,NA,0.0327572742421268,0.151481868428545,0.0186994987901691,0.0315545558485119,0.209786288299618,0.0152258751230684,0.0307850538976922,0.0625127256378443,0.0625127256378443,0.0314531187731444,0.0384302825561523,NA,0.151015614402413,NA,0.0177087430590559,NA,0.0252696439153818,NA,0.0339568959403856,0.0228246017341943,NA,NA,0.0213886057789221,0.0275887607299624,NA,0.354539215352207,0.0302665188826887,0.0523229211186651,0.0326362961102254,0.0211299786672071,0.0928057128256495,0.0338756813704219,0.132002045327495,NA,0.0307122803816552,NA,NA,0.0102523197125711,0.0102523197125711,0.0747947017853148,0.0369152261524067,0.052109127654584,0.0588730980170816,0.0588730980170816,0.0563414861367011,0.0240511053505641,NA,0.0323718815484718,0.019570231980817,0.0183813586751588,NA,0.0342743851586106,0.0238724303332001,0.0665878789156233
12,"trial",0.0202138108832726,NA,0.210238490956026,NA,0.0189317417402924,0.109334088276629,NA,0.0125754780054401,0.0285715968082071,0.0224034126964507,0.0210157803457363,0.523555937681865,0.0383937905392581,0.0255467159554084,0.0219834917038688,0.0235723507419378,0.0252624444343237,NA,NA,0.0135809109833268,0.022793633193869,0.0253797111138201,0.0333974260365734,NA,0.0351848332674577,0.0654471424680649,0.00366947072925301,0.00518911281545929,0.0285715968082071,0.0641022456460317,0.570193803778528,0.0365447313412291,0.0607716527604132,NA,0.0273372135345394,0.0309621673156147,0.0107509459498197,0.0476796184765174,0.0317514929097234,0.0218865794065815,0.105423881421931,NA,0.0569711935183563,0.0523665376267476,0.161148625075617,0.02129765812737,0.0385373862636083,0.101021380819329,0.0713598883240534,0.0604227214166777,0.00709884126925093,0.103173903860364,0.0158422924888474,NA,0.101965945209103,0.0280223533165738,0.0171729241215923,0.0251759324157408,0.0369637976329503,0.0345082892127642,0.0608819428701978,0.017162109316823,0.0314889090809751,0.0714850914564483,0.104083044381524,0.0564737790736896,0.0650111367075012,0.0528828485521464,0.016908658923258,0.0122647755274038,0.08784966387579,0.00667918863831717,0.0380763891428222,0.0379635135205612,0.0379635135205612,0.0375557479243914,0.0917781503292038,0.0287383314560026,NA,NA,0.0378347632684573,0.0755074890210278,0.011939227499975,0.0787103501869845,0.0719662298320563,0.0213067569299295,0.0240692601118701,NA,0.15586867793027,0.0396802563874097,0.0548617400112303,NA,0.0338782156385573,0.19281808640343,0.0148081353906653,0.058660202743406,0.196713269490644,0.0233042165921472,NA,NA,0.0111523107619097,0.0270318543102416,NA,0.0422648895510647,0.0422648895510647,0.0445180447511236,0.0205750176751672,0.0415756840813785,0.08647966504623,0.08647966504623,0.179458911239446,0.0235835408415306,NA,0.0235003606197277,0.0250089752447537,0.043909473793012,0.0398154611458707,0.0251454250450907,0.0446200515026152,0.0998559363782957
14,"trial",0.0403878420090638,0.038746778568189,0.0320809002293656,NA,0.02540858738335,0.034727486073995,0.0667010495105983,0.0192869825704913,NA,0.0244565886292215,NA,0.0178652021239864,0.0250012086860728,0.0353233919409898,0.0966114088250916,0.0236067542934136,0.0246416769752436,0.0788656323448044,0.256030083568249,0.0156592250784991,0.113808792123466,0.0177606928842434,0.0990435798251182,NA,0.0228813082308381,0.115707808112956,0.135894147362807,0.127916539829085,NA,0.0532423077010733,NA,0.0384906219735638,0.0147048766933987,NA,0.0283580483157039,0.0140819305032829,0.0360526505770845,0.0463772681757446,0.019455444580068,0.0193623524899829,0.108410823619652,0.0291525214005057,0.0203172053198679,0.0179287039682952,0.0849057690295088,0.0854095882195357,0.011859061601429,0.0211558574225514,0.00791593156000399,0.0270273412999395,0.0298405050261605,0.0232776352304568,0.151840606083919,NA,0.0159320525827225,0.322466915230896,0.0645472124705676,0.0246431329847025,0.0421844032036119,0.0573546019817549,0.0181488089636725,NA,0.0119846321406102,0.0708652802393969,0.161665432901117,0.0308850843436924,0.0254537833179167,0.283526107750533,0.0228410114487441,0.0258036675239432,0.125133404972098,0.0212687409001691,0.0301042019617448,0.038652038024987,0.038652038024987,0.0499346867328914,0.0186365135602961,0.0204803268748409,0.0178120011168263,0.0240348875461692,0.0859012479151971,0.0206546262606614,0.0184295730829445,NA,0.0241388331669018,0.0832215517227612,0.0223207981444237,NA,0.0246558552494886,0.0161544236768659,NA,0.0482629866468705,0.0257163621136184,NA,0.019581931645688,0.0217830168556442,NA,0.0243026349116868,0.0183185469611758,0.15551643480328,0.0161709879297822,NA,NA,0.0268054122849767,0.0268054122849767,0.0520916269079299,0.0394977312894602,0.0511752617066762,0.0350216399591331,0.0350216399591331,0.151778672826104,0.0323041904848164,0.0231504450504322,0.00528031263910322,0.0138884579700101,0.0151982536245001,0.0196782842033411,0.0400922103704759,NA,0.401071515888093
16,"trial",0.0249575171325111,0.0375092883759758,0.131575250522952,0.0240241487493537,0.028307551661074,NA,0.0530274876510933,0.0194797521603284,NA,0.0296501645308436,0.089040686641659,0.0462201108480907,0.0269306021613614,0.0252446549588814,0.0193917102358237,0.025048986916299,0.0189830866955205,0.0720501633012989,NA,0.727318083759301,0.0189028265697712,0.0176319702436163,0.0252743228737505,0.0240869403108369,0.783420917066135,NA,0.00846243145968711,NA,NA,0.0392947341179624,0.0233816025371361,0.0262740359380972,0.0195200499509523,NA,0.0321203513430315,0.0380577644769173,0.0149396817864916,0.025758943403081,0.0259277301207633,0.017648415192164,0.054700781499457,0.0491364862018751,1.25537297707285,0.035892599213856,NA,0.00994915298579236,0.0240085944939383,0.107355071047025,0.489817999679856,NA,0.00926879256847362,0.01556171828633,NA,NA,0.0230219732061899,0.0953287762424601,0.0195524711260781,0.0175973964597586,0.0215542108337468,NA,0.0337615682854266,NA,0.01677244657092,0.0719058157823307,0.0473032812524094,0.0161197197659611,NA,0.118521215975369,0.0236981493310035,0.0184333698041767,0.027614136804384,0.0070076655405748,0.0191917623810234,0.0601607333844145,0.0601607333844145,0.58799426764173,0.032743536822104,0.0539324372917616,0.0213498747328123,0.0227928426016721,NA,0.110058803203207,0.177899931126274,0.168564103326409,0.108778465297013,0.19940410725731,0.0478385215642261,NA,0.0299317428146256,NA,NA,0.0267203860889628,0.0377016390760051,0.0140640212503411,0.0216051966652985,0.0540752900012857,NA,0.0189020406051954,0.0676620885007655,NA,0.0140021280368969,0.0597088748842098,NA,0.0299041278985924,0.0299041278985924,NA,0.0201947892232814,0.137072840474926,0.0895293914293518,0.0895293914293518,0.10584243341298,0.0272466143268738,0.05485211305378,0.0226429212200261,0.00965637405046636,0.0583576157669347,0.0275514663909164,0.058998039253538,0.142396976429717,NA
18,"trial",0.1014166249417,NA,0.188990976845501,NA,0.0169482146715639,0.0217615682008396,0.237246742451857,0.0224288979871765,0.0735557160634738,0.0237737910864527,0.028374303199172,0.0250087364319981,0.0205646708517842,0.0171462325950942,0.0197582231119214,0.0533039624074367,0.0202112644859087,0.0342514751235236,0.0877592143298475,0.0544493492944431,0.0522775448686079,0.0133457032986334,0.0248882201700481,0.00811741393332915,NA,NA,0.102702090575314,0.0249771066290242,0.0735557160634738,0.0322091330550681,0.0526964244642999,0.0176191167909373,0.0221428500485764,NA,0.0213485844421576,NA,0.0146258291166787,0.0590021103733982,0.0283525697149665,0.00808366033360024,0.029892185441291,0.0321388088122039,0.040170561039277,0.122949136630766,0.142672767643537,0.0289649474970469,0.0328370978077588,0.0366610395836492,0.103803036733184,0.0226793132608604,0.0433369205588525,0.0206390668666303,0.247332698180048,NA,0.0274400853566691,NA,0.0154537750310042,0.0229179410919666,0.0230281732798955,0.0227682322122647,0.0056740685611013,0.0752710205515904,0.0165748538342409,0.0423178582247062,0.05451264720311,0.0164137916262344,NA,0.0705298438912772,NA,0.018621624449326,0.0396448819065128,0.047238142331606,0.0850065881835334,0.0401117951583995,0.0401117951583995,0.0221245193725869,0.0237053239081482,0.074511099958538,NA,0.0444381583350273,0.0284654759784265,0.0924150442349219,0.0152857830977906,0.271543427083369,0.0574675375794286,0.213032600417844,0.124677191973164,0.0463175992314101,0.0265590994398126,0.0146405773443824,NA,NA,0.0977425735982202,0.0338486595355386,0.0856737050564221,NA,NA,0.0141515097546463,NA,0.368277473910195,0.0133227093273208,0.0541496011892029,NA,0.0282010331174893,0.0282010331174893,0.0377713901621464,0.015853792933375,0.0584854831781686,0.0388767900269762,0.0388767900269762,NA,0.026836263108687,0.0750719742574226,0.0262003131268052,0.106788787554524,0.0317995166079639,0.075602238551271,0.041316407268738,NA,NA
20,"trial",NA,0.0224369920110977,0.0581871117142223,NA,0.0190131851635887,0.0447575672104152,0.0213055515563443,0.0133131192473983,0.024772336807471,0.0565372691471106,NA,0.169834039634054,0.0148865426316616,0.0272048733071546,0.171257065627997,0.0413535302358077,0.00519703747066913,0.0432731287430129,NA,0.0422028294620792,0.0230578518418402,0.0365469100564542,0.0256577571878278,0.0191524307051609,NA,NA,0.0482477867101185,0.0240993900849235,0.024772336807471,0.0251032056709614,0.0217000720823234,0.0677023099658457,0.0235132647846177,NA,0.140606977552282,0.0245358074490421,0.0187444212695009,0.0310153696581952,0.0253557017399986,0.0200086572194221,0.0101275164932365,0.015921097804418,0.0341803978844406,0.0184896994798119,NA,0.0161082616592115,0.0137142703249,0.0879706055963727,0.0264014225877672,0.0196195061196818,0.0209499173355756,0.0503499690357217,NA,NA,0.642651286355678,0.108305764068381,0.135503868491853,0.0245352643724439,0.0886487448237749,0.0538885740514508,0.0233061022397971,NA,0.0215587108346277,0.0161700549810751,0.0295260465886306,0.0104834970699786,0.0486179226277526,0.0287383191952281,0.0221248455132482,NA,0.0220005123925686,0.0127177350074036,0.0450661216738402,0.0241980912707119,0.0241980912707119,0.0201791361099542,0.0691191062286333,0.0242909813719893,0.0360364712486892,0.0840106407584252,NA,0.0253709331850633,0.0163785319301797,0.0196209037630977,0.0493496412220725,0.0418053173851869,0.0108178733117028,NA,0.0165767774570772,0.017198717659906,0.157000039373568,0.0209389438637546,0.105945374247739,0.128744995955424,0.0523752482041734,0.112193451926501,0.0766674112364388,0.0236164901730409,0.0250231671545493,0.254959476742239,0.0170830918952927,NA,NA,0.0147954379347549,0.0147954379347549,NA,0.0157103201541189,0.0252718643168383,0.225956939381105,0.225956939381105,0.0449930389195698,0.0233851495321978,0.0241538597630962,0.0321096308734753,0.0208948347674389,0.0377814773015892,0.0528451208643668,0.0623075370961569,0.0517328614916252,0.0340351589766588
