"phase","phase_type","NT_CS_1","NT_CS_2","NT_CS_3","NT_OR_1","NT_OR_2","NT_OR_3","OT_CS_1","OT_CS_2","OT_CS_3","OT_OR_1","OT_OR_2","OT_OR_3","TT_CS_1","TT_CS_2","TT_CS_3","TT_OR_1","TT_OR_2","TT_OR_3"
2,"trial",1,1,1,0,0,NA,1,0,NA,0,0,1,1,1,0,1,0,1
4,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,0,1,1,1
6,"trial",1,0,1,1,1,NA,1,1,NA,1,1,1,1,0,1,1,1,0
8,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,0,0,0,1,1,1
10,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
12,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,0,1,1,1,1
14,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,0,1,1,1
16,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,0,1,1,1,1,1
18,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,0,1,1,1,1
20,"trial",0,1,1,1,1,NA,1,1,NA,1,1,1,0,1,1,1,1,1
22,"trial",0,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,0,1
24,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,0,1,1,0,1,1
26,"trial",1,1,1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,1,1
28,"trial",1,1,0,1,1,NA,1,1,NA,1,1,1,1,0,1,1,1,1
30,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
32,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,1,1
34,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
36,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
38,"trial",1,0,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
40,"trial",1,1,1,1,1,NA,1,1,NA,1,1,0,1,1,0,1,1,1
42,"trial",1,0,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
44,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,0,1,0,1,1,1
46,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
48,"trial",1,1,1,1,1,NA,1,1,NA,1,0,1,1,1,1,1,1,1
50,"trial",1,1,1,1,1,NA,1,1,NA,1,1,0,1,1,1,0,1,1
52,"trial",1,1,1,1,1,NA,1,1,NA,1,1,0,1,1,1,1,1,0
54,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
56,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,1,1
58,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1
60,"trial",1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,1,1
