"phase","phase_type","NT_CS_1","NT_CS_2","NT_CS_3","NT_OR_1","NT_OR_2","NT_OR_3","OT_CS_1","OT_CS_2","OT_CS_3","OT_OR_1","OT_OR_2","OT_OR_3","TT_CS_1","TT_CS_2","TT_CS_3","TT_OR_1","TT_OR_2","TT_OR_3"
2,"trial","pole","pole","pole","safe","unsafe",NA,"pole","safe",NA,"unsafe","safe","pole","pole","pole","unsafe","pole","unsafe","pole"
4,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","safe","pole","pole","pole"
6,"trial","pole","unsafe","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","safe","pole","pole","pole","safe"
8,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","safe","unsafe","safe","pole","pole","pole"
10,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
12,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","unsafe","pole","pole","pole","pole"
14,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","safe","pole","pole","pole"
16,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","unsafe","pole","pole","pole","pole","pole"
18,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","safe","pole","pole","pole","pole"
20,"trial","unsafe","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","unsafe","pole","pole","pole","pole","pole"
22,"trial","safe","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","unsafe","pole"
24,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","safe","pole","pole","safe","pole","pole"
26,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"unsafe","pole","pole","pole","pole","pole","pole","pole","pole"
28,"trial","pole","pole","unsafe","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","unsafe","pole","pole","pole","pole"
30,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
32,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","unsafe","pole","pole"
34,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
36,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
38,"trial","pole","unsafe","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
40,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","safe","pole","pole","safe","pole","pole","pole"
42,"trial","pole","safe","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
44,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","unsafe","pole","safe","pole","pole","pole"
46,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
48,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","unsafe","pole","pole","pole","pole","pole","pole","pole"
50,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","safe","pole","pole","pole","safe","pole","pole"
52,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","safe","pole","pole","pole","pole","pole","unsafe"
54,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
56,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","safe","pole","pole"
58,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","pole","pole","pole"
60,"trial","pole","pole","pole","pole","pole",NA,"pole","pole",NA,"pole","pole","pole","pole","pole","pole","safe","pole","pole"
