"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",8.27,0,2.47,2.83,8.83,0,0,12.73,1.57,6.67,0,2.5,7.37,5.07,4.8,0,7.53,2.87,5.27,2.07,0,0,0,1.73,10.6,5.6,0,0,1.57,7.43,4.27,0,0,NA,2.13,0.5,0,1.37,0,0,2.7,3.6,0,0,1.97,0,1.8,4.9,6.93,0,8.77,0,7.37,NA,3.43,5.73,2,9.43,4.2,0,0,0,1.93,0,0,0.57,0,0,0,0,0,0,0.63,0.33,0.33,0,0.77,0,0,1.07,1.93,6.9,3.53,0,8.43,2.53,6.23,6.03,2.6,6.03,2.2,2.47,5.07,0,5.53,3.03,8.2,0,0,2.3,3.77,0,NA,5.8,5.8,0,2.57,1.13,0,0,0,0,0,3.67,0,0,5.1,2.13,0,5.9
4,"trial",3.4,7,3,7.23,5.7,5.07,0,7.17,5.1,4.83,0,4.53,0,6.7,3.2,0,6.27,2.27,7.7,2.23,3.43,0,2.4,3.83,9.63,5.33,0,0,5.1,6.4,0,3.13,0,NA,2.53,3.4,0,7.37,2.73,0,3.17,0,3.03,5.57,0,2.57,0,0,4.63,6.6,5.93,3.9,8.03,NA,0,5.67,6.37,0,6.7,0,0.2,0,3.43,0.13,0.83,0,0,2.3,1.6,3.2,0,0.63,0,4.93,4.93,2.37,0.73,3.47,0,0.37,0.07,5.17,3.23,0,5.5,0.53,4.43,0,5.8,3.77,2.33,2.5,3.97,0,9.57,5.87,3.2,6.77,6.2,0,3.23,0,NA,5.93,5.93,5.9,2.47,7.1,0,0,0.73,2.13,0,4.27,6.47,2.53,2.5,1.87,6.57,1.67
6,"trial",4.07,3.03,3.4,4.1,4.73,2.2,7.43,6.27,2.47,1.57,0.53,0,5.33,7.27,2.17,4.47,1.87,4.2,4.4,4.1,1.47,0,6.4,1.47,6.57,0.83,0,0,2.47,2.47,0,4.1,1.53,NA,1.13,3.23,11.53,0,3.63,1.7,3.57,3.87,3.9,0,0.47,0,3.07,1.83,2.23,0,5.03,5.07,6.03,NA,4.43,3.43,7.9,5.27,6,2.9,3.3,0,3.27,0.23,2.07,0,0,2.5,1.63,2.47,1,6.1,0,2.3,2.3,0,2.17,3.1,6.27,2.9,1.57,0,3.13,1.5,4.93,1.7,3.1,0,1.43,3.33,0,0,2.83,1.97,8.43,0.23,2.53,5.47,0.17,0.5,3.5,11.73,NA,1.4,1.4,3.03,4.3,0,4.1,4.1,0,2.5,3.73,0,7.4,1.73,4.2,2.57,0,2.1
8,"trial",6.87,3.4,2.43,2,5.37,3.3,5.67,3.47,2.33,2.8,2.87,3.87,9.2,7.47,1.5,2.23,8.03,0,4.2,2.13,1.2,3.73,3.03,1.03,11.33,5.5,0,1.9,2.33,1.3,0.93,1.33,1.4,NA,3.43,1.83,10.07,2.23,5,1.53,3.47,5.23,2.27,5.43,1.47,6.63,1.2,0,0,9.03,5.77,3.87,6.2,NA,3.27,0,0,4.07,8.9,6.33,3,1.7,2.77,3,3.43,0,0.93,2.17,0,3.97,0,1.03,0.73,1,1,4.67,2.1,0,1.93,3.83,0,4.13,5.2,3.17,3.87,0,3.77,3.77,4.43,4.63,0,0,2.33,0,0.43,5.77,0,6.57,0,0,2.2,2.27,NA,2.17,2.17,2.73,1.6,2.77,1.97,1.97,1.07,9.17,0.37,6.37,5.7,0,0.63,2.07,0.53,0
10,"trial",5.07,0.6,3.17,5.03,2.83,0,0,0,0.47,5.17,2.33,1.93,4.33,4.83,3.7,2.07,5.73,4.97,0.8,1.63,1.33,2.53,3.33,1.77,6.97,4.6,0.53,2.53,0.47,2.8,1.93,1.87,3.63,NA,1.77,5.67,4.83,0.27,4.27,2.9,5.73,1.93,5.37,4.03,0.5,5.07,2.93,2.03,0.5,4.97,3.3,0.93,4.2,NA,3.9,0.93,4.77,4.63,3.77,6.77,2.03,3.3,1.73,2.33,2.4,0,2.23,1.43,2.9,2.93,0.43,2.1,1.53,0.53,0.53,1.87,0.77,0,1.5,0,5.23,0,3.77,0,5.4,4.4,0,0,4.73,4.13,0,2.1,2.9,2.83,8.53,3.9,3.47,3.83,3.6,0,2.83,0,NA,3.47,3.47,2.53,2.5,2.9,1.4,1.4,1.47,2.4,0,2,1.63,7.6,0,1.07,3.17,1.2
12,"trial",4.3,0,2.13,0,6.73,4.97,0,3.87,2.97,6.3,4.1,1.07,2.53,4.23,3.6,6.17,7.77,0,0,3.47,2.17,0.53,3.4,0,4.5,4.47,5.33,1.57,2.97,1.3,0.57,0.93,1.07,NA,1.8,1,7.33,2.13,1.4,4.77,1.37,0,3.27,2.73,2.53,4.57,5.83,3,2.27,3.8,6.13,2.2,4.97,NA,2.3,3.5,7.1,2.73,4.7,1.4,0.87,3.97,2.13,1.03,2.37,0.4,2,1.87,2.83,5.57,2.07,4.7,2.1,1,1,1.83,1.23,2.07,0,0,4.57,3.3,4.17,2.3,4.13,2.97,4.2,0,4.67,3.9,1.67,0,4.5,1.67,7.4,6.3,1.17,5.13,0,0,4.03,0.43,NA,2.4,2.4,1.77,3.13,4.6,0.73,0.73,1.03,3.1,0,3.07,7.97,3.2,2.47,2.33,2.83,2.67
14,"trial",6.63,0.7,2.03,0,3.73,2.83,3.9,4.07,0,3.5,0,1.1,3.3,3.1,3.4,3.33,2.1,2.6,0.7,4.6,0.97,2.8,0.77,0,8.93,0.83,1.77,2.83,0,1.57,0,2.83,1.97,NA,3.4,5.6,3.07,0.87,2.3,3.33,2.1,2.87,2.67,4.2,1.57,4.67,5.53,2.6,5.27,1.53,2.87,0.73,2.97,NA,6.07,1.8,2.67,4.8,4.17,2.23,2.27,0,2.17,0.53,2.27,3.3,3.27,0.4,1.73,1.57,0.63,1.83,2.43,1.63,1.63,0.67,1.6,2.1,2.1,3.53,3,4.17,4,0,4.8,1.77,4.73,0,4.8,4.17,0,3.8,3.03,0,9.87,6.93,0,5.07,4.23,1.7,4.37,0,NA,2.67,2.67,0.6,2.83,2.63,1.33,1.33,0.7,2.93,1.73,7.03,6.3,2.47,3.23,2.17,0,0.3
16,"trial",5.97,5.57,2.83,5.73,4.43,0,1.97,4.43,0,4.4,2.67,2.4,2,6.2,4.53,3.2,4.53,3.2,0,0.8,1.43,3.67,2.43,2.3,0.3,0,1.77,0,0,2.4,3.07,2.77,2,NA,3.77,4.17,3.07,2.4,1.87,2.23,1,0.33,0.2,3.4,0,1.7,4,2.7,0.27,0,6.37,4.73,0,NA,1.9,1,4.4,4.9,5.5,0,1.9,0,2.9,2.1,1.6,0.5,0,2.07,1.37,3.83,2.3,4.4,1.47,2.03,2.03,0.7,0.63,4.43,1.07,3.53,0,2.8,0.17,2.97,4.67,0.47,4.8,0,5.47,0,0,2.13,6.17,1.8,2.1,4.47,0,5.2,3.47,0,3.17,9.4,NA,1.27,1.27,0,3.4,1.77,1.83,1.83,0.47,3.37,1.1,2.67,12.47,2.67,2.97,1.03,0.67,0
18,"trial",3.2,0,2.37,0,5.9,5.1,3.07,5.3,1.73,4.5,2.93,2.43,6.33,2.83,2.9,2.2,4.23,3.6,3.33,2.73,2.7,2.93,3.53,1.77,0,0,0.9,1.17,1.73,1.67,1.63,2.1,1.53,NA,1.67,0,4,1.03,1.83,1.5,3.9,4.27,4.7,3.77,3.27,1.7,4.1,2.67,2.57,6.2,0.93,3.57,3.7,NA,2.77,0,4.47,2.17,7.57,3.53,5.3,2.43,2.27,2.53,2,2.27,0,2.33,0,4.33,1.6,3.83,1.6,0.9,0.9,2.9,0.37,2,0,3.7,2.8,2.53,3.67,1.47,4.13,2.33,4.07,2.97,5.53,4.27,0,0,2.23,2.27,2.97,0,0,6.57,0,1.13,3.67,4.7,NA,1.97,1.97,2.67,5.33,4.43,2.43,2.43,0,2.1,0.4,2.2,0.53,4.53,1.7,1.7,0,0
20,"trial",0,5.17,3.67,0,5.9,2.93,4.6,5.57,1.8,2.5,0,2.6,6.9,3.3,1.23,3.8,6.03,3.93,0,2.03,1.33,2.6,1.5,2.23,0,0,2.2,3.4,1.8,1.47,1,0.47,2.43,NA,0.37,4.33,4.17,1.9,1.87,3.33,5.53,4.43,3.27,5.47,0,4.9,4.07,2.93,6.1,3.83,5.93,1.4,0,NA,0.57,3.3,0.9,2.4,2.63,1.5,4,0,1.27,2.7,2.77,5.23,2.8,1.57,1.47,0,1.7,3.83,1.3,2.23,2.23,4.23,1.2,2.17,1.87,1.97,0,5.37,2.23,2.2,3.13,1.6,3.4,0,4.9,4.53,2.57,3.3,1.3,1.73,1.53,4.13,3.67,4.1,3.4,0.7,4.13,0,NA,2.97,2.97,0,3.53,3.43,0.43,0.43,3.8,1.3,0.43,1.5,5.7,1.73,1.47,2.97,1.47,1.9
