"phase","phase_type","NT_CS_1","NT_CS_2","NT_CS_3","NT_OR_1","NT_OR_2","NT_OR_3","OT_CS_1","OT_CS_2","OT_CS_3","OT_OR_1","OT_OR_2","OT_OR_3","TT_CS_1","TT_CS_2","TT_CS_3","TT_OR_1","TT_OR_2","TT_OR_3"
2,"trial",51.73,4.47,48.43,NA,NA,NA,14.6,NA,NA,NA,NA,59.7,9.37,25.57,NA,51.97,NA,55.8
4,"trial",56.6,55.5,7.27,56.6,1.27,NA,52,50.23,NA,59.8,59.37,4.87,14.57,7.57,NA,56.77,19.17,55.2
6,"trial",13.17,NA,12.5,58.53,7.03,NA,56.47,52.47,NA,54.93,53.9,51.2,51.57,NA,28,52.83,54.63,NA
8,"trial",3.9,48.1,52.57,57.23,7.03,NA,3.83,56.13,NA,57,52.5,59,NA,NA,NA,1.17,50.83,53.1
10,"trial",54.97,0.4,0.6,58.67,58.13,NA,49.37,54.6,NA,51.7,51.27,57.6,52.53,4.47,56.67,55.43,57.6,57.47
12,"trial",55.7,55.57,34.6,57.83,57.67,NA,29.97,22.87,NA,59.13,55.3,57.57,24.77,NA,57.8,52.87,56.9,53.07
14,"trial",52,50.27,56.9,59.03,57.17,NA,12.53,53.3,NA,0.13,53.1,57.37,5.23,1.5,NA,54.4,53.4,52.43
16,"trial",54.03,57.6,27.07,57,2.1,NA,8.4,55.27,NA,58.1,55.6,57.97,NA,54.6,32.27,51.3,55,56.8
18,"trial",56.8,57.57,49.17,55.4,53.43,NA,56.1,56.43,NA,54.7,24.13,57.6,8.77,NA,51.77,56.33,0.17,57.23
20,"trial",NA,57.4,56.7,58.67,59.53,NA,54.47,6.53,NA,20.83,54.57,55.57,NA,53.57,57.73,55.87,56.8,54.57
22,"trial",NA,57.7,56.1,58.53,54.3,NA,57.3,56.1,NA,53.7,55.43,56.9,42.97,5.07,57.33,57.33,NA,52.7
24,"trial",49.83,55.43,57.83,51.87,3.4,NA,8.83,55.1,NA,56.6,57.87,55.03,NA,52.53,53.9,NA,56.53,56.27
26,"trial",54.1,18.73,51.2,58.77,54.23,NA,57.87,55.1,NA,NA,55.57,58.77,59.9,4.53,57.03,57.47,54.6,53.77
28,"trial",54.3,49.27,NA,52.17,55.93,NA,54.2,38.6,NA,56.53,56.27,56.2,20.7,NA,30.27,57.47,58.03,55.8
30,"trial",57.57,17.67,55.53,57.33,57.27,NA,6.7,56.63,NA,52.8,56.5,59.87,52.7,57,53.37,7.8,56.97,56.33
32,"trial",9.03,58.4,55.5,57.03,58.37,NA,51.5,55.77,NA,0.7,54.17,57.6,8.77,55.17,47.8,NA,20.57,55.23
34,"trial",54.73,57.33,52.97,58.83,57.07,NA,58.4,55.2,NA,15.87,56.17,57.73,54.63,57.03,56.33,51.6,3.73,53.3
36,"trial",57.1,52.57,48.53,55.97,56,NA,56.57,54.5,NA,53.93,50.53,58,10.13,52.2,56.57,0.57,56.97,54.13
38,"trial",32.4,NA,54.73,59.13,57.6,NA,25.6,59.37,NA,53.97,54.23,58.5,55.4,56.63,4.13,57.67,57.23,53
40,"trial",58.67,57.7,50.87,54.63,58.5,NA,55.17,4.57,NA,56.03,52.77,NA,55.03,54.57,NA,52.27,56.23,55.43
42,"trial",10.1,NA,59.1,54.93,55.83,NA,56.6,54.5,NA,50.97,13.93,57.23,54.13,56.7,57.43,54.07,57.6,56.6
44,"trial",4.1,3.5,56.93,55.4,51.67,NA,8.53,8.03,NA,53.2,56.73,56.8,NA,13.63,NA,50.73,54.43,55.6
46,"trial",54.73,48.63,50.87,54.67,54.13,NA,8.5,54.37,NA,54.87,57.27,59.03,56.03,55.63,52.83,56.43,56.4,55.57
48,"trial",2.37,57.17,53.7,54.57,57.9,NA,35.13,56.63,NA,0.9,NA,55.5,49.3,56.47,55.5,56.23,55.67,51.5
50,"trial",50.8,11.1,47.13,57.97,59.23,NA,49.17,55.13,NA,55.93,55.4,NA,33,58.37,1.37,NA,56.27,53.27
52,"trial",53.73,20.6,49.5,58.13,57.2,NA,56.9,56.63,NA,55.2,56.33,NA,56.47,52.53,0.53,52.9,56.03,NA
54,"trial",56.6,16.43,55.4,58.3,57.47,NA,54.63,55.87,NA,56.47,57.73,55.87,52.37,49.8,51.9,49.97,56.8,54.4
56,"trial",55.8,44.5,52.97,53.33,58.27,NA,4.17,54.27,NA,57.73,59.1,58.07,57.63,45.67,53.6,NA,57.43,55.37
58,"trial",53.8,55.73,56.03,55.2,57.37,NA,52.87,56.7,NA,56.7,52.97,0.33,53.5,58.93,27.4,53.37,3.47,55.57
60,"trial",54.27,53.97,51.3,57.6,54.43,NA,54.87,52.9,NA,56.4,56.93,57.5,54.47,57.37,54.87,NA,3.13,55.43
