"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",51.73,NA,49.13,57.17,39.97,NA,NA,42,50.5,44.27,NA,46.87,51.53,48.43,51.13,NA,49.73,53.9,26.5,39.27,NA,NA,NA,51.83,2.43,54.4,NA,NA,50.5,52.53,55.73,NA,NA,NA,55.7,23.47,NA,50.93,NA,NA,49.57,48.63,NA,NA,46.3,NA,49.2,25.73,39.27,NA,51.23,NA,52.67,NA,45.47,40.47,50.03,46.27,30.2,NA,NA,NA,44.63,NA,NA,59.13,NA,NA,NA,NA,NA,NA,53.17,59.7,59.7,NA,57.97,NA,NA,35.93,52.47,49.23,56.5,NA,51.57,50.73,45.47,50.87,43.4,53.97,41.47,57.03,54.93,NA,54.47,46.47,37.07,NA,NA,38.9,51.97,NA,NA,53.17,53.17,NA,57.43,58.87,NA,NA,NA,NA,NA,55.8,NA,NA,49.73,57.87,NA,44.37
4,"trial",56.6,36.87,57,48.9,53.8,54.93,NA,50.2,44.77,52.03,NA,55.5,NA,43.9,33.07,NA,46.67,54.83,52.3,57.27,56.6,NA,54.87,56.4,24.87,42.9,NA,NA,44.77,53.6,NA,54.53,NA,NA,57.47,56.6,NA,52.07,56.8,NA,52,NA,38.2,54.3,NA,57.43,NA,NA,55.4,53.4,54.07,50.23,51.87,NA,NA,48.83,53.63,NA,35.8,NA,59.8,NA,51.2,54.97,54.77,NA,NA,57.7,58.4,51.4,NA,59.37,NA,48.33,48.33,50.4,59.67,49.97,NA,59.1,48.8,49.3,56.73,NA,54.5,47.8,55.57,NA,51.03,54.3,57.67,39.23,51.87,NA,48,53.53,49,53.23,53.8,NA,56.77,NA,NA,54.07,54.07,54.1,49.33,52.9,NA,NA,58.93,52.47,NA,55.2,39.97,57.47,51.33,58.13,51.2,58.33
6,"trial",53.7,27.77,54.13,55.9,49.43,57.13,52.57,53.37,57.53,58.3,54.33,NA,54.63,23.9,50.9,55.47,50.6,56.17,55,50.77,58.53,NA,51.47,58.97,53.43,53.2,NA,NA,57.53,53.47,NA,53.17,58.47,NA,58.87,56.77,47.9,NA,36.87,57.8,56.47,55.57,50.57,NA,47.47,NA,56.93,49.33,57.8,NA,54.97,52.47,53.97,NA,55.57,56.57,48.37,47.97,46.63,55.93,54.93,NA,54.77,59.83,55.9,NA,NA,55,58.37,57.53,59,53.9,NA,51.2,51.2,NA,58.27,56.83,48.87,56.57,51.57,NA,56.87,55.87,53.13,56.93,56.9,NA,55.87,56.7,NA,NA,56.6,50.53,48.1,59.3,56.87,48.7,57.1,55.57,52.83,36.07,NA,58.6,58.6,56.97,55.7,NA,53.37,53.37,NA,54.63,56.27,NA,46.87,58.3,55.33,57.43,NA,57.87
8,"trial",48.33,54.87,54.43,53.23,54.03,54.3,49.27,56.57,57.67,57.17,54.13,48.1,43.03,52.57,50.27,53.37,51.97,NA,49.37,52.93,57.23,52.93,56.93,59.17,48.67,54.53,NA,43.5,57.67,58.57,59.07,58.3,58.6,NA,19.2,55.9,49.4,57.2,54.47,54.63,55.07,54.2,52.7,54.57,52.67,35.83,47.17,NA,NA,47.27,54.27,56.13,49.37,NA,48.13,NA,NA,52.5,43.8,49.03,57,54.37,57.27,55.47,56.7,NA,59.07,54.83,NA,56.03,NA,52.5,59.27,59,59,52.37,58.33,NA,57.43,51.9,NA,55.87,54.8,47.03,56.13,NA,56.23,48.43,55.57,55.37,NA,NA,57.67,NA,49.67,54.23,NA,50.63,NA,NA,43.93,57.73,NA,54.1,54.1,53.1,55.87,57.23,56.03,56.03,54.6,50.83,54,53.1,52.27,NA,55.93,57.97,53.07,NA
10,"trial",54.97,52.27,54.07,48.67,56.63,NA,NA,NA,59.47,54.83,47.73,50.57,55.67,50.23,56.3,52.43,49.6,55.4,58.9,55,58.67,53.73,55.67,58.63,52.93,39.6,47.47,54.8,59.47,56.63,51.27,58.13,56.37,NA,53.83,54.33,52.17,59.23,55.27,56.57,49.37,49.43,50.63,54.33,53.23,54.93,57.07,52.3,59.5,51.87,56.7,54.6,55.8,NA,45.4,59.1,55.23,52.83,46.97,43.33,51.7,53.93,55.8,57.73,54.1,NA,52.73,54.5,57.1,57.07,59.57,51.27,56.3,57.6,57.6,55.47,52.73,NA,45.77,NA,52.53,NA,56.23,NA,52.07,55.13,NA,NA,55.27,50.67,NA,45.97,53.13,56.67,41.1,44.17,44.1,56.2,53.77,NA,55.43,NA,NA,56.53,56.53,57.47,48.27,54.77,57.7,57.7,57.43,57.6,NA,57.47,57.87,46.6,NA,56.7,55.07,54.43
12,"trial",55.7,NA,53.4,NA,52.73,52.47,NA,56.13,57.07,53.7,53.77,58.73,57.43,55.23,56.4,46.1,52.23,NA,NA,54.73,57.83,53.67,56.6,NA,54,55.53,54.67,58.43,57.07,58.7,58.7,57.67,58.93,NA,56.23,59,52.13,56.9,56.9,54.7,57.77,NA,56.17,57.3,52,55.43,54.17,57,51.27,56.2,53.87,46.6,55.03,NA,56.2,56.53,52.9,56.77,45.87,53.63,59.13,55.67,57.9,59.03,57.77,56.6,58,56.23,51.7,54.43,57.93,55.3,57.9,57.57,57.57,54.2,59.2,57.9,NA,NA,55.27,56.73,55.83,55.27,53.5,51.53,55.8,NA,45.27,53.17,58.33,NA,50,57.8,36.77,52.4,58.87,52.77,NA,NA,52.87,59.57,NA,53.9,53.9,58.27,52.2,55.4,54.83,54.83,58.33,56.9,NA,53.07,40.67,56.8,52.8,57.03,57.17,53.73
14,"trial",52,51.2,53.03,NA,55.73,55.37,56.1,52.3,NA,56.5,NA,50.27,56.7,56.9,51.73,56.6,57.9,57.73,59.23,55,59.03,56.97,59.23,NA,51.07,44.1,58.5,44.33,NA,58.43,NA,57.17,58.03,NA,54.3,54.4,56.3,52.1,54.63,54.9,52.03,56.63,50.97,53.17,55.37,51.13,54.47,48.87,54.73,50.93,57.13,53.3,43.87,NA,53.93,42.7,55.87,52.13,53,57.8,56.77,NA,57.83,57.27,53.97,56.4,53.93,59.6,54.63,54.87,59.37,53.1,51.23,57.37,57.37,55.57,53.43,53.8,57.9,55.93,54.33,55.87,56,NA,52.9,44.03,55.27,NA,48.67,55.83,NA,49.93,46.07,NA,42.9,45.33,NA,54.93,52.47,38.93,54.4,NA,NA,50.6,50.6,57.4,54.33,57.37,58.67,58.67,59.3,53.4,54.67,52.43,41.3,57.53,52.37,55.67,NA,59
16,"trial",54.03,50.67,57.17,54.27,55.07,NA,58.03,55.57,NA,55.47,56.73,57.6,53,46.83,55.47,53.77,55.47,55.43,NA,39.87,57,56.1,51.93,58.13,52.97,NA,58.57,NA,NA,57.6,55.53,52.6,58,NA,54.57,43.2,56.4,54.7,57.63,57.23,54.77,53.5,59.23,56.6,NA,58.3,54.5,57.27,59.73,NA,53.63,55.27,NA,NA,47.27,59,52.63,54.57,52.43,NA,58.1,NA,55.57,57.97,55.57,50.1,NA,54.57,58.63,56.17,54.53,55.6,58.5,57.97,57.97,57.5,56.63,55.47,51.5,55.97,NA,41.6,57.73,55.63,55.33,50.87,55.13,NA,54.53,NA,NA,54.6,52.37,32.27,57.9,55.53,NA,45.87,53.07,NA,51.3,26.33,NA,55.7,55.7,NA,54,58.23,58.17,58.17,59.53,55,58.9,56.8,47.1,56.47,53.43,58.97,59.33,NA
18,"trial",56.8,NA,56.67,NA,53.53,54.9,48.4,54.7,58.27,55.33,57.07,57.57,48.97,49.17,55.4,57.7,55.77,50.53,54.33,55.43,55.4,56.83,56.47,58.67,NA,NA,59.13,57.5,58.27,55.33,58.37,53.43,58.47,NA,46.73,NA,55.5,58.5,53.5,57.97,56.1,55.2,54.7,50.87,49.87,58.3,53.3,50.83,45.37,53.8,56.63,56.43,42.3,NA,57.23,NA,52.57,57.3,52.43,56.47,54.7,53.77,57.73,54.43,58.13,52.13,NA,57.67,NA,55.67,58.4,54.6,43.33,57.6,57.6,55.33,56.23,57.5,NA,51.23,44.9,57.47,56.33,52.67,51.9,49.27,53.3,57.03,54.47,55.73,NA,NA,57.77,51.77,53.3,NA,NA,48.33,NA,52.43,56.33,41.3,NA,58.03,58.03,18.87,53,55.57,57.57,57.57,NA,54.43,53.47,57.23,56.93,50.4,57.9,58.3,NA,NA
20,"trial",NA,54.83,56.33,NA,53.57,52.17,55.4,54.43,53.57,55.2,NA,57.4,53.1,56.7,44.03,51.53,54,53.3,NA,57.63,58.67,57.17,55.83,56.6,NA,NA,58.07,56.57,53.57,54.47,53.3,59.53,55.3,NA,59.63,55.67,55.33,57.53,57.63,54.6,54.47,53.47,56.13,54.53,NA,55.1,54.13,56.8,53.9,54.2,54.07,48.47,NA,NA,51.5,50.6,59.1,53.77,56.8,55.67,55.27,NA,58.73,57.37,57.33,54.43,57.2,56.1,51.13,NA,58.3,54.57,55.1,55.57,55.57,55.77,59.17,55.6,56.03,47.93,NA,54.63,50.4,57.8,51.4,56.13,56.6,NA,55.1,55.5,49,53.57,58.7,57.73,58.47,45.37,54.9,51.73,49.4,54.87,55.87,NA,NA,57.03,57.03,NA,55.17,56.57,59.57,59.57,55.57,56.8,54.33,54.57,47.53,22.83,58.1,57.03,58.13,54.67
