"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",0,NA,0,0,0,NA,NA,5.27,7.93,9.07,NA,10.63,1.1,0,4.07,NA,0,0,28.23,13.3,NA,NA,NA,0,11.7,0,NA,NA,7.93,0,0,NA,NA,NA,0,25.1,NA,2.4,NA,NA,1.97,7.23,NA,NA,11.73,NA,0,20.13,11.7,NA,0,NA,0,NA,1,13.8,7.97,0,25.6,NA,NA,NA,13.43,NA,NA,0,NA,NA,NA,NA,NA,NA,6.2,0,0,NA,1.7,NA,NA,22.47,5.5,0,0,NA,0,6.23,5.77,3.13,5.4,0,1.3,0.5,0,NA,0,6.97,12.1,NA,NA,15.83,0,NA,NA,1.03,1.03,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0.23,0,NA,9.73
4,"trial",0,8.2,0,0,0,0,NA,0,10.13,3.1,NA,0,NA,9.4,20.4,NA,0,0.27,0,0,0,NA,0,0.17,0,11.77,NA,NA,10.13,0,NA,0.77,NA,NA,0,0,NA,0.03,0,NA,0,NA,14.03,0.13,NA,0,NA,NA,0,0,0,0,0.1,NA,NA,0,0,NA,17.5,NA,0,NA,1.13,0,0,NA,NA,0,0,5.4,NA,0,NA,1.73,1.73,3.3,0,0.2,NA,0,2.43,5.53,0,NA,0,5.27,0,NA,0,0,0,15.57,0,NA,2.43,0.6,7.8,0,0,NA,0,NA,NA,0,0,0,2.1,0,NA,NA,0.37,0.6,NA,0,0,0,0,0,0,0
6,"trial",2.2,10.7,2.5,0,0,0.67,0,0.33,0,0.1,5.13,NA,0,24.87,0,0,0.8,0,0.6,4.73,0,NA,0,0,0,6,NA,NA,0,0,NA,0.07,0,NA,0,0,0,NA,6.1,0,0,0,0.7,NA,3.87,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,1.17,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0.87,0,NA,0.2,0,NA,NA,0.57,0.2,0,0.47,0.6,0,2.77,3.93,0,2.57,NA,0,0,0,0,NA,2.53,2.53,NA,0,0,NA,0,0,0,0,NA,0.07
8,"trial",1.23,1.73,3.13,0,0,0,5.07,0,0,0,0.03,0,6.47,0,0.07,4.33,0,NA,1.17,2,0,0,0,0.23,0,0,NA,7.03,0,0.1,0,0.37,0,NA,37.37,0,0,0,0,0,1.47,0,4.47,0,5.87,15.57,0,NA,NA,0,0,0,4.43,NA,3.57,NA,NA,0,7.33,0,0,3.7,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0.7,0,NA,0.67,3.73,NA,0,0,9.8,0,NA,0,0.83,0,0,NA,NA,0,NA,0,0,NA,2.8,NA,NA,6.87,0,NA,0,0,0,0,0,0,0,2.47,0,2.17,0,0.57,NA,0.03,0,6.4,NA
10,"trial",0,0,0,3.7,0,NA,NA,NA,0.07,0,9.93,0.53,0,4.93,0,0,0,0,0.3,2.97,0,0,0,0,0.07,12.93,5,0.37,0.07,0.53,0,0,0,NA,0,0,0.2,0,0,0,0.63,0,0,1.63,0,0,0,0.8,0,0,0,0,0,NA,1.3,0,0,0,9.3,5.2,0,0,0,0,0,NA,1.33,4.07,0,0,0,0,0,0,0,0,0,NA,10.77,NA,0,NA,0,NA,0,0,NA,NA,0,0,NA,11.97,0,0,10.37,0.7,8.43,0,2.63,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0.3,NA,0,0,0.63
12,"trial",0,NA,4.47,NA,0,2.57,NA,0,0,0,0,0.2,0,0.53,0,0.97,0,NA,NA,0,0,0.23,0,NA,1.5,0,0,0,0,0,0.73,0,0,NA,0,0,0,0.43,0,0,0.87,NA,0,0,5.47,0,0,0,2.8,0,0,7.83,0,NA,1.5,0,0,0,4.13,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,NA,NA,0.17,0,0,0.4,2.37,0,0,NA,10.07,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,0.03,0.83,0.83,0.63,0,NA,0,3.6,0,0,0.63,0,3.6
14,"trial",0,1.3,0,NA,0,0,0,3.63,NA,0,NA,0,0,0,4.87,0,0,0,0.07,0,0,0,0,NA,0,10.47,0.07,12.83,NA,0,NA,0,0,NA,0,0,0.13,3.33,0,0,3.5,0,0,0,0.2,3.27,0,0,0,0,0,0,10.77,NA,0,15.5,0,0,2.83,0,0.97,NA,0,0,3.87,0,0,0,0.23,0,0,0,2.3,0,0,0.8,0,0,0,0,2.67,0,0,NA,0,8.6,0,NA,0,0,NA,5,0,NA,0,0,NA,0,0,16.27,0,NA,NA,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,NA,0.67
16,"trial",0,1.47,0,0,0,NA,0,0,NA,0.13,0.6,0,0,0.27,0,0,0,1.73,NA,18.9,0,0,0,0,6.73,NA,0,NA,NA,0,0,0.73,0,NA,1.67,3.23,0,0,0,0,0.97,0.13,0,0,NA,0,0,0.03,0,NA,0,0,NA,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,3.37,0,0,0,0,0,0,0,1.8,0,0.03,0,0,NA,10.8,0.1,1.4,0.03,5.47,0.1,NA,0,NA,NA,0,0,0,0,0,NA,0,3.47,NA,0,24.27,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0.87,0,0,0,NA
18,"trial",0,NA,0.97,NA,0,0,8.57,0,0,0.17,0,0,0,0,0,0.03,0,1.3,2.33,1.47,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,2.6,NA,0,0,0,0,0,0,0,5.37,6,0,0,0,10.03,0,0,0,14,NA,0,NA,0,0,0,0.03,0,1.5,0,0,0,0,NA,0,NA,0,0,0.23,9.1,0,0,0,0,0.43,NA,3.07,8.43,0,0,5.87,0.87,7.97,2.63,0,0,0,NA,NA,0,0,3.73,NA,NA,0,NA,6.43,0,9.9,NA,0,0,26.1,0,0,0,0,NA,0.07,1.17,0,2.07,0,0,0,NA,NA
20,"trial",NA,0,0,NA,0,0.13,0,0,0,0,NA,0,0,0,12.8,2.5,0,0,NA,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.27,0,0,0,4.23,NA,NA,7.93,6.1,0,0,0.57,0.43,0.73,NA,0,0,0,0,0,0,0,NA,0,0,0.73,0,0,0,0,0,0,7.33,NA,0,0,0,3.2,0,0,NA,0,0,6.17,0,0,0,0,10.47,0.27,0.2,0,4.43,0,NA,NA,0,0,NA,0,0,0,0,0.63,0,0,0,0.4,20.77,0,0,0.4,0
