"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",8.27,NA,10.87,2.83,19.5,NA,NA,12.73,1.57,6.67,NA,2.5,7.37,11.57,4.8,NA,10.3,6.47,5.27,7.03,NA,NA,NA,8.6,45.87,5.6,NA,NA,1.57,7.43,4.27,NA,NA,NA,4.3,11.43,NA,4.97,NA,NA,8.47,3.6,NA,NA,1.97,NA,10.8,14.13,9.03,NA,8.77,NA,7.37,NA,13.53,5.73,2,13.2,4.2,NA,NA,NA,1.93,NA,NA,0.57,NA,NA,NA,NA,NA,NA,0.63,0.33,0.33,NA,0.77,NA,NA,1.07,1.93,10.77,3.53,NA,8.43,2.53,8.77,6.03,11.2,6.03,17.23,2.47,5.07,NA,5.53,6.57,10.87,NA,NA,5.27,8.03,NA,NA,5.8,5.8,NA,2.57,1.13,NA,NA,NA,NA,NA,3.67,NA,NA,9.6,2.13,NA,5.9
4,"trial",3.4,14.93,3,11.1,5.7,5.07,NA,9.8,5.1,4.83,NA,4.53,NA,6.7,6.53,NA,13.33,5.27,7.7,2.23,3.43,NA,5.13,3.83,35.1,5.33,NA,NA,5.1,6.4,NA,4.7,NA,NA,2.53,3.4,NA,7.37,2.73,NA,8.03,NA,7.2,5.57,NA,2.57,NA,NA,4.63,6.6,5.93,9.77,8.03,NA,NA,11.2,6.37,NA,6.7,NA,0.2,NA,7.67,5.1,5.33,NA,NA,2.3,1.6,3.2,NA,0.63,NA,9.93,9.93,6.3,0.73,9.77,NA,0.37,8.8,5.17,3.23,NA,5.5,6.4,4.43,NA,8.97,5.7,2.33,5.2,8.1,NA,9.57,5.87,3.2,6.77,6.2,NA,3.23,NA,NA,5.93,5.93,5.9,8.57,7.1,NA,NA,0.73,6.93,NA,4.27,19.57,2.53,8.2,1.87,8.8,1.67
6,"trial",4.07,21.53,3.4,4.1,10.03,2.2,7.43,6.27,2.47,1.57,0.53,NA,5.33,11.23,9.1,4.47,8.6,4.2,4.4,4.1,1.47,NA,8.53,1.47,6.57,0.83,NA,NA,2.47,6.53,NA,6.77,1.53,NA,1.13,3.23,11.53,NA,16.53,1.7,3.57,3.87,8.2,NA,8.67,NA,3.07,10.67,2.23,NA,5.03,7.53,6.03,NA,4.43,3.43,11.63,11.53,13.37,2.9,5.07,NA,5.23,0.23,4.2,NA,NA,5,1.63,2.47,1,6.1,NA,8.8,8.8,NA,2.17,3.1,11.13,2.9,8.43,NA,3.13,4.13,6.87,1.7,3.1,NA,3.93,3.33,NA,NA,2.83,8.73,11.9,0.23,2.53,11.3,0.17,0.5,7.17,21.37,NA,1.4,1.4,3.03,4.3,NA,4.1,4.1,NA,5.37,3.73,NA,12.67,1.73,4.2,2.57,NA,2.1
8,"trial",10.47,3.4,2.43,6.77,5.37,5.7,5.67,3.47,2.33,2.8,5.83,11.9,10.53,7.47,9.67,2.23,8.03,NA,9.47,4.63,2.77,6.8,3.03,1.03,11.33,5.5,NA,9.47,2.33,1.3,0.93,1.33,1.4,NA,3.43,4.1,10.07,2.23,5,4.83,3.47,5.23,2.27,5.43,1.47,8.7,12.83,NA,NA,12.73,5.77,3.87,6.2,NA,8.3,NA,NA,6.97,8.9,10.97,3,1.7,2.77,4.57,3.43,NA,0.93,5.17,NA,3.97,NA,7.5,0.73,1,1,6.93,2.1,NA,1.93,3.83,NA,4.13,5.2,3.17,3.87,NA,3.77,10.73,4.43,4.63,NA,NA,2.33,NA,10.37,5.77,NA,6.57,NA,NA,9.2,2.27,NA,5.9,5.9,6.9,4.13,2.77,3.97,3.97,2.93,9.17,3.83,6.37,5.7,NA,3.57,2.07,0.53,NA
10,"trial",5.07,7.73,5.93,7.63,2.83,NA,NA,NA,0.47,5.17,2.33,8.9,4.33,4.83,3.7,7.5,10.4,4.97,0.8,1.63,1.33,6,4.33,1.77,6.97,7.47,7.57,4.83,0.47,2.8,8.73,1.87,3.63,NA,6.17,5.67,7.07,0.27,4.27,2.9,10,10,8.8,4.03,6.77,5.07,2.93,6.9,0.5,8.13,3.3,5.4,4.2,NA,13.3,0.93,4.77,6.7,3.77,11.47,8.3,5.8,4.2,2.33,6.03,NA,5.93,1.43,2.9,2.93,0.43,8.73,3.67,2.43,2.43,4.53,7.63,NA,3.5,NA,7.47,NA,3.77,NA,7.93,4.4,NA,NA,4.73,9.3,NA,2.1,6.9,2.83,8.53,15.13,7.5,3.83,3.6,NA,4.57,NA,NA,3.47,3.47,2.53,11.73,5.23,2.3,2.3,2.57,2.4,NA,2,1.63,13.1,NA,3.3,4.93,4.93
12,"trial",4.3,NA,2.13,NA,6.73,4.97,NA,3.87,2.97,6.3,6.23,1.07,2.53,4.23,3.6,12.9,7.77,NA,NA,4.9,2.17,5.87,3.4,NA,4.5,4.47,5.33,1.57,2.97,1.3,0.57,2.33,1.07,NA,3.77,1,7.33,2.13,2.6,4.77,1.37,NA,3.27,2.73,2.53,4.57,5.83,3,5.93,3.8,6.13,5.57,4.97,NA,2.3,3.5,7.1,2.73,10.03,6.1,0.87,3.97,2.13,1.03,2.37,3.07,2,3.8,8.3,5.57,2.07,4.7,2.1,2.43,2.43,5.53,1.23,2.07,NA,NA,4.57,3.3,4.17,4.33,4.13,8,4.2,NA,4.67,6.83,1.67,NA,10,1.67,23.27,7.6,1.17,7.23,NA,NA,7.13,0.43,NA,6.1,6.1,1.77,7.8,4.6,4.33,4.33,1.03,3.1,NA,6.4,15.3,3.2,6.77,2.33,2.83,2.67
14,"trial",7.97,7.5,6.97,NA,3.73,4.63,3.9,4.07,NA,3.5,NA,9.73,3.3,3.1,3.4,3.33,2.1,2.6,0.7,4.6,0.97,2.8,0.77,NA,8.93,5.43,1.77,2.83,NA,1.57,NA,2.83,1.97,NA,5.7,5.6,3.07,4,4.87,4.53,4.47,2.87,8.47,6.83,4.43,5.6,5.53,11.13,5.27,9.07,2.87,6.7,5.37,NA,6.07,1.8,4.13,7.37,4.17,2.23,2.27,NA,2.17,2.8,2.27,3.3,6.07,0.4,5.13,5.13,0.63,6.9,6.47,2.63,2.63,3.63,6.97,6.13,2.1,3.53,3,4.17,4,NA,7.13,6.87,4.73,NA,11.33,4.17,NA,5.07,13.97,NA,17.1,14.67,NA,5.07,7.53,4.8,5.63,NA,NA,9.37,9.37,2.6,5.47,2.63,1.33,1.33,0.7,6.6,5.33,7.03,18.27,2.47,7.17,4.33,NA,0.3
16,"trial",5.97,7.87,2.83,5.73,4.43,NA,1.97,4.43,NA,4.4,2.67,2.4,6.97,12.9,4.53,6.17,4.53,3.2,NA,0.8,3,3.67,8.07,2.3,0.3,NA,1.77,NA,NA,2.4,4.5,6.67,2,NA,3.77,13.57,3.07,4.77,1.87,2.23,4.27,5.83,0.2,3.4,NA,1.7,5.5,2.7,0.27,NA,6.37,4.73,NA,NA,12.73,1,7.37,4.9,7.57,NA,1.9,NA,4.43,2.1,4.53,9.6,NA,2.07,1.37,3.83,5.47,4.4,1.47,2.03,2.03,0.7,3.83,4.43,8.53,3.53,NA,7.6,2.17,2.97,4.67,3.13,4.8,NA,5.47,NA,NA,5.4,7.63,27.2,2.1,4.47,NA,14.17,3.47,NA,8.67,9.4,NA,4.3,4.3,NA,6,1.77,1.83,1.83,0.47,5,1.1,2.67,12.47,2.67,6.13,1.03,0.67,NA
18,"trial",3.2,NA,2.37,NA,5.9,5.1,3.07,5.3,1.73,4.5,2.93,2.43,11.03,10.83,4.6,2.2,4.23,8.53,3.33,2.73,4.6,2.93,3.53,1.77,NA,NA,0.9,2.47,1.73,4.63,1.63,6.57,1.53,NA,10.67,NA,4,1.03,5.97,1.5,3.9,4.27,4.7,3.77,4.13,1.7,6.7,9.17,4.6,6.2,3.37,3.57,3.7,NA,2.77,NA,7.43,2.17,7.57,3.53,5.3,4.4,2.27,5.6,2,7.53,NA,2.33,NA,4.33,1.6,5.17,7.6,2.4,2.4,4.67,4.23,2,NA,5.17,6.67,2.53,3.67,1.47,7.23,2.33,4.07,2.97,5.53,4.27,NA,NA,2.23,7.7,2.97,NA,NA,11.7,NA,1.13,3.67,8.8,NA,1.97,1.97,15.03,7,4.43,2.43,2.43,NA,5.53,5.37,2.2,0.53,9.6,1.7,1.7,NA,NA
20,"trial",NA,5.17,3.67,NA,5.9,7.7,4.6,5.57,6.47,4.77,NA,2.6,6.9,3.3,3.17,5.9,6.03,7.03,NA,2.03,1.33,2.6,4.17,3.8,NA,NA,2.2,3.4,6.47,5.5,6.73,0.47,4.7,NA,0.37,4.33,4.17,1.9,1.87,4.9,5.53,5.97,3.27,5.47,NA,4.9,5.87,2.93,6.1,5.8,5.93,7.3,NA,NA,0.57,3.3,0.9,5.7,2.63,3.9,4,NA,1.27,2.7,2.77,5.23,2.8,3.9,8.87,NA,1.7,5.43,4.17,4.43,4.43,4.23,1.2,4.33,3.97,4.2,NA,5.37,9.6,2.2,5.4,3.4,3.4,NA,4.9,4.53,4.83,6.43,1.3,1.73,1.53,4.13,4.83,8.07,10.6,0.7,4.13,NA,NA,2.97,2.97,NA,4.83,3.43,0.43,0.43,3.8,3.23,5.67,4.9,11.57,16.4,1.47,2.97,1.47,5.3
