"phase","phase_type","NT_CS_1","NT_CS_10","NT_CS_11","NT_CS_12","NT_CS_13","NT_CS_14","NT_CS_15","NT_CS_16","NT_CS_17","NT_CS_18","NT_CS_19","NT_CS_2","NT_CS_20","NT_CS_3","NT_CS_4","NT_CS_5","NT_CS_6","NT_CS_7","NT_CS_8","NT_CS_9","NT_OR_1","NT_OR_10","NT_OR_11","NT_OR_12","NT_OR_13","NT_OR_14","NT_OR_15","NT_OR_16","NT_OR_17","NT_OR_18","NT_OR_19","NT_OR_2","NT_OR_20","NT_OR_3","NT_OR_4","NT_OR_5","NT_OR_6","NT_OR_7","NT_OR_8","NT_OR_9","OT_CS_1","OT_CS_10","OT_CS_11","OT_CS_12","OT_CS_13","OT_CS_14","OT_CS_15","OT_CS_16","OT_CS_17","OT_CS_18","OT_CS_19","OT_CS_2","OT_CS_20","OT_CS_3","OT_CS_4","OT_CS_5","OT_CS_6","OT_CS_7","OT_CS_8","OT_CS_9","OT_OR_1","OT_OR_10","OT_OR_11","OT_OR_12","OT_OR_13","OT_OR_14","OT_OR_15","OT_OR_16","OT_OR_17","OT_OR_18","OT_OR_19","OT_OR_2","OT_OR_20","OT_OR_3","OT_OR_4","OT_OR_5","OT_OR_6","OT_OR_7","OT_OR_8","OT_OR_9","TT_CS_1","TT_CS_10","TT_CS_11","TT_CS_12","TT_CS_13","TT_CS_14","TT_CS_15","TT_CS_16","TT_CS_17","TT_CS_18","TT_CS_19","TT_CS_2","TT_CS_20","TT_CS_3","TT_CS_4","TT_CS_5","TT_CS_6","TT_CS_7","TT_CS_8","TT_CS_9","TT_OR_1","TT_OR_10","TT_OR_11","TT_OR_12","TT_OR_13","TT_OR_14","TT_OR_15","TT_OR_16","TT_OR_17","TT_OR_18","TT_OR_19","TT_OR_2","TT_OR_20","TT_OR_3","TT_OR_4","TT_OR_5","TT_OR_6","TT_OR_7","TT_OR_8","TT_OR_9"
2,"trial",4.17,NA,2.1,NA,5.23,NA,NA,8.07,0.1,3.27,NA,1.2,5.87,4.63,3.67,NA,6.8,2.73,3.6,0.07,NA,NA,NA,1.5,8.67,0.5,NA,NA,0.1,6.27,0.07,NA,NA,NA,0.37,0.4,NA,0.57,NA,NA,2.3,1.6,NA,NA,1.5,NA,0.97,1.13,3.53,NA,8.53,NA,5.13,NA,0.6,0.8,1.07,7.47,4.1,NA,NA,NA,1.83,NA,NA,3.87,NA,NA,NA,NA,NA,NA,0.43,0.37,0.37,NA,0.07,NA,NA,0.63,0.73,3.53,3.3,NA,4.7,2.43,4.47,3.83,0.07,3.67,2.6,1.8,0.97,NA,3.4,2.97,1.97,NA,NA,0.07,1.9,NA,NA,0.3,0.3,NA,2.53,1.1,NA,NA,NA,NA,NA,2.23,NA,NA,4.37,1.87,NA,2.93
4,"trial",1.67,5.57,2.1,4.63,5.6,4.17,NA,4.07,1.07,3.5,NA,4.27,NA,6.57,3.17,NA,4.93,2.77,2.03,2.2,1.8,NA,2.37,1.53,10.07,1.23,NA,NA,1.07,14.07,NA,3.23,NA,NA,0.63,3.4,NA,46.43,2.5,NA,2.83,NA,2.7,5.63,NA,2.53,NA,NA,2.27,5.77,5.87,1.47,5.63,NA,NA,4.5,3.23,NA,4.57,NA,0.27,NA,2.8,0.07,1.23,NA,NA,0.33,1.23,2.7,NA,3.37,NA,0.4,0.4,2.17,0.47,0.6,NA,0.37,0.87,4.67,3,NA,5.07,3.43,4.23,NA,3.9,2.73,0.4,2.43,1.83,NA,6.1,3.3,1.3,1.37,3.13,NA,2.2,NA,NA,2.27,2.27,5.5,2.3,1.9,NA,NA,0.47,0.77,NA,0.73,5.17,2.5,1.2,1.23,0.6,1.5
6,"trial",2.2,1.57,1.5,3.57,4.47,1.63,1.47,5.4,0.4,1.3,0.07,NA,3.73,2.4,1.97,3.77,3.9,4.2,0.17,3.33,1.1,NA,1.6,1.4,60,0.43,NA,NA,0.4,1.53,NA,2.03,0.87,NA,1.13,1.7,4.7,NA,1.13,1.7,2.03,3.8,2.97,NA,0.07,NA,2.27,1.83,4.27,NA,4.97,2.93,4.43,NA,4.53,1.4,4.97,4.1,1.4,2.83,1.47,NA,1.33,0.37,1.43,NA,NA,0.33,1.6,1.67,1.03,3.63,NA,0.47,0.47,NA,0.63,0.53,4.03,0.4,0.33,NA,1.47,0.2,2.03,0.07,0.07,NA,0.07,2.17,NA,NA,1.73,1.87,5.1,0.07,1.4,3.2,0.1,0.1,3,1.53,NA,1.77,1.77,26.37,4.37,NA,1.33,1.33,NA,1.47,5.27,NA,3.37,1.43,2,1.53,NA,1.77
8,"trial",3.7,1.8,2.23,1.77,5.3,3.13,2.13,2.17,1.43,2.77,1.77,0.57,2.6,3.93,4.07,1.63,3.57,NA,0.23,2.07,1,2.37,3.1,1.4,8.5,3.97,NA,1.67,1.43,1.23,0.97,1.2,0.83,NA,0.93,1.83,3.03,0.73,1.43,1.4,1.37,6.33,0.07,5.23,1.37,3.8,0.07,NA,NA,1.8,5.13,1.8,4.57,NA,3.17,NA,NA,3.6,1.57,3.77,0.33,0.7,1.67,1.17,1.9,NA,0.97,1.27,NA,4,NA,3.5,0.33,0.27,0.27,1.67,1.23,NA,1.4,0.5,NA,2.8,4.33,2.37,2.7,NA,1.1,0.13,3.2,4.4,NA,NA,1.8,NA,0.37,2.23,NA,0.57,NA,NA,1.5,1.77,NA,1.87,1.87,2.37,1.17,0.53,0.7,0.7,0.43,2.07,0.13,1.5,2.13,NA,0.83,0.83,0.5,NA
10,"trial",4.27,0.07,1.67,1.63,2.77,NA,NA,NA,0.5,4.4,1.27,0.7,1.73,1.8,1.77,1.7,3.6,3.07,0.07,1.6,1.13,0.83,1.17,1.4,6.43,3.3,0.2,0.7,0.5,0.87,1.9,0.3,0.9,NA,1.07,2.87,2.77,0.23,0.73,0.8,3.77,2,1.37,2.03,0.07,5,1.7,2,0.07,4.13,3.27,0.07,3.4,NA,1.83,1,4.17,3.67,2.4,4.2,0.5,0.57,0.77,1.37,0.67,NA,1.77,0.47,0.97,1.43,0.07,1.9,1.53,0.33,0.33,1.77,0.6,NA,0.07,NA,4.37,NA,0.8,NA,1.93,3.2,NA,NA,2.3,2.47,NA,1.13,2.43,2.07,3.57,2.73,3,3.6,0.77,NA,0.93,NA,NA,2.53,2.53,1.57,1.43,1.57,0.7,0.7,0.8,1.57,NA,2.03,3.37,2.5,NA,0.97,1.2,0.37
12,"trial",3.97,NA,1.53,NA,2.77,2.03,NA,3.73,1.03,4.6,0.67,0.1,1.67,2.67,3.17,2.03,1.77,NA,NA,3.13,1,1.3,1.67,NA,3.5,3.97,5.5,1.27,1.03,1,0.5,0.87,0.67,NA,1.03,0.93,7.47,1.6,1.17,1.43,1,NA,1.8,1.93,0.83,3.47,1.97,2.67,0.67,2.37,6.17,0.8,3.3,NA,2.2,3.23,4.07,2.6,1.33,1.07,0.3,0.73,1.2,4.5,1.33,0.43,1.73,0.5,1.5,5.7,1.23,4.7,0.47,0.33,0.33,1.77,1.2,0.73,NA,NA,4.57,1.63,2.77,2.5,3.5,2.6,3.3,NA,2.6,2.2,1.6,NA,2.97,1.33,2.37,0.6,0.43,3.5,NA,NA,3.8,0.87,NA,2.13,2.13,0.93,2.37,1.97,0.67,0.67,0.6,1.53,NA,2.6,2.77,2.37,0.83,1.33,2.87,0.47
14,"trial",3.77,0.7,1.47,NA,2.2,2.03,2.63,4.33,NA,2.63,NA,1.03,2.63,2.3,2.23,2.8,1.97,1.57,0.67,1.53,0.93,1.47,0.63,NA,2.6,0.07,1.03,0.63,NA,1.1,NA,1.27,1.33,NA,1.03,6.33,1.8,0.6,1.4,3.07,2.13,2.47,2.13,3.93,1.47,3,5.27,2.4,5.2,2.07,0.2,1.8,0.17,NA,3.27,1,2.6,3.33,2.47,0.97,4.03,NA,1.9,0.6,0.73,0.6,2.57,0.27,1.27,1.77,0.53,1.67,0.57,0.37,0.37,0.67,1.43,0.6,2,1.53,1.8,2.93,2.73,NA,2.77,1.9,2.13,NA,4,4,NA,1.8,1.77,NA,4.9,1.83,NA,1.7,3.6,1,3.77,NA,NA,1.83,1.83,0.9,1.53,0.43,1.27,1.27,0.53,0.93,1.6,7.13,3.87,2.37,1.37,0.93,NA,0.07
16,"trial",2.77,1.2,1.7,1.93,1.63,NA,1.4,2.43,NA,4.47,1.53,1.93,0.07,2.63,3,2.53,1.27,2.83,NA,0.07,1.33,3.33,1.27,1.13,0.5,NA,1.6,NA,NA,1.57,2,2.1,1.83,NA,1.6,2.17,3.1,0.93,1.6,1.77,1.03,0.6,0.1,2.67,NA,1.73,0.07,2.67,0.27,NA,5.67,3.93,NA,NA,1.6,0.53,3.63,3.97,2.8,NA,0.77,NA,1.97,0.9,1.53,0.6,NA,0.33,0.5,3.77,0.47,4.3,0.7,0.77,0.77,0.1,0.63,1.17,1.13,2.47,NA,1.53,1.2,1.37,2.9,0.33,2.13,NA,2.57,NA,NA,1.47,1.47,1.73,1.87,1.17,NA,3.1,2.73,NA,1.8,2.9,NA,0.93,0.93,NA,3.7,2.37,1.2,1.2,0.4,1.17,0.77,1.97,3.23,3.07,1.37,0.57,0.6,NA
18,"trial",2.53,NA,1.73,NA,4.93,3.47,0.93,1.97,1.07,3.1,1.97,2.37,3.6,1.97,1.67,1.13,3.43,1.8,2.13,2.8,1.43,1.4,1.83,1.53,NA,NA,0.47,0.43,1.07,0.7,1.93,1.6,1.2,NA,1.53,NA,2.5,0.93,1.63,1.3,2.33,3.17,1.3,2.87,1.33,1.7,3.27,2.47,1.63,3.9,0.3,3.13,1.6,NA,1.63,NA,3.6,2.37,2.23,3.33,5.27,0.53,0.93,1.37,1.3,1.03,NA,1.23,NA,1.83,1.5,0.4,0.57,0.6,0.6,1.67,0.37,0.9,NA,0.47,2.73,2.73,3.13,0.8,3.03,2.37,2.83,2.97,3.1,3.8,NA,NA,1.2,1.43,2.67,NA,NA,3.13,NA,0.5,3.77,0.07,NA,1.23,1.23,1.57,3.83,1.2,0.83,0.83,NA,0.77,0.43,2.03,0.53,2.17,1.7,1.3,NA,NA
20,"trial",NA,1.43,1.03,NA,3.4,2.43,3.3,3.5,0.87,1.03,NA,2.13,2.6,2.5,0.1,2,7.13,1.2,NA,3.6,1.2,1.77,1.4,1.6,NA,NA,1,1.3,0.87,0.73,2.2,0.37,1.63,NA,2.3,4.3,2.8,1.77,1,1.8,2.1,3.43,3.3,5.03,NA,4.17,4.43,0.07,4.5,3.57,4.47,2.13,NA,NA,0.97,2.43,0.1,1.87,2.63,0.07,2.7,NA,0.67,2.07,2.63,2.47,2.2,0.37,0.83,NA,1.1,3.57,0.57,0.27,0.27,2.2,1.13,1.07,0.8,1.7,NA,2.77,1.53,2.07,3.1,1.07,3.8,NA,4.6,3.8,2.3,2.37,1.03,1.07,1.3,3.43,1.9,1.57,2.43,0.37,3.43,NA,NA,3.03,3.03,NA,3.5,2.87,0.3,0.3,0.93,0.77,0.8,1.43,2.23,1.7,0.33,0.5,1.3,0.57
22,"trial",NA,3.27,NA,3.8,5.27,0.07,2.73,4.37,1.5,2.43,1.87,1.37,3.77,2.77,NA,1.6,3.07,2.23,6.37,2.13,1.4,0.5,2.23,2.47,1.43,0.4,0.93,NA,1.5,0.8,3.17,1.33,1.5,NA,1.73,1.2,1.73,2.1,0.63,0.83,2.77,3.6,0.33,3.27,1.47,0.43,4.17,3.2,0.87,3,5.17,0.63,0.4,NA,3.83,3.13,4.43,3,2.8,3.63,2.33,0.53,1.37,2.17,NA,0.7,1.67,1.03,0.07,3.17,0.5,0.8,1.53,0.27,0.27,1.67,1.5,3.23,NA,1.83,2.97,1.23,1.07,NA,2,2.03,2.73,2.5,8.6,3.13,NA,0.77,2.17,1.33,1.77,2.63,0.07,1.17,2.2,NA,2.1,1.47,NA,1.17,1.17,2.93,3.13,1.8,1.03,1.03,0.53,NA,1.57,4.03,NA,4.73,0.97,1.17,NA,NA
