"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"NT_CS_1",2,"trial","M","left","pole",4.17,8.27,51.73,51.73,0,8.27,1,1,0,13.0516330318209,0.0152396387686289,NA,0
"NT_CS_1",4,"trial","M","left","pole",1.67,3.4,56.6,56.6,0,3.4,1,1,1,6.42061857545961,0.0182279655219725,1,0
"NT_CS_1",6,"trial","M","left","pole",2.2,4.07,13.17,53.7,2.2,4.07,1,1,0,47.8766604825543,0.113638506746996,1,0
"NT_CS_1",8,"trial","M","right","pole",3.7,6.87,3.9,48.33,1.23,10.47,1,0,0,33.0978592079597,0.0305233189951181,1,0
"NT_CS_1",10,"trial","M","right","pole",4.27,5.07,54.97,54.97,0,5.07,1,1,1,17.4334829529336,0.0332125386473791,1,0
"NT_CS_1",12,"trial","M","right","pole",3.97,4.3,55.7,55.7,0,4.3,1,1,1,9.00484847228029,0.0202138108832726,1,0
"NT_CS_1",14,"trial","M","left","pole",3.77,6.63,52,52,0,7.97,1,0,1,33.3339707760408,0.0403878420090638,1,0
"NT_CS_1",16,"trial","M","left","pole",2.77,5.97,54.03,54.03,0,5.97,1,1,0,15.427406023738,0.0249575171325111,1,0
"NT_CS_1",18,"trial","M","right","pole",2.53,3.2,56.8,56.8,0,3.2,1,1,1,33.6216395006724,0.1014166249417,0,0
"NT_CS_1",20,"trial","M","left","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_CS_1",22,"trial","M","right","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_CS_1",24,"trial","M","left","pole",4.13,5.37,49.83,49.83,0,10.17,1,0,1,15.0828828609917,0.0143200989249241,1,0
"NT_CS_1",26,"trial","M","right","pole",2.93,4.27,54.1,54.1,0,5.9,1,0,1,14.1848747613595,0.023206718737909,1,0
"NT_CS_1",28,"trial","M","left","pole",2,3.6,54.3,54.3,0,5.73,1,0,0,14.2064166232477,0.0239176000436288,1,0
"NT_CS_1",30,"trial","M","right","pole",1.67,2.43,57.57,57.57,0,2.43,1,1,1,19.3916596058307,0.0769225403521076,0,0
"NT_CS_1",32,"trial","M","right","pole",2.2,3.93,9.03,55.33,0.73,3.93,1,1,1,37.7671027516378,0.0926815230146206,1,0
"NT_CS_1",34,"trial","M","left","pole",3.33,5.27,54.73,54.73,0,5.27,1,1,0,9.29090345404005,0.0170279497349348,0,0
"NT_CS_1",36,"trial","M","right","pole",0.07,2.9,57.1,57.1,0,2.9,1,1,0,14.875370628133,0.0495119512319699,0,0
"NT_CS_1",38,"trial","M","right","pole",3,3.13,32.4,56.63,0.27,3.13,1,1,1,15.001608221109,0.0462137770715178,1,0
"NT_CS_1",40,"trial","M","right","pole",2.03,1.33,58.67,58.67,0,1.33,1,1,1,7.30418891577491,0.0528778155099535,1,0
"NT_CS_1",42,"trial","M","left","pole",3.8,6.83,10.1,53,0.17,6.83,1,1,0,26.7465702805357,0.0377811991908876,0,0
"NT_CS_1",44,"trial","M","right","pole",3.67,4.5,4.1,52.1,1.63,6.27,1,0,0,33.1639962648351,0.0510823075631034,1,0
"NT_CS_1",46,"trial","M","right","pole",1.97,3.33,54.73,54.73,0,5.27,1,0,1,21.610028263184,0.0396058872914031,0,0
"NT_CS_1",48,"trial","M","left","pole",3.3,4.1,2.37,46.03,5.93,8.03,1,0,1,34.406855117389,0.0413418051203027,1,0
"NT_CS_1",50,"trial","M","left","pole",3.37,3.07,50.8,50.8,0,9.2,1,0,1,18.049917645813,0.0189377178590451,0,0
"NT_CS_1",52,"trial","M","left","pole",3.43,5.07,53.73,53.73,0,6.27,1,0,1,14.638098925974,0.0225469773155354,0,0
"NT_CS_1",54,"trial","M","right","pole",3.03,3.4,56.6,56.6,0,3.4,1,1,1,10.8632138661436,0.030840375500067,0,0
"NT_CS_1",56,"trial","M","right","pole",3.9,4.23,55.8,55.8,0,4.23,1,1,1,8.90860325281358,0.0203126879263375,1,0
"NT_CS_1",58,"trial","M","left","pole",3.23,4.53,53.8,53.8,0,6.2,1,0,1,31.7658520060575,0.049454869856236,1,0
"NT_CS_1",60,"trial","M","left","pole",1.7,3.63,54.27,54.27,0,5.7,1,0,1,19.7854316504579,0.0335050999973886,0,0
"NT_CS_2",2,"trial","M","right","pole",1.2,2.5,4.47,46.87,10.63,2.5,1,1,1,39.7478887754421,0.153466752028734,NA,0
"NT_CS_2",4,"trial","M","right","pole",4.27,4.53,55.5,55.5,0,4.53,1,1,1,6.23592655438224,0.0132777223364373,1,0
"NT_CS_2",6,"trial","M","right","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_CS_2",8,"trial","M","left","pole",0.57,3.87,48.1,48.1,0,11.9,1,0,1,52.6753052839286,0.0427267977060515,1,0
"NT_CS_2",10,"trial","M","right","pole",0.7,1.93,0.4,50.57,0.53,8.9,1,0,0,22.7161343593736,0.0246368209181528,1,0
"NT_CS_2",12,"trial","M","left","pole",0.1,1.07,55.57,58.73,0.2,1.07,1,1,1,57.8564214867639,0.523555937681865,0,0
"NT_CS_2",14,"trial","M","right","pole",1.03,1.1,50.27,50.27,0,9.73,1,0,1,18.0147934164379,0.0178652021239864,1,0
"NT_CS_2",16,"trial","M","right","pole",1.93,2.4,57.6,57.6,0,2.4,1,1,1,11.4921683612693,0.0462201108480907,1,0
"NT_CS_2",18,"trial","M","right","pole",2.37,2.43,57.57,57.57,0,2.43,1,1,1,6.30453572959718,0.0250087364319981,1,0
"NT_CS_2",20,"trial","M","left","pole",2.13,2.6,57.4,57.4,0,2.6,1,1,1,45.7464969158289,0.169834039634054,0,0
"NT_CS_2",22,"trial","M","left","pole",1.37,2.3,57.7,57.7,0,2.3,1,1,0,37.867492777648,0.15892014763156,1,0
"NT_CS_2",24,"trial","M","right","pole",1.4,2.6,55.43,55.43,0,4.57,1,0,0,29.0175511269443,0.061334056717888,1,0
"NT_CS_2",26,"trial","M","left","pole",1.73,1.9,18.73,53.93,1.67,4.4,1,0,1,26.2575051590106,0.057602459545039,1,0
"NT_CS_2",28,"trial","M","right","pole",2.8,3.63,49.27,49.27,0,10.73,1,0,0,19.6740936080476,0.0176929545145395,1,0
"NT_CS_2",30,"trial","M","left","pole",1.73,3.83,17.67,54.33,1.83,3.83,1,1,0,21.8327845224351,0.0549759556549482,0,0
"NT_CS_2",32,"trial","M","right","pole",1.33,1.6,58.4,58.4,0,1.6,1,1,1,13.431982957638,0.0810327157193411,0,0
"NT_CS_2",34,"trial","M","left","pole",1.6,2.67,57.33,57.33,0,2.67,1,1,0,26.06534209678,0.0943484873194258,0,0
"NT_CS_2",36,"trial","M","left","pole",2.07,2.93,52.57,52.57,0,7.43,1,0,1,35.9539412359553,0.0466877710528014,0,0
"NT_CS_2",38,"trial","M","left","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_CS_2",40,"trial","M","right","pole",2.37,2.3,57.7,57.7,0,2.3,1,1,1,5.49556081913051,0.0230634581967874,0,0
"NT_CS_2",42,"trial","M","left","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NT_CS_2",44,"trial","M","right","pole",1.97,2.03,3.5,48.47,4.4,7.13,1,0,1,35.4111734434112,0.0479168261872738,1,0
"NT_CS_2",46,"trial","M","right","pole",12.13,11.37,48.63,48.63,0,11.37,1,1,1,7.44615731917758,0.00632323507895604,1,0
"NT_CS_2",48,"trial","M","right","pole",2.27,2.87,57.17,57.17,0,2.87,1,1,1,12.2356010058042,0.0411991593532959,1,0
"NT_CS_2",50,"trial","M","left","pole",2.23,2.7,11.1,55.23,2.07,2.7,1,1,1,18.2075025279867,0.0650918866294391,0,0
"NT_CS_2",52,"trial","M","left","pole",1.33,1.47,20.6,57.37,1.17,1.47,1,1,1,27.1405057335137,0.178618631977319,1,0
"NT_CS_2",54,"trial","M","left","pole",3.37,3.9,16.43,48.63,7.47,3.9,1,1,1,46.9986552232851,0.116321787999419,1,0
"NT_CS_2",56,"trial","M","right","pole",15.7,15.5,44.5,44.5,0,15.5,1,1,1,4.92116630420768,0.00306461969373999,0,0
"NT_CS_2",58,"trial","M","left","pole",3.47,4.27,55.73,55.73,0,4.27,1,1,0,7.7528066569627,0.0175392283805563,0,0
"NT_CS_2",60,"trial","M","left","pole",2.27,2.57,53.97,53.97,0,6,1,0,1,15.4825551758094,0.0249075855466688,0,0
"NT_CS_3",2,"trial","M","left","pole",4.63,5.07,48.43,48.43,0,11.57,1,0,1,17.59204138578,0.0146807506585237,NA,0
"NT_CS_3",4,"trial","M","right","pole",6.57,6.7,7.27,43.9,9.4,6.7,1,1,1,9.25788765069786,0.0133375895388375,0,0
