frame_idx,led_1_status,led_2_status,0_x,0_y,1_x,1_y,2_x,2_y
7,0,0,137,54,315,170,329,154
8,0,0,143,57,317,167,528,219
9,0,0,150,59,312,171,509,221
10,0,0,147,59,307,175,499,223
11,0,0,152,60,304,174,491,223
12,0,0,156,61,300,177,481,224
13,0,0,162,61,294,185,471,225
14,0,0,171,62,288,190,463,225
15,0,0,178,64,284,193,455,226
16,0,0,188,63,279,196,447,226
17,0,0,195,67,272,199,439,225
18,0,0,203,69,272,202,429,226
19,0,0,212,72,266,205,423,226
20,0,0,221,74,261,208,415,226
21,0,0,231,76,259,211,406,229
22,0,0,240,79,253,214,400,226
23,0,0,250,80,247,218,393,225
24,0,0,258,82,243,220,386,223
25,0,0,266,83,239,226,382,222
26,0,0,272,85,236,227,375,223
27,0,0,279,88,233,228,369,222
28,0,0,287,89,233,228,362,222
29,0,0,294,91,233,228,357,224
30,0,0,303,94,232,225,351,223
31,0,0,312,96,232,225,344,226
32,0,0,320,97,232,225,340,225
33,0,0,327,98,231,226,333,224
34,0,0,332,100,231,227,331,224
35,0,0,339,101,229,229,326,224
36,0,0,345,103,227,229,323,223
37,0,0,350,105,235,229,318,222
38,0,0,353,106,230,229,314,221
39,0,0,356,107,225,226,310,218
40,0,0,359,107,221,224,306,217
41,0,0,362,109,216,222,300,215
42,0,0,365,109,202,220,295,215
43,0,0,369,108,196,218,291,214
44,0,0,371,108,189,214,285,213
45,0,0,374,108,183,212,279,211
46,0,0,377,108,177,210,274,210
47,0,0,379,109,172,209,270,208
48,0,0,380,108,167,210,264,206
49,0,0,382,105,162,209,259,204
50,0,0,386,103,158,208,254,201
51,0,0,393,100,154,207,249,199
52,0,0,399,99,147,206,244,197
53,0,0,407,97,140,204,240,195
54,0,0,412,96,136,203,237,193
55,0,0,417,95,128,203,233,191
56,0,0,424,94,123,200,229,189
57,0,1,433,92,119,200,226,187
58,0,1,439,91,115,198,222,184
59,0,1,447,89,110,192,217,182
60,0,1,455,87,104,192,214,179
61,0,1,462,86,100,190,210,176
62,0,1,472,85,94,187,206,172
63,0,1,479,85,88,184,202,170
64,0,1,488,84,83,181,200,167
65,0,1,496,84,77,178,197,164
66,0,1,505,85,72,174,193,159
67,0,1,515,85,67,172,190,157
68,0,1,524,85,63,168,187,154
69,0,1,533,84,58,165,184,151
70,0,1,544,82,55,163,179,146
71,0,1,555,82,51,160,176,144
72,0,1,566,81,48,156,171,140
73,0,1,576,80,44,153,168,136
74,0,1,587,78,41,151,163,131
75,0,1,596,77,37,148,159,127
76,0,1,606,76,34,146,156,123
77,0,1,617,75,34,145,151,119
78,0,1,628,75,34,145,147,115
79,0,1,640,73,34,145,143,110
80,0,1,653,73,34,145,137,104
81,0,1,665,70,32,145,133,100
82,0,1,676,69,29,144,128,95
83,0,1,684,67,27,144,124,91
84,0,1,691,66,27,144,120,88
85,0,1,695,66,27,144,116,84
86,0,1,698,66,27,144,112,80
87,0,1,698,66,27,144,107,76
88,0,1,698,66,27,144,104,74
89,0,1,698,66,25,146,99,71
90,0,1,698,66,23,148,95,68
91,0,1,698,66,20,152,91,65
92,0,1,697,65,15,155,88,63
93,0,1,696,65,14,155,84,60
94,0,1,696,63,17,155,79,57
95,0,1,696,63,21,158,74,53
96,0,1,696,63,25,160,69,48
97,0,1,699,62,27,160,65,45
98,0,1,701,62,27,161,64,44
99,0,1,701,63,28,162,64,44
100,0,1,701,62,27,166,65,45
101,0,1,701,62,29,164,63,48
102,0,1,701,62,32,161,58,49
103,0,1,701,62,33,159,53,51
104,0,1,701,62,33,159,48,52
105,0,1,701,62,33,153,44,53
106,0,1,701,62,33,154,42,54
107,0,1,701,62,36,154,41,53
108,0,1,701,62,40,152,41,53
109,0,1,701,62,44,150,41,52
110,0,1,701,62,48,147,41,52
111,0,1,700,62,51,144,40,54
112,0,1,699,60,55,141,42,51
113,0,1,699,58,63,135,45,47
114,0,1,703,54,74,129,43,43
115,0,1,708,49,83,125,39,39
116,0,1,713,45,91,121,36,36
117,0,1,718,41,98,117,35,35
118,0,1,723,36,105,113,36,35
119,0,1,727,34,111,108,37,38
120,0,1,728,34,117,105,36,38
121,0,1,728,34,124,102,36,40
122,0,1,728,34,131,99,35,42
123,0,1,728,34,140,95,34,44
124,0,1,741,30,145,92,33,45
125,0,1,22,54,152,89,37,44
126,0,1,22,54,158,85,37,44
127,0,1,22,54,164,82,37,44
128,0,1,22,54,171,79,37,44
129,0,1,22,54,175,77,37,44
130,0,1,31,48,756,42,180,76
131,0,1,31,48,753,32,186,74
132,0,1,29,47,752,32,191,72
133,0,1,29,47,751,32,197,70
134,0,1,30,47,745,30,203,69
135,0,1,33,48,735,29,209,68
136,0,1,34,47,725,30,214,67
137,0,1,35,49,714,27,220,67
138,0,1,35,51,703,23,225,64
139,0,1,35,53,691,21,231,62
140,0,1,33,55,683,19,239,60
141,0,1,32,58,678,20,244,58
142,0,1,36,64,676,20,252,55
143,0,1,36,72,675,20,261,54
144,0,1,36,79,675,20,266,51
145,0,1,36,85,675,20,273,48
146,0,1,36,93,676,18,279,45
147,0,1,37,101,676,19,282,43
148,0,1,37,109,673,18,285,41
149,0,1,37,116,303,31,286,43
150,0,1,38,124,301,33,286,42
151,0,1,39,132,306,32,291,40
152,0,1,40,139,312,31,296,39
153,0,1,41,148,317,31,301,39
154,0,1,41,156,649,13,317,33
155,0,1,41,163,642,20,323,33
156,0,1,41,170,641,18,329,32
157,0,1,40,179,641,18,336,32
158,0,1,40,188,641,18,343,31
159,0,1,40,196,643,15,349,30
160,0,1,40,200,638,19,355,29
161,0,1,41,203,640,19,360,29
162,0,1,42,204,640,18,366,27
163,0,1,42,204,640,18,369,26
164,0,1,42,204,640,18,375,25
165,0,1,42,204,640,18,381,23
166,0,1,42,204,639,12,384,21
167,0,1,44,204,638,19,388,18
168,0,1,46,202,639,16,389,16
169,0,1,50,201,630,11,392,14
170,0,1,55,202,622,8,395,11
171,0,1,59,204,612,8,391,14
172,0,1,63,207,602,7,393,12
173,0,1,68,209,593,7,394,11
174,0,1,73,211,573,4,393,11
175,0,1,78,213,565,3,391,13
176,0,1,85,213,562,3,386,15
177,0,1,89,214,558,3,385,16
178,0,1,94,216,566,6,382,18
179,0,1,97,217,561,6,377,19
180,0,1,102,219,562,3,377,21
181,0,1,104,219,563,3,380,26
182,0,1,108,219,556,1,383,29
183,0,1,108,216,119,226,386,30
184,0,1,111,217,122,226,396,33
185,0,1,115,217,126,227,396,33
186,0,1,116,218,128,228,396,33
187,0,1,120,219,131,229,396,35
188,0,1,123,219,134,229,396,35
189,0,1,127,218,139,227,396,35
190,0,1,130,218,142,226,396,37
191,0,1,139,219,463,3,398,40
192,0,1,145,222,460,6,401,44
193,0,1,151,223,460,7,402,47
194,0,1,157,224,458,4,405,52
195,0,1,162,225,456,5,409,59
196,0,1,167,226,452,5,413,66
197,0,1,171,226,449,7,418,72
198,0,1,174,226,446,10,423,79
199,0,1,178,225,441,12,429,85
200,0,1,183,225,434,18,433,89
201,0,1,188,225,429,21,441,97
202,0,1,192,224,422,26,447,103
203,0,1,194,223,412,32,454,110
204,0,1,195,223,402,37,460,116
205,0,1,194,222,401,36,466,121
206,0,1,191,221,391,41,474,127
207,0,1,192,220,381,40,479,133
208,0,1,192,220,370,40,486,141
209,0,1,195,217,361,40,491,147
210,0,1,195,217,351,40,498,152
211,0,1,195,217,345,38,503,158
212,0,1,195,217,337,36,507,163
213,0,1,195,217,330,34,514,168
214,0,1,195,217,323,34,519,174
215,0,1,195,217,315,34,525,179
216,0,1,195,217,307,36,530,183
217,0,1,195,217,298,37,536,187
218,0,1,195,217,289,37,541,192
219,0,1,194,217,281,37,546,197
220,0,1,193,217,272,36,551,200
221,0,1,193,217,262,36,560,206
222,0,1,193,217,253,36,565,210
223,0,1,193,217,243,36,570,214
224,0,1,193,217,234,37,573,216
225,0,1,193,217,224,38,578,220
226,0,1,193,217,213,39,581,223
227,0,1,193,217,203,40,583,224
228,0,1,193,217,192,41,583,224
229,0,1,195,218,185,42,583,224
230,0,1,198,219,175,42,585,224
