video	phase	mean_dist	meadian_dist	mean_shortest_dist	median_shortest_dist	mean_longest_dist	median_longest_dist
TC_Grp_6_f_2	1	235.3714912	218.2200724	93.71439996	54.58937626	415.6022958	404.3712796
TC_Grp_6_f_2	2	85.67514245	69.35416354	46.70539622	37.29156074	140.9139714	112.6605738
TC_Grp_6_f_2	3	56.69366038	50.44799302	31.88186247	31.82766093	84.99309916	86.20803917
TC_Grp_6_f_2	4	67.09652151	60.53924347	35.13732787	34.36568055	97.20781878	98.3623654
TC_Grp_6_f_2	5	102.8223663	79.22752047	51.75431375	38.07886553	174.5859823	146.6138331
TC_Grp_6_f_2	6	188.4742746	166.1926593	80.34342876	49.94980842	344.611733	343.1578448
TC_Grp_6_f_2	7	193.8395772	179.306902	73.11464507	38.62641583	345.1044702	374.5736892
TC_Grp_6_f_2	8	180.0152732	133.7235955	83.42799822	46.01086828	340.1177082	361.1971087
TC_Grp_6_f_2	9	178.8954549	83.95236745	89.25493429	47.472281	389.8767379	388.4102256
TC_Grp_6_f_2	10	179.6614749	101.9656805	98.1702605	57.7807	375.238492	379.3385071
TC_Grp_6_f_2	11	217.7335076	198.1161276	88.65761018	68.77297428	387.0704416	386.5413462
TC_Grp_6_f_2	12	196.3161455	210.3188056	61.82699354	44.40720662	326.9832759	321.6084291
TC_Grp_6_f_2	13	228.5276542	243.8237068	85.97162442	73.63947626	394.4685579	393.3740844
TC_Grp_6_f_2	14	207.1960073	199.9049774	83.35260217	67.53517602	353.5459637	371.7939947
TC_Grp_6_f_2	15	166.9989385	144.3675864	67.62825745	47.88527958	290.485944	312.7733425
TC_Grp_6_f_2	16	207.239279	184.3285111	79.26926939	49.49747468	363.88872	385.836399
TC_Grp_6_f_2	17	231.9987677	218.9862895	90.02579027	72.57653579	403.4727938	425.4919708
TC_Grp_6_f_2	18	272.310521	271.5326868	89.17138472	60.38027899	472.294855	484.7097266
TC_Grp_6_f_2	19	279.9280153	290.6260484	83.36936968	68.83130215	472.8021434	504.6787935
TC_Grp_6_f_2	20	204.3570943	189.6444041	88.97018197	71.48332912	345.82946	332.6746676
TC_Grp_6_f_2	21	265.3017254	290.3945592	114.4052744	102.859127	431.530737	445.5427938
TC_Grp_6_f_2	22	290.5800886	294.1054233	134.567551	133.7239329	472.6549131	449.0340891
TC_Grp_6_f_2	23	291.5496589	294.1054233	135.4327761	135.6672521	474.0028037	450.5192201
TC_Grp_6_m_2	1	332.8652016	330.8783718	109.7997635	90.83776043	549.4152207	577.6628786
TC_Grp_6_m_2	2	322.0144901	306.0865884	126.9163481	103.8452918	543.3625465	582.8394631
TC_Grp_6_m_2	3	307.833143	283.1916243	118.604848	102.434614	516.4278777	550.1145643
TC_Grp_6_m_2	4	344.654248	333.7663854	125.5751028	119.8874472	566.1050103	585.1489107
TC_Grp_6_m_2	5	226.2758349	173.4416328	94.96234859	65.36818798	377.7145558	376.1692293
TC_Grp_6_m_2	6	158.1365993	128.4133949	83.83558784	66.34331045	272.4157032	199.7629512
TC_Grp_6_m_2	7	251.7578371	171.2220776	113.4643427	77.75166294	476.380146	528.1421309
TC_Grp_6_m_2	8	303.3493915	288.0277764	109.6643021	80.95060222	528.4769685	584.99263
TC_Grp_6_m_2	9	371.085148	409.8438727	107.2193262	66.85057965	622.4443449	679.7443116
TC_Grp_6_m_2	10	365.0316303	425.027058	86.03719384	83.63013811	610.0479838	637.6653645
TC_Grp_6_m_2	11	340.9420387	433.2435804	88.79884898	84.17244205	599.0618913	635.3465291
TC_Grp_6_m_2	12	317.3987805	277.5103602	117.5773172	95.49607232	552.7499195	589.9989095
TC_Grp_6_m_2	13	293.3818366	295.9594567	104.0052447	99.22108044	496.8226242	495.7398038
TC_Grp_6_m_2	14	298.2117747	268.1510768	111.5977269	101.0198	498.0063334	531.7462716
TC_Grp_6_m_2	15	296.1058487	277.3851096	114.9063824	97.19806884	504.937462	535.3063135
TC_Grp_6_m_2	16	276.7797537	260.5167929	107.2871326	95.96091084	469.1353934	507.6480996
TC_Grp_6_m_2	17	260.6729408	250.9760887	99.93570632	85.06858054	438.115602	458.0148108
TC_Grp_6_m_2	18	238.3469217	215.6153983	93.59949738	71.58910532	424.644469	428.3142151
TC_Grp_6_m_2	19	236.7835634	239.6768658	77.52574432	44.71008242	407.9656511	437.9869527
TC_Grp_6_m_2	20	255.9225648	236.5354096	102.288265	89.61340271	421.5970538	426.3688808
TC_Grp_6_m_2	21	201.7574974	229.2596781	104.4747061	59.69705236	333.2618718	333.1528308
TC_Grp_6_m_2	22	190.7039811	228.5278976	98.81281431	52.44538394	328.1366817	334.1960625
TC_Grp_6_m_2	23	190.2821438	231.354706	98.52188523	49.22326308	328.4748321	336.1920968
