frame_idx,led_1_status,led_2_status,0_x,0_y
1,0,1,112,200
2,0,1,110,192
3,0,1,104,185
4,0,1,106,177
5,0,1,111,171
6,0,1,110,171
7,0,1,117,165
8,0,1,125,160
9,0,1,133,154
10,0,1,140,149
11,0,1,146,144
12,0,1,150,139
13,0,1,156,132
14,0,1,161,128
15,0,1,165,124
16,0,1,181,114
17,0,1,186,110
18,0,1,194,104
19,0,1,201,100
20,0,1,206,97
21,0,1,213,97
22,0,1,219,100
23,0,1,226,101
24,0,1,235,99
25,0,1,240,98
26,0,1,232,102
27,0,1,240,100
28,0,1,249,96
29,0,1,256,93
30,0,1,263,90
31,0,1,271,89
32,0,1,278,87
33,0,1,287,86
34,0,1,295,83
35,0,1,302,80
36,0,1,310,78
37,0,1,316,75
38,0,1,320,71
39,0,1,325,68
40,0,1,328,68
41,0,1,331,67
42,0,1,335,69
43,0,1,341,71
44,0,1,348,74
45,0,1,354,77
46,0,1,363,78
47,0,1,371,78
48,0,1,378,78
49,0,1,380,78
50,0,1,386,78
51,0,1,388,78
52,0,1,391,80
53,0,1,396,83
54,0,1,402,85
55,0,1,405,89
56,0,1,409,94
57,0,1,411,100
58,0,1,417,106
59,0,1,423,110
60,0,1,427,116
61,0,1,432,118
62,0,1,439,121
63,0,1,447,123
64,0,1,442,122
65,0,1,447,124
66,0,1,453,125
67,0,1,473,128
68,0,1,479,127
69,0,1,486,125
70,0,1,495,125
71,0,1,503,128
72,0,1,511,130
73,0,1,517,132
74,0,1,519,132
75,0,1,519,132
76,0,1,520,132
77,0,1,520,131
78,0,1,522,130
79,0,1,526,129
80,0,1,529,129
81,0,1,530,127
82,0,1,530,127
83,0,1,530,127
84,0,1,530,128
85,0,1,529,129
86,0,1,529,133
87,0,1,529,136
88,0,1,531,139
89,0,1,535,140
90,0,1,535,140
91,1,0,535,141
92,1,0,535,141
93,1,0,535,141
94,1,0,536,141
95,1,0,539,145
96,1,0,544,150
97,1,0,548,156
98,1,0,553,162
99,1,0,562,169
100,1,0,570,172
101,1,0,578,175
102,1,0,587,178
103,1,0,597,180
104,1,0,605,179
105,1,0,612,179
106,1,0,623,180
107,1,0,632,184
108,1,0,638,189
109,1,0,638,195
110,1,0,638,199
111,1,0,637,205
112,1,0,638,210
113,1,0,637,214
114,1,0,635,215
115,1,0,631,210
116,1,0,513,57
117,1,0,511,56
118,1,0,506,55
119,1,0,618,196
120,1,0,610,199
121,1,0,599,205
122,1,0,598,204
123,1,0,594,200
124,1,0,592,196
125,1,0,587,191
126,1,0,580,186
127,1,0,575,181
128,1,0,571,175
129,1,0,564,170
130,1,0,556,167
131,1,0,548,163
132,1,0,541,159
133,1,0,535,155
