frame_idx,led_1_status,led_2_status,0_x,0_y
1,0,1,144,67
2,0,1,139,68
3,0,1,136,69
4,0,1,135,69
5,0,1,133,68
6,0,1,132,67
7,0,1,130,65
8,0,1,127,64
9,0,1,126,63
10,0,1,126,61
11,0,1,122,59
12,0,1,119,56
13,0,1,116,52
14,0,1,112,48
15,0,1,106,47
16,0,1,101,49
17,0,1,97,49
18,0,1,92,48
19,0,1,89,50
20,0,1,87,54
21,0,1,83,55
22,0,1,78,58
23,0,1,76,60
24,0,1,71,62
25,0,1,66,65
26,0,1,63,68
27,0,1,59,71
28,0,1,53,72
29,0,1,48,75
30,0,1,43,78
31,0,1,36,79
32,0,1,30,81
33,0,1,25,85
34,0,1,23,86
35,0,1,18,90
36,0,1,11,95
37,0,1,11,95
38,0,1,11,95
39,0,1,11,95
40,0,1,11,95
41,0,1,11,95
42,0,1,14,126
43,0,1,15,131
44,0,1,17,137
45,0,1,18,144
46,0,1,15,149
47,0,1,14,156
48,0,1,15,163
49,0,1,12,171
50,0,1,9,179
51,0,1,8,185
52,0,1,7,188
53,0,1,6,193
54,0,1,6,193
55,0,1,6,193
56,0,1,6,193
57,0,1,6,193
58,0,1,6,193
59,0,1,13,209
60,0,1,18,210
61,0,1,22,215
62,0,1,26,224
63,0,1,29,230
64,0,1,29,230
65,0,1,29,230
66,0,1,29,230
67,0,1,29,230
68,0,1,29,230
69,0,1,29,230
70,0,1,29,230
71,0,1,29,230
72,0,1,29,230
73,0,1,29,230
74,0,1,29,230
75,0,1,29,230
76,0,1,29,230
77,0,1,29,230
78,0,1,29,230
79,0,1,29,230
80,0,1,113,183
81,0,1,124,185
82,0,1,128,187
83,0,1,135,187
84,0,1,140,188
85,0,1,144,185
86,0,1,152,182
87,0,1,158,181
88,0,1,164,178
89,0,1,172,176
90,0,1,184,175
91,1,0,192,175
92,1,0,202,176
93,1,0,205,175
94,1,0,213,173
95,1,0,219,173
96,1,0,225,173
97,1,0,229,172
98,1,0,234,171
99,1,0,239,169
100,1,0,245,165
101,1,0,251,163
102,1,0,257,163
103,1,0,262,162
104,1,0,268,161
105,1,0,273,160
106,1,0,278,156
107,1,0,284,154
108,1,0,290,153
109,1,0,294,150
110,1,0,301,149
111,1,0,307,149
112,1,0,310,147
113,1,0,316,145
114,1,0,320,145
115,1,0,323,144
116,1,0,327,142
117,1,0,334,138
118,1,0,339,135
119,1,0,341,132
120,1,0,347,128
121,1,0,352,127
122,1,0,356,125
123,1,0,358,124
124,1,0,364,121
125,1,0,368,122
126,1,0,372,121
127,1,0,378,118
128,1,0,385,118
129,1,0,391,116
130,1,0,394,114
131,1,0,401,112
132,1,0,407,111
133,1,0,408,109
134,1,0,414,106
135,1,0,420,105
136,1,0,423,103
137,1,0,427,99
138,1,0,434,97
139,1,0,439,95
140,1,0,441,94
141,1,0,445,88
142,1,0,450,86
143,1,0,451,85
144,1,0,452,84
145,1,0,453,78
146,1,0,455,73
147,1,0,458,71
148,1,0,454,78
149,1,0,458,73
150,1,0,461,71
151,1,0,463,69
152,1,0,465,66
153,1,0,468,60
154,1,0,471,56
155,1,0,474,53
156,1,0,474,52
157,1,0,473,49
158,1,0,472,46
159,1,0,471,43
160,1,0,468,41
161,1,0,464,38
162,1,0,463,34
163,1,0,460,27
164,1,0,458,22
165,1,0,457,19
166,1,0,459,19
167,1,0,461,22
168,1,0,463,25
169,1,0,464,27
170,1,0,465,31
171,1,0,463,35
172,1,0,464,36
173,1,0,462,39
174,1,0,461,41
175,1,0,462,44
176,1,0,465,45
177,1,0,471,47
178,1,0,476,50
179,0,1,481,50
180,0,1,487,50
181,0,1,492,52
182,0,1,495,50
183,0,1,495,47
184,0,1,497,44
185,0,1,500,40
186,0,1,504,35
187,0,1,509,32
188,0,1,513,33
189,0,1,518,33
190,0,1,527,32
191,0,1,532,32
192,0,1,539,30
193,0,1,548,31
194,0,1,554,32
195,0,1,563,31
196,0,1,567,31
197,0,1,573,30
198,0,1,579,29
199,0,1,584,30
200,0,1,586,30
201,0,1,587,30
202,0,1,588,30
203,0,1,589,28
204,0,1,593,24
205,0,1,594,20
206,0,1,596,17
207,0,1,595,20
208,0,1,591,23
209,0,1,587,24
210,0,1,585,26
211,0,1,585,29
212,0,1,585,29
213,0,1,585,29
214,0,1,585,29
215,0,1,585,29
216,0,1,585,29
217,0,1,600,68
218,0,1,604,74
219,0,1,608,80
220,0,1,613,82
221,0,1,617,87
222,0,1,622,91
223,0,1,628,94
224,0,1,634,100
225,0,1,639,104
226,0,1,646,108
227,0,1,653,114
228,0,1,658,117
229,0,1,663,120
230,0,1,669,123
231,0,1,670,124
232,0,1,670,124
233,0,1,669,124
234,0,1,669,123
235,0,1,670,119
236,0,1,672,113
237,0,1,677,113
238,0,1,684,108
239,0,1,690,106
240,0,1,696,107
241,0,1,702,107
242,0,1,713,110
243,0,1,717,113
244,0,1,720,115
245,0,1,728,119
246,0,1,733,122
247,0,1,740,125
248,0,1,746,127
249,0,1,750,127
250,0,1,756,126
251,0,1,756,126
252,0,1,756,126
253,0,1,756,126
254,0,1,756,126
255,0,1,756,126
256,0,1,756,126
257,0,1,756,126
258,0,1,756,126
259,0,1,756,126
260,0,1,756,99
261,0,1,759,97
262,0,1,759,97
263,0,1,759,97
264,0,1,759,97
265,0,1,759,97
266,0,1,759,97
267,0,1,759,97
268,0,1,759,97
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
