frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,212,72
7,0,0,215,69
8,0,0,217,67
9,0,0,220,63
10,0,0,223,61
11,0,0,226,60
12,0,0,227,58
13,0,0,231,55
14,0,0,234,53
15,0,0,234,53
16,0,0,233,53
17,0,0,232,54
18,0,0,231,55
19,0,0,230,56
20,0,0,230,56
21,0,0,230,56
22,0,0,229,56
23,0,0,230,57
24,0,0,229,58
25,0,0,229,58
26,0,0,229,59
27,0,0,230,59
28,0,0,234,58
29,0,0,237,58
30,0,0,241,58
31,0,0,245,59
32,0,0,248,60
33,0,0,254,60
34,0,0,257,60
35,0,0,262,61
36,0,0,265,62
37,0,0,270,62
38,0,0,275,62
39,0,0,279,63
40,0,0,285,62
41,0,0,288,61
42,0,0,293,61
43,0,0,295,61
44,0,0,296,60
45,0,0,298,58
46,0,0,303,58
47,0,0,306,55
48,0,0,313,52
49,0,0,318,51
50,0,0,323,48
51,0,0,329,47
52,0,0,333,46
53,0,0,338,44
54,0,0,343,43
55,0,0,347,41
56,0,0,351,39
57,0,0,353,38
58,0,0,356,37
59,0,0,360,37
60,0,0,364,38
61,0,0,369,37
62,0,0,414,36
63,0,0,414,36
64,0,0,414,36
65,0,0,414,36
66,0,0,414,36
67,0,0,401,35
68,0,0,405,37
69,0,0,410,38
70,0,0,415,39
71,0,0,420,40
72,0,0,424,42
73,0,0,427,42
74,0,0,431,43
75,0,0,436,44
76,0,0,439,46
77,0,0,442,46
78,0,0,447,47
79,0,0,452,48
80,0,0,456,51
81,0,1,459,52
82,0,1,463,53
83,0,1,465,54
84,0,1,469,56
85,0,1,473,57
86,0,1,476,58
87,0,1,480,60
88,0,1,483,62
89,0,1,487,64
90,0,1,491,65
91,0,1,496,67
92,0,1,500,68
93,0,1,503,68
94,0,1,506,69
95,0,1,509,69
96,0,1,513,69
97,0,1,518,69
98,0,1,523,70
99,0,1,526,70
100,0,1,531,69
101,0,1,535,68
102,0,1,539,68
103,0,1,543,68
104,0,1,546,68
105,0,1,550,68
106,0,1,552,68
107,0,1,553,67
108,0,1,552,67
109,0,1,551,67
110,0,1,551,67
111,0,1,551,67
112,0,1,551,67
113,0,1,551,67
114,0,1,551,65
115,0,1,551,66
116,0,1,551,68
117,0,1,553,72
118,0,1,556,76
119,0,1,561,78
120,0,1,563,80
121,0,1,564,81
122,0,1,567,83
123,0,1,569,85
124,0,1,572,88
125,0,1,575,90
126,0,1,578,93
127,0,1,582,97
128,0,1,585,99
129,0,1,588,103
130,0,1,592,107
131,0,1,594,110
132,0,1,598,113
133,0,1,602,116
134,0,1,606,121
135,0,1,608,123
136,0,1,612,126
137,0,1,615,129
138,0,1,619,133
139,0,1,621,136
140,0,1,625,139
141,0,1,628,143
142,0,1,631,146
143,0,1,633,148
144,0,1,637,151
145,0,1,642,154
146,0,1,645,157
147,0,1,648,160
148,0,1,652,162
149,0,1,655,164
150,0,1,659,167
151,0,1,662,169
152,0,1,666,172
153,0,1,669,173
154,0,1,673,177
155,0,1,677,181
156,0,1,681,183
157,0,1,684,188
158,0,1,689,192
159,0,1,693,195
160,0,1,697,198
161,0,1,699,200
162,0,1,703,203
163,0,1,706,206
164,0,1,709,208
165,0,1,712,211
166,0,1,714,212
167,0,1,715,212
168,0,1,715,212
169,0,1,715,212
170,0,1,713,211
171,0,1,708,208
172,0,1,712,205
173,0,1,716,203
174,0,1,722,199
175,0,1,725,194
176,0,1,731,190
177,0,1,734,185
178,0,1,737,181
179,0,1,738,177
180,0,1,742,173
181,0,1,744,171
182,0,1,745,169
183,0,1,745,169
184,0,1,745,169
185,0,1,745,169
186,0,1,745,169
187,0,1,749,164
188,0,1,748,164
189,0,1,746,162
190,0,1,742,158
191,0,1,738,156
192,0,1,736,154
193,0,1,731,151
194,0,1,726,149
195,0,1,722,146
196,0,1,715,144
197,0,1,711,143
198,0,1,707,140
199,0,1,703,138
200,0,1,698,137
201,0,1,694,136
202,0,1,689,134
203,0,1,682,133
204,0,1,677,134
205,0,1,671,132
206,0,1,665,131
207,0,1,658,130
208,0,1,653,131
209,0,1,648,131
210,0,1,643,133
211,0,1,641,135
212,0,1,637,137
213,0,1,632,139
214,0,1,627,141
215,0,1,623,141
216,0,1,619,142
217,0,1,615,143
218,0,1,610,144
219,0,1,606,144
220,0,1,600,144
221,0,1,596,145
222,0,1,591,144
223,0,1,588,144
224,0,1,582,145
225,0,1,579,145
226,0,1,575,144
227,0,1,571,144
228,0,1,566,144
229,0,1,561,145
230,0,1,556,145
231,0,1,552,146
232,0,1,547,147
233,0,1,544,148
234,0,1,542,149
235,0,1,541,150
236,0,1,539,151
237,0,1,538,151
238,0,1,537,153
239,0,1,536,153
240,0,1,536,153
241,0,1,534,154
242,0,1,532,154
243,0,1,528,155
244,0,1,524,156
245,0,1,521,156
246,0,1,517,156
247,0,1,509,159
248,0,1,505,158
249,0,1,500,160
250,0,1,497,161
251,0,1,494,161
252,0,1,492,162
253,0,1,490,162
254,0,1,487,163
255,0,1,484,164
256,0,1,480,164
257,0,1,477,164
258,0,1,474,164
259,0,1,471,164
260,0,1,468,164
261,0,1,465,166
262,0,1,463,166
263,0,1,461,166
264,0,1,459,166
265,0,1,456,166
266,0,1,454,166
267,0,1,452,167
268,0,1,452,168
269,0,1,450,169
270,0,1,448,170
271,0,1,446,172
272,0,1,443,175
273,0,1,440,178
274,0,1,438,179
275,0,1,436,180
276,0,1,433,180
277,0,1,429,182
278,0,1,425,183
279,0,1,422,182
280,0,1,418,181
281,0,1,416,181
282,0,1,413,180
283,0,1,411,180
284,0,1,408,180
285,0,1,405,181
286,0,1,402,181
287,0,1,399,180
288,0,1,406,177
289,0,1,403,177
290,0,1,401,178
291,0,1,399,178
292,0,1,397,179
293,0,1,377,183
294,0,1,375,185
295,0,1,371,186
296,0,1,368,186
297,0,1,365,186
298,0,1,364,186
299,0,1,362,186
300,0,1,359,187
301,0,1,356,188
302,0,1,355,189
303,0,1,353,190
304,0,1,351,190
305,0,1,348,192
306,0,1,345,193
307,0,1,343,195
308,0,1,340,197
309,0,1,339,198
310,0,1,337,199
311,0,1,332,200
312,0,1,330,201
313,0,1,328,202
314,0,1,325,203
315,0,1,323,203
316,0,1,321,203
317,0,1,318,204
318,0,1,316,205
319,0,1,314,206
320,0,1,311,207
321,0,1,309,207
322,0,1,306,208
323,0,1,303,209
324,0,1,301,210
325,0,1,298,210
326,0,1,295,209
327,0,1,293,209
328,0,1,291,209
329,0,1,288,207
330,0,1,285,205
331,0,1,280,204
332,0,1,278,202
333,0,1,272,202
334,0,1,268,201
335,0,1,265,200
336,0,1,260,200
337,0,1,253,199
338,0,1,248,199
339,0,1,244,199
340,0,1,238,199
341,0,1,233,198
342,0,1,228,196
343,0,1,224,196
344,0,1,219,197
345,0,1,215,197
346,0,1,211,197
347,0,1,207,198
348,0,1,202,198
349,0,1,198,198
350,0,1,193,197
351,0,1,190,199
352,0,1,185,200
353,0,1,182,201
354,0,1,177,201
355,0,1,172,201
356,0,1,169,201
357,0,1,168,199
358,0,1,166,196
359,0,1,161,193
360,0,1,157,191
361,0,1,152,190
362,0,1,147,189
363,0,1,144,188
364,0,1,141,187
365,0,1,137,186
366,0,1,132,185
367,0,1,126,183
368,0,1,124,181
369,0,1,120,179
370,0,1,115,178
371,0,1,109,176
372,0,1,105,175
373,0,1,100,174
374,0,1,96,174
375,0,1,91,172
376,0,1,88,170
377,0,1,83,169
378,0,1,79,168
379,0,1,73,166
380,0,1,68,164
381,0,1,62,162
382,0,1,57,160
383,0,1,52,157
384,0,1,48,156
385,0,1,43,153
386,0,1,37,150
387,0,1,33,147
388,0,1,28,144
389,0,1,24,142
390,0,1,21,138
391,0,1,19,137
392,0,1,19,137
393,0,1,19,137
394,0,1,19,137
395,0,1,19,137
396,0,1,19,138
397,0,1,19,141
398,0,1,15,142
