frame_idx,led_1_status,led_2_status,0_x,0_y,1_x,1_y,2_x,2_y
8,0,0,271,232,390,229,302,16
9,0,0,276,231,393,228,297,16
10,0,0,275,232,395,225,300,13
11,0,0,269,233,399,223,305,14
12,0,0,264,231,393,225,308,14
13,0,0,260,232,397,222,311,15
14,0,0,257,233,402,221,312,13
15,0,0,255,233,406,219,316,16
16,0,0,256,232,412,220,319,15
17,0,0,266,230,412,221,323,16
18,0,0,260,235,416,220,326,16
19,0,0,255,235,419,218,330,16
20,0,0,255,235,428,215,335,14
21,0,0,256,235,430,215,341,14
22,0,0,252,237,435,211,345,14
23,0,0,252,237,438,211,349,13
24,0,0,252,236,444,209,352,14
25,0,0,252,236,447,208,355,14
26,0,0,256,237,452,207,361,13
27,0,0,256,238,456,207,363,13
28,0,0,257,238,459,207,367,12
29,0,0,258,237,464,205,371,13
30,0,0,257,237,466,208,377,14
31,0,0,257,237,470,207,379,14
32,0,0,255,237,473,207,383,12
33,0,0,251,239,477,207,389,14
34,0,0,249,240,478,208,397,16
35,0,0,240,235,481,209,400,14
36,0,0,240,235,486,206,405,13
37,0,0,239,234,491,206,410,10
38,0,0,234,234,495,205,417,11
39,0,0,233,231,498,207,420,11
40,0,0,231,229,505,208,423,9
41,0,0,227,227,508,207,428,10
42,0,0,221,225,511,208,431,10
43,0,0,223,226,514,208,435,11
44,0,0,220,224,518,209,439,11
45,0,0,218,223,522,209,440,11
46,0,0,211,226,524,210,442,10
47,0,0,209,225,529,211,443,10
48,0,0,204,221,532,213,446,11
49,0,0,200,221,539,213,447,10
50,0,0,194,221,542,214,448,10
51,0,0,187,221,543,215,450,8
52,0,0,181,221,547,216,452,8
53,0,0,173,221,550,216,453,7
54,0,0,167,220,554,217,454,7
55,0,0,159,222,559,218,455,6
56,0,0,153,223,567,220,456,5
57,0,0,149,222,570,222,457,5
58,0,0,144,224,570,226,458,6
59,0,0,139,223,571,227,459,6
60,0,0,133,225,573,228,460,7
61,0,0,127,224,575,227,461,9
62,0,0,122,225,579,228,464,11
63,0,0,115,225,581,229,468,13
64,0,0,107,222,593,227,473,14
65,0,0,102,222,595,226,475,13
66,0,0,99,220,596,225,479,13
67,0,0,89,223,597,224,482,15
68,0,0,83,222,600,225,486,15
69,0,0,77,223,592,225,488,15
70,0,0,71,224,597,227,489,15
71,0,0,64,224,599,230,491,15
72,0,0,59,224,604,230,492,15
73,0,0,52,224,605,228,493,15
74,0,0,44,226,606,227,494,15
75,0,0,39,225,607,227,498,15
76,0,0,32,227,610,228,502,16
77,0,0,26,228,611,228,503,18
78,0,0,22,229,612,224,507,18
79,0,0,26,231,614,223,512,20
80,0,0,22,232,615,222,517,21
81,0,0,15,233,618,221,520,20
82,0,0,11,235,620,220,525,21
83,0,0,8,236,625,220,528,21
84,0,0,8,236,629,221,532,20
85,0,1,8,238,632,222,532,17
86,0,1,6,233,636,221,534,18
