frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,375,208
7,0,0,372,211
8,0,0,368,212
9,0,0,364,215
10,0,0,361,216
11,0,0,359,216
12,0,0,357,215
13,0,0,355,216
14,0,0,352,216
15,0,0,351,217
16,0,0,350,218
17,0,0,349,218
18,0,0,349,218
19,0,0,349,218
20,0,0,349,218
21,0,0,349,218
22,0,0,348,218
23,0,0,345,220
24,0,0,344,223
25,0,0,341,227
26,0,0,338,229
27,0,0,336,232
28,0,0,333,235
29,0,0,332,235
30,0,0,333,239
31,0,0,333,239
32,0,0,334,239
33,0,0,336,238
34,0,0,338,239
35,0,0,339,242
36,0,0,339,244
37,0,0,339,244
38,0,0,339,244
39,0,0,339,244
40,0,0,339,244
41,0,0,339,244
42,0,0,339,244
43,0,0,339,244
44,0,0,339,244
45,0,0,339,244
46,0,0,339,244
47,0,0,347,232
48,0,0,347,232
49,0,0,348,233
50,0,1,348,234
51,0,1,348,234
52,0,1,348,234
53,0,1,348,234
54,0,1,348,234
55,0,1,348,234
56,0,1,348,234
57,0,1,348,234
58,0,1,348,234
59,0,1,348,234
60,0,1,348,234
61,0,1,348,234
62,0,1,348,234
63,0,1,348,234
64,0,1,348,234
65,0,1,348,234
66,0,1,348,234
67,0,1,348,234
68,0,1,348,234
69,0,1,348,234
70,0,1,348,234
71,0,1,348,234
72,0,1,348,234
73,0,1,348,234
74,0,1,348,234
75,0,1,348,234
76,0,1,407,236
77,0,1,409,241
78,0,1,410,241
79,0,1,411,239
80,0,1,413,238
81,0,1,418,238
82,0,1,422,240
83,0,1,422,239
84,0,1,422,239
85,0,1,423,239
86,0,1,426,240
87,0,1,427,239
88,0,1,428,237
89,0,1,429,235
90,0,1,429,233
91,0,1,431,233
92,0,1,436,235
93,0,1,439,235
94,0,1,439,234
95,0,1,440,235
96,0,1,440,235
97,0,1,440,235
98,0,1,440,234
99,0,1,441,234
100,0,1,443,232
101,0,1,447,230
102,0,1,442,229
103,0,1,443,229
104,0,1,445,229
105,0,1,446,230
106,0,1,447,230
107,0,1,440,233
108,0,1,440,233
109,0,1,439,233
110,0,1,440,233
111,0,1,442,233
112,0,1,441,234
113,0,1,441,235
114,0,1,442,235
115,0,1,441,235
116,0,1,440,235
117,0,1,441,235
118,0,1,441,234
119,0,1,441,233
120,0,1,441,232
121,0,1,439,229
122,0,1,436,227
123,0,1,432,225
124,0,1,429,224
125,0,1,426,222
126,0,1,418,218
127,0,1,415,219
128,0,1,413,216
129,0,1,410,214
130,0,1,405,210
131,0,1,401,210
132,0,1,396,205
133,0,1,393,201
134,0,1,387,197
135,0,1,382,196
136,0,1,380,192
137,0,1,375,186
138,0,1,372,183
139,0,1,368,180
140,0,1,364,175
141,0,1,361,173
142,0,1,359,171
143,0,1,355,168
144,0,1,351,166
145,0,1,345,163
146,0,1,343,163
147,0,1,339,160
148,0,1,336,159
149,0,1,331,157
150,0,1,327,154
151,0,1,324,152
152,0,1,318,150
153,0,1,315,148
154,0,1,311,145
155,0,1,307,142
156,0,1,302,140
157,0,1,299,138
158,0,1,296,136
159,0,1,292,134
160,0,1,288,132
161,0,1,285,132
162,0,1,280,134
163,0,1,276,135
164,0,1,271,134
165,0,1,268,135
166,0,1,265,135
167,0,1,260,135
168,0,1,257,134
169,0,1,253,134
170,0,1,249,132
171,0,1,246,131
172,0,1,243,131
173,0,1,240,131
174,0,1,234,130
175,0,1,229,128
176,0,1,224,129
177,0,1,223,129
178,0,1,218,128
179,0,1,213,128
180,0,1,208,127
181,0,1,206,126
182,0,1,204,127
183,0,1,200,127
184,0,1,196,127
185,0,1,192,127
186,0,1,188,127
187,0,1,185,128
