frame_idx,led_1_status,led_2_status,0_x,0_y,1_x,1_y,2_x,2_y
8,0,0,747,103,741,82,23,34
9,0,0,746,102,741,81,30,30
10,0,0,745,101,739,79,30,32
11,0,0,744,99,734,81,30,32
12,0,0,746,92,738,77,28,34
13,0,0,746,92,739,77,24,43
14,0,0,746,92,739,78,21,48
15,0,0,746,92,739,77,17,53
16,0,0,746,91,738,76,16,58
17,0,0,744,91,737,75,14,65
18,0,0,744,89,733,78,13,70
19,0,0,743,88,732,78,13,74
20,0,0,743,87,733,77,12,80
21,0,0,743,86,733,76,13,90
22,0,0,742,85,732,75,12,94
23,0,0,741,83,731,73,12,99
24,0,0,740,81,730,71,15,105
25,0,0,738,81,729,70,15,110
26,0,0,738,81,727,68,18,110
27,0,0,738,80,727,68,18,114
28,0,0,737,78,727,66,19,121
29,0,0,736,77,726,64,19,127
30,0,0,732,77,725,62,19,133
31,0,0,731,75,725,61,17,139
32,0,0,732,77,724,61,16,144
33,0,0,731,76,728,58,17,150
34,0,0,730,76,727,58,16,155
35,0,0,730,75,727,58,15,163
36,0,0,729,73,723,54,16,170
37,0,0,729,70,723,52,15,177
38,0,0,727,68,718,52,15,184
39,0,0,727,67,721,48,16,189
40,0,0,724,68,720,47,16,194
41,0,0,724,67,720,46,17,199
42,0,0,769,204,722,53,17,204
43,0,0,769,204,722,51,18,208
44,0,0,771,212,722,49,20,213
45,0,0,770,213,720,47,18,217
46,0,0,770,214,720,45,18,219
47,0,0,769,216,719,42,18,219
48,0,0,769,217,718,40,18,219
49,0,0,769,216,718,39,18,219
50,0,0,769,216,717,38,20,218
51,0,0,769,216,717,37,20,218
52,0,0,765,215,718,33,20,218
53,0,0,765,215,716,29,20,218
54,0,0,763,214,713,27,20,220
55,0,0,760,212,711,25,17,212
56,0,0,759,209,711,24,15,216
57,0,0,757,208,712,22,15,217
58,0,0,755,208,711,21,15,216
59,0,0,752,208,714,19,11,217
60,0,0,753,207,713,21,5,217
61,0,0,747,209,713,20,5,216
62,0,0,746,208,713,19,5,216
63,0,0,743,205,713,19,6,215
64,0,0,740,204,715,22,708,6
65,0,0,737,203,715,22,710,10
66,0,0,732,202,721,27,712,21
67,0,0,21,221,730,201,713,20
68,0,0,21,221,727,198,712,18
69,0,0,21,221,721,197,711,18
70,0,0,21,221,716,194,711,18
71,0,0,21,221,713,192,711,18
72,0,0,21,221,711,189,712,14
73,0,0,21,221,706,186,712,14
74,0,0,21,223,713,185,712,14
75,0,0,721,186,698,184,712,14
76,0,0,717,184,695,182,711,13
77,0,0,714,182,691,180,707,15
78,0,0,708,180,685,178,705,14
79,0,0,703,179,680,176,705,15
80,0,0,698,176,674,174,704,14
81,0,0,679,173,48,238,702,12
82,0,1,676,172,33,229,700,12
83,0,1,670,170,41,239,699,13
84,0,1,664,168,45,240,699,13
85,0,1,658,166,46,232,699,14
86,0,1,650,164,51,232,699,13
87,0,1,643,160,56,232,703,13
88,0,1,641,158,71,234,694,13
89,0,1,638,157,76,233,692,15
90,0,1,634,156,81,233,689,17
91,0,1,630,153,85,232,679,19
92,0,1,628,152,90,232,676,21
93,0,1,627,149,97,232,673,18
94,0,1,625,145,104,233,669,18
95,0,1,624,143,110,232,663,16
96,0,1,623,141,117,234,660,14
97,0,1,622,139,121,234,655,11
98,0,1,622,136,128,233,651,10
99,0,1,621,134,133,232,645,7
100,0,1,621,130,141,231,639,5
101,0,1,618,126,149,230,637,6
102,0,1,616,124,156,231,633,4
103,0,1,614,120,163,230,630,3
104,0,1,613,117,170,230,629,4
105,0,1,611,113,177,231,629,4
106,0,1,607,108,185,232,630,7
107,0,1,603,104,192,231,629,10
108,0,1,601,100,195,231,626,14
109,0,1,599,95,199,230,623,16
110,0,1,597,90,203,229,626,18
111,0,1,595,86,209,228,622,22
112,0,1,594,81,216,228,618,23
113,0,1,592,76,226,228,615,24
114,0,1,589,71,234,229,613,25
115,0,1,588,68,243,231,613,25
116,0,1,586,65,251,231,614,24
117,0,1,586,64,255,231,613,25
118,0,1,586,64,263,231,613,25
119,0,1,586,64,270,231,611,28
120,0,1,586,63,275,231,609,28
121,0,1,586,62,283,233,609,28
122,0,1,586,61,291,233,610,27
123,0,1,586,59,294,231,609,27
124,0,1,586,56,299,230,606,28
125,0,1,586,54,305,229,604,29
126,0,1,585,53,311,226,604,29
127,0,1,585,53,317,226,610,30
128,0,1,586,52,322,225,614,31
129,0,1,586,51,326,224,613,34
130,0,1,587,50,332,223,613,35
131,0,1,587,50,337,222,613,36
132,0,1,588,50,343,221,614,38
133,0,1,588,51,350,221,616,42
134,0,1,588,51,358,220,616,46
135,0,1,588,51,366,219,611,54
136,0,1,588,51,374,219,611,59
137,0,1,589,51,382,219,609,64
138,0,1,588,51,390,218,609,68
139,0,1,588,51,400,219,608,75
140,0,1,589,51,410,219,606,81
141,0,1,590,51,418,219,604,87
142,0,1,590,50,427,220,600,92
143,0,1,590,49,434,221,596,98
144,0,1,593,47,442,226,591,103
145,0,1,594,45,450,228,586,107
146,0,1,596,43,456,227,581,114
147,0,1,596,42,462,224,576,119
148,0,1,596,41,466,220,571,122
149,0,1,596,39,471,215,566,126
150,0,1,596,36,474,212,559,130
151,0,1,595,33,478,209,553,132
152,0,1,593,30,480,205,549,135
153,0,1,590,25,485,201,545,138
154,0,1,590,21,490,197,540,139
155,0,1,592,24,493,194,535,141
156,0,1,592,24,497,193,530,143
157,0,1,592,24,499,192,525,145
158,0,1,592,25,500,192,521,146
159,0,1,590,27,500,192,517,147
160,0,1,585,34,500,191,514,148
161,0,1,587,36,504,188,512,149
162,0,1,588,38,508,183,511,149
163,0,1,600,31,511,179,510,149
164,0,1,601,32,513,177,510,149
165,0,1,603,33,515,175,508,148
166,0,1,607,35,518,173,507,149
167,0,1,609,40,520,172,505,150
168,0,1,613,43,521,171,501,151
169,0,1,617,44,524,170,497,152
170,0,1,622,46,525,168,493,153
171,0,1,627,48,525,167,489,156
172,0,1,632,49,526,166,486,157
173,0,1,639,51,529,165,481,160
174,0,1,646,53,531,162,477,161
175,0,1,653,53,533,159,473,166
176,0,1,660,54,535,156,470,169
177,0,1,667,55,536,153,466,172
178,0,1,674,56,537,149,462,174
179,0,1,680,56,539,146,460,179
180,0,1,687,57,541,142,457,182
181,0,1,693,57,543,139,453,186
182,0,1,699,57,545,135,450,189
183,0,1,703,56,545,130,447,193
184,0,1,708,55,547,127,445,197
185,0,1,713,54,548,123,442,200
186,0,1,716,54,548,121,439,202
187,0,1,719,53,549,116,437,207
188,0,1,719,53,550,112,434,211
189,0,1,719,53,550,108,430,216
190,0,1,719,53,550,105,427,218
191,0,1,719,52,550,101,425,218
192,0,1,730,44,551,96,422,215
193,0,1,730,40,552,93,416,213
194,0,1,731,34,552,88,409,210
195,0,1,735,31,553,83,403,208
196,0,1,739,27,554,78,397,206
197,0,1,730,30,555,73,390,205
198,0,1,735,29,556,68,383,204
199,0,1,739,25,557,63,376,202
200,0,1,740,23,557,59,368,201
201,0,1,740,22,558,55,362,200
202,0,1,740,22,558,52,355,199
203,0,1,740,22,559,52,347,199
204,0,1,740,22,560,52,341,198
205,0,1,740,22,561,53,335,198
206,0,1,739,22,563,54,327,198
207,0,1,738,23,564,54,321,199
208,0,1,737,23,566,53,314,198
209,0,1,738,22,569,51,307,199
210,0,1,739,21,571,48,300,200
211,0,1,741,20,573,45,293,199
212,0,1,742,16,574,43,287,200
213,0,1,742,16,579,41,279,202
214,0,1,742,16,581,40,273,202
215,0,1,741,17,582,37,266,203
216,0,1,740,23,585,34,258,207
217,0,1,739,27,585,34,251,208
218,0,1,737,29,585,34,245,206
219,0,1,736,33,585,34,238,208
220,0,1,737,37,585,34,233,210
221,0,1,738,38,585,34,229,210
222,0,1,737,37,584,35,226,213
223,0,1,738,41,580,40,221,218
224,0,1,735,47,581,41,219,225
225,0,1,737,54,582,43,215,229
226,0,1,740,59,584,44,212,231
227,0,1,742,65,585,44,211,230
228,0,1,746,72,588,46,204,229
229,0,1,749,78,589,46,198,227
230,0,1,751,85,592,47,192,225
231,0,1,753,91,593,49,185,222
232,0,1,757,96,596,52,177,220
233,0,1,758,101,598,53,168,219
234,0,1,758,104,603,50,160,217
235,0,1,758,105,605,52,149,217
236,0,1,758,105,608,54,140,215
