frame_idx,led_1_status,led_2_status,0_x,0_y
14,0,0,78,71
15,0,0,73,73
16,0,0,69,76
17,0,0,64,78
18,0,0,59,80
19,0,0,53,82
20,0,0,47,84
21,0,0,43,84
22,0,0,41,83
23,0,0,41,81
24,0,0,42,80
25,0,0,42,80
26,0,0,42,80
27,0,0,42,80
28,0,0,42,80
29,0,0,42,80
30,0,0,42,80
31,0,0,42,80
32,0,0,42,80
33,0,0,42,80
34,0,0,63,58
35,0,0,68,58
36,0,0,73,54
37,0,0,75,50
38,0,0,78,47
39,0,0,80,43
40,0,0,82,37
41,0,0,83,33
42,0,0,84,27
43,0,0,86,21
44,0,0,88,15
45,0,0,87,12
46,0,0,86,12
47,0,0,85,15
48,0,0,85,18
49,0,0,85,19
50,0,0,85,19
51,0,0,85,20
52,0,0,85,20
53,0,0,85,20
54,0,0,85,20
55,0,0,84,21
56,0,0,82,20
57,0,0,81,19
58,0,0,81,19
59,0,0,81,19
60,0,0,81,19
61,0,0,84,20
62,0,0,88,20
63,0,0,92,20
64,0,0,94,22
65,0,0,97,24
66,0,0,101,25
67,0,0,104,28
68,0,0,110,30
69,0,0,116,31
70,0,0,121,31
71,0,0,127,33
72,0,0,133,34
73,0,0,138,35
74,0,0,142,37
75,0,1,146,42
76,0,1,151,45
77,0,1,154,47
78,0,1,158,50
79,0,1,163,53
80,0,1,168,56
81,0,1,173,61
82,0,1,177,65
83,0,1,180,69
84,0,1,185,73
85,0,1,190,78
86,0,1,193,80
87,0,1,197,83
88,0,1,201,87
89,0,1,204,90
90,0,1,206,92
91,0,1,210,97
92,0,1,212,99
93,0,1,214,103
94,0,1,216,105
95,0,1,219,109
96,0,1,221,113
97,0,1,225,117
98,0,1,226,120
99,0,1,228,123
100,0,1,230,127
101,0,1,234,133
102,0,1,234,137
103,0,1,235,141
104,0,1,236,146
105,0,1,238,151
106,0,1,238,154
107,0,1,240,158
108,0,1,243,164
109,0,1,244,170
110,0,1,247,176
111,0,1,249,181
112,0,1,250,188
113,0,1,251,191
114,0,1,253,195
115,0,1,254,197
116,0,1,254,197
117,0,1,254,198
118,0,1,254,199
119,0,1,255,202
120,0,1,252,217
121,0,1,251,218
122,0,1,250,218
123,0,1,249,218
124,0,1,249,218
125,0,1,249,218
126,0,1,249,218
127,0,1,248,217
128,0,1,247,217
129,0,1,245,217
130,0,1,242,218
131,0,1,241,217
132,0,1,238,218
133,0,1,236,218
134,0,1,234,219
135,0,1,232,220
136,0,1,230,220
137,0,1,228,221
138,0,1,228,221
139,0,1,227,223
140,0,1,225,225
141,0,1,234,215
142,0,1,236,214
143,0,1,237,212
144,0,1,240,212
145,0,1,241,213
146,0,1,242,213
147,0,1,243,213
148,0,1,243,212
149,0,1,231,217
150,0,1,230,215
151,0,1,241,212
152,0,1,240,209
153,0,1,240,207
154,0,1,240,204
155,0,1,239,203
156,0,1,239,202
157,0,1,239,201
158,0,1,239,199
159,0,1,228,190
160,0,1,226,188
161,0,1,226,184
162,0,1,226,181
163,0,1,225,178
164,0,1,224,176
165,0,1,224,173
166,0,1,223,170
167,0,1,223,167
168,0,1,225,164
169,0,1,226,160
170,0,1,228,157
171,0,1,229,154
172,0,1,229,150
173,0,1,228,146
174,0,1,228,142
175,0,1,228,137
176,0,1,228,132
177,0,1,228,128
178,0,1,228,124
179,0,1,228,119
180,0,1,227,114
181,0,1,227,109
182,0,1,227,104
183,0,1,227,99
184,0,1,226,94
185,0,1,226,89
186,0,1,224,84
187,0,1,223,79
188,0,1,222,75
189,0,1,222,71
190,0,1,222,66
191,0,1,222,62
192,0,1,222,59
193,0,1,221,55
194,0,1,220,52
195,0,1,220,48
196,0,1,220,47
197,0,1,220,46
198,0,1,220,46
199,0,1,220,46
200,0,1,221,46
201,0,1,224,44
202,0,1,226,41
203,0,1,230,38
204,0,1,232,34
205,0,1,234,31
206,0,1,235,29
207,0,1,235,26
208,0,1,235,25
209,0,1,233,28
210,0,1,231,30
211,0,1,228,30
212,0,1,225,31
213,0,1,222,30
214,0,1,218,30
215,0,1,214,28
216,0,1,209,28
217,0,1,205,28
218,0,1,200,28
219,0,1,196,28
220,0,1,192,28
221,0,1,189,29
222,0,1,186,30
223,0,1,182,30
224,0,1,177,30
225,0,1,171,31
226,0,1,166,32
227,0,1,162,34
228,0,1,160,35
229,0,1,158,35
230,0,1,156,35
231,0,1,154,36
232,0,1,151,36
233,0,1,149,36
234,0,1,146,37
235,0,1,141,39
236,0,1,136,40
237,0,1,132,42
238,0,1,127,42
239,0,1,121,41
