frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,562,82
7,0,0,563,84
8,0,0,563,84
9,0,0,563,84
10,0,0,564,85
11,0,0,567,85
12,0,0,568,85
13,0,0,569,86
14,0,0,570,86
15,0,0,572,86
16,0,0,574,87
17,0,0,576,89
18,0,0,579,90
19,0,0,580,90
20,0,0,581,91
21,0,0,584,91
22,0,0,587,92
23,0,0,587,93
24,0,0,589,94
25,0,0,591,95
26,0,0,592,96
27,0,0,594,96
28,0,0,595,97
29,0,0,597,96
30,0,0,600,96
31,0,0,602,97
32,0,0,603,97
33,0,0,604,98
34,0,0,607,99
35,0,0,609,100
36,0,0,610,101
37,0,0,612,101
38,0,0,614,101
39,0,0,614,102
40,0,0,615,103
41,0,0,616,105
42,0,0,618,106
43,0,0,619,106
44,0,0,620,107
45,0,0,622,108
46,0,0,623,110
47,0,0,624,111
48,0,0,626,113
49,0,0,629,114
50,0,0,629,115
51,0,0,630,116
52,0,0,633,116
53,0,0,635,118
54,0,0,637,118
55,0,0,637,119
56,0,0,638,120
57,0,0,639,121
58,0,0,641,121
59,0,0,642,122
60,0,0,642,122
61,0,0,643,123
62,0,0,645,123
63,0,0,646,123
64,0,0,647,124
65,0,0,647,124
66,0,0,648,126
67,0,0,650,127
68,0,0,651,128
69,0,0,653,129
70,0,0,654,130
71,0,0,655,130
72,0,0,657,131
73,0,0,658,132
74,0,0,658,134
75,0,0,659,135
76,0,0,662,136
77,0,0,663,137
78,0,0,665,138
79,0,0,667,139
80,0,0,669,140
81,0,0,670,141
82,0,0,672,143
83,0,0,674,144
84,0,0,676,144
85,0,0,678,145
86,0,0,680,146
87,0,0,682,147
88,0,0,683,147
89,0,0,685,149
90,0,0,686,150
91,0,0,688,151
92,0,0,690,152
93,0,0,691,153
94,0,0,694,153
95,0,0,695,154
96,0,0,696,154
97,0,0,697,156
98,0,0,698,157
99,0,0,699,159
100,0,0,700,160
101,0,0,702,162
102,0,0,704,163
103,0,0,707,163
104,0,0,709,165
105,0,0,711,166
106,0,0,712,167
107,0,0,714,169
108,0,0,716,170
109,0,0,716,171
110,0,0,717,171
111,0,0,717,171
112,0,0,717,172
113,0,0,718,172
114,0,0,719,173
115,0,0,719,173
116,0,0,719,174
117,0,0,720,174
118,0,0,720,174
119,0,0,720,174
120,0,0,719,174
121,0,0,719,174
122,0,0,719,174
123,0,0,719,174
124,0,0,719,174
125,0,0,719,174
126,0,0,719,174
127,0,0,719,174
128,0,0,719,174
129,0,0,719,174
130,0,0,719,174
131,0,0,719,174
132,0,0,719,174
133,0,0,719,174
134,0,0,719,174
135,0,0,719,174
136,0,0,719,174
137,0,0,719,174
138,0,0,719,174
139,0,0,719,174
140,0,0,719,174
141,0,0,719,174
142,0,0,719,174
143,0,0,719,174
144,0,0,719,174
145,0,0,719,174
146,0,0,719,174
147,0,0,718,175
148,0,0,718,175
149,0,0,717,175
150,0,1,718,175
151,0,1,718,175
152,0,1,718,175
153,0,1,718,175
154,0,1,718,175
155,0,1,718,175
156,0,1,718,175
157,0,1,719,176
158,0,1,720,176
159,0,1,721,177
160,0,1,722,178
161,0,1,724,179
162,0,1,725,180
163,0,1,726,181
164,0,1,726,181
165,0,1,727,181
166,0,1,728,181
167,0,1,728,182
168,0,1,729,182
169,0,1,729,182
170,0,1,729,182
171,0,1,729,183
172,0,1,730,183
173,0,1,730,184
174,0,1,730,184
175,0,1,730,186
176,0,1,730,186
177,0,1,730,186
178,0,1,730,187
179,0,1,730,187
180,0,1,730,187
181,0,1,730,186
182,0,1,729,186
183,0,1,729,186
184,0,1,729,187
185,0,1,729,188
186,0,1,730,188
187,0,1,729,188
188,0,1,731,188
189,0,1,730,188
190,0,1,730,187
191,0,1,730,187
192,0,1,729,187
193,0,1,729,188
194,0,1,729,188
195,0,1,729,188
196,0,1,728,188
197,0,1,730,188
198,0,1,730,188
199,0,1,730,188
200,0,1,729,190
201,0,1,729,190
202,0,1,729,190
203,0,1,729,190
204,0,1,730,190
205,0,1,730,190
206,0,1,730,190
207,0,1,730,190
208,0,1,729,190
209,0,1,730,190
210,0,1,730,190
211,0,1,730,189
212,0,1,730,189
213,0,1,730,190
214,0,1,730,190
215,0,1,730,190
216,0,1,730,190
217,0,1,730,190
218,0,1,730,190
219,0,1,730,190
220,0,1,730,190
221,0,1,730,190
222,0,1,730,190
223,0,1,730,190
224,0,1,730,190
225,0,1,729,190
226,0,1,729,190
227,0,1,729,190
228,0,1,729,190
229,0,1,729,190
230,0,1,729,190
231,0,1,729,190
232,0,1,730,190
233,0,1,730,190
234,0,1,730,190
235,0,1,729,190
236,0,1,729,190
237,0,1,729,190
238,0,1,729,190
239,0,1,729,190
240,0,1,729,190
241,0,1,729,190
242,0,1,729,190
243,0,1,729,190
244,0,1,729,190
245,0,1,729,190
246,0,1,729,190
247,0,1,729,190
248,0,1,730,190
249,0,1,730,190
250,0,1,730,190
251,0,1,731,191
252,0,1,731,191
253,0,1,731,191
254,0,1,730,191
255,0,1,730,190
256,0,1,730,191
257,0,1,731,191
258,0,1,730,190
259,0,1,730,190
260,0,1,730,191
261,0,1,730,191
262,0,1,730,191
263,0,1,730,191
264,0,1,731,191
265,0,1,731,191
266,0,1,731,191
267,0,1,731,191
268,0,1,731,191
269,0,1,731,191
270,0,1,731,191
271,0,1,731,191
272,0,1,731,191
273,0,1,731,191
274,0,1,731,191
275,0,1,731,191
276,0,1,731,191
277,0,1,731,191
278,0,1,731,191
279,0,1,731,191
280,0,1,731,191
281,0,1,731,191
282,0,1,731,191
283,0,1,731,191
284,0,1,731,191
285,0,1,731,191
286,0,1,731,191
287,0,1,731,191
288,0,1,731,191
289,0,1,731,191
290,0,1,730,192
291,0,1,730,192
292,0,1,730,192
293,0,1,730,192
294,0,1,730,192
295,0,1,730,192
296,0,1,730,192
297,0,1,731,192
298,0,1,731,192
299,0,1,729,192
300,0,1,728,192
301,0,1,728,192
302,0,1,728,193
303,0,1,729,194
304,0,1,730,194
305,0,1,731,195
306,0,1,732,196
307,0,1,733,196
308,0,1,733,197
309,0,1,734,197
310,0,1,734,198
311,0,1,735,199
312,0,1,736,199
313,0,1,736,200
314,0,1,737,200
315,0,1,737,200
316,0,1,738,201
317,0,1,738,201
318,0,1,738,201
319,0,1,738,201
320,0,1,738,201
321,0,1,738,201
322,0,1,738,201
323,0,1,738,201
324,0,1,738,201
325,0,1,738,201
326,0,1,738,201
327,0,1,737,201
328,0,1,737,201
329,0,1,737,201
330,0,1,737,202
331,0,1,738,202
332,0,1,738,202
333,0,1,738,202
334,0,1,738,202
335,0,1,739,202
336,0,1,739,202
337,0,1,739,202
338,0,1,738,202
339,0,1,738,202
340,0,1,737,202
341,0,1,738,203
342,0,1,739,203
343,0,1,738,202
344,0,1,738,202
345,0,1,738,203
346,0,1,738,203
347,0,1,739,204
348,0,1,739,203
349,0,1,740,204
350,0,1,740,204
351,0,1,740,204
352,0,1,740,204
353,0,1,740,204
354,0,1,739,204
355,0,1,739,204
356,0,1,739,204
357,0,1,739,205
358,0,1,740,205
359,0,1,740,205
360,0,1,740,205
361,0,1,741,205
362,0,1,742,205
363,0,1,741,205
364,0,1,741,204
365,0,1,741,204
366,0,1,741,205
367,0,1,741,205
368,0,1,741,205
369,0,1,741,205
370,0,1,741,205
371,0,1,741,205
372,0,1,741,205
373,0,1,741,205
374,0,1,741,205
375,0,1,741,205
376,0,1,741,205
377,0,1,742,205
378,0,1,742,205
379,0,1,742,205
380,0,1,742,205
381,0,1,741,205
382,0,1,741,205
383,0,1,741,205
384,0,1,741,205
385,0,1,741,205
386,0,1,742,205
387,0,1,742,205
388,0,1,742,205
389,0,1,742,205
390,0,1,741,206
391,0,1,741,206
392,0,1,741,205
393,0,1,741,205
394,0,1,740,205
395,0,1,740,205
396,0,1,739,204
397,0,1,739,204
398,0,1,739,204
399,0,1,739,204
400,0,1,738,204
401,0,1,738,204
402,0,1,738,204
403,0,1,738,204
404,0,1,738,204
405,0,1,738,204
406,0,1,738,204
407,0,1,738,204
408,0,1,738,204
409,0,1,738,204
410,0,1,738,204
411,0,1,738,204
412,0,1,738,204
413,0,1,738,204
414,0,1,738,204
415,0,1,738,204
416,0,1,738,204
417,0,1,738,204
418,0,1,738,204
419,0,1,738,203
420,0,1,738,203
421,0,1,738,203
422,0,1,738,203
423,0,1,738,203
424,0,1,738,203
