frame_idx,led_1_status,led_2_status,0_x,0_y
7,0,0,342,22
8,0,0,342,23
9,0,0,342,23
10,0,0,342,24
11,0,0,342,24
12,0,0,342,24
13,0,0,342,24
14,0,0,342,23
15,0,0,344,21
16,0,0,347,17
17,0,0,349,12
18,0,0,348,11
19,0,0,344,21
20,0,0,344,21
21,0,0,344,21
22,0,0,344,21
23,0,0,344,21
24,0,0,344,21
25,0,0,344,21
26,0,0,319,17
27,0,0,319,17
28,0,0,319,17
29,0,0,319,17
30,0,0,318,16
31,0,0,314,10
32,0,0,311,0
33,0,0,308,-2
34,0,0,308,-2
35,0,0,308,-2
36,0,0,308,-2
37,0,0,308,-2
38,0,0,308,-2
39,0,0,308,-2
40,0,0,308,-2
41,0,0,308,-2
42,0,0,308,-2
43,0,0,308,-2
44,0,0,308,-2
45,0,0,308,-2
46,0,0,308,-2
47,0,1,308,-2
48,0,1,308,-2
49,0,1,308,-2
50,0,1,308,-2
51,0,1,308,-2
52,0,1,308,-2
53,0,1,360,65
54,0,1,364,70
55,0,1,370,77
56,0,1,373,81
57,0,1,377,86
58,0,1,382,92
59,0,1,387,96
60,0,1,391,101
61,0,1,397,107
62,0,1,403,112
63,0,1,408,118
64,0,1,413,123
65,0,1,421,126
66,0,1,429,131
67,0,1,438,135
68,0,1,445,138
69,0,1,452,142
70,0,1,457,143
71,0,1,462,145
72,0,1,466,147
73,0,1,472,150
74,0,1,479,152
75,0,1,486,155
76,0,1,492,159
77,0,1,499,162
78,0,1,506,166
79,0,1,513,168
80,0,1,518,170
81,0,1,522,171
82,0,1,524,172
83,0,1,524,172
84,0,1,524,172
85,0,1,525,172
86,0,1,526,172
87,0,1,528,172
88,0,1,529,173
89,0,1,531,173
90,0,1,532,173
91,0,1,532,173
92,0,1,532,173
93,0,1,532,173
94,0,1,532,168
95,0,1,535,164
96,0,1,539,161
97,0,1,543,159
98,0,1,548,157
99,0,1,552,156
100,0,1,557,155
101,0,1,565,154
102,0,1,575,153
103,0,1,582,152
104,0,1,591,148
105,0,1,598,147
106,0,1,606,144
107,0,1,606,144
108,0,1,606,144
109,0,1,606,144
110,0,1,606,144
111,0,1,606,144
112,0,1,606,144
113,0,1,606,144
114,0,1,606,144
115,0,1,606,144
116,0,1,606,144
117,0,1,606,144
118,0,1,606,144
119,0,1,684,104
120,0,1,690,99
121,0,1,696,93
122,0,1,702,87
123,0,1,707,81
124,0,1,714,74
125,0,1,721,68
126,0,1,728,61
127,0,1,736,55
128,0,1,743,48
129,0,1,746,44
130,0,1,748,43
131,0,1,749,46
132,0,1,749,52
133,0,1,747,56
134,0,1,747,58
135,0,1,747,59
136,0,1,747,59
137,0,1,747,59
138,0,1,747,59
139,0,1,747,60
140,0,1,747,67
141,0,1,750,75
142,0,1,754,82
