frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,523,205
7,0,0,526,202
8,0,0,527,201
9,0,0,530,199
10,0,0,535,194
11,0,0,539,192
12,0,0,543,191
13,0,0,559,183
14,0,0,565,179
15,0,0,572,176
16,0,0,579,172
17,0,0,586,168
18,0,0,594,165
19,0,0,601,163
20,0,0,608,161
21,0,0,615,159
22,0,0,622,158
23,0,0,631,155
24,0,0,639,152
25,0,0,645,150
26,0,0,654,147
27,0,0,660,145
28,0,0,667,143
29,0,0,674,142
30,0,0,679,140
31,0,0,685,138
32,0,0,690,138
33,0,0,695,137
34,0,0,699,138
35,0,0,705,138
36,0,0,713,137
37,0,0,714,142
38,0,0,717,145
39,0,0,719,148
40,0,0,718,147
41,0,0,715,146
42,0,0,712,144
43,0,0,715,142
44,0,0,710,141
45,0,0,708,139
46,0,0,705,135
47,0,0,705,135
48,0,0,705,135
49,0,0,687,122
50,0,0,682,116
51,0,0,678,112
52,0,0,674,108
53,0,0,671,103
54,0,0,669,102
55,0,0,669,101
56,0,0,668,101
57,0,0,664,95
58,0,0,662,93
59,0,0,660,91
60,0,0,659,89
61,0,0,659,89
62,0,0,659,89
63,0,0,659,89
64,0,0,659,88
65,0,0,658,85
66,0,0,656,81
67,0,0,653,75
68,0,0,652,74
69,0,0,651,74
70,0,0,651,74
71,0,0,651,74
72,0,0,651,74
73,0,0,650,74
74,0,0,648,76
75,0,0,645,78
76,0,0,643,79
77,0,0,641,80
78,0,0,637,82
79,0,0,632,83
80,0,0,629,84
81,0,0,625,85
82,0,0,622,86
83,0,0,620,87
84,0,0,617,88
85,0,0,615,88
86,0,0,613,87
87,0,0,612,87
88,0,0,611,86
89,0,0,611,87
90,0,0,611,87
91,0,0,611,87
92,0,0,610,87
93,0,0,609,87
94,0,0,608,87
95,0,0,607,87
96,0,0,606,87
97,0,0,605,87
98,0,0,604,85
99,0,0,603,86
100,0,0,604,85
101,0,0,605,84
102,0,0,606,83
103,0,0,606,81
104,0,0,605,79
105,0,0,602,75
106,0,0,600,72
107,0,0,597,70
108,0,0,594,68
109,0,0,591,65
110,0,0,590,63
111,0,0,589,61
112,0,0,588,60
113,0,0,586,58
114,0,0,584,56
115,0,0,582,53
116,0,0,580,49
117,0,0,578,45
118,0,0,576,43
119,0,0,574,43
120,0,0,572,41
121,0,0,571,42
122,0,0,572,45
123,0,0,573,48
124,0,0,574,49
125,0,0,574,49
126,0,0,574,50
127,0,0,574,50
128,0,0,574,50
129,0,0,575,50
130,0,0,576,51
131,0,0,577,52
132,0,0,578,52
133,0,0,578,53
134,0,0,579,55
135,0,0,579,56
136,0,0,579,57
137,0,0,579,57
138,0,0,578,58
139,0,0,578,59
140,0,0,579,60
141,0,0,580,60
142,0,0,580,60
143,0,0,581,61
144,0,0,582,61
145,0,0,584,59
146,0,0,584,58
147,0,0,584,58
148,0,0,585,59
149,0,0,586,58
150,0,0,587,58
151,0,0,587,52
152,0,0,588,52
153,0,0,591,53
154,0,0,593,53
155,0,1,594,53
156,0,1,595,53
157,0,1,596,53
158,0,1,597,53
159,0,1,597,54
160,0,1,598,55
161,0,1,598,56
162,0,1,598,58
163,0,1,598,59
164,0,1,599,61
165,0,1,600,62
166,0,1,601,65
167,0,1,602,67
168,0,1,603,72
169,0,1,605,77
170,0,1,608,79
171,0,1,610,83
172,0,1,611,88
173,0,1,614,93
174,0,1,617,96
175,0,1,620,100
176,0,1,625,105
177,0,1,630,110
178,0,1,634,115
179,0,1,636,119
180,0,1,638,122
181,0,1,640,125
182,0,1,641,128
183,0,1,643,131
184,0,1,645,133
185,0,1,646,134
186,0,1,649,135
