,Var1,egg_f1_m,egg_f1_mm,adult_f1_m,adult_f1_mm,F1 survival m,F1 survival mm,egg_f2_m,egg_f2_mm,adult_f2_m,adult_f2_mm,F2 survival m,F2 survival mm,climb_m,climb_mm,wsurv_m,wmulti_m,wsurv_mm,wmulti_mm,Cat_m,Cat_mm,mom_c,time_m,time_mm,missing
1,C001,7,7,6,4,0.857142857,0.571428571,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
2,C003,9,9,7,6,0.777777778,0.666666667,NA,132,NA,109,#VALUE!,0.825757576,NA,1.667,1,0,0.5,1,CC,CH,C,NA,58,0
3,C004,7,6,6,5,0.857142857,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
4,C005,4,4,4,2,1,0.5,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
5,C006,7,7,7,5,1,0.714285714,87,NA,67,NA,0.770114943,#VALUE!,2.766666667,NA,1,1,1,0,CC,CH,C,11,NA,0
6,C007,7,8,6,6,0.857142857,0.75,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
7,C009,6,6,4,5,0.666666667,0.833333333,NA,132,NA,120,#VALUE!,0.909090909,NA,1.901333333,1,0,0.5,1,CC,CH,C,NA,76,0
8,C010,10,10,10,7,1,0.7,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
9,C011,6,6,5,5,0.833333333,0.833333333,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
10,C012,8,6,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
11,C014,7,11,4,3,0.571428571,0.272727273,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
12,C015,6,5,5,4,0.833333333,0.8,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
13,C016,12,11,12,8,1,0.727272727,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
14,C017,1,NA,0,NA,0,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,CC,NA,C,NA,NA,0
15,C018,14,13,1,1,0.071428571,0.076923077,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
16,C019,10,10,0,0,0,0,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,1,0,CC,CH,C,NA,NA,0
17,C020,10,NA,10,NA,1,#VALUE!,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,1,0,NA,NA,CC,NA,C,NA,NA,0
18,C021,10,10,8,2,0.8,0.2,83,0,81,0,0.975903614,#DIV/0!,2.586666667,2.497,1,1,0.5,1,CC,CH,C,37,22,0
19,C025,13,NA,13,NA,1,#VALUE!,87,NA,55,NA,0.632183908,#VALUE!,3.26,NA,1,1,NA,NA,CC,NA,C,29,NA,0
