,mother_id,unique_m,unique_mm,rec_c_m,rec_c_mm,rec_h_m,rec_h_mm,climb_m,climb_mm,time_c_m,time_c_mm,time_h_m,time_h_mm,cweight_m,cweight_mm,hweight_m,hweight_mm,Cat_m,Cat_mm,mom_c,missing
1,C020,C020.CC1,C020.CH3,-0.951428769,1.665804823,NA,NA,0.090661351,-3.501854385,0,85,0,0,1,1,0,0,CC,CH,C,0
2,C025,C025.CC1,C025.CH2,-1.03417503,1.423695393,NA,NA,-1.430116611,-1.13820457,0,85,0,0,1,1,0,0,CC,CH,C,0
3,C044,C044.CC3,C044.CH3,-0.678672575,1.23368546,NA,NA,-1.120805839,1.290529385,0,41,0,0,1,1,0,0,CC,CH,C,0
4,C049,C049.CC3,C049.CH4,-0.844165097,1.3838546,NA,NA,-1.803867126,-0.747055324,0,91,0,0,1,1,0,0,CC,CH,C,0
5,C052,C052.CC1,C052.CH2,-1.021916325,0.256053708,NA,NA,1.083033409,0.678996214,0,20,0,0,1,1,0,0,CC,CH,C,0
6,C063,C063.CC1,C063.CH4,-0.035090544,-1.763567999,NA,NA,-0.489296346,1.039214383,0,40,0,0,1,1,0,0,CC,CH,C,0
7,C067,C067.CC1,C067.CH4,-0.470274584,-0.497856671,NA,NA,-1.043478146,0.957375908,0,35,0,0,1,1,0,0,CC,CH,C,0
8,C077,C077.CC1,C077.CH2,-0.13928954,-0.828841716,NA,NA,-0.785719171,0.584914187,0,0,0,0,1,1,0,0,CC,CH,C,0
9,C103,C103.CC2,C103.CH1,-0.638831783,1.573864533,NA,NA,-0.218649421,0.049419913,0,19,0,0,1,1,0,0,CC,CH,C,0
10,C112,C112.CC2,C112.CH3,-0.54076214,0.259118384,NA,NA,0.696394945,-0.41776823,0,0,0,0,1,1,0,0,CC,CH,C,0
11,C167,C167.CC1,C167.CH2,-0.736901425,-0.503986024,NA,NA,-0.141321728,-0.179985575,0,8,0,0,1,1,0,0,CC,CH,C,0
12,C182,C182.CC3,C182.CH2,-0.074931336,1.699516263,NA,NA,-1.919858666,1.095921359,0,0,0,0,1,1,0,0,CC,CH,C,0
13,C190,C190.CC1,C190.CH2,-0.746095454,0.375576085,NA,NA,-1.120805839,-0.669727631,0,10,0,0,1,1,0,0,CC,CH,C,0
14,C201,C201.CC1,C201.CH2,-0.969816827,0.317347235,NA,NA,0.361308276,0.283980583,0,10,0,0,1,1,0,0,CC,CH,C,0
15,H042,H042.HH6,H042.HC3,NA,NA,-0.528252002,1.241537796,0.310225442,0.179511809,0,0,38,0,0,0,1,1,HH,HC,H,0
16,H045,H045.HH1,H045.HC2,NA,NA,-0.904899574,1.411709892,0.110027193,-0.522214014,0,0,38,0,0,0,1,1,HH,HC,H,0
17,H050,H050.HH1,H050.HC5,NA,NA,-1.476677816,-0.59632084,1.577459723,0.440939075,0,0,10,0,0,0,1,1,HH,HC,H,0
18,H062,H062.HH5,H062.HC3,1.083516319,-0.917717329,NA,NA,-0.292755128,-1.082141993,48,0,0,0,1,1,0,0,HH,HC,H,0
19,H079,H079.HH6,H079.HC1,-0.191389037,-0.810453658,NA,NA,-0.140032935,0.142213145,85,9,0,0,1,1,0,0,HH,HC,H,0
20,H103,H103.HH4,H103.HC1,-0.283329327,-1.10159791,NA,NA,1.586952209,1.134585205,82,10,0,0,1,1,0,0,HH,HC,H,0
21,H125,H125.HH8,H125.HC1,-2.045518222,0.758660627,NA,NA,1.766739095,-0.360416859,40,11,0,0,1,1,0,0,HH,HC,H,0
22,H131,H131.HH3,H131.HC1,-1.309995901,-1.018851648,NA,NA,0.851694727,0.657731098,25,11,0,0,1,1,0,0,HH,HC,H,0
23,H136,H136.HH3,H136.HC1,-0.605120343,-0.173000979,NA,NA,0.800142933,-0.605287886,31,11,0,0,1,1,0,0,HH,HC,H,0
24,H151,H151.HH2,H151.HC2,2.061148071,-0.111707453,NA,NA,0.528851609,-0.759943272,29,11,0,0,1,1,0,0,HH,HC,H,0
25,H153,H153.HH2,H153.HC1,0.675914366,-0.583667609,NA,NA,-0.241847729,-0.205761474,9,11,0,0,1,1,0,0,HH,HC,H,0
26,H155,H155.HH5,H155.HC3,1.294978987,-0.402851705,NA,NA,1.476760246,0.561071482,9,0,0,0,1,1,0,0,HH,HC,H,0
27,H160,H160.HH2,H160.HC2,0.479775081,-0.681737251,NA,NA,1.248643552,1.431008027,47,11,0,0,1,1,0,0,HH,HC,H,0
28,H178,H178.HH1,H178.HC2,0.884312357,1.095775025,NA,NA,0.250471915,-0.502184296,29,19,0,0,1,1,0,0,HH,HC,H,0
29,H180,H180.HH6,H180.HC3,0.942541208,-0.831906392,NA,NA,0.258526883,-0.566624039,51,0,0,0,1,1,0,0,HH,HC,H,0
30,H182,H182.HH1,H182.HC1,0.42154623,-0.63270243,NA,NA,-0.317886628,-0.463520449,35,23,0,0,1,1,0,0,HH,HC,H,0
31,H194,H194.HH2,H194.HC3,1.861944109,-0.792065599,NA,NA,0.566871059,-1.404340714,44,10,0,0,1,1,0,0,HH,HC,H,0
32,H200,H200.HH2,H200.HC1,1.546282446,-0.433498468,NA,NA,1.008927704,0.155101094,35,43,0,0,1,1,0,0,HH,HC,H,0
33,H206,H206.HH6,H206.HC1,1.76080979,0.347993998,NA,NA,1.110098102,-0.076881985,15,34,0,0,1,1,0,0,HH,HC,H,0
34,C020,C020.CC2,C020.CH2,NA,NA,-0.11757001,-0.403459131,-0.769881951,0.769099093,0,0,0,76,0,0,1,1,CC,CH,C,0
36,C044,C044.CC4,C044.CH4,NA,NA,1.268765331,-0.911706458,-2.462279524,1.090379446,0,0,0,51,0,0,1,1,CC,CH,C,0
37,C049,C049.CC4,C049.CH3,NA,NA,1.611378484,-0.823216968,1.665519435,-0.480936024,0,0,0,100,0,0,1,1,CC,CH,C,0
39,C063,C063.CC2,C063.CH5,NA,NA,0.601690715,-0.022273637,-0.659807313,-1.731659109,0,0,0,56,0,0,1,1,CC,CH,C,0
40,C067,C067.CC2,C067.CH3,NA,NA,0.109326118,1.65675771,0.248308458,1.406844032,0,0,0,25,0,0,1,1,CC,CH,C,0
42,C103,C103.CC1,C103.CH2,NA,NA,-0.153873391,-1.787525512,-1.113865198,-0.403195812,0,0,0,19,0,0,1,1,CC,CH,C,0
43,C112,C112.CC1,C112.CH2,NA,NA,1.981219173,-0.75514813,0.468457737,-1.037500918,0,0,0,0,0,0,1,1,CC,CH,C,0
44,C167,C167.CC2,C167.CH1,NA,NA,0.558580451,-1.029692444,-0.288305407,0.606051034,0,0,0,0,0,0,1,1,CC,CH,C,0
45,C182,C182.CC4,C182.CH1,NA,NA,-0.405728093,-0.305893796,0.055677841,0.151993148,0,0,11,0,0,0,1,1,CC,CH,C,0
46,C190,C190.CC2,C190.CH1,NA,NA,0.059408969,-1.013809715,0.289586448,0.784922323,0,0,11,0,0,0,1,1,CC,CH,C,0
47,C201,C201.CC2,C201.CH1,NA,NA,0.170588072,-1.896435653,-1.347773805,-1.898147001,0,0,11,10,0,0,1,1,CC,CH,C,0
51,H062,H062.HH4,H062.HC4,NA,NA,-1.018347638,-0.151604429,-0.431402437,0.427179747,0,0,38,0,0,0,1,1,HH,HC,H,0
52,H079,H079.HH5,H079.HC2,NA,NA,0.136553653,-0.11757001,1.686846395,1.060108919,0,0,76,9,0,0,1,1,HH,HC,H,0
53,H103,H103.HH5,H103.HC2,NA,NA,-1.124988818,0.470090961,1.103450808,0.454698406,0,0,91,10,0,0,1,1,HH,HC,H,0
54,H125,H125.HH9,H125.HC2,NA,NA,2.033405282,0.842200611,0.88949323,-1.347773805,0,0,48,11,0,0,1,1,HH,HC,H,0
55,H131,H131.HH2,H131.HC2,NA,NA,0.710600857,0.799090346,0.771162992,-0.673566644,0,0,12,11,0,0,1,1,HH,HC,H,0
56,H136,H136.HH1,H136.HC2,NA,NA,0.667490592,-0.845906581,-1.813527122,0.124474489,0,0,0,11,0,0,1,1,HH,HC,H,0
57,H151,H151.HH1,H151.HC1,NA,NA,-0.147066507,-0.103956243,0.445754842,1.197702219,0,0,19,11,0,0,1,1,HH,HC,H,0
58,H153,H153.HH1,H153.HC2,NA,NA,0.138822614,1.28464806,0.310913408,-1.334014477,0,0,9,11,0,0,1,1,HH,HC,H,0
59,H155,H155.HH4,H155.HC2,NA,NA,-0.712037865,-0.2060595,1.254803438,-1.058827878,0,0,0,0,0,0,1,1,HH,HC,H,0
60,H160,H160.HH1,H160.HC1,NA,NA,0.075291698,1.080441545,1.43092286,0.028159179,0,0,38,11,0,0,1,1,HH,HC,H,0
61,H178,H178.HH3,H178.HC1,NA,NA,-0.57816915,-0.192445732,0.027471214,0.950034281,0,0,29,19,0,0,1,1,HH,HC,H,0
62,H180,H180.HH5,H180.HC4,NA,NA,0.023105589,3.32444425,0,-0.673566644,0,0,44,0,0,0,1,1,HH,HC,H,0
63,H182,H182.HH2,H182.HC2,NA,NA,0.181932879,-0.428417705,-0.443785833,-1.671118058,0,0,26,23,0,0,1,1,HH,HC,H,0
64,H194,H194.HH3,H194.HC4,NA,NA,-0.16975612,0.386139394,0.945218516,-0.680446308,0,0,44,10,0,0,1,1,HH,HC,H,0
65,H200,H200.HH6,H200.HC2,NA,NA,-0.839099697,-1.097761283,-0.875140825,0.495976396,0,0,35,43,0,0,1,1,HH,HC,H,0
66,H206,H206.HH5,H206.HC2,NA,NA,-1.077340631,-0.882209961,0,-0.040637469,0,0,15,34,0,0,1,1,HH,HC,H,0
