"","mother_id","unique_m","unique_mm","Speed_m","Speed_mm","Temp_m","Temp_mm","Condition_m","Condition_mm","Sex_m","Sex_mm","mom_c"
"1","C10","C10_1CCfemales","C10_1CHfemales",0.02093472,0.018922264,16,16,"CC","CH","F","F","C"
"2","C111","C111_1CCfemales","C111_2CHfemales",0.006756552,0.376750494,16,16,"CC","CH","F","F","C"
"3","C112","C112_1CCfemales","C112_1CHfemales",0.418455461,0.008705054,16,16,"CC","CH","F","F","C"
"4","C126","C126_1CCfemales","C126_1CHfemales",0.446344006,0.015286667,16,16,"CC","CH","F","F","C"
"5","C132","C132_1CCfemales","C132_1CHfemales",0.027750494,0.013356335,16,16,"CC","CH","F","F","C"
"6","C134","C134_1CCfemales","C134_1CHfemales",0.005902208,0.000325945,16,16,"CC","CH","F","F","C"
"7","C14","C14_1CCfemales","C14_1CHfemales",0.094778451,0.335718042,16,16,"CC","CH","F","F","C"
"8","C145","C145_1CCfemales","C145_3CHfemales",0.030662017,0.331458782,16,16,"CC","CH","F","F","C"
"9","C149","C149_1CCfemales","C149_4CHfemales",0.004139521,0.024730138,16,16,"CC","CH","F","F","C"
"10","C151","C151_1CCfemales","C151_1CHfemales",0.3213256,0.030870262,16,16,"CC","CH","F","F","C"
"11","C153","C153_1CCfemales","C153_1CHfemales",0.018752362,0.035843818,16,16,"CC","CH","F","F","C"
"12","C156","C156_1CCfemales","C156_1CHfemales",0.173858904,0.026559279,16,16,"CC","CH","F","F","C"
"13","C16","C16_1CCfemales","C16_2CHfemales",0.02215197,0.067003419,16,16,"CC","CH","F","F","C"
"14","C165","C165_1CCfemales","C165_1CHfemales",0.076936614,0.012513978,16,16,"CC","CH","F","F","C"
"15","C179","C179_1CCfemales","C179_5CHfemales",0.035941059,0.03690284,16,16,"CC","CH","F","F","C"
"16","C182","C182_1CCfemales","C182_7CHfemales",0.148126771,0.254809872,16,16,"CC","CH","F","F","C"
"17","C184","C184_1CCfemales","C184_1CHfemales",0.017949081,0.007003932,16,16,"CC","CH","F","F","C"
