Model,Condition,a,alpha,b,c,d,dt,k,psi,rho,tm,formula,fixed
Quad,CC,-0.007,,0.4,-0.99,,,,,,,"Speed~model_quad(Temp, a, b, c)",a + b + c ~ 1
Quad,CH,-0.007,,0.4,-0.99,,,,,,,"Speed~model_quad(Temp, a, b, c)",a + b + c ~ 1
Quad,HC,-0.007,,0.4,-0.99,,,,,,,"Speed~model_quad(Temp, a, b, c)",a + b + c ~ 1
Quad,HH,-0.007,,0.4,-0.99,,,,,,,"Speed~model_quad(Temp, a, b, c)",a + b + c ~ 1
Gauss,CC,1.4,,34.5,3.5,,,,,,,"Speed~model_gauss(Temp, a, b, c)",a + b + c ~ 1
Gauss,CH,1.25,,36,4.3,,,,,,,"Speed~model_gauss(Temp, a, b, c)",a + b + c ~ 1
Gauss,HC,1.3,,34,3.5,,,,,,,"Speed~model_gauss(Temp, a, b, c)",a + b + c ~ 1
Gauss,HH,1.4,,36,4.5,,,,,,,"Speed~model_gauss(Temp, a, b, c)",a + b + c ~ 1
SkewedGauss,CC,1.15,,32.3,4.2,1,,,,,,"Speed~model_skewedgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
SkewedGauss,CH,0.99,,33,5.9,1,,,,,,"Speed~model_skewedgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
SkewedGauss,HC,1.06,,31.5,4.6,1,,,,,,"Speed~model_skewedgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
SkewedGauss,HH,1.05,,32.4,6,1.4,,,,,,"Speed~model_skewedgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ModGauss,CC,,,,,,,,,,,"Speed~model_modgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ModGauss,CH,,,,,,,,,,,"Speed~model_modgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ModGauss,HC,,,,,,,,,,,"Speed~model_modgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ModGauss,HH,,,,,,,,,,,"Speed~model_modgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ExpGauss,CC,,,,,,,,,,,"Speed~model_expgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ExpGauss,CH,,,,,,,,,,,"Speed~model_expgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ExpGauss,HC,,,,,,,,,,,"Speed~model_expgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
ExpGauss,HH,,,,,,,,,,,"Speed~model_expgauss(Temp, a, b, c, d)",a + b + c + d ~ 1
Logan6,CC,,,,,,,,,,,"Speed~model_logan6(Temp, psi, rho, dt, tm)",psi + rho + dt + tm ~ 1
Logan6,CH,,,,,,,,,,,"Speed~model_logan6(Temp, psi, rho, dt, tm)",psi + rho + dt + tm ~ 1
Logan6,HC,,,,,,,,,,,"Speed~model_logan6(Temp, psi, rho, dt, tm)",psi + rho + dt + tm ~ 1
Logan6,HH,,,,,,,,,,,"Speed~model_logan6(Temp, psi, rho, dt, tm)",psi + rho + dt + tm ~ 1
Logan10,CC,,,,,,,,,,,"Speed~model_logan10(Temp, alpha, k, rho, dt, tm)",alpha + k + rho + dt + tm ~ 1
Logan10,CH,,,,,,,,,,,"Speed~model_logan10(Temp, alpha, k, rho, dt, tm)",alpha + k + rho + dt + tm ~ 1
Logan10,HC,,,,,,,,,,,"Speed~model_logan10(Temp, alpha, k, rho, dt, tm)",alpha + k + rho + dt + tm ~ 1
Logan10,HH,,,,,,,,,,,"Speed~model_logan10(Temp, alpha, k, rho, dt, tm)",alpha + k + rho + dt + tm ~ 1
