frame_idx,led_1_status,led_2_status,0_x,0_y
10,0,0,194,119
11,0,0,197,120
12,0,0,202,122
13,0,0,205,124
14,0,0,207,124
15,0,0,209,125
16,0,0,211,126
17,0,0,214,127
18,0,0,217,129
19,0,0,221,130
20,0,0,224,131
21,0,0,227,132
22,0,0,230,134
23,0,0,233,135
24,0,0,238,136
25,0,0,244,138
26,0,0,248,140
27,0,0,252,142
28,0,0,258,144
29,0,0,263,147
30,0,0,267,148
31,0,0,273,150
32,0,0,279,152
33,0,0,281,153
34,0,0,285,154
35,0,0,289,154
36,0,0,294,155
37,0,0,296,156
38,0,0,298,156
39,0,0,300,157
40,0,0,300,157
41,0,0,300,157
42,0,0,300,157
43,0,0,300,156
44,0,0,301,153
45,0,0,294,144
46,0,0,296,140
47,0,0,298,138
48,0,0,300,135
49,0,0,302,133
50,0,0,304,130
51,0,0,307,128
52,0,0,310,125
53,0,0,314,122
54,0,0,318,119
55,0,0,323,116
56,0,0,329,112
57,0,0,333,109
58,0,0,338,107
59,0,0,345,103
60,0,0,350,102
61,0,0,355,102
62,0,0,363,100
63,0,0,370,99
64,0,0,375,98
65,0,0,381,96
66,0,0,386,95
67,0,0,390,94
68,0,0,394,93
69,0,0,399,93
70,0,0,404,92
71,0,0,409,91
72,0,0,415,89
73,0,0,419,89
74,0,0,425,89
75,0,0,432,88
76,0,0,438,88
77,0,0,443,89
78,0,0,448,89
79,0,0,452,88
80,0,0,452,87
81,0,0,452,87
82,0,0,451,87
83,0,0,449,88
84,0,0,438,86
85,0,0,434,86
86,0,0,432,85
87,0,0,431,85
88,0,0,430,84
89,0,0,438,76
90,0,0,436,74
91,0,0,434,72
92,0,0,433,68
93,0,0,431,65
94,0,0,430,61
95,0,0,431,58
96,0,0,430,57
97,0,0,429,56
98,0,0,429,57
99,0,0,429,59
100,0,0,427,62
101,0,0,426,65
102,0,0,425,67
103,0,0,425,70
104,0,0,425,71
105,0,0,425,74
106,0,0,425,78
107,0,0,427,82
108,0,0,429,87
109,0,0,430,91
110,0,0,432,96
111,0,0,434,99
112,0,0,435,100
113,0,0,435,101
114,0,0,434,102
115,0,0,434,102
116,0,0,434,102
117,0,0,434,102
118,0,0,434,102
119,0,0,434,106
120,0,0,434,109
121,0,0,434,112
122,0,0,434,115
123,0,0,432,118
124,0,0,428,119
125,0,0,427,121
126,0,0,427,123
127,0,0,427,125
128,0,0,426,126
129,0,0,424,126
130,0,0,422,125
131,0,0,420,125
132,0,0,418,125
133,0,0,416,125
134,0,0,412,118
135,0,0,409,120
136,0,0,407,121
137,0,0,406,123
138,0,0,405,125
139,0,0,405,125
140,0,0,401,131
141,0,0,401,131
142,0,0,401,131
143,0,0,401,131
144,0,0,401,131
145,0,1,402,132
146,0,1,403,133
147,0,1,404,134
148,0,1,405,135
149,0,1,404,136
150,0,1,404,137
151,0,1,404,138
152,0,1,403,136
153,0,1,400,132
154,0,1,398,130
155,0,1,396,127
156,0,1,394,123
157,0,1,394,115
158,0,1,393,110
159,0,1,391,105
160,0,1,391,101
161,0,1,393,97
162,0,1,393,93
163,0,1,392,92
164,0,1,391,89
165,0,1,392,84
166,0,1,394,81
167,0,1,400,89
168,0,1,401,87
169,0,1,401,86
170,0,1,402,83
171,0,1,404,82
172,0,1,407,79
173,0,1,410,75
174,0,1,411,73
175,0,1,412,73
176,0,1,412,71
177,0,1,412,70
178,0,1,411,68
179,0,1,410,66
180,0,1,408,65
181,0,1,407,64
182,0,1,406,62
183,0,1,405,59
184,0,1,404,56
185,0,1,404,53
186,0,1,403,48
187,0,1,402,44
188,0,1,402,40
189,0,1,402,37
190,0,1,402,36
191,0,1,402,35
192,0,1,402,35
193,0,1,402,36
194,0,1,402,36
195,0,1,403,39
196,0,1,405,43
197,0,1,403,45
198,0,1,402,46
199,0,1,400,48
200,0,1,397,48
201,0,1,395,48
202,0,1,393,49
203,0,1,392,50
204,0,1,391,51
205,0,1,391,52
206,0,1,389,55
207,0,1,385,58
208,0,1,383,62
209,0,1,381,65
210,0,1,378,68
211,0,1,377,69
212,0,1,376,72
213,0,1,376,75
214,0,1,377,80
215,0,1,376,84
216,0,1,377,89
217,0,1,377,91
218,0,1,376,95
219,0,1,382,103
220,0,1,384,108
221,0,1,380,119
222,0,1,383,124
223,0,1,386,128
224,0,1,388,133
225,0,1,391,136
226,0,1,397,139
227,0,1,402,141
228,0,1,404,144
229,0,1,405,144
230,0,1,406,144
231,0,1,407,144
232,0,1,407,144
233,0,1,404,139
234,0,1,404,139
235,0,1,404,139
236,0,1,404,139
237,0,1,405,138
238,0,1,408,137
239,0,1,409,136
240,0,1,412,135
241,0,1,414,135
242,0,1,417,136
243,0,1,420,136
244,0,1,421,136
245,0,1,421,136
246,0,1,421,136
247,0,1,421,136
248,0,1,421,136
249,0,1,421,136
250,0,1,421,136
251,0,1,422,134
252,0,1,427,131
253,0,1,430,130
254,0,1,434,128
255,0,1,438,126
256,0,1,442,126
257,0,1,444,125
258,0,1,446,126
259,0,1,447,126
260,0,1,448,126
261,0,1,447,127
262,0,1,447,129
263,0,1,446,132
264,0,1,445,132
265,0,1,445,132
266,0,1,444,132
267,0,1,444,133
268,0,1,443,134
269,0,1,441,137
270,0,1,439,140
271,0,1,437,144
272,0,1,437,147
273,0,1,437,148
274,0,1,437,151
275,0,1,438,154
276,0,1,439,157
277,0,1,440,160
278,0,1,439,163
279,0,1,439,166
280,0,1,439,170
281,0,1,440,173
282,0,1,441,177
283,0,1,441,178
284,0,1,440,178
285,0,1,440,179
286,0,1,440,182
287,0,1,440,186
288,0,1,438,189
289,0,1,437,192
290,0,1,437,192
291,0,1,438,192
292,0,1,438,193
293,0,1,439,194
294,0,1,440,195
295,0,1,440,196
296,0,1,439,198
297,0,1,439,198
298,0,1,438,199
299,0,1,438,199
300,0,1,438,200
301,0,1,438,200
302,0,1,438,200
303,0,1,438,200
304,0,1,438,200
305,0,1,439,200
306,0,1,440,198
307,0,1,439,195
308,0,1,439,192
309,0,1,440,190
310,0,1,442,189
311,0,1,445,188
312,0,1,448,189
313,0,1,451,189
314,0,1,456,188
315,0,1,462,187
316,0,1,469,189
317,0,1,476,190
318,0,1,482,191
319,0,1,488,192
320,0,1,495,193
321,0,1,501,195
322,0,1,506,196
323,0,1,511,197
324,0,1,513,198
325,0,1,514,197
326,0,1,516,197
327,0,1,518,199
328,0,1,520,200
329,0,1,520,200
330,0,1,520,200
331,0,1,520,200
332,0,1,520,199
333,0,1,519,193
334,0,1,521,189
335,0,1,523,186
336,0,1,525,180
337,0,1,527,174
338,0,1,529,170
339,0,1,532,163
340,0,1,535,155
341,0,1,547,148
342,0,1,551,142
343,0,1,555,137
344,0,1,559,133
345,0,1,562,130
346,0,1,567,126
347,0,1,570,123
348,0,1,574,120
349,0,1,579,117
350,0,1,583,115
351,0,1,586,112
352,0,1,588,110
353,0,1,591,107
354,0,1,594,105
355,0,1,598,101
356,0,1,603,97
357,0,1,609,93
358,0,1,614,89
359,0,1,618,86
360,0,1,623,83
361,0,1,626,80
362,0,1,629,78
363,0,1,630,76
364,0,1,633,74
365,0,1,635,73
366,0,1,637,71
367,0,1,633,68
368,0,1,635,66
369,0,1,638,64
370,0,1,640,63
371,0,1,641,62
372,0,1,641,62
373,0,1,641,62
374,0,1,641,62
375,0,1,641,62
376,0,1,641,62
377,0,1,641,62
378,0,1,641,62
379,0,1,641,62
380,0,1,643,60
381,0,1,645,58
382,0,1,647,56
383,0,1,649,55
384,0,1,657,56
385,0,1,660,54
386,0,1,663,51
387,0,1,666,49
388,0,1,670,49
389,0,1,672,48
390,0,1,674,46
391,0,1,674,43
392,0,1,673,38
393,0,1,671,37
394,0,1,672,37
395,0,1,673,37
396,0,1,673,37
397,0,1,673,36
398,0,1,674,34
399,0,1,675,33
400,0,1,673,31
401,0,1,661,36
402,0,1,660,37
403,0,1,660,37
404,0,1,659,37
405,0,1,659,37
406,0,1,657,39
407,0,1,655,42
408,0,1,655,41
409,0,1,654,42
410,0,1,652,44
411,0,1,651,45
412,0,1,651,47
413,0,1,651,49
414,0,1,653,51
415,0,1,654,54
416,0,1,656,59
417,0,1,656,64
418,0,1,656,67
419,0,1,657,71
420,0,1,658,75
421,0,1,659,77
422,0,1,660,80
423,0,1,661,82
424,0,1,663,84
425,0,1,665,87
426,0,1,667,91
427,0,1,671,96
428,0,1,675,101
429,0,1,679,105
430,0,1,684,111
431,0,1,690,118
432,0,1,693,123
433,0,1,696,126
434,0,1,703,132
435,0,1,707,134
436,0,1,711,138
437,0,1,715,142
438,0,1,718,146
439,0,1,722,148
440,0,1,727,151
441,0,1,732,153
442,0,1,736,155
443,0,1,738,156
444,0,1,740,157
445,0,1,741,157
446,0,1,740,157
447,0,1,740,157
448,0,1,740,157
449,0,1,741,157
450,0,1,743,157
451,0,1,746,158
452,0,1,747,160
453,0,1,748,162
454,0,1,748,164
455,0,1,748,165
456,0,1,748,165
457,0,1,748,165
458,0,1,748,165
459,0,1,748,165
460,0,1,747,165
461,0,1,747,166
462,0,1,748,167
463,0,1,749,168
464,0,1,750,169
465,0,1,750,169
466,0,1,750,169
467,0,1,750,170
468,0,1,751,171
469,0,1,752,175
470,0,1,753,178
471,0,1,744,174
472,0,1,745,180
473,0,1,750,185
474,0,1,751,188
475,0,1,751,191
476,0,1,751,192
477,0,1,752,193
478,0,1,752,193
479,0,1,752,193
480,0,1,752,193
481,0,1,751,192
482,0,1,748,191
483,0,1,749,190
484,0,1,751,188
485,0,1,750,187
486,0,1,749,186
487,0,1,746,185
488,0,1,744,184
489,0,1,741,183
490,0,1,740,181
491,0,1,740,178
492,0,1,741,176
493,0,1,740,174
494,0,1,739,171
495,0,1,740,167
496,0,1,740,164
497,0,1,742,161
498,0,1,743,157
499,0,1,743,155
500,0,1,744,154
501,0,1,744,154
502,0,1,744,154
503,0,1,744,154
504,0,1,744,154
505,0,1,743,154
506,0,1,741,154
507,0,1,740,156
508,0,1,738,156
509,0,1,738,156
510,0,1,736,155
511,0,1,733,153
512,0,1,730,151
513,0,1,729,150
514,0,1,726,148
