frame_idx,led_1_status,led_2_status,0_x,0_y
11,0,0,765,16
12,0,0,765,16
13,0,0,765,16
14,0,0,758,11
15,0,0,749,6
16,0,0,749,6
17,0,0,749,6
18,0,0,749,6
19,0,0,749,6
20,0,0,749,6
21,0,0,749,6
22,0,0,749,6
23,0,0,749,6
24,0,0,749,6
25,0,0,749,6
26,0,0,770,5
27,0,0,770,8
28,0,0,770,14
29,0,0,770,18
30,0,0,770,21
31,0,0,772,27
32,0,0,772,27
33,0,0,772,27
34,0,0,772,27
35,0,0,772,27
36,0,0,772,27
37,0,0,772,27
38,0,0,772,27
39,0,0,731,87
40,0,0,728,96
41,0,0,721,108
42,0,0,717,119
43,0,0,713,131
44,0,0,711,141
45,0,0,709,152
46,0,0,706,165
47,0,0,704,180
48,0,0,704,193
49,0,0,701,206
50,0,0,700,219
51,0,0,699,232
52,0,0,699,237
53,0,0,700,237
54,0,0,690,234
55,0,0,679,228
56,0,0,671,228
57,0,0,663,230
58,0,0,655,234
59,0,0,648,236
60,0,0,641,239
61,0,0,631,241
62,0,0,625,231
63,0,0,625,231
64,0,0,625,231
65,0,0,625,231
66,0,0,625,231
67,0,0,625,231
68,0,0,576,182
69,0,0,564,178
70,0,0,553,173
71,0,0,543,172
72,0,0,531,169
73,0,0,519,167
74,0,0,505,169
75,0,0,494,169
76,0,0,482,171
77,0,0,470,172
78,0,0,458,175
79,0,0,447,176
80,0,0,436,190
81,0,0,429,198
82,0,0,423,207
83,0,0,414,212
84,0,0,407,216
85,0,0,400,222
86,0,0,391,228
87,0,0,383,234
88,0,0,377,237
89,0,0,369,229
90,0,0,364,218
91,0,0,358,211
92,0,0,351,204
93,0,0,343,198
94,0,0,334,194
95,0,0,324,187
96,0,0,313,182
97,0,0,302,177
98,0,0,291,172
99,0,0,280,168
100,0,0,270,163
101,0,0,258,160
102,0,0,248,156
103,0,0,236,153
104,0,0,225,148
105,0,0,213,145
106,0,0,200,141
107,0,0,189,137
108,0,0,177,133
109,0,0,167,129
110,0,0,155,125
111,0,0,144,121
112,0,0,132,117
113,0,0,121,112
114,0,0,109,109
115,0,0,98,105
116,0,0,87,100
117,0,0,75,97
118,0,0,66,92
119,0,0,56,88
120,0,0,48,85
121,0,0,40,82
122,0,0,34,81
123,0,0,28,80
124,0,0,28,80
125,0,0,28,80
126,0,0,28,80
127,0,0,28,80
128,0,0,27,78
129,0,0,22,73
130,0,0,17,65
131,0,0,11,61
132,0,0,5,68
133,0,0,4,83
134,0,0,4,94
135,0,0,7,100
136,0,0,9,105
137,0,0,15,109
138,0,0,24,116
139,0,0,27,122
140,0,0,29,126
141,0,0,31,130
142,0,0,31,131
143,0,0,31,131
144,0,0,31,131
145,0,0,31,132
146,0,0,37,141
147,0,0,41,152
148,0,0,43,165
149,0,0,46,177
150,0,0,48,191
151,0,0,49,204
152,0,0,49,216
153,0,0,49,227
154,0,0,49,234
155,0,0,43,236
156,0,0,31,233
157,0,0,23,232
158,0,0,17,232
159,0,0,13,233
160,0,0,8,235
161,0,0,8,235
162,0,0,8,235
163,0,0,8,235
164,0,0,8,235
165,0,0,12,235
166,0,0,26,237
167,0,0,34,238
168,0,0,34,238
169,0,0,34,238
170,0,0,34,238
171,0,0,34,238
172,0,0,34,238
173,0,0,34,238
174,0,0,34,238
175,0,0,34,238
176,0,0,34,238
177,0,0,34,238
178,0,0,66,159
179,0,0,67,152
180,0,0,66,144
181,0,0,65,135
182,0,0,60,125
183,0,0,53,117
184,0,0,48,110
185,0,0,44,102
186,0,0,41,95
187,0,0,39,87
188,0,0,35,81
189,0,0,32,74
190,0,0,27,69
191,0,0,27,69
192,0,0,27,69
193,0,0,27,69
194,0,0,27,69
195,0,0,27,69
196,0,0,43,41
197,0,0,51,32
198,0,0,58,23
199,0,0,63,17
200,0,0,68,12
201,0,0,76,10
202,0,0,84,18
203,0,0,94,23
204,0,0,103,26
205,0,0,113,29
206,0,0,122,31
207,0,0,130,33
208,0,0,140,36
209,0,0,151,37
210,0,0,163,40
211,0,0,175,41
212,0,0,187,42
213,0,0,198,43
214,0,0,211,45
215,0,0,221,46
216,0,0,233,47
217,0,0,243,49
218,0,0,255,50
219,0,0,265,53
220,0,0,273,54
221,0,0,283,56
222,0,0,295,58
223,0,0,306,61
224,0,0,317,62
225,0,0,329,65
226,0,0,338,68
227,0,0,349,71
228,0,0,360,76
229,0,0,372,78
230,0,0,383,83
231,0,0,391,84
232,0,0,402,88
233,0,0,414,91
234,0,0,426,95
235,0,0,436,99
236,0,0,448,101
237,0,0,458,105
238,0,0,470,107
239,0,0,481,111
240,0,0,492,114
241,0,0,504,120
242,0,0,514,125
243,0,0,523,130
244,0,0,533,137
245,0,0,542,141
246,0,0,543,146
247,0,0,553,150
248,0,0,568,161
249,0,0,578,167
250,0,0,587,173
251,0,0,597,180
252,0,0,606,187
253,0,0,615,193
254,0,0,624,199
255,0,0,633,206
256,0,0,642,211
257,0,0,650,216
258,0,0,656,217
259,0,0,660,216
260,0,0,667,210
261,0,0,675,206
262,0,0,684,203
263,0,0,691,199
264,0,0,700,196
265,0,0,709,193
266,0,0,715,190
267,0,0,723,188
268,0,0,732,186
269,0,0,740,184
270,0,0,749,182
271,0,0,758,181
272,0,0,753,178
273,0,0,752,178
274,0,0,746,180
275,0,0,744,185
276,0,0,746,191
277,0,0,745,197
278,0,0,746,203
279,0,0,746,208
280,0,0,754,218
281,0,0,754,218
282,0,0,754,218
283,0,0,754,219
284,0,0,754,219
285,0,0,754,219
286,0,0,748,221
287,0,0,740,222
288,0,0,734,226
289,0,0,731,231
290,0,0,731,231
291,0,0,731,231
292,0,0,731,231
293,0,0,731,231
294,0,0,731,231
295,0,0,731,231
296,0,0,731,231
297,0,0,731,231
298,0,0,760,220
299,0,0,770,212
300,0,0,770,212
301,0,0,770,212
302,0,0,770,212
303,0,0,770,212
304,0,0,770,212
305,0,0,770,212
306,0,0,770,212
307,0,0,770,212
308,0,0,770,212
309,0,0,770,212
310,0,0,752,168
311,0,0,751,160
312,0,0,749,153
313,0,0,746,144
314,0,0,741,135
315,0,0,737,128
316,0,0,733,121
317,0,0,730,116
318,0,0,726,108
319,0,0,723,97
320,0,0,722,86
321,0,0,720,76
322,0,0,720,66
323,0,0,718,55
324,0,0,717,44
325,0,0,718,33
326,0,0,718,24
327,0,0,718,19
328,0,0,718,14
329,0,0,718,12
330,0,0,718,12
331,0,0,718,12
332,0,0,718,12
333,0,0,718,12
334,0,0,718,12
335,0,0,718,12
336,0,0,718,11
337,0,0,718,11
338,0,0,718,10
339,0,0,719,9
340,0,0,721,8
341,0,0,728,10
342,0,0,737,11
343,0,0,743,10
344,0,0,751,8
345,0,0,759,6
346,0,0,763,4
347,0,0,763,4
348,0,0,763,4
349,0,0,763,4
350,0,0,763,4
351,0,0,763,4
352,0,0,763,4
353,0,0,763,4
354,0,0,763,4
355,0,0,763,4
356,0,0,763,4
357,0,0,763,4
358,0,0,763,4
359,0,0,763,4
360,0,0,763,4
361,0,0,763,4
362,0,0,763,4
363,0,0,763,4
364,0,0,763,4
365,0,0,763,4
366,0,0,763,4
367,0,0,763,4
368,0,0,691,28
369,0,0,686,32
370,0,0,679,35
371,0,0,673,38
372,0,0,665,41
373,0,0,655,48
374,0,0,643,51
375,0,0,634,56
376,0,0,622,59
377,0,0,610,62
378,0,0,598,66
379,0,0,589,70
380,0,0,577,75
381,0,0,566,79
382,0,0,556,84
383,0,0,545,87
384,0,0,534,91
385,0,0,524,94
386,0,0,516,98
387,0,0,514,101
388,0,0,513,102
389,0,0,513,102
390,0,0,513,102
391,0,0,516,104
392,0,0,520,102
393,0,0,521,113
394,0,0,523,122
395,0,0,525,133
396,0,0,528,144
397,0,0,529,155
398,0,0,527,166
399,0,0,524,188
400,0,0,524,199
401,0,0,522,210
402,0,0,523,214
403,0,0,522,216
404,0,0,521,216
405,0,0,513,208
406,0,0,503,209
407,0,0,495,210
408,0,0,484,213
409,0,0,476,214
410,0,0,466,216
411,0,0,456,219
412,0,0,446,222
413,0,0,435,224
414,0,0,424,228
415,0,0,411,232
416,0,0,400,233
417,0,0,391,232
418,0,0,384,228
419,0,0,377,221
420,0,0,370,214
421,0,0,363,207
422,0,0,356,202
423,0,0,351,200
424,0,0,347,199
425,0,0,347,199
426,0,0,347,199
427,0,0,347,199
428,0,0,347,199
429,0,0,340,197
430,0,0,330,195
431,0,0,318,194
432,0,0,306,193
433,0,0,295,193
434,0,0,282,192
435,0,0,269,192
436,0,0,259,193
437,0,0,249,193
438,0,0,238,195
439,0,0,227,197
440,0,0,216,201
441,0,0,206,204
442,0,0,194,208
443,0,0,184,211
444,0,0,174,215
445,0,0,162,217
446,0,0,153,219
447,0,0,147,220
448,0,0,142,219
449,0,0,139,218
450,0,0,135,216
451,0,0,129,211
452,0,0,124,205
453,0,0,117,201
454,0,0,110,197
