frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,352,197
7,0,0,351,197
8,0,0,351,197
9,0,0,352,197
10,0,0,351,198
11,0,0,351,197
12,0,0,351,197
13,0,0,351,197
14,0,0,351,197
15,0,0,351,197
16,0,0,351,196
17,0,0,351,196
18,0,0,351,196
19,0,0,350,197
20,0,0,350,197
21,0,0,351,196
22,0,0,351,196
23,0,0,350,196
24,0,0,351,197
25,0,0,351,197
26,0,0,351,197
27,0,0,351,197
28,0,0,351,197
29,0,0,351,197
30,0,0,351,196
31,0,0,351,196
32,0,0,351,196
33,0,0,351,196
34,0,0,351,196
35,0,0,351,196
36,0,0,350,196
37,0,0,350,196
38,0,0,350,196
39,0,0,350,197
40,0,0,350,196
41,0,0,350,196
42,0,0,350,196
43,0,0,350,196
44,0,0,350,196
45,0,0,350,196
46,0,0,350,196
47,0,0,350,196
48,0,0,350,196
49,0,0,350,196
50,0,0,350,196
51,0,0,350,196
52,0,0,350,196
53,0,0,350,196
54,0,0,350,196
55,0,0,350,196
56,0,0,350,196
57,0,0,350,196
58,0,0,350,196
59,0,0,350,196
60,0,0,350,196
61,0,0,350,196
62,0,0,350,196
63,0,0,350,196
64,0,0,350,196
65,0,0,350,196
66,0,0,350,196
67,0,0,350,196
68,0,0,350,196
69,0,0,350,196
70,0,0,350,196
71,0,0,350,196
72,0,0,350,196
73,0,0,350,196
74,0,0,350,196
75,0,0,350,196
76,0,0,350,196
77,0,0,350,196
78,0,0,350,196
79,0,0,350,196
80,0,0,350,196
81,0,0,350,196
82,0,0,350,195
83,0,0,350,195
84,0,0,350,195
85,0,0,350,196
86,0,0,350,195
87,0,0,350,195
88,0,0,350,195
89,0,0,350,195
90,0,0,350,195
91,0,0,350,195
92,0,0,350,195
93,0,0,350,195
94,0,0,351,195
95,0,0,350,195
96,0,0,350,195
97,0,0,350,195
98,0,0,350,195
99,0,0,350,195
100,0,0,350,195
101,0,0,351,195
102,0,0,351,195
103,0,0,351,195
104,0,0,351,195
105,0,0,351,195
106,0,0,351,195
107,0,0,351,195
108,0,0,351,195
109,0,0,351,195
110,0,0,351,195
111,0,0,351,195
112,0,0,351,195
113,0,0,351,195
114,0,0,351,195
115,0,0,351,195
116,0,0,351,195
117,0,0,351,195
118,0,0,351,195
119,0,0,351,195
120,0,0,351,195
121,0,0,351,195
122,0,0,351,195
123,0,0,351,195
124,0,0,351,195
125,0,0,351,195
126,0,0,351,195
127,0,0,351,195
128,0,0,351,194
129,0,0,352,192
130,0,0,353,191
131,0,0,354,190
132,0,0,355,187
133,0,0,356,183
134,0,0,358,178
135,0,0,362,173
136,0,0,366,168
137,0,0,369,163
138,0,0,372,159
139,0,0,375,153
140,0,0,378,146
141,0,0,381,139
142,0,0,382,130
143,0,0,384,119
144,0,0,387,112
145,0,0,389,106
146,0,0,392,99
147,0,0,395,92
148,0,0,397,84
149,0,0,400,77
150,0,0,402,71
151,0,0,404,64
152,0,0,406,60
153,0,0,407,55
154,0,0,407,51
155,0,0,407,50
156,0,0,407,50
157,0,0,407,50
158,0,0,407,50
159,0,0,407,50
160,0,0,407,50
161,0,0,407,50
162,0,0,405,50
163,0,0,400,49
164,0,0,394,46
165,0,0,390,44
166,0,0,387,43
167,0,0,386,42
168,0,0,387,41
169,0,0,391,41
170,0,0,396,38
171,0,0,400,34
172,0,0,404,31
173,0,0,408,29
174,0,0,409,29
175,0,0,410,33
176,0,0,411,36
177,0,0,409,40
178,0,0,410,43
179,0,0,412,44
180,0,0,414,46
181,0,0,416,48
182,0,0,416,52
183,0,0,416,57
184,0,0,415,62
185,0,0,416,68
186,0,0,417,72
187,0,0,418,76
188,0,0,419,80
189,0,0,420,84
190,0,0,419,88
191,0,0,419,92
192,0,0,419,97
193,0,0,416,93
194,0,0,415,98
195,0,0,413,102
196,0,0,411,106
197,0,0,408,111
198,0,0,403,129
199,0,0,400,134
200,0,0,398,140
201,0,0,396,148
202,0,0,394,156
203,0,0,393,167
204,0,0,392,177
205,0,0,391,186
206,0,0,390,195
207,0,0,389,203
208,0,0,389,208
209,0,0,389,208
210,0,0,389,208
211,0,0,389,208
212,0,0,389,208
213,0,0,393,208
214,0,0,401,210
215,0,0,405,213
216,0,0,410,214
217,0,0,416,216
218,0,0,420,218
219,0,0,423,219
220,0,0,424,220
221,0,0,420,219
222,0,0,415,217
223,0,0,409,214
224,0,0,405,213
225,0,0,400,215
226,0,0,395,216
227,0,0,390,214
228,0,0,381,213
229,0,0,371,210
230,0,0,362,212
231,0,0,353,212
232,0,0,345,212
233,0,0,334,213
234,0,0,324,213
235,0,0,313,215
236,0,0,301,214
237,0,0,289,215
238,0,0,277,215
239,0,0,265,216
240,0,0,254,216
241,0,0,243,216
242,0,0,233,216
243,0,0,222,218
244,0,0,211,219
245,0,0,200,221
246,0,0,188,221
247,0,0,177,221
248,0,0,165,221
249,0,0,152,221
250,0,0,152,213
251,0,0,148,212
252,0,0,141,209
253,0,0,136,204
254,0,0,136,204
255,0,0,107,197
256,0,0,100,191
257,0,0,97,190
258,0,0,92,188
259,0,0,85,186
260,0,0,77,185
261,0,0,70,177
262,0,0,62,175
263,0,0,56,172
264,0,0,50,169
265,0,0,42,166
266,0,0,36,164
267,0,0,30,163
268,0,0,23,162
269,0,0,20,161
270,0,0,17,163
271,0,0,14,169
272,0,0,16,171
273,0,0,17,171
274,0,0,20,169
275,0,0,23,160
276,0,0,23,159
277,0,0,23,159
278,0,0,23,159
279,0,0,23,159
280,0,0,23,159
281,0,0,23,159
282,0,0,23,159
283,0,0,25,158
284,0,0,26,158
285,0,0,29,158
286,0,0,28,157
287,0,0,28,157
288,0,0,26,156
289,0,0,24,155
290,0,0,23,155
291,0,0,23,155
292,0,0,23,155
293,0,0,23,155
294,0,0,24,155
295,0,0,28,153
296,0,0,30,153
297,0,0,30,152
298,0,0,29,151
299,0,0,29,149
300,0,0,27,148
301,0,0,26,148
302,0,0,24,149
303,0,0,24,150
304,0,0,24,150
305,0,0,24,150
306,0,0,24,150
307,0,0,24,150
308,0,0,25,154
309,0,0,25,160
310,0,0,23,163
311,0,0,20,165
312,0,0,18,165
313,0,0,17,164
314,0,0,17,164
315,0,0,21,161
316,0,0,25,163
317,0,0,28,163
318,0,0,30,163
319,0,0,32,162
320,0,0,37,154
321,0,0,39,151
322,0,0,40,149
323,0,0,41,147
324,0,0,42,145
325,0,0,46,141
326,0,0,48,138
327,0,0,51,134
328,0,0,53,129
329,0,0,54,128
330,0,0,56,127
331,0,0,56,125
332,0,0,56,123
333,0,0,58,120
334,0,0,63,118
335,0,0,66,116
336,0,0,69,111
337,0,0,73,105
338,0,0,73,112
339,0,0,77,104
340,0,0,82,97
341,0,0,86,89
342,0,0,89,82
343,0,0,93,76
344,0,0,95,69
345,0,0,98,62
346,0,0,100,57
347,0,0,101,52
348,0,0,103,49
349,0,0,104,46
350,0,0,104,43
351,0,0,103,39
352,0,0,103,35
353,0,0,102,31
354,0,0,101,31
355,0,0,101,30
356,0,0,104,34
357,0,0,106,36
358,0,0,111,39
359,0,0,116,39
360,0,0,121,39
361,0,0,129,43
362,0,0,144,43
363,0,0,151,48
364,0,0,159,52
365,0,0,165,55
366,0,0,173,59
367,0,0,180,63
368,0,0,188,67
369,0,0,196,71
370,0,0,203,75
371,0,0,211,79
372,0,0,219,82
373,0,0,227,86
374,0,0,233,88
375,0,0,235,89
376,0,0,240,90
377,0,0,244,92
378,0,0,240,94
379,0,0,251,99
380,0,0,258,103
381,0,0,265,105
382,0,0,273,108
383,0,0,280,110
384,0,0,286,112
385,0,0,293,116
386,0,0,300,119
387,0,0,307,122
388,0,0,312,125
389,0,0,317,128
390,0,0,319,132
391,0,0,316,138
392,0,0,317,142
393,0,0,319,146
394,0,0,320,148
395,0,0,321,149
396,0,0,323,149
397,0,0,324,149
398,0,0,324,149
399,0,0,324,149
400,0,0,324,149
401,0,0,324,150
402,0,0,324,150
403,0,0,324,152
404,0,0,325,153
405,0,0,325,155
406,0,0,325,156
407,0,0,325,157
408,0,0,325,157
409,0,0,324,157
410,0,0,325,157
411,0,0,324,156
412,0,0,324,156
413,0,0,324,156
414,0,0,324,157
415,0,0,324,157
416,0,0,324,157
417,0,0,324,156
418,0,0,324,157
419,0,0,324,157
420,0,0,324,157
421,0,0,324,157
422,0,0,324,157
423,0,0,324,157
424,0,0,324,157
425,0,0,325,154
426,0,0,325,154
427,0,0,325,154
428,0,0,325,153
429,0,0,325,154
430,0,0,325,154
431,0,0,325,153
432,0,0,325,153
433,0,0,325,153
434,0,0,325,153
435,0,0,325,153
436,0,0,325,153
437,0,0,325,153
438,0,0,325,153
439,0,0,325,153
440,0,0,325,153
441,0,0,325,153
442,0,0,325,153
443,0,0,325,153
444,0,0,325,153
445,0,0,325,153
446,0,0,325,153
447,0,0,325,153
448,0,0,325,152
449,0,0,325,153
450,0,0,325,153
451,0,0,325,153
452,0,0,325,153
453,0,0,325,153
454,0,0,325,153
455,0,0,325,153
456,0,0,325,153
457,0,0,325,153
458,0,0,324,152
459,0,0,324,152
460,0,0,324,156
461,0,0,324,156
462,0,0,324,155
463,0,0,324,156
464,0,0,324,156
465,0,0,324,156
466,0,0,324,156
467,0,0,324,156
468,0,0,324,156
469,0,0,324,156
470,0,0,324,156
471,0,0,324,156
472,0,0,324,156
473,0,0,324,156
474,0,0,324,156
475,0,0,324,156
476,0,0,324,156
477,0,0,324,156
478,0,0,324,155
479,0,0,324,155
480,0,0,324,155
481,0,0,324,155
482,0,0,324,155
483,0,0,324,155
484,0,0,324,155
485,0,0,324,155
486,0,0,324,155
487,0,0,324,156
488,0,0,324,156
489,0,0,324,156
490,0,0,324,155
491,0,0,324,155
492,0,0,324,155
493,0,0,324,155
494,0,0,324,155
495,0,0,324,156
496,0,0,324,156
497,0,0,324,156
498,0,0,324,155
499,0,0,324,156
500,0,0,324,155
501,0,0,324,155
502,0,0,324,155
503,0,0,324,155
504,0,0,324,155
505,0,0,324,155
506,0,0,324,155
507,0,0,324,155
508,0,0,324,155
509,0,0,324,155
510,0,0,326,152
511,0,0,326,152
512,0,0,326,152
513,0,0,326,152
514,0,0,327,151
515,0,0,327,151
516,0,0,327,151
517,0,0,327,151
518,0,0,327,151
519,0,0,327,151
520,0,0,327,151
521,0,0,327,151
522,0,0,327,151
523,0,0,327,151
524,0,0,327,151
525,0,0,327,152
526,0,0,327,152
527,0,0,327,152
528,0,0,327,152
529,0,0,327,152
530,0,0,327,151
531,0,0,327,151
532,0,0,327,151
533,0,0,327,151
534,0,0,325,153
535,0,0,325,153
536,0,0,325,152
537,0,0,325,152
538,0,0,325,152
539,0,0,325,152
540,0,0,325,152
541,0,0,325,152
542,0,0,325,152
543,0,0,325,152
544,0,0,325,152
545,0,0,325,152
546,0,0,325,152
547,0,0,325,152
548,0,0,325,153
549,0,0,325,153
550,0,0,325,153
551,0,0,325,153
552,0,0,325,153
553,0,0,325,153
554,0,0,325,153
555,0,0,325,153
556,0,0,325,153
557,0,0,325,152
558,0,0,325,152
559,0,0,325,152
560,0,0,325,152
561,0,0,325,152
562,0,0,325,152
563,0,0,325,152
564,0,0,325,152
565,0,0,325,152
566,0,0,325,152
567,0,0,325,152
568,0,0,325,152
569,0,0,325,152
570,0,0,325,152
571,0,0,325,152
572,0,0,327,152
573,0,0,326,152
574,0,0,326,152
575,0,0,327,152
576,0,0,327,152
577,0,0,327,152
578,0,0,327,152
579,0,0,327,152
580,0,0,327,152
581,0,0,327,152
582,0,0,327,152
583,0,0,327,152
584,0,0,327,152
585,0,0,327,152
586,0,0,327,152
587,0,0,327,152
588,0,0,327,152
589,0,0,327,152
590,0,0,327,152
591,0,0,327,152
592,0,0,327,152
593,0,0,326,152
594,0,0,327,152
595,0,0,327,152
596,0,0,326,152
597,0,0,327,152
598,0,0,327,152
599,0,0,327,152
600,0,0,327,152
601,0,0,327,152
602,0,0,327,153
603,0,0,327,152
604,0,0,327,152
605,0,0,327,152
606,0,0,327,152
607,0,0,327,152
608,0,0,327,152
609,0,0,327,152
610,0,0,327,152
611,0,0,327,152
612,0,0,327,152
613,0,0,327,152
614,0,0,327,152
615,0,0,327,152
616,0,0,327,152
617,0,0,327,152
618,0,0,327,152
619,0,0,327,152
620,0,0,327,152
621,0,0,327,153
622,0,0,327,153
623,0,0,327,153
624,0,0,327,153
625,0,0,327,152
626,0,0,327,152
627,0,0,327,153
628,0,0,326,153
629,0,0,326,153
630,0,0,326,153
631,0,0,326,153
632,0,0,326,153
633,0,0,326,153
634,0,0,326,153
635,0,0,326,153
636,0,0,326,152
637,0,0,326,153
638,0,0,326,153
639,0,0,325,152
640,0,0,325,155
641,0,0,325,155
642,0,0,325,155
643,0,0,325,155
644,0,0,325,155
645,0,0,325,155
646,0,0,325,155
647,0,0,325,155
648,0,0,325,155
649,0,0,325,155
650,0,0,325,155
651,0,0,325,155
652,0,0,325,155
653,0,0,325,155
654,0,0,325,155
655,0,0,325,155
656,0,0,325,155
657,0,0,325,155
658,0,0,325,155
659,0,0,325,155
660,0,0,325,155
661,0,0,325,155
662,0,0,325,155
663,0,0,325,155
664,0,0,325,155
665,0,0,325,155
666,0,0,325,155
667,0,0,325,155
668,0,0,325,155
669,0,0,325,155
670,0,0,325,155
671,0,0,325,155
672,0,0,325,155
673,0,0,325,155
674,0,0,325,155
675,0,0,325,155
676,0,0,325,155
677,0,0,325,155
678,0,0,325,154
679,0,0,325,155
680,0,0,325,154
681,0,0,325,155
682,0,0,325,155
683,0,0,325,155
684,0,0,325,155
685,0,0,325,155
686,0,0,325,155
687,0,0,324,155
688,0,0,324,155
689,0,0,324,155
690,0,0,324,155
691,0,0,324,155
692,0,0,324,155
693,0,0,324,155
694,0,0,324,155
695,0,0,324,155
696,0,0,325,155
697,0,0,325,155
698,0,0,324,155
699,0,0,324,155
700,0,0,324,155
701,0,0,325,155
702,0,0,325,155
703,0,0,324,155
704,0,0,324,155
705,0,0,324,155
706,0,0,323,155
707,0,0,323,155
708,0,0,323,155
709,0,0,323,155
710,0,0,324,155
711,0,0,324,155
712,0,0,324,155
713,0,0,324,155
714,0,0,324,155
715,0,0,324,155
716,0,0,324,155
717,0,0,324,155
718,0,0,324,155
719,0,0,324,155
720,0,0,324,155
721,0,0,324,155
722,0,0,324,154
723,0,0,324,154
724,0,0,324,154
725,0,0,324,154
726,0,0,324,155
727,0,0,324,155
728,0,0,324,155
729,0,0,324,155
730,0,0,324,155
731,0,0,325,155
732,0,0,326,154
733,0,0,326,154
734,0,0,326,154
735,0,0,326,154
736,0,0,326,154
737,0,0,325,154
738,0,0,326,154
739,0,0,326,154
740,0,0,326,154
741,0,0,326,154
742,0,0,326,154
743,0,0,326,154
744,0,0,326,154
745,0,0,326,154
746,0,0,326,154
747,0,0,326,154
748,0,0,326,154
749,0,0,326,154
750,0,0,326,154
751,0,0,326,154
752,0,0,326,154
753,0,0,326,154
754,0,0,326,154
755,0,0,327,154
756,0,0,326,154
757,0,0,326,154
758,0,0,326,154
759,0,0,327,154
760,0,0,327,154
761,0,0,327,154
762,0,0,327,154
763,0,0,327,154
764,0,0,327,154
765,0,0,327,154
766,0,0,327,154
767,0,0,327,154
