frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,52,36
7,0,0,44,36
8,0,0,36,42
9,0,0,31,52
10,0,0,23,58
11,0,0,19,61
12,0,0,11,65
13,0,0,11,68
14,0,0,18,65
15,0,0,23,64
16,0,0,33,60
17,0,0,36,57
18,0,0,41,51
19,0,0,48,44
20,0,0,53,37
21,0,0,60,31
22,0,0,70,24
23,0,0,78,22
24,0,0,86,15
25,0,0,94,16
26,0,0,101,18
27,0,0,107,16
28,0,0,117,19
29,0,0,121,20
30,0,0,120,20
31,0,0,120,20
32,0,0,123,22
33,0,0,127,25
34,0,0,132,29
35,0,0,138,31
36,0,0,142,33
37,0,0,148,35
38,0,0,153,36
39,0,0,156,36
40,0,0,157,37
41,0,0,159,39
42,0,0,165,44
43,0,0,171,48
44,0,0,180,52
45,0,0,187,53
46,0,0,196,55
47,0,0,205,57
48,0,0,213,58
49,0,0,222,59
50,0,0,230,60
51,0,0,230,61
52,0,0,238,62
53,0,0,246,62
54,0,0,254,62
55,0,0,262,61
56,0,0,271,61
57,0,0,279,60
58,0,0,289,58
59,0,0,298,55
60,0,0,309,52
61,0,0,319,50
62,0,0,329,46
63,0,0,339,43
64,0,0,349,39
65,0,0,359,34
66,0,0,367,29
67,0,0,376,23
68,0,0,383,21
69,0,0,383,26
70,0,0,385,31
71,0,0,384,39
72,0,0,384,47
73,0,0,384,55
74,0,0,384,64
75,0,0,385,71
76,0,0,387,78
77,0,0,388,84
78,0,0,389,92
79,0,0,389,98
80,0,0,388,106
81,0,0,388,112
82,0,0,388,118
83,0,0,388,124
84,0,0,389,130
85,0,0,391,138
86,0,0,393,145
87,0,0,394,153
88,0,0,396,158
89,0,0,398,167
90,0,0,400,177
91,0,0,401,187
92,0,0,403,197
93,0,0,405,206
94,0,0,407,214
95,0,0,409,221
96,0,0,407,222
97,0,0,406,209
98,0,0,406,209
99,0,0,413,207
100,0,0,412,205
101,0,0,409,204
102,0,0,389,203
103,0,0,383,199
104,0,0,377,195
105,0,0,372,192
106,0,0,368,188
107,0,0,365,184
108,0,0,362,178
109,0,0,358,175
