frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,459,82
7,0,0,459,82
8,0,0,459,82
9,0,0,459,82
10,0,0,459,82
11,0,0,459,82
12,0,0,459,82
13,0,0,459,82
14,0,0,459,82
15,0,0,459,82
16,0,0,458,82
17,0,0,458,82
18,0,0,458,81
19,0,0,458,79
20,0,0,458,78
21,0,0,458,77
22,0,0,458,76
23,0,0,458,76
24,0,0,458,76
25,0,0,457,77
26,0,0,457,77
27,0,0,457,77
28,0,0,457,77
29,0,0,457,77
30,0,0,457,77
31,0,0,457,77
32,0,0,457,77
33,0,0,457,77
34,0,0,457,77
35,0,0,457,77
36,0,0,457,77
37,0,0,457,77
38,0,0,457,77
39,0,0,457,76
40,0,0,454,76
41,0,0,451,76
42,0,0,448,76
43,0,0,446,75
44,0,0,443,75
45,0,0,441,73
46,0,0,438,71
47,0,0,435,70
48,0,0,431,67
49,0,0,428,64
50,0,0,422,60
51,0,0,416,56
52,0,0,412,52
53,0,0,408,47
54,0,0,404,42
55,0,0,400,38
56,0,0,397,33
57,0,0,394,27
58,0,0,392,23
59,0,0,390,20
60,0,0,390,20
61,0,0,390,20
62,0,0,390,20
63,0,0,390,20
64,0,0,390,20
65,0,0,389,21
66,0,0,389,21
67,0,0,389,20
68,0,0,389,19
69,0,0,389,17
70,0,0,389,17
71,0,0,389,17
72,0,0,389,16
73,0,0,390,13
74,0,0,392,12
75,0,0,390,14
76,0,0,389,16
77,0,0,389,17
78,0,0,388,18
79,0,0,385,21
80,0,0,383,24
81,0,0,380,27
82,0,0,376,30
83,0,0,370,32
84,0,0,365,33
85,0,0,357,34
86,0,0,349,34
87,0,0,340,35
88,0,0,329,37
89,0,0,319,38
90,0,0,311,38
91,0,0,301,38
92,0,0,291,38
93,0,0,280,37
94,0,0,270,37
95,0,0,258,38
96,0,0,247,39
97,0,0,235,39
98,0,0,222,40
99,0,0,211,40
100,0,0,202,42
101,0,0,191,43
102,0,0,179,45
103,0,0,166,46
104,0,0,155,48
105,0,0,146,49
106,0,0,138,51
107,0,0,129,52
108,0,0,120,54
109,0,0,112,57
110,0,0,108,58
111,0,0,103,59
112,0,0,97,60
113,0,0,91,61
114,0,0,83,63
115,0,0,74,65
116,0,0,66,66
117,0,0,60,67
118,0,0,53,69
119,0,0,44,70
120,0,0,37,71
121,0,0,32,72
122,0,0,27,73
123,0,0,24,73
124,0,0,22,73
125,0,0,22,73
126,0,0,22,73
127,0,0,22,73
128,0,0,22,73
129,0,0,22,73
130,0,0,22,73
131,0,0,22,73
132,0,0,23,72
133,0,0,26,71
134,0,0,26,67
135,0,0,26,64
136,0,0,24,60
137,0,0,21,57
138,0,0,20,54
139,0,0,18,51
140,0,0,18,51
141,0,0,18,51
142,0,0,18,51
143,0,0,18,51
144,0,0,18,51
145,0,0,19,51
146,0,0,33,58
147,0,0,34,58
148,0,0,34,59
149,0,0,34,59
150,0,0,34,59
151,0,0,34,59
152,0,0,34,59
153,0,0,34,59
154,0,0,21,80
155,0,0,21,81
156,0,0,21,81
157,0,0,21,81
158,0,0,21,81
159,0,0,21,81
160,0,0,22,81
161,0,0,31,74
162,0,0,35,75
163,0,0,37,77
164,0,0,40,80
165,0,0,42,83
166,0,0,44,87
167,0,0,45,91
168,0,0,47,94
169,0,0,48,97
170,0,0,51,100
171,0,0,53,104
172,0,0,55,109
173,0,0,57,114
174,0,0,58,118
175,0,0,60,124
176,0,0,63,128
177,0,0,68,126
178,0,0,72,126
179,0,0,75,125
180,0,0,77,125
181,0,0,80,125
182,0,0,83,125
183,0,0,86,125
184,0,0,89,126
185,0,0,90,127
186,0,0,90,128
187,0,0,90,127
188,0,0,90,127
189,0,0,90,127
190,0,0,90,126
191,0,0,89,127
192,0,0,88,127
193,0,0,89,127
194,0,0,89,126
195,0,0,89,126
196,0,0,88,126
197,0,0,88,125
198,0,0,87,125
199,0,0,87,124
200,0,0,88,125
201,0,0,90,125
202,0,0,91,125
203,0,0,91,123
204,0,0,92,122
205,0,0,91,121
206,0,0,91,119
207,0,0,91,119
208,0,0,92,117
209,0,0,94,115
210,0,0,94,113
211,0,0,95,111
212,0,0,97,108
213,0,0,99,107
214,0,0,102,106
215,0,0,105,105
216,0,0,107,106
217,0,0,108,106
218,0,0,108,106
219,0,0,108,106
220,0,0,108,106
221,0,0,108,106
222,0,0,108,106
223,0,0,108,106
224,0,0,108,106
225,0,0,108,106
226,0,0,108,106
227,0,0,108,106
228,0,0,108,106
229,0,0,108,106
230,0,0,108,106
231,0,0,107,107
232,0,0,107,109
233,0,0,106,110
234,0,0,105,112
235,0,0,105,113
236,0,0,106,115
237,0,0,107,118
238,0,0,109,119
239,0,0,110,121
240,0,0,112,122
241,0,0,113,122
242,0,0,115,123
243,0,0,117,123
244,0,0,120,123
245,0,0,122,124
246,0,0,123,124
247,0,0,123,124
248,0,0,123,124
249,0,0,123,124
250,0,0,123,125
251,0,0,124,125
252,0,0,123,125
253,0,0,122,126
254,0,0,120,127
255,0,0,118,129
256,0,0,117,131
257,0,0,116,133
258,0,0,115,135
259,0,0,115,138
260,0,0,114,141
261,0,0,113,145
262,0,0,114,149
263,0,0,115,154
264,0,0,114,158
265,0,0,114,162
266,0,0,115,167
267,0,0,114,173
268,0,0,110,178
269,0,0,109,184
270,0,0,108,189
271,0,0,107,193
272,0,0,108,196
273,0,0,108,197
274,0,0,108,197
275,0,0,108,197
276,0,0,108,197
277,0,0,108,197
278,0,0,108,197
279,0,0,109,198
280,0,0,111,199
281,0,0,114,198
282,0,0,118,197
283,0,0,121,198
284,0,0,126,197
285,0,0,131,197
286,0,0,136,198
287,0,0,139,198
288,0,0,143,199
289,0,0,147,200
290,0,0,150,201
291,0,0,150,201
292,0,0,151,201
293,0,0,153,200
294,0,0,153,200
295,0,0,153,200
296,0,0,153,200
297,0,0,153,200
298,0,0,153,200
299,0,0,153,200
300,0,0,154,200
301,0,0,154,200
302,0,0,154,200
303,0,0,155,199
304,0,0,157,196
305,0,0,158,193
306,0,0,160,189
307,0,0,163,185
308,0,0,165,181
309,0,0,169,176
310,0,0,173,170
311,0,0,176,166
312,0,0,180,160
313,0,0,184,156
314,0,0,187,151
315,0,0,189,144
316,0,0,194,141
317,0,0,194,134
318,0,0,195,130
319,0,0,197,125
320,0,0,200,119
321,0,0,202,106
322,0,0,206,100
323,0,0,209,93
324,0,0,213,86
325,0,0,218,79
326,0,0,222,72
327,0,0,227,63
328,0,0,232,55
329,0,0,236,46
330,0,0,241,38
331,0,0,245,30
332,0,0,248,25
333,0,0,249,23
334,0,0,249,22
335,0,0,249,22
336,0,0,249,22
337,0,0,249,22
338,0,0,246,28
339,0,0,246,28
340,0,0,246,28
341,0,0,246,28
342,0,0,246,28
343,0,0,246,28
344,0,0,246,28
345,0,0,246,28
346,0,0,246,28
347,0,0,246,28
348,0,0,246,28
349,0,0,245,28
350,0,0,242,29
351,0,0,238,29
352,0,0,235,28
353,0,0,231,27
354,0,0,227,25
355,0,0,224,22
356,0,0,222,21
357,0,0,222,21
358,0,0,221,21
359,0,0,221,21
360,0,0,221,21
361,0,0,222,21
362,0,0,221,21
363,0,0,220,22
364,0,0,218,23
365,0,0,214,23
366,0,0,212,24
367,0,0,209,24
368,0,0,203,25
369,0,0,197,27
370,0,0,192,28
371,0,0,187,28
372,0,0,182,28
373,0,0,178,28
374,0,0,174,27
375,0,0,172,27
376,0,0,171,26
377,0,0,171,25
378,0,0,171,25
379,0,0,171,24
380,0,0,170,24
381,0,0,169,22
382,0,0,167,19
383,0,0,166,14
384,0,0,166,11
385,0,0,165,10
386,0,0,163,15
387,0,0,156,16
388,0,0,157,22
389,0,0,159,25
390,0,0,159,27
391,0,0,159,31
392,0,0,158,36
393,0,0,158,44
394,0,0,157,51
395,0,0,155,64
396,0,0,152,72
397,0,0,148,80
398,0,0,143,90
399,0,0,139,102
400,0,0,134,113
401,0,0,129,125
402,0,0,126,135
403,0,0,121,147
404,0,0,118,160
405,0,0,114,172
406,0,0,111,185
407,0,0,107,197
408,0,0,103,207
409,0,0,100,216
410,0,0,96,223
411,0,0,92,230
412,0,0,90,232
413,0,0,90,232
414,0,0,90,232
415,0,0,90,232
416,0,0,90,232
417,0,0,90,232
418,0,0,90,232
419,0,0,90,232
420,0,0,90,232
421,0,0,90,232
422,0,0,90,232
423,0,0,90,232
424,0,0,90,232
425,0,0,90,232
426,0,0,91,231
427,0,0,94,230
428,0,0,96,230
429,0,0,99,230
430,0,0,101,230
431,0,0,103,231
432,0,0,104,232
433,0,0,102,226
434,0,0,102,227
435,0,0,102,227
436,0,0,102,227
437,0,0,102,227
