frame_idx,led_1_status,led_2_status,0_x,0_y
16,0,0,735,118
17,0,0,734,121
18,0,0,731,122
19,0,0,733,110
20,0,0,732,110
21,0,0,733,112
22,0,0,733,116
23,0,0,732,120
24,0,0,731,126
25,0,0,728,132
26,0,0,725,140
27,0,0,722,146
28,0,0,719,152
29,0,0,716,159
30,0,0,712,165
31,0,0,709,173
32,0,0,706,179
33,0,0,705,184
34,0,0,702,188
35,0,0,704,187
36,0,0,705,189
37,0,0,706,193
38,0,0,706,196
39,0,0,705,201
40,0,0,704,206
41,0,0,702,219
42,0,0,699,220
43,0,0,699,220
44,0,0,699,221
45,0,0,699,222
46,0,0,699,223
47,0,0,699,223
48,0,0,699,223
49,0,0,699,223
50,0,0,698,223
51,0,0,696,222
52,0,0,693,223
53,0,0,692,224
54,0,0,691,225
55,0,0,691,225
56,0,0,691,224
57,0,0,691,223
58,0,0,691,223
59,0,0,691,222
60,0,0,690,221
61,0,0,690,222
62,0,0,690,223
63,0,0,690,225
64,0,0,690,226
65,0,0,690,225
66,0,0,691,224
67,0,0,691,223
68,0,0,692,224
69,0,0,693,226
70,0,0,696,215
71,0,0,696,216
72,0,0,695,217
73,0,0,694,219
74,0,0,694,221
75,0,0,695,221
76,0,0,696,222
77,0,0,698,226
78,0,0,701,231
79,0,0,704,232
80,0,0,706,234
81,0,0,706,234
82,0,0,709,236
83,0,0,716,236
84,0,0,723,236
85,0,0,728,236
86,0,0,736,236
87,0,0,747,236
88,0,0,754,236
89,0,0,761,237
90,0,0,767,236
91,0,0,770,236
92,0,0,770,236
93,0,0,770,236
94,0,0,770,236
95,0,0,770,236
96,0,0,770,236
97,0,0,770,236
98,0,0,770,236
99,0,0,770,236
100,0,0,770,236
101,0,0,770,236
102,0,0,770,236
103,0,0,770,236
104,0,0,770,236
105,0,0,770,236
106,0,0,770,236
107,0,0,770,236
108,0,0,770,236
109,0,0,770,236
110,0,0,770,236
111,0,0,770,236
112,0,0,770,236
113,0,0,722,151
114,0,0,717,149
115,0,0,712,146
116,0,0,707,144
117,0,0,703,141
118,0,0,699,138
119,0,0,693,134
120,0,0,688,130
121,0,0,683,126
122,0,0,680,121
123,0,0,677,117
124,0,0,673,106
125,0,0,675,99
126,0,0,676,91
127,0,0,676,84
128,0,0,676,75
129,0,0,677,66
130,0,0,676,58
131,0,0,676,49
132,0,0,675,39
133,0,0,675,31
134,0,0,674,24
135,0,0,674,23
136,0,0,674,23
137,0,0,675,23
138,0,0,675,23
139,0,0,675,23
140,0,0,675,23
141,0,0,675,23
142,0,0,693,44
143,0,0,705,33
144,0,0,707,32
145,0,0,707,31
146,0,0,707,31
147,0,0,707,31
148,0,0,702,30
149,0,0,699,27
150,0,0,695,27
151,0,0,693,26
152,0,0,689,25
153,0,0,686,25
154,0,0,680,26
155,0,0,674,26
156,0,0,675,37
157,0,0,669,39
158,0,0,664,41
159,0,0,659,43
160,0,0,654,45
161,0,0,654,46
162,0,0,644,41
163,0,0,643,42
164,0,0,636,48
165,0,0,624,53
166,0,0,618,58
167,0,0,612,64
168,0,0,606,68
169,0,0,603,70
170,0,0,603,70
171,0,0,603,71
172,0,0,603,70
173,0,0,603,77
174,0,0,607,77
175,0,0,603,79
176,0,0,600,83
177,0,0,597,86
178,0,0,594,89
179,0,0,591,91
180,0,0,590,92
181,0,0,589,95
