frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,704,104
7,0,0,702,107
8,0,0,702,112
9,0,0,703,116
10,0,0,705,119
11,0,0,706,122
12,0,0,708,125
13,0,0,711,129
14,0,0,715,133
15,0,0,719,138
16,0,0,724,146
17,0,0,729,154
18,0,0,734,161
19,0,0,738,168
20,0,0,741,175
21,0,0,745,180
22,0,0,749,183
23,0,0,752,182
24,0,0,753,182
25,0,0,753,182
26,0,0,752,182
27,0,0,745,186
28,0,0,735,186
29,0,0,730,185
30,0,0,725,186
31,0,0,721,188
32,0,0,718,190
33,0,0,714,192
34,0,0,711,195
35,0,0,707,197
36,0,0,704,201
37,0,0,700,206
38,0,0,695,210
39,0,0,691,214
40,0,0,688,216
41,0,0,687,215
42,0,0,686,215
43,0,0,686,215
44,0,0,686,215
45,0,0,686,215
46,0,0,687,214
47,0,0,686,211
48,0,0,685,208
49,0,0,684,204
50,0,0,683,202
51,0,0,681,200
52,0,0,679,198
53,0,0,676,198
54,0,0,674,199
55,0,0,673,199
56,0,0,673,199
57,0,0,670,199
58,0,0,665,198
59,0,0,659,199
60,0,0,652,199
61,0,0,645,199
62,0,0,636,201
63,0,0,627,202
64,0,0,618,205
65,0,0,608,207
66,0,0,599,210
67,0,0,591,215
68,0,0,584,219
69,0,0,578,224
70,0,0,571,227
71,0,0,565,230
72,0,0,560,229
73,0,0,565,225
74,0,0,561,221
75,0,0,559,217
76,0,0,556,213
77,0,0,553,209
78,0,0,543,201
79,0,0,538,198
80,0,0,533,194
81,0,0,526,191
82,0,0,519,186
83,0,0,511,183
84,0,0,503,181
85,0,0,494,178
86,0,0,485,176
87,0,0,476,174
88,0,0,465,173
89,0,0,457,173
90,0,0,448,173
91,0,0,439,174
92,0,0,429,174
93,0,0,419,175
94,0,0,409,176
95,0,0,399,177
96,0,0,390,178
97,0,0,380,179
98,0,0,371,180
99,0,0,364,180
100,0,0,357,182
101,0,0,351,183
102,0,0,345,184
103,0,0,332,186
104,0,0,329,192
105,0,0,323,198
106,0,0,318,202
107,0,0,313,203
108,0,0,309,203
109,0,0,309,201
110,0,0,309,200
111,0,0,309,200
112,0,0,310,200
113,0,0,310,200
114,0,0,310,200
115,0,0,310,200
116,0,0,310,200
117,0,0,310,199
118,0,0,310,197
119,0,0,311,194
120,0,0,311,192
121,0,0,323,190
122,0,0,322,188
123,0,0,321,187
124,0,0,319,187
125,0,0,318,187
126,0,0,318,187
127,0,0,319,187
128,0,0,319,187
129,0,0,319,187
130,0,0,319,187
131,0,0,319,187
132,0,0,319,187
133,0,0,319,187
134,0,0,319,187
135,0,0,319,187
136,0,0,319,186
137,0,0,319,185
138,0,0,317,183
139,0,0,315,181
140,0,0,313,181
141,0,0,311,180
142,0,0,309,181
143,0,0,308,181
144,0,0,306,180
145,0,0,301,180
146,0,0,295,180
147,0,0,288,181
148,0,0,280,182
149,0,0,273,183
150,0,0,267,185
151,0,0,262,186
152,0,0,258,186
153,0,0,254,185
154,0,0,251,185
155,0,0,248,185
156,0,0,247,185
157,0,0,246,185
158,0,0,245,186
