frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,702,203
7,0,0,697,197
8,0,0,690,189
9,0,0,682,178
10,0,0,671,169
11,0,0,662,159
12,0,0,654,150
13,0,0,644,140
14,0,0,634,130
15,0,0,624,120
16,0,0,614,111
17,0,0,605,99
18,0,0,594,89
19,0,0,585,79
20,0,0,576,69
21,0,0,568,59
22,0,0,559,51
23,0,0,552,43
24,0,0,543,36
25,0,0,535,30
26,0,0,523,32
27,0,0,510,33
28,0,0,498,33
29,0,0,487,32
30,0,0,477,29
31,0,0,466,26
32,0,0,454,20
33,0,0,444,14
34,0,0,435,9
35,0,0,425,18
36,0,0,417,26
37,0,0,406,31
38,0,0,395,36
39,0,0,385,43
40,0,0,374,47
41,0,0,364,53
42,0,0,353,56
43,0,0,340,58
44,0,0,329,58
45,0,0,317,57
46,0,0,306,56
47,0,0,294,52
48,0,0,284,48
49,0,0,273,44
50,0,0,261,41
51,0,0,252,37
52,0,0,241,33
53,0,0,232,29
54,0,0,222,26
55,0,0,212,24
56,0,0,202,23
57,0,0,193,32
58,0,0,186,38
59,0,0,177,44
60,0,0,168,47
61,0,0,157,49
62,0,0,147,51
63,0,0,135,52
64,0,0,123,52
65,0,0,111,51
66,0,0,99,51
67,0,0,88,51
68,0,0,78,51
69,0,0,66,50
70,0,0,56,47
71,0,0,46,46
72,0,0,36,45
73,0,0,25,44
74,0,0,17,42
75,0,0,11,39
76,0,0,9,33
77,0,0,7,29
78,0,0,7,29
79,0,0,7,29
80,0,0,7,29
81,0,0,7,29
82,0,0,7,29
83,0,0,7,29
84,0,0,7,29
85,0,0,7,29
86,0,0,7,29
87,0,0,7,29
88,0,0,7,29
89,0,0,7,29
90,0,0,7,29
91,0,0,7,29
92,0,0,7,29
93,0,0,6,31
94,0,0,5,28
95,0,0,8,22
96,0,0,10,15
97,0,0,8,13
98,0,0,4,14
99,0,0,4,14
100,0,0,4,14
101,0,0,4,14
102,0,0,4,14
103,0,0,4,14
104,0,0,4,14
105,0,0,4,14
106,0,0,4,14
107,0,0,4,14
108,0,0,4,14
109,0,0,4,14
110,0,0,4,14
111,0,0,4,14
112,0,0,4,14
113,0,0,4,14
114,0,0,4,14
115,0,0,4,14
116,0,0,59,16
117,0,0,64,13
118,0,0,67,14
119,0,0,70,20
120,0,0,73,28
121,0,0,77,33
122,0,0,82,36
123,0,0,86,38
124,0,0,90,40
125,0,0,94,40
126,0,0,98,41
127,0,0,103,40
128,0,0,107,38
129,0,0,112,35
130,0,0,111,35
131,0,0,117,36
132,0,0,121,34
133,0,0,125,33
134,0,0,128,33
135,0,0,131,30
136,0,0,134,25
137,0,0,137,22
138,0,0,143,21
139,0,0,149,23
140,0,0,156,27
141,0,0,163,29
142,0,0,171,32
143,0,0,179,33
144,0,0,195,31
145,0,0,202,31
146,0,0,209,28
147,0,0,217,24
148,0,0,224,19
149,0,0,232,14
150,0,0,237,14
151,0,0,244,19
152,0,0,253,21
153,0,0,261,23
154,0,0,269,25
155,0,0,278,27
156,0,0,288,27
157,0,0,298,28
158,0,0,308,27
159,0,0,319,26
160,0,0,328,23
161,0,0,338,19
162,0,0,348,16
163,0,0,357,15
164,0,0,366,18
165,0,0,374,26
166,0,0,377,34
167,0,0,381,43
168,0,0,384,50
169,0,0,389,57
170,0,0,391,65
171,0,0,394,74
172,0,0,395,83
173,0,0,395,92
174,0,0,395,100
175,0,0,395,109
176,0,0,397,117
177,0,0,400,125
178,0,0,401,136
179,0,0,404,145
180,0,0,406,155
181,0,0,407,164
182,0,0,408,172
183,0,0,409,181
184,0,0,410,190
185,0,0,411,196
186,0,0,415,199
187,0,0,415,199
188,0,0,415,199
189,0,0,415,199
190,0,0,415,199
191,0,0,439,194
192,0,0,456,209
193,0,0,462,213
194,0,0,467,217
195,0,0,468,218
196,0,0,468,218
197,0,0,470,218
198,0,0,470,218
199,0,0,470,218
200,0,0,467,219
201,0,0,464,222
202,0,0,463,226
203,0,0,463,226
204,0,0,467,221
205,0,0,472,217
206,0,0,478,215
207,0,0,485,213
208,0,0,492,211
209,0,0,500,210
210,0,0,509,209
211,0,0,517,208
212,0,0,525,208
213,0,0,531,209
214,0,0,538,209
215,0,0,547,209
216,0,0,557,208
217,0,0,568,208
218,0,0,579,208
219,0,0,590,209
220,0,0,601,209
221,0,0,612,210
222,0,0,623,210
223,0,0,633,211
224,0,0,644,211
225,0,0,655,213
226,0,0,665,217
227,0,0,675,223
228,0,0,679,229
229,0,0,681,223
230,0,0,677,209
231,0,0,684,204
232,0,0,684,204
233,0,0,684,204
234,0,0,684,204
235,0,0,684,204
236,0,0,684,204
237,0,0,684,204
238,0,0,684,204
239,0,0,684,204
240,0,0,684,204
241,0,0,684,204
242,0,0,684,204
243,0,0,684,204
244,0,0,732,148
245,0,0,728,141
246,0,0,725,135
247,0,0,722,126
248,0,0,719,116
249,0,0,715,107
250,0,0,713,97
251,0,0,710,88
252,0,0,707,80
253,0,0,705,71
254,0,0,704,64
255,0,0,705,55
256,0,0,707,49
257,0,0,717,45
258,0,0,725,41
259,0,0,732,36
260,0,0,737,32
261,0,0,740,28
262,0,0,742,25
263,0,0,743,24
264,0,0,743,24
265,0,0,743,24
266,0,0,743,24
267,0,0,744,27
268,0,0,746,34
269,0,0,753,38
270,0,0,759,39
271,0,0,755,34
272,0,0,744,25
273,0,0,737,18
274,0,0,735,13
275,0,0,734,7
276,0,0,734,7
277,0,0,734,7
278,0,0,734,7
279,0,0,734,7
280,0,0,734,7
281,0,0,734,7
282,0,0,734,7
283,0,0,734,7
284,0,0,734,7
285,0,0,734,7
286,0,0,688,2
287,0,0,684,4
288,0,0,684,10
289,0,0,684,10
290,0,0,684,10
291,0,0,684,10
292,0,0,684,10
293,0,0,684,10
294,0,0,684,10
295,0,0,604,21
296,0,0,595,17
297,0,0,588,12
298,0,0,580,7
299,0,0,572,4
300,0,0,563,4
301,0,0,555,5
302,0,0,545,5
303,0,0,536,4
304,0,0,526,2
305,0,0,524,2
306,0,0,524,2
307,0,0,524,2
308,0,0,524,2
309,0,0,524,2
310,0,0,524,2
311,0,0,524,2
312,0,0,472,44
313,0,0,464,51
314,0,0,458,57
315,0,0,450,63
316,0,0,441,69
317,0,0,433,75
318,0,0,422,80
319,0,0,412,84
320,0,0,401,84
321,0,0,390,83
322,0,0,379,82
323,0,0,367,82
324,0,0,356,82
325,0,0,345,81
326,0,0,335,79
327,0,0,326,74
328,0,0,318,67
329,0,0,311,60
330,0,0,302,53
331,0,0,294,46
332,0,0,286,40
333,0,0,279,33
334,0,0,272,27
335,0,0,267,22
336,0,0,258,26
337,0,0,247,32
338,0,0,237,34
339,0,0,226,35
340,0,0,216,35
341,0,0,206,35
342,0,0,195,34
343,0,0,187,32
344,0,0,178,31
345,0,0,169,28
346,0,0,159,26
347,0,0,152,24
348,0,0,143,22
349,0,0,134,21
350,0,0,125,22
351,0,0,116,26
352,0,0,108,30
353,0,0,99,33
354,0,0,89,33
355,0,0,79,33
356,0,0,69,33
357,0,0,59,32
358,0,0,48,31
359,0,0,38,30
360,0,0,29,28
361,0,0,21,26
362,0,0,17,25
363,0,0,15,27
364,0,0,14,32
365,0,0,12,43
366,0,0,9,50
367,0,0,5,56
368,0,0,5,56
369,0,0,5,56
370,0,0,5,56
371,0,0,5,56
372,0,0,5,56
373,0,0,5,56
374,0,0,5,56
375,0,0,5,56
376,0,0,5,56
377,0,0,1,24
378,0,0,1,23
379,0,0,1,23
380,0,0,1,23
381,0,0,4,21
382,0,0,4,21
383,0,0,4,21
384,0,0,4,21
385,0,0,4,21
386,0,0,4,21
387,0,0,4,21
388,0,0,4,21
