frame_idx,led_1_status,led_2_status,0_x,0_y
10,0,0,460,195
11,0,0,460,186
12,0,0,460,178
13,0,0,461,171
14,0,0,462,163
15,0,0,467,153
16,0,0,470,145
17,0,0,472,136
18,0,0,473,125
19,0,0,473,116
20,0,0,471,105
21,0,0,469,94
22,0,0,468,83
23,0,0,469,79
24,0,0,470,69
25,0,0,470,57
26,0,0,473,47
27,0,0,476,37
28,0,0,477,28
29,0,0,477,19
30,0,0,473,14
31,0,0,464,7
32,0,0,459,7
33,0,0,458,7
34,0,0,458,6
35,0,0,469,18
36,0,0,472,19
37,0,0,472,18
38,0,0,473,28
39,0,0,477,26
40,0,0,481,25
41,0,0,488,25
42,0,0,512,11
43,0,0,522,8
44,0,0,530,7
45,0,0,523,15
46,0,0,523,15
47,0,0,523,15
48,0,0,523,15
49,0,0,523,15
50,0,0,523,15
51,0,0,523,15
52,0,0,523,15
53,0,0,523,15
54,0,0,519,45
55,0,0,509,45
56,0,0,503,46
57,0,0,498,45
58,0,0,487,41
59,0,0,479,41
60,0,0,474,40
61,0,0,472,40
62,0,0,472,40
63,0,0,472,40
64,0,0,471,42
65,0,0,468,48
66,0,0,462,51
67,0,0,454,54
68,0,0,445,56
69,0,0,435,59
70,0,0,424,64
71,0,0,412,68
72,0,0,400,71
73,0,0,388,74
74,0,0,376,77
75,0,0,365,81
76,0,0,352,84
77,0,0,340,87
78,0,0,328,90
79,0,0,317,93
80,0,0,307,97
81,0,0,297,101
82,0,0,287,107
83,0,0,278,113
84,0,0,268,120
85,0,0,259,129
86,0,0,255,141
87,0,0,249,151
88,0,0,242,160
89,0,0,235,169
90,0,0,227,176
91,0,0,220,187
92,0,0,211,197
93,0,0,204,206
94,0,0,195,215
95,0,0,187,221
96,0,0,178,227
97,0,0,171,232
98,0,0,165,239
99,0,0,165,239
100,0,0,165,239
101,0,0,165,239
102,0,0,165,239
103,0,0,165,239
104,0,0,165,239
105,0,0,165,239
106,0,0,165,239
107,0,0,206,221
108,0,0,213,217
109,0,0,218,215
110,0,0,223,212
111,0,0,228,209
112,0,0,236,206
113,0,0,243,206
114,0,0,249,206
115,0,0,255,206
116,0,0,258,206
117,0,0,260,205
118,0,0,260,204
119,0,0,260,199
120,0,0,260,199
121,0,0,260,199
122,0,0,260,199
123,0,0,260,199
124,0,0,260,199
125,0,0,253,158
126,0,0,255,152
127,0,0,258,148
128,0,0,259,146
129,0,0,262,140
130,0,0,262,136
131,0,0,263,132
132,0,0,264,125
133,0,0,264,127
134,0,0,267,122
135,0,0,267,118
136,0,0,267,117
137,0,0,267,117
138,0,0,267,117
139,0,0,267,117
140,0,0,267,117
141,0,0,265,116
142,0,0,265,114
143,0,0,264,112
144,0,0,264,112
145,0,0,264,112
146,0,0,264,112
147,0,0,264,113
148,0,0,262,114
149,0,0,261,112
150,0,0,258,111
151,0,0,256,108
152,0,0,256,106
153,0,0,255,105
154,0,0,255,104
155,0,0,255,103
156,0,0,251,99
157,0,0,251,99
158,0,0,251,100
159,0,0,251,99
160,0,0,250,100
161,0,0,250,99
162,0,0,251,99
163,0,0,250,99
164,0,0,251,99
165,0,0,250,99
166,0,0,250,99
167,0,0,250,99
168,0,0,250,99
169,0,0,250,98
170,0,0,248,96
171,0,0,245,93
172,0,0,243,90
173,0,0,243,89
174,0,0,243,88
175,0,0,243,88
176,0,0,243,88
177,0,0,243,88
178,0,0,243,88
179,0,0,243,89
180,0,0,243,90
181,0,0,242,90
182,0,0,241,90
183,0,0,240,90
184,0,0,239,89
185,0,0,239,90
186,0,0,239,90
187,0,0,239,90
188,0,0,239,90
189,0,0,239,91
190,0,0,237,93
191,0,0,236,94
192,0,0,232,93
193,0,0,231,93
194,0,0,231,93
195,0,0,230,93
196,0,0,230,93
197,0,0,230,93
198,0,0,230,90
199,0,0,230,90
200,0,0,230,90
201,0,0,225,87
202,0,0,224,88
203,0,0,229,88
204,0,0,228,88
205,0,0,228,88
206,0,0,228,88
207,0,0,227,88
208,0,0,227,88
209,0,0,228,88
210,0,0,226,86
211,0,0,224,83
212,0,0,221,81
213,0,0,219,78
214,0,0,217,77
215,0,0,216,76
216,0,0,215,75
217,0,0,215,75
218,0,0,216,75
219,0,0,216,75
220,0,0,216,75
221,0,0,216,75
222,0,0,216,76
223,0,0,217,79
224,0,0,214,79
225,0,0,212,80
226,0,0,208,82
227,0,0,202,83
228,0,0,195,85
229,0,0,189,86
230,0,0,186,86
231,0,0,185,85
232,0,0,185,85
233,0,0,184,85
234,0,0,183,84
235,0,0,182,84
236,0,0,182,86
237,0,0,182,85
238,0,0,181,85
239,0,0,181,85
240,0,0,180,85
241,0,0,180,86
242,0,0,180,86
243,0,0,180,86
244,0,0,180,86
245,0,0,180,86
246,0,0,180,86
247,0,0,179,87
248,0,0,174,88
249,0,0,167,85
250,0,0,160,82
251,0,0,152,78
252,0,0,146,73
253,0,0,140,67
254,0,0,137,62
255,0,0,134,60
256,0,0,131,58
257,0,0,128,59
258,0,0,125,62
259,0,0,121,69
260,0,0,117,77
261,0,0,112,86
262,0,0,107,93
263,0,0,101,101
264,0,0,99,104
265,0,0,97,105
266,0,0,97,105
267,0,0,95,105
268,0,0,95,106
269,0,0,94,106
270,0,0,94,106
271,0,0,94,107
272,0,0,94,107
273,0,0,94,107
274,0,0,94,106
275,0,0,94,107
276,0,0,93,109
277,0,0,94,109
278,0,0,93,110
279,0,0,92,111
280,0,0,90,112
281,0,0,89,113
282,0,0,89,114
283,0,0,86,115
284,0,0,85,117
285,0,0,85,117
286,0,0,85,117
287,0,0,85,117
288,0,0,84,117
289,0,0,85,118
290,0,0,87,113
291,0,0,87,113
292,0,0,87,113
293,0,0,86,113
294,0,0,85,113
295,0,0,85,113
296,0,0,84,113
297,0,0,84,113
298,0,0,84,113
299,0,0,84,113
300,0,0,85,113
301,0,0,85,113
302,0,0,85,113
303,0,0,84,113
304,0,0,84,113
305,0,0,84,113
306,0,0,84,113
307,0,0,84,113
308,0,0,84,113
309,0,0,84,113
310,0,0,84,113
311,0,0,84,113
312,0,0,83,113
313,0,0,83,113
314,0,0,84,113
315,0,0,84,113
316,0,0,84,113
317,0,0,84,113
318,0,0,84,113
319,0,0,85,113
320,0,0,85,113
321,0,0,85,113
322,0,0,86,113
323,0,0,85,114
324,0,0,86,114
325,0,0,85,116
326,0,0,81,123
327,0,0,76,134
328,0,0,71,143
329,0,0,66,149
330,0,0,61,156
331,0,0,57,162
332,0,0,57,162
333,0,0,57,162
334,0,0,60,164
335,0,0,64,165
336,0,0,67,165
337,0,0,70,166
338,0,0,72,167
339,0,0,73,167
340,0,0,81,170
341,0,0,98,167
342,0,0,102,161
343,0,0,107,154
344,0,0,113,151
345,0,0,116,150
346,0,0,119,148
347,0,0,120,147
348,0,0,119,148
349,0,0,119,148
350,0,0,119,148
351,0,0,119,148
352,0,0,118,147
353,0,0,115,142
354,0,0,115,142
355,0,0,115,142
356,0,0,115,142
357,0,0,115,142
358,0,0,115,142
359,0,0,95,126
360,0,0,96,126
361,0,0,96,126
362,0,0,96,126
363,0,0,95,126
364,0,0,94,128
365,0,0,91,130
366,0,0,88,131
367,0,0,87,130
368,0,0,85,129
369,0,0,84,128
370,0,0,84,128
371,0,0,84,128
372,0,0,84,128
373,0,0,84,128
374,0,0,84,128
375,0,0,85,128
376,0,0,86,127
377,0,0,87,125
378,0,0,87,125
379,0,0,88,124
380,0,0,87,122
381,0,0,85,119
382,0,0,82,113
383,0,0,79,106
384,0,0,72,97
385,0,0,66,88
386,0,0,60,77
387,0,0,54,67
388,0,0,47,58
389,0,0,39,49
390,0,0,34,43
391,0,0,31,40
392,0,0,34,35
393,0,0,42,30
394,0,0,48,25
395,0,0,52,21
396,0,0,56,19
397,0,0,56,18
398,0,0,50,23
399,0,0,50,23
400,0,0,50,23
401,0,0,50,23
402,0,0,50,23
403,0,0,50,23
404,0,0,8,42
405,0,0,14,49
406,0,0,23,53
407,0,0,23,53
408,0,0,23,53
409,0,0,23,53
410,0,0,23,53
411,0,0,23,53
412,0,0,66,87
413,0,0,73,93
414,0,0,82,99
415,0,0,90,107
416,0,0,100,115
417,0,0,109,124
418,0,0,109,124
419,0,0,109,124
420,0,0,109,124
421,0,0,109,124
422,0,0,109,124
423,0,0,142,194
424,0,0,145,206
425,0,0,146,217
426,0,0,148,227
427,0,0,152,233
428,0,0,159,230
429,0,0,169,224
430,0,0,179,221
431,0,0,189,218
432,0,0,199,215
433,0,0,210,212
434,0,0,221,211
435,0,0,232,212
436,0,0,244,213
437,0,0,256,217
438,0,0,268,220
439,0,0,279,223
440,0,0,290,227
441,0,0,300,229
442,0,0,311,232
443,0,0,321,233
444,0,0,332,231
445,0,0,333,226
446,0,0,334,220
447,0,0,338,211
448,0,0,343,204
449,0,0,348,196
450,0,0,361,182
451,0,0,367,173
452,0,0,374,166
453,0,0,381,158
454,0,0,390,152
455,0,0,400,144
456,0,0,410,139
457,0,0,419,133
458,0,0,431,129
459,0,0,448,123
460,0,0,459,125
461,0,0,470,127
462,0,0,482,130
463,0,0,492,133
464,0,0,503,137
465,0,0,513,142
466,0,0,521,149
467,0,0,528,155
468,0,0,534,161
469,0,0,542,165
470,0,0,549,169
471,0,0,557,173
472,0,0,564,176
473,0,0,573,179
474,0,0,582,181
475,0,0,590,185
476,0,0,596,187
477,0,0,592,184
478,0,0,600,185
479,0,0,607,182
480,0,0,613,176
481,0,0,620,170
482,0,0,628,163
483,0,0,636,159
484,0,0,644,154
485,0,0,654,152
486,0,0,662,151
487,0,0,672,152
488,0,0,681,153
489,0,0,691,154
490,0,0,701,156
491,0,0,710,158
492,0,0,717,158
493,0,0,720,159
494,0,0,720,159
495,0,0,720,159
496,0,0,720,159
497,0,0,719,159
498,0,0,718,159
499,0,0,718,158
500,0,0,718,158
501,0,0,718,158
502,0,0,718,158
503,0,0,717,158
504,0,0,717,157
505,0,0,717,157
506,0,0,719,157
507,0,0,720,157
508,0,0,720,157
509,0,0,719,157
510,0,0,719,157
511,0,0,719,157
512,0,0,718,156
513,0,0,717,155
514,0,0,717,152
515,0,0,717,150
516,0,0,717,149
517,0,0,717,149
518,0,0,717,149
519,0,0,716,149
520,0,0,714,149
521,0,0,710,142
522,0,0,708,132
523,0,0,706,125
524,0,0,706,121
525,0,0,705,118
526,0,0,706,118
527,0,0,704,114
528,0,0,705,111
529,0,0,705,101
530,0,0,705,88
531,0,0,704,77
532,0,0,708,62
533,0,0,711,48
534,0,0,712,40
535,0,0,712,39
536,0,0,712,39
537,0,0,712,39
538,0,0,712,38
539,0,0,713,31
540,0,0,715,18
541,0,0,720,13
542,0,0,722,12
543,0,0,722,14
544,0,0,722,14
545,0,0,722,14
546,0,0,722,14
547,0,0,722,14
548,0,0,722,17
549,0,0,722,17
550,0,0,722,17
551,0,0,722,17
552,0,0,722,17
553,0,0,722,17
554,0,0,722,17
555,0,0,727,43
556,0,0,727,44
557,0,0,727,44
558,0,0,727,44
559,0,0,722,40
560,0,0,720,39
561,0,0,719,42
562,0,0,714,36
563,0,0,713,37
564,0,0,713,37
565,0,0,711,44
566,0,0,709,46
567,0,0,705,52
568,0,0,703,56
569,0,0,701,60
570,0,0,698,64
571,0,0,696,70
572,0,0,694,78
573,0,0,690,87
574,0,0,686,97
575,0,0,683,107
576,0,0,679,118
577,0,0,675,128
578,0,0,671,134
579,0,0,668,142
580,0,0,666,149
581,0,0,662,156
582,0,0,660,166
583,0,0,657,175
584,0,0,656,186
585,0,0,654,197
586,0,0,653,207
587,0,0,653,216
588,0,0,651,216
589,0,0,635,221
590,0,0,630,214
591,0,0,624,210
592,0,0,616,202
593,0,0,606,193
594,0,0,600,186
595,0,0,591,179
596,0,0,584,172
597,0,0,576,164
598,0,0,568,157
599,0,0,561,151
600,0,0,555,143
601,0,0,548,133
602,0,0,540,123
603,0,0,534,115
604,0,0,528,107
605,0,0,522,99
606,0,0,517,92
607,0,0,512,84
608,0,0,508,76
609,0,0,505,65
610,0,0,503,55
611,0,0,503,45
612,0,0,503,36
613,0,0,500,30
614,0,0,496,28
615,0,0,496,28
616,0,0,496,28
617,0,0,496,28
618,0,0,496,28
619,0,0,496,28
620,0,0,441,54
621,0,0,431,60
622,0,0,423,67
623,0,0,413,74
624,0,0,408,77
625,0,0,396,82
626,0,0,386,88
627,0,0,375,96
628,0,0,364,103
629,0,0,354,110
630,0,0,344,116
631,0,0,333,123
632,0,0,321,129
633,0,0,311,135
634,0,0,299,140
635,0,0,288,145
636,0,0,277,150
637,0,0,265,154
638,0,0,254,160
639,0,0,242,164
640,0,0,231,170
641,0,0,219,175
642,0,0,208,181
643,0,0,197,185
644,0,0,185,188
645,0,0,173,192
646,0,0,162,195
647,0,0,152,198
648,0,0,140,201
649,0,0,130,206
650,0,0,119,209
651,0,0,111,214
652,0,0,107,219
653,0,0,106,225
654,0,0,105,223
655,0,0,106,215
656,0,0,101,207
657,0,0,96,202
658,0,0,92,194
659,0,0,89,184
660,0,0,88,174
661,0,0,87,165
662,0,0,89,155
663,0,0,92,145
664,0,0,96,137
665,0,0,97,126
666,0,0,98,117
667,0,0,98,109
668,0,0,99,101
669,0,0,99,92
670,0,0,101,87
671,0,0,103,82
672,0,0,104,78
673,0,0,105,74
674,0,0,107,69
675,0,0,109,60
676,0,0,115,53
677,0,0,118,46
678,0,0,122,38
679,0,0,122,31
680,0,0,117,26
681,0,0,108,26
682,0,0,103,29
683,0,0,99,30
684,0,0,97,30
685,0,0,94,31
686,0,0,90,32
687,0,0,90,33
688,0,0,90,33
689,0,0,90,33
690,0,0,91,35
691,0,0,92,39
692,0,0,92,40
693,0,0,91,42
694,0,0,90,43
695,0,0,90,43
696,0,0,99,42
697,0,0,100,44
698,0,0,99,45
699,0,0,97,49
700,0,0,97,50
701,0,0,97,51
702,0,0,97,51
703,0,0,96,51
704,0,0,95,54
705,0,0,92,58
706,0,0,86,65
707,0,0,81,73
708,0,0,75,80
709,0,0,67,89
710,0,0,57,96
711,0,0,46,102
712,0,0,37,107
713,0,0,30,109
714,0,0,26,113
715,0,0,39,107
716,0,0,42,110
717,0,0,45,114
718,0,0,49,121
719,0,0,49,121
720,0,0,64,151
721,0,0,71,158
722,0,0,74,165
723,0,0,77,171
724,0,0,82,178
725,0,0,85,187
726,0,0,89,199
727,0,0,90,211
728,0,0,91,221
729,0,0,92,230
730,0,0,92,235
731,0,0,97,235
732,0,0,104,226
733,0,0,110,215
734,0,0,112,211
735,0,0,117,207
736,0,0,119,198
737,0,0,119,188
738,0,0,120,180
739,0,0,123,171
740,0,0,127,165
741,0,0,130,158
742,0,0,135,151
743,0,0,139,145
744,0,0,144,137
745,0,0,151,128
746,0,0,157,118
747,0,0,162,109
748,0,0,167,100
749,0,0,173,91
750,0,0,178,81
751,0,0,185,72
752,0,0,191,63
753,0,0,197,55
754,0,0,204,46
755,0,0,210,37
756,0,0,214,30
757,0,0,214,27
758,0,0,209,23
759,0,0,208,22
760,0,0,208,22
761,0,0,208,22
762,0,0,208,22
763,0,0,208,22
764,0,0,224,39
765,0,0,243,28
766,0,0,253,26
767,0,0,263,24
768,0,0,275,22
769,0,0,285,23
770,0,0,293,23
771,0,0,300,25
772,0,0,304,25
773,0,0,306,26
774,0,0,309,27
775,0,0,309,27
776,0,0,309,27
777,0,0,310,28
778,0,0,313,30
779,0,0,310,37
780,0,0,316,44
781,0,0,316,44
782,0,0,316,44
783,0,0,316,44
784,0,0,361,76
785,0,0,366,86
786,0,0,371,96
787,0,0,377,106
788,0,0,383,115
789,0,0,390,124
790,0,0,396,133
791,0,0,405,142
792,0,0,405,142
793,0,0,414,150
794,0,0,424,157
795,0,0,432,163
796,0,0,441,170
797,0,0,449,176
798,0,0,458,183
799,0,0,467,189
800,0,0,475,196
801,0,0,483,204
802,0,0,490,211
803,0,0,494,219
804,0,0,494,227
805,0,0,491,233
806,0,0,494,229
807,0,0,500,222
808,0,0,506,219
809,0,0,513,216
810,0,0,521,214
811,0,0,529,209
812,0,0,536,202
813,0,0,541,194
814,0,0,548,188
815,0,0,555,181
816,0,0,562,175
817,0,0,572,170
818,0,0,581,164
819,0,0,591,159
820,0,0,601,154
821,0,0,611,149
822,0,0,622,144
823,0,0,633,138
824,0,0,643,133
825,0,0,654,124
826,0,0,664,121
827,0,0,673,117
828,0,0,681,115
829,0,0,685,112
830,0,0,686,112
831,0,0,686,112
832,0,0,686,112
833,0,0,686,112
834,0,0,686,112
835,0,0,684,110
836,0,0,684,108
837,0,0,685,107
838,0,0,685,107
839,0,0,685,107
840,0,0,685,107
841,0,0,684,107
842,0,0,684,106
843,0,0,683,104
844,0,0,685,101
845,0,0,686,97
846,0,0,688,93
847,0,0,689,88
848,0,0,695,80
849,0,0,698,74
850,0,0,701,71
851,0,0,706,67
852,0,0,714,60
853,0,0,721,53
854,0,0,726,50
855,0,0,727,49
856,0,0,727,49
857,0,0,727,49
858,0,0,727,49
859,0,0,730,48
860,0,0,740,42
861,0,0,746,37
862,0,0,748,36
863,0,0,748,36
864,0,0,748,36
865,0,0,748,36
866,0,0,747,36
867,0,0,744,36
868,0,0,744,36
869,0,0,744,36
870,0,0,744,36
871,0,0,744,36
872,0,0,744,34
873,0,0,744,32
874,0,0,746,27
875,0,0,745,26
876,0,0,745,26
877,0,0,745,26
878,0,0,745,26
879,0,0,745,26
880,0,0,745,26
881,0,0,745,26
882,0,0,745,26
883,0,0,745,26
884,0,0,746,26
885,0,0,746,26
886,0,0,746,26
887,0,0,747,23
888,0,0,749,20
889,0,0,750,20
890,0,0,750,20
891,0,0,750,20
892,0,0,750,20
893,0,0,750,20
894,0,0,750,20
895,0,0,750,19
896,0,0,750,19
897,0,0,750,19
898,0,0,750,19
899,0,0,749,20
900,0,0,748,21
901,0,0,748,22
902,0,0,748,22
903,0,0,748,22
904,0,0,748,22
905,0,0,748,22
906,0,0,748,22
907,0,0,748,22
908,0,0,748,22
909,0,0,748,22
910,0,0,748,22
911,0,0,748,22
912,0,0,748,22
913,0,0,748,22
914,0,0,747,22
915,0,0,747,22
916,0,0,747,23
917,0,0,747,23
918,0,0,747,23
919,0,0,747,23
920,0,0,747,23
921,0,0,747,23
922,0,0,747,23
923,0,0,747,23
924,0,0,747,23
925,0,0,747,23
926,0,0,746,23
927,0,0,747,23
928,0,0,746,23
929,0,0,747,23
930,0,0,747,23
931,0,0,747,23
932,0,0,747,23
933,0,0,747,23
934,0,0,747,23
935,0,0,747,23
936,0,0,747,23
937,0,0,747,23
938,0,0,747,23
939,0,0,747,23
940,0,0,747,23
941,0,0,747,23
942,0,0,747,23
943,0,0,747,23
944,0,0,747,23
945,0,0,747,23
946,0,0,747,23
947,0,0,747,23
948,0,0,747,23
949,0,0,747,23
950,0,0,746,23
951,0,0,746,24
952,0,0,746,25
953,0,0,746,24
954,0,0,747,24
955,0,0,746,24
956,0,0,746,24
957,0,0,746,23
958,0,0,746,23
959,0,0,746,23
960,0,0,747,23
961,0,0,747,23
962,0,0,747,23
963,0,0,747,23
964,0,0,747,23
965,0,0,747,23
966,0,0,747,23
967,0,0,747,23
968,0,0,747,23
969,0,0,747,23
970,0,0,747,23
971,0,0,747,23
972,0,0,747,23
973,0,0,747,23
974,0,0,747,23
975,0,0,747,23
976,0,0,747,23
977,0,0,750,24
978,0,0,759,23
979,0,0,752,30
980,0,0,751,29
981,0,0,751,29
982,0,0,751,29
983,0,0,751,29
984,0,0,751,29
985,0,0,751,29
986,0,0,751,29
987,0,0,751,29
988,0,0,751,29
989,0,0,714,46
990,0,0,713,46
991,0,0,713,46
992,0,0,713,46
993,0,0,722,42
994,0,0,718,43
995,0,0,715,42
996,0,0,712,39
997,0,0,710,37
998,0,0,707,36
999,0,0,706,35
1000,0,0,705,35
1001,0,0,705,35
1002,0,0,704,35
1003,0,0,704,35
1004,0,0,702,36
1005,0,0,700,36
1006,0,0,699,35
1007,0,0,696,35
1008,0,0,685,40
1009,0,0,683,46
1010,0,0,680,51
1011,0,0,673,55
1012,0,0,667,62
1013,0,0,667,73
1014,0,0,668,84
1015,0,0,667,92
1016,0,0,665,101
1017,0,0,663,110
1018,0,0,661,122
1019,0,0,662,135
1020,0,0,662,147
1021,0,0,662,157
1022,0,0,662,168
1023,0,0,661,177
1024,0,0,660,188
1025,0,0,658,199
1026,0,0,657,212
1027,0,0,657,222
1028,0,0,658,230
1029,0,0,662,233
1030,0,0,662,233
1031,0,0,662,233
1032,0,0,662,233
1033,0,0,662,233
1034,0,0,662,233
1035,0,0,695,212
1036,0,0,702,209
1037,0,0,709,206
1038,0,0,716,202
1039,0,0,722,200
1040,0,0,733,192
1041,0,0,740,190
1042,0,0,747,189
1043,0,0,761,184
1044,0,0,768,184
1045,0,0,767,176
1046,0,0,756,166
1047,0,0,751,157
1048,0,0,747,147
1049,0,0,742,137
1050,0,0,737,126
1051,0,0,734,114
1052,0,0,732,102
1053,0,0,731,93
1054,0,0,733,88
1055,0,0,733,85
1056,0,0,732,84
1057,0,0,732,84
1058,0,0,732,84
1059,0,0,733,85
1060,0,0,734,82
1061,0,0,735,75
1062,0,0,736,66
1063,0,0,737,55
1064,0,0,738,46
1065,0,0,740,40
