frame_idx,led_1_status,led_2_status,0_x,0_y
8,0,0,722,157
9,0,0,729,160
10,0,0,735,164
11,0,0,744,167
12,0,0,754,170
13,0,0,764,166
14,0,0,768,162
15,0,0,762,168
16,0,0,762,168
17,0,0,762,168
18,0,0,762,168
19,0,0,762,168
20,0,0,762,168
21,0,0,762,168
22,0,0,762,168
23,0,0,762,168
24,0,0,762,168
25,0,0,762,168
26,0,0,762,168
27,0,0,762,168
28,0,0,762,168
29,0,0,701,230
30,0,0,701,231
31,0,0,702,234
32,0,0,702,234
33,0,0,702,234
34,0,0,702,234
35,0,0,702,234
36,0,0,702,234
37,0,0,696,224
38,0,0,694,223
39,0,0,692,220
40,0,0,690,216
41,0,0,696,211
42,0,0,693,212
43,0,0,688,213
44,0,0,683,214
45,0,0,677,215
46,0,0,672,210
47,0,0,665,206
48,0,0,661,204
49,0,0,657,202
50,0,0,656,202
51,0,0,656,202
52,0,0,656,202
53,0,0,657,200
54,0,0,657,198
55,0,0,657,195
56,0,0,655,193
57,0,0,655,190
58,0,0,656,190
59,0,0,656,190
60,0,0,656,190
61,0,0,656,190
62,0,0,656,191
63,0,0,656,191
64,0,0,656,191
65,0,0,657,191
66,0,0,657,191
67,0,0,657,191
68,0,0,658,191
69,0,0,657,191
70,0,0,657,189
71,0,0,651,183
72,0,0,651,183
73,0,0,652,183
74,0,0,650,179
75,0,0,654,174
76,0,0,659,170
77,0,0,663,165
78,0,0,664,163
79,0,0,664,163
80,0,0,664,163
81,0,0,664,163
82,0,0,664,163
83,0,0,664,163
84,0,0,664,163
85,0,0,665,163
86,0,0,669,164
87,0,0,674,165
88,0,0,678,166
89,0,0,682,167
90,0,0,686,170
91,0,0,686,170
92,0,0,686,170
93,0,0,686,170
94,0,0,686,170
95,0,0,686,170
96,0,0,711,194
97,0,0,714,197
98,0,0,713,200
99,0,0,714,201
100,0,0,716,202
101,0,0,716,202
102,0,0,717,203
103,0,0,717,203
104,0,0,718,203
105,0,0,718,201
106,0,0,723,201
107,0,0,728,199
108,0,0,736,197
109,0,0,743,193
110,0,0,750,191
111,0,0,750,191
112,0,0,751,191
113,0,0,751,190
114,0,0,744,187
115,0,0,738,176
116,0,0,732,172
117,0,0,727,168
118,0,0,716,163
119,0,0,706,162
120,0,0,700,160
121,0,0,697,159
122,0,0,694,159
123,0,0,693,159
124,0,0,693,161
125,0,0,693,161
126,0,0,693,161
127,0,0,693,161
128,0,0,693,161
129,0,0,693,161
130,0,0,693,161
131,0,0,685,187
132,0,0,689,192
133,0,0,689,194
134,0,0,690,195
135,0,0,690,198
136,0,0,689,199
137,0,0,685,199
138,0,0,678,197
139,0,0,670,194
140,0,0,658,190
141,0,0,647,186
142,0,0,636,181
143,0,0,626,177
144,0,0,615,169
145,0,0,610,161
146,0,0,610,161
147,0,0,610,161
148,0,0,610,161
149,0,0,610,161
150,0,0,610,161
151,0,0,598,83
152,0,0,596,74
153,0,0,597,64
154,0,0,596,54
155,0,0,599,43
156,0,0,599,34
157,0,0,602,24
158,0,0,600,17
159,0,0,596,15
160,0,0,587,21
161,0,0,581,26
162,0,0,575,29
163,0,0,567,31
164,0,0,560,34
165,0,0,556,36
166,0,0,552,38
167,0,0,544,45
168,0,0,536,52
169,0,0,528,57
170,0,0,518,60
171,0,0,508,66
172,0,0,497,71
173,0,0,487,80
174,0,0,477,88
175,0,0,470,96
176,0,0,464,105
177,0,0,459,113
178,0,0,455,116
179,0,0,450,118
180,0,0,442,122
181,0,0,436,127
182,0,0,426,132
183,0,0,417,140
184,0,0,410,149
185,0,0,404,159
186,0,0,398,169
187,0,0,392,180
188,0,0,385,190
189,0,0,377,199
190,0,0,369,206
191,0,0,361,213
192,0,0,345,221
193,0,0,338,216
194,0,0,332,213
195,0,0,325,212
196,0,0,320,212
197,0,0,315,211
198,0,0,315,210
199,0,0,315,210
200,0,0,315,210
201,0,0,315,210
202,0,0,315,210
203,0,0,314,205
204,0,0,314,200
205,0,0,312,195
206,0,0,310,191
207,0,0,307,189
208,0,0,306,187
209,0,0,308,183
210,0,0,310,178
211,0,0,309,174
212,0,0,307,164
213,0,0,304,156
214,0,0,302,148
215,0,0,298,142
216,0,0,296,134
217,0,0,295,127
218,0,0,294,122
219,0,0,293,118
220,0,0,292,113
221,0,0,291,107
222,0,0,289,102
223,0,0,289,101
224,0,0,287,98
225,0,0,279,90
226,0,0,270,82
227,0,0,260,76
228,0,0,252,65
229,0,0,243,58
230,0,0,234,49
231,0,0,225,41
232,0,0,216,34
233,0,0,207,27
234,0,0,196,28
235,0,0,189,34
236,0,0,183,37
237,0,0,178,38
238,0,0,171,40
239,0,0,163,42
240,0,0,157,44
241,0,0,152,46
242,0,0,145,47
243,0,0,138,49
244,0,0,128,49
245,0,0,119,52
246,0,0,109,53
247,0,0,100,56
248,0,0,88,57
249,0,0,77,60
250,0,0,67,60
251,0,0,59,63
252,0,0,51,64
253,0,0,45,66
254,0,0,40,67
255,0,0,36,66
256,0,0,36,67
257,0,0,36,67
258,0,0,36,67
259,0,0,36,67
260,0,0,37,72
261,0,0,40,75
262,0,0,40,76
263,0,0,39,76
