frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,414,193
7,0,0,414,193
8,0,0,414,193
9,0,0,414,193
10,0,0,414,193
11,0,0,414,193
12,0,0,414,193
13,0,0,414,193
14,0,0,414,193
15,0,0,414,193
16,0,0,414,193
17,0,0,414,193
18,0,0,414,193
19,0,0,414,193
20,0,0,414,193
21,0,0,414,193
22,0,0,414,193
23,0,0,414,193
24,0,0,414,193
25,0,0,414,193
26,0,0,414,193
27,0,0,414,193
28,0,0,414,193
29,0,0,414,193
30,0,0,414,193
31,0,0,415,193
32,0,0,415,193
33,0,0,414,193
34,0,0,413,192
35,0,0,417,194
36,0,0,417,194
37,0,0,416,194
38,0,0,416,194
39,0,0,417,194
40,0,0,416,194
41,0,0,416,194
42,0,0,416,194
43,0,0,417,194
44,0,0,417,194
45,0,0,417,194
46,0,0,417,194
47,0,0,417,194
48,0,0,417,194
49,0,0,416,194
50,0,0,416,194
51,0,0,416,194
52,0,0,416,194
53,0,0,416,194
54,0,0,416,195
55,0,0,416,195
56,0,0,416,195
57,0,0,417,195
58,0,0,417,195
59,0,0,417,195
60,0,0,417,194
61,0,0,416,195
62,0,0,416,194
63,0,0,416,194
64,0,0,416,194
65,0,0,416,195
66,0,0,416,195
67,0,0,417,195
68,0,0,417,195
69,0,0,417,195
70,0,0,417,194
71,0,0,417,194
72,0,0,417,195
73,0,0,417,195
74,0,0,417,194
75,0,0,417,194
76,0,0,417,195
77,0,0,417,194
78,0,0,416,195
79,0,0,416,194
80,0,0,416,194
81,0,0,416,194
82,0,0,416,195
83,0,0,417,195
84,0,0,417,195
85,0,0,417,195
86,0,0,417,195
87,0,0,417,195
88,0,0,417,195
89,0,0,417,194
90,0,0,417,194
91,0,0,417,194
92,0,0,417,194
93,0,0,417,194
94,0,0,417,194
95,0,0,417,195
96,0,0,417,195
97,0,0,417,195
98,0,0,417,195
99,0,0,417,195
100,0,0,417,195
101,0,0,417,194
102,0,0,417,194
103,0,0,417,194
104,0,0,417,194
105,0,0,417,194
106,0,0,417,194
107,0,0,417,195
108,0,0,417,195
109,0,0,417,195
110,0,0,417,195
111,0,0,417,195
112,0,0,417,195
113,0,0,417,194
114,0,0,417,195
115,0,0,417,195
116,0,0,417,195
117,0,0,417,194
118,0,0,417,194
119,0,0,417,194
120,0,0,417,194
121,0,0,418,194
122,0,0,417,194
123,0,0,418,194
124,0,0,417,194
125,0,0,417,194
126,0,0,417,194
127,0,0,417,194
128,0,0,417,194
129,0,0,417,194
130,0,0,418,194
131,0,0,417,194
132,0,0,418,194
133,0,0,418,194
134,0,0,418,194
135,0,0,418,194
136,0,0,418,194
137,0,0,417,194
138,0,0,417,194
139,0,0,417,194
140,0,0,417,194
141,0,0,418,194
142,0,0,418,194
143,0,0,418,194
144,0,0,418,194
145,0,0,418,194
146,0,0,418,194
147,0,0,418,194
148,0,0,418,194
149,0,0,418,194
150,0,0,418,194
151,0,0,418,194
152,0,0,417,194
153,0,0,418,194
154,0,0,418,194
155,0,0,418,194
156,0,0,418,194
157,0,0,418,194
158,0,0,418,194
159,0,0,418,194
160,0,0,418,194
161,0,0,418,194
162,0,0,418,194
163,0,0,418,195
164,0,0,418,195
165,0,0,418,195
166,0,0,418,195
167,0,0,418,195
168,0,0,417,195
169,0,0,417,195
170,0,0,417,195
171,0,0,416,195
172,0,0,415,195
173,0,0,415,195
174,0,0,414,196
175,0,0,413,197
176,0,0,412,197
177,0,0,411,196
178,0,0,412,196
179,0,0,411,196
180,0,0,411,196
181,0,0,410,195
182,0,0,409,197
183,0,0,408,199
184,0,0,408,199
185,0,0,409,199
186,0,0,409,198
187,0,0,410,197
188,0,0,410,196
189,0,0,411,195
190,0,0,411,194
191,0,0,411,193
192,0,0,412,193
193,0,0,412,193
194,0,0,412,193
195,0,0,411,192
196,0,0,411,191
197,0,0,410,191
198,0,0,410,191
199,0,0,410,191
200,0,0,410,191
201,0,0,411,191
202,0,0,411,192
203,0,0,411,192
204,0,0,411,192
205,0,0,411,192
206,0,0,411,192
207,0,0,411,192
208,0,0,411,192
209,0,0,411,192
210,0,0,411,192
211,0,0,411,192
212,0,0,411,192
213,0,0,411,192
214,0,0,411,192
215,0,0,411,192
216,0,0,411,192
217,0,0,411,192
218,0,0,411,192
219,0,0,411,192
220,0,0,411,192
221,0,0,411,192
222,0,0,411,192
223,0,0,411,192
224,0,0,411,192
225,0,0,411,192
226,0,0,411,192
227,0,0,411,192
228,0,0,411,192
229,0,0,411,192
230,0,0,411,192
231,0,0,411,192
232,0,0,411,192
233,0,0,411,192
234,0,0,411,192
235,0,0,411,192
236,0,0,411,192
237,0,0,411,192
238,0,0,411,192
239,0,0,411,192
240,0,0,411,192
241,0,0,411,192
242,0,0,411,192
243,0,0,411,192
244,0,0,411,192
245,0,0,411,192
246,0,0,411,192
247,0,0,411,192
248,0,0,411,192
249,0,0,411,192
250,0,0,411,192
251,0,0,411,192
252,0,0,411,192
253,0,0,411,192
254,0,0,411,192
255,0,0,411,192
256,0,0,411,192
257,0,0,411,192
258,0,0,411,192
259,0,0,411,192
260,0,0,411,192
261,0,0,410,192
262,0,0,411,192
263,0,0,411,192
264,0,0,411,192
265,0,0,411,192
266,0,0,411,192
267,0,0,411,192
268,0,0,410,192
269,0,0,410,192
270,0,0,410,192
271,0,0,410,192
272,0,0,410,192
273,0,0,411,192
274,0,0,410,192
275,0,0,410,191
276,0,0,411,192
277,0,0,411,192
278,0,0,411,192
279,0,0,411,192
280,0,0,411,192
281,0,0,410,192
282,0,0,410,191
283,0,0,410,191
284,0,0,410,191
285,0,0,410,191
286,0,0,410,191
287,0,0,410,191
288,0,0,410,191
289,0,0,410,191
290,0,0,410,191
291,0,0,410,191
292,0,0,410,191
293,0,0,410,191
294,0,0,410,191
295,0,0,410,191
296,0,0,410,191
297,0,0,410,191
298,0,0,410,191
299,0,0,410,191
300,0,0,410,191
301,0,0,410,191
302,0,0,410,191
303,0,0,410,191
304,0,0,410,191
305,0,0,410,191
306,0,0,410,191
307,0,0,410,191
308,0,0,410,191
309,0,0,410,191
310,0,0,410,191
311,0,0,410,191
312,0,0,410,191
313,0,0,410,191
314,0,0,410,191
315,0,0,410,191
316,0,0,410,191
317,0,0,410,191
318,0,0,410,191
319,0,0,410,192
320,0,0,410,191
321,0,0,410,191
322,0,0,410,191
323,0,0,410,191
324,0,0,410,191
325,0,0,410,191
326,0,0,410,191
327,0,0,410,191
328,0,0,410,191
329,0,0,410,191
330,0,0,410,191
331,0,0,410,191
332,0,0,410,191
333,0,0,410,191
334,0,0,410,191
335,0,0,410,191
336,0,0,410,191
337,0,0,410,191
338,0,0,410,191
339,0,0,410,192
340,0,0,410,191
341,0,0,410,191
342,0,0,410,191
343,0,0,410,191
344,0,0,410,191
345,0,0,410,191
346,0,0,410,191
347,0,0,410,191
348,0,0,410,191
349,0,0,410,191
350,0,0,410,191
351,0,0,410,191
352,0,0,410,191
353,0,0,410,191
354,0,0,410,191
355,0,0,410,191
356,0,0,410,191
357,0,0,410,191
358,0,0,410,191
359,0,0,410,191
360,0,0,410,191
361,0,0,410,192
362,0,0,410,191
363,0,0,410,191
364,0,0,410,191
365,0,0,410,192
366,0,0,410,192
367,0,0,410,191
368,0,0,410,191
369,0,0,410,191
370,0,0,410,191
371,0,0,410,192
372,0,0,410,192
373,0,0,409,192
374,0,0,410,191
375,0,0,410,192
376,0,0,410,192
377,0,0,410,192
378,0,0,410,192
379,0,0,410,191
380,0,0,410,191
381,0,0,410,192
382,0,0,410,192
383,0,0,410,192
384,0,0,410,192
385,0,0,410,192
386,0,0,409,191
387,0,0,408,191
388,0,0,408,191
389,0,0,408,191
390,0,0,408,191
391,0,0,408,191
392,0,0,407,191
393,0,0,407,191
394,0,0,407,191
395,0,0,407,191
396,0,0,407,191
397,0,0,407,191
398,0,0,407,192
399,0,0,407,192
400,0,0,407,192
401,0,0,407,192
402,0,0,407,192
403,0,0,407,191
404,0,0,407,191
405,0,0,407,191
406,0,0,407,192
407,0,0,407,192
408,0,0,407,192
409,0,0,407,192
410,0,0,407,192
411,0,0,407,191
412,0,0,407,192
413,0,0,407,191
414,0,0,407,191
415,0,0,407,191
416,0,0,407,191
417,0,0,407,191
418,0,0,407,191
419,0,0,407,191
420,0,0,407,191
421,0,0,407,191
422,0,0,407,191
423,0,0,407,191
424,0,0,407,191
425,0,0,406,191
426,0,0,406,191
427,0,0,406,191
428,0,0,406,190
429,0,0,406,191
430,0,0,406,191
431,0,0,406,191
432,0,0,406,191
433,0,0,406,191
434,0,0,406,191
435,0,0,406,192
436,0,0,406,192
437,0,0,406,192
438,0,0,406,192
439,0,0,406,192
440,0,0,406,192
441,0,0,406,192
442,0,0,406,192
443,0,0,406,192
444,0,0,406,192
445,0,0,406,192
446,0,0,406,192
447,0,0,406,192
448,0,0,406,192
449,0,0,406,192
450,0,0,406,192
451,0,0,406,192
452,0,0,406,192
453,0,0,406,192
454,0,0,406,192
455,0,0,406,192
456,0,0,406,192
457,0,0,406,192
458,0,0,406,192
459,0,0,406,192
460,0,0,406,192
461,0,0,406,192
462,0,0,406,192
463,0,0,406,192
464,0,0,406,192
465,0,0,406,192
466,0,0,406,192
467,0,0,406,192
468,0,0,406,192
469,0,0,406,192
470,0,0,406,191
471,0,0,406,192
472,0,0,406,192
473,0,0,406,192
474,0,0,406,192
475,0,0,406,192
476,0,0,406,192
477,0,0,406,192
478,0,0,406,192
479,0,0,406,192
480,0,0,406,192
481,0,0,406,192
482,0,0,406,192
483,0,0,406,192
484,0,0,406,191
485,0,0,406,191
486,0,0,406,192
487,0,0,406,192
488,0,0,406,192
489,0,0,406,192
490,0,0,406,192
491,0,0,406,192
492,0,0,406,191
493,0,0,406,192
494,0,0,406,192
495,0,0,406,192
496,0,0,406,192
497,0,0,406,192
498,0,0,406,191
499,0,0,406,192
