frame_idx,led_1_status,led_2_status,0_x,0_y
10,0,0,15,233
11,0,0,15,234
12,0,0,17,235
13,0,0,19,238
14,0,0,19,238
15,0,0,19,238
16,0,0,19,238
17,0,0,19,238
18,0,0,19,238
19,0,0,19,238
20,0,0,19,238
21,0,0,19,238
22,0,0,19,238
23,0,0,19,238
24,0,0,19,238
25,0,0,19,238
26,0,0,19,238
27,0,0,19,238
28,0,0,19,238
29,0,0,19,238
30,0,0,19,238
31,0,0,19,238
32,0,0,19,238
33,0,0,19,238
34,0,0,19,238
35,0,0,19,238
36,0,0,19,238
37,0,0,19,238
38,0,0,19,238
39,0,0,19,238
40,0,0,19,238
41,0,0,19,238
42,0,0,19,238
43,0,0,19,238
44,0,0,19,238
45,0,0,19,238
46,0,0,19,238
47,0,0,19,238
48,0,0,7,98
49,0,0,6,90
50,0,0,5,82
51,0,0,5,75
52,0,0,7,69
53,0,0,8,66
54,0,0,10,62
55,0,0,12,60
56,0,0,13,60
57,0,0,13,60
58,0,0,13,60
59,0,0,13,60
60,0,0,18,62
61,0,0,22,70
62,0,0,26,72
63,0,0,32,73
64,0,0,39,74
65,0,0,49,74
66,0,0,69,70
67,0,0,80,67
68,0,0,92,64
69,0,0,104,60
70,0,0,114,58
71,0,0,125,53
72,0,0,135,48
73,0,0,144,42
74,0,0,154,37
75,0,0,163,32
76,0,0,172,29
77,0,0,180,27
78,0,0,190,25
79,0,0,199,24
80,0,0,198,29
81,0,0,203,31
82,0,0,207,36
83,0,0,209,39
84,0,0,216,43
85,0,0,236,48
86,0,0,244,52
87,0,0,254,55
88,0,0,264,57
89,0,0,275,59
90,0,0,286,60
91,0,0,298,62
92,0,0,310,61
93,0,0,323,59
94,0,0,336,55
95,0,0,348,53
96,0,0,360,49
97,0,0,371,46
98,0,0,382,42
99,0,0,393,38
100,0,0,404,35
101,0,0,415,33
102,0,0,423,33
103,0,0,429,34
104,0,0,434,34
105,0,0,438,35
106,0,0,439,36
107,0,0,439,36
108,0,0,439,36
109,0,0,439,37
110,0,0,442,39
111,0,0,446,46
112,0,0,449,53
113,0,0,450,57
114,0,0,446,62
115,0,0,447,73
116,0,0,447,82
117,0,0,450,91
118,0,0,451,101
119,0,0,458,123
120,0,0,459,134
121,0,0,461,146
122,0,0,463,158
123,0,0,465,171
124,0,0,467,182
125,0,0,469,191
126,0,0,472,200
127,0,0,476,205
128,0,0,482,206
129,0,0,491,206
130,0,0,500,208
131,0,0,509,210
132,0,0,520,210
133,0,0,532,212
134,0,0,544,214
135,0,0,555,217
