frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,236,185
7,0,0,238,179
8,0,0,235,172
9,0,0,231,166
10,0,0,228,155
11,0,0,224,147
12,0,0,220,137
13,0,0,216,129
14,0,0,209,122
15,0,0,205,113
16,0,0,198,107
17,0,0,192,98
18,0,0,186,92
19,0,0,177,86
20,0,0,171,79
21,0,0,163,75
22,0,0,156,70
23,0,0,148,68
24,0,0,139,64
25,0,0,131,61
26,0,0,124,60
27,0,0,119,55
28,0,0,118,52
29,0,0,113,51
30,0,0,103,42
31,0,0,107,36
32,0,0,107,31
33,0,0,106,28
34,0,0,105,28
35,0,0,104,31
36,0,0,101,35
37,0,0,99,39
38,0,0,97,43
39,0,0,95,49
40,0,0,94,54
41,0,0,93,59
42,0,0,93,65
43,0,0,92,71
44,0,0,92,78
45,0,0,92,85
46,0,0,93,91
47,0,0,92,97
48,0,0,89,103
49,0,0,87,107
50,0,0,86,109
51,0,0,85,110
52,0,0,85,110
53,0,0,85,109
54,0,0,86,109
55,0,0,88,113
56,0,0,88,113
57,0,0,88,113
58,0,0,88,113
59,0,0,88,114
60,0,0,88,114
61,0,0,88,114
62,0,0,88,114
63,0,0,88,114
64,0,0,88,114
65,0,0,88,114
66,0,0,88,114
67,0,0,88,114
68,0,0,88,115
69,0,0,88,115
70,0,0,88,115
71,0,0,88,115
72,0,0,88,115
73,0,0,88,115
74,0,0,88,115
75,0,0,88,115
76,0,0,88,115
77,0,0,88,115
78,0,0,87,139
79,0,0,87,142
80,0,0,86,147
81,0,0,86,152
82,0,0,87,158
83,0,0,86,166
84,0,0,83,172
85,0,0,84,181
86,0,0,81,190
87,0,0,81,198
88,0,0,81,207
89,0,0,80,218
90,0,0,80,213
91,0,0,78,219
92,0,0,81,220
93,0,0,81,219
94,0,0,77,221
95,0,0,77,220
96,0,0,80,220
97,0,0,83,219
98,0,0,89,218
99,0,0,96,214
100,0,0,104,207
101,0,0,104,207
102,0,0,104,207
103,0,0,104,207
104,0,0,104,207
105,0,0,104,207
106,0,0,124,171
107,0,0,124,164
108,0,0,125,157
109,0,0,126,151
110,0,0,128,146
111,0,0,129,140
112,0,0,131,134
113,0,0,132,127
114,0,0,133,118
115,0,0,136,112
116,0,0,137,106
117,0,0,143,99
118,0,0,148,91
119,0,0,154,82
120,0,0,160,72
121,0,0,166,64
122,0,0,173,57
123,0,0,179,48
124,0,0,186,40
125,0,0,189,32
126,0,0,192,26
127,0,0,190,22
128,0,0,188,19
129,0,0,186,19
130,0,0,185,16
131,0,0,186,15
132,0,0,187,15
133,0,0,187,15
134,0,0,185,14
135,0,0,185,12
136,0,0,184,12
137,0,0,184,12
138,0,0,182,11
139,0,0,180,13
140,0,0,182,14
141,0,0,182,14
142,0,0,180,17
143,0,0,175,21
144,0,0,172,23
145,0,0,172,23
146,0,0,172,23
147,0,0,172,23
148,0,0,172,23
149,0,0,172,23
150,0,0,172,23
151,0,0,172,23
152,0,0,172,23
153,0,0,172,23
154,0,0,172,23
155,0,0,149,77
156,0,0,149,80
157,0,0,149,83
158,0,0,148,86
159,0,0,148,86
160,0,0,148,87
161,0,0,149,88
162,0,0,149,88
163,0,0,149,88
164,0,0,149,89
165,0,0,149,89
166,0,0,149,89
167,0,0,149,89
168,0,0,148,90
169,0,0,148,91
170,0,0,148,91
171,0,0,148,91
172,0,0,148,92
173,0,0,148,92
174,0,0,148,92
175,0,0,148,92
176,0,0,148,92
177,0,0,148,92
178,0,0,148,92
179,0,0,148,92
180,0,0,123,152
181,0,0,119,159
182,0,0,111,168
183,0,0,106,176
184,0,0,101,186
185,0,0,96,196
186,0,0,93,206
187,0,0,88,214
188,0,0,87,225
189,0,0,83,235
190,0,0,83,235
191,0,0,83,235
192,0,0,83,235
193,0,0,83,235
194,0,0,83,235
195,0,0,83,235
196,0,0,83,235
197,0,0,83,235
198,0,0,83,235
199,0,0,83,235
200,0,0,83,235
201,0,0,120,207
202,0,0,123,201
203,0,0,125,195
204,0,0,127,189
205,0,0,131,183
206,0,0,134,173
207,0,0,139,166
208,0,0,143,160
209,0,0,148,152
210,0,0,155,146
211,0,0,158,139
212,0,0,166,130
213,0,0,170,122
214,0,0,174,113
215,0,0,179,104
216,0,0,184,96
217,0,0,191,90
218,0,0,198,86
219,0,0,207,84
220,0,0,215,80
221,0,0,221,75
222,0,0,228,72
223,0,0,234,66
224,0,0,237,62
225,0,0,241,57
226,0,0,244,51
227,0,0,241,49
228,0,0,241,49
229,0,0,241,49
230,0,0,241,49
231,0,0,241,49
232,0,0,241,49
233,0,0,232,30
234,0,0,231,31
235,0,0,230,31
236,0,0,228,31
237,0,0,227,31
238,0,0,226,30
239,0,0,223,28
240,0,0,223,27
241,0,0,224,25
242,0,0,224,24
243,0,0,225,22
244,0,0,224,22
245,0,0,224,22
246,0,0,224,22
247,0,0,224,22
248,0,0,224,22
249,0,0,224,22
