frame_idx,led_1_status,led_2_status,0_x,0_y
12,0,0,306,139
13,0,0,298,134
14,0,0,297,129
15,0,0,287,121
16,0,0,276,114
17,0,0,267,107
18,0,0,257,99
19,0,0,247,91
20,0,0,238,82
21,0,0,229,73
22,0,0,222,64
23,0,0,217,53
24,0,0,214,43
25,0,0,210,37
26,0,0,212,33
27,0,0,206,31
28,0,0,199,34
29,0,0,192,38
30,0,0,171,43
31,0,0,162,48
32,0,0,150,53
33,0,0,139,57
34,0,0,125,60
35,0,0,113,63
36,0,0,100,65
37,0,0,88,67
38,0,0,76,66
39,0,0,66,65
40,0,0,57,61
41,0,0,52,61
42,0,0,51,61
43,0,0,51,61
44,0,0,51,61
45,0,0,52,63
46,0,0,51,66
47,0,0,47,73
48,0,0,47,82
49,0,0,44,91
50,0,0,39,100
51,0,0,34,107
52,0,0,30,111
53,0,0,25,112
54,0,0,23,108
55,0,0,27,106
56,0,0,32,104
57,0,0,29,95
58,0,0,32,91
59,0,0,37,87
60,0,0,40,80
61,0,0,42,73
62,0,0,45,65
63,0,0,46,56
64,0,0,48,48
65,0,0,50,42
66,0,0,53,36
67,0,0,55,29
68,0,0,55,22
69,0,0,49,19
70,0,0,40,22
71,0,0,32,20
72,0,0,26,18
73,0,0,23,15
74,0,0,31,12
75,0,0,31,12
76,0,0,31,12
77,0,0,31,12
78,0,0,31,12
79,0,0,31,12
80,0,0,31,12
81,0,0,92,17
82,0,0,102,16
83,0,0,112,16
84,0,0,123,16
85,0,0,132,18
86,0,0,140,20
87,0,0,146,23
88,0,0,155,29
89,0,0,167,35
90,0,0,176,39
91,0,0,186,44
92,0,0,199,46
93,0,0,215,49
94,0,0,227,52
95,0,0,240,56
96,0,0,254,59
97,0,0,267,62
98,0,0,280,66
99,0,0,293,69
100,0,0,306,74
101,0,0,319,79
102,0,0,331,84
103,0,0,342,89
104,0,0,353,96
105,0,0,365,101
106,0,0,377,108
107,0,0,389,117
108,0,0,400,125
109,0,0,411,134
110,0,0,420,143
111,0,0,430,152
112,0,0,439,160
113,0,0,449,171
114,0,0,459,178
115,0,0,471,187
116,0,0,484,194
117,0,0,496,202
118,0,0,507,206
