frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,751,72
7,0,0,753,80
8,0,0,755,86
9,0,0,755,82
10,0,0,756,89
11,0,0,758,97
12,0,0,759,108
13,0,0,759,116
14,0,0,759,125
15,0,0,760,132
16,0,0,762,139
17,0,0,763,147
18,0,0,764,156
19,0,0,764,165
20,0,0,762,174
21,0,0,763,184
22,0,0,761,193
23,0,0,760,200
24,0,0,759,206
25,0,0,758,212
26,0,0,758,215
27,0,0,758,215
28,0,0,758,215
29,0,0,758,215
30,0,0,757,215
31,0,0,756,213
32,0,0,756,212
33,0,0,757,210
34,0,0,757,209
35,0,0,758,207
36,0,0,761,206
37,0,0,763,206
38,0,0,765,206
39,0,0,765,206
40,0,0,765,206
41,0,0,765,207
42,0,0,766,209
43,0,0,767,213
44,0,0,767,215
45,0,0,767,216
46,0,0,767,216
47,0,0,767,216
48,0,0,761,216
49,0,0,754,217
50,0,0,745,222
51,0,0,743,220
52,0,0,734,225
53,0,0,728,226
54,0,0,728,226
55,0,0,728,226
56,0,0,728,226
57,0,0,728,226
58,0,0,728,226
59,0,0,701,199
60,0,0,701,199
61,0,0,701,199
62,0,0,701,199
63,0,0,701,199
64,0,0,701,199
65,0,0,670,135
66,0,0,664,123
67,0,0,659,113
68,0,0,653,102
69,0,0,647,91
70,0,0,642,82
71,0,0,638,73
72,0,0,633,63
73,0,0,628,53
74,0,0,622,42
75,0,0,619,34
76,0,0,616,25
77,0,0,612,17
78,0,0,609,10
79,0,0,605,8
80,0,0,599,11
81,0,0,594,16
82,0,0,590,17
83,0,0,586,16
84,0,0,580,16
85,0,0,575,17
86,0,0,568,17
87,0,0,556,23
88,0,0,546,26
89,0,0,539,29
90,0,0,531,31
91,0,0,522,33
92,0,0,512,35
93,0,0,501,38
94,0,0,491,40
95,0,0,482,43
96,0,0,471,45
97,0,0,461,47
98,0,0,450,49
99,0,0,441,51
100,0,0,430,54
101,0,0,420,57
102,0,0,410,60
103,0,0,399,62
104,0,0,394,67
105,0,0,385,70
106,0,0,376,73
107,0,0,367,77
108,0,0,357,82
109,0,0,349,85
110,0,0,340,88
111,0,0,333,92
112,0,0,325,97
113,0,0,317,100
114,0,0,309,105
115,0,0,299,110
116,0,0,289,115
117,0,0,281,120
118,0,0,274,124
119,0,0,266,128
120,0,0,258,131
121,0,0,250,135
122,0,0,240,139
123,0,0,232,143
124,0,0,224,148
125,0,0,216,152
126,0,0,209,157
127,0,0,206,157
128,0,0,197,162
129,0,0,190,167
130,0,0,183,171
131,0,0,176,176
132,0,0,168,182
133,0,0,161,186
134,0,0,155,190
135,0,0,146,191
136,0,0,145,194
137,0,0,145,198
138,0,0,140,203
139,0,0,139,207
140,0,0,137,212
141,0,0,136,217
142,0,0,133,222
143,0,0,130,225
144,0,0,127,224
145,0,0,120,223
146,0,0,113,223
147,0,0,108,222
148,0,0,100,223
149,0,0,94,223
150,0,0,87,224
151,0,0,79,225
152,0,0,68,226
153,0,0,60,226
154,0,0,52,227
155,0,0,44,227
156,0,0,36,228
157,0,0,30,227
158,0,0,24,228
159,0,0,23,228
160,0,0,23,228
161,0,0,23,228
162,0,0,23,228
163,0,0,23,228
164,0,0,23,228
165,0,0,23,228
166,0,0,23,227
167,0,0,22,226
168,0,0,19,226
169,0,0,18,226
170,0,0,18,226
171,0,0,18,226
172,0,0,18,226
173,0,0,18,226
174,0,0,18,226
175,0,0,18,225
176,0,0,20,224
177,0,0,21,223
178,0,0,21,221
179,0,0,20,221
180,0,0,20,220
181,0,0,21,220
182,0,0,21,220
183,0,0,21,221
184,0,0,21,220
185,0,0,22,220
186,0,0,22,220
187,0,0,22,220
188,0,0,22,220
189,0,0,22,220
190,0,0,22,220
191,0,0,22,220
192,0,0,22,220
193,0,0,22,220
194,0,0,22,220
195,0,0,22,220
196,0,0,22,220
197,0,0,22,220
198,0,0,22,220
199,0,0,22,220
200,0,0,21,219
201,0,0,21,219
202,0,0,21,219
203,0,0,21,218
204,0,0,21,217
205,0,0,19,215
206,0,0,17,213
207,0,0,14,210
208,0,0,23,207
209,0,0,21,204
210,0,0,21,203
211,0,0,22,203
212,0,0,26,205
213,0,0,25,206
214,0,0,23,209
215,0,0,21,210
216,0,0,21,211
217,0,0,21,211
218,0,0,21,211
219,0,0,21,210
220,0,0,21,208
221,0,0,21,211
222,0,0,22,215
223,0,0,23,219
224,0,0,23,221
225,0,0,24,222
226,0,0,24,221
227,0,0,25,220
228,0,0,25,220
229,0,0,25,220
230,0,0,25,220
231,0,0,25,220
232,0,0,25,220
233,0,0,25,220
234,0,0,25,220
235,0,0,25,220
236,0,0,25,220
237,0,0,25,220
238,0,0,66,208
239,0,0,66,205
240,0,0,67,202
241,0,0,68,201
242,0,0,68,199
243,0,0,66,193
244,0,0,64,188
245,0,0,64,182
246,0,0,64,177
247,0,0,66,171
248,0,0,69,165
249,0,0,71,159
250,0,0,75,152
251,0,0,78,145
252,0,0,81,135
253,0,0,85,125
254,0,0,89,117
255,0,0,92,108
256,0,0,96,100
257,0,0,99,92
258,0,0,103,83
259,0,0,106,75
260,0,0,110,66
261,0,0,114,57
262,0,0,117,51
263,0,0,119,44
264,0,0,122,38
265,0,0,125,33
266,0,0,127,30
267,0,0,129,28
268,0,0,129,28
269,0,0,129,28
270,0,0,129,28
271,0,0,125,36
272,0,0,125,36
273,0,0,125,36
274,0,0,125,36
275,0,0,125,38
276,0,0,126,39
277,0,0,126,39
278,0,0,126,40
279,0,0,126,41
280,0,0,125,41
281,0,0,125,41
282,0,0,125,42
283,0,0,125,42
284,0,0,125,42
285,0,0,125,42
286,0,0,124,43
287,0,0,124,43
288,0,0,125,43
289,0,0,125,43
290,0,0,124,43
291,0,0,124,43
292,0,0,124,43
293,0,0,124,43
294,0,0,124,43
295,0,0,124,43
296,0,0,124,43
297,0,0,124,43
298,0,0,124,43
299,0,0,124,43
300,0,0,124,43
301,0,0,124,40
302,0,0,123,38
303,0,0,123,36
304,0,0,124,35
305,0,0,125,36
306,0,0,126,39
307,0,0,127,40
308,0,0,128,42
309,0,0,128,44
310,0,0,130,44
311,0,0,132,45
312,0,0,135,44
313,0,0,139,44
314,0,0,144,42
315,0,0,150,41
316,0,0,156,39
317,0,0,163,36
318,0,0,170,30
319,0,0,178,28
320,0,0,186,25
321,0,0,193,24
322,0,0,203,22
323,0,0,211,19
324,0,0,218,16
325,0,0,226,14
326,0,0,233,14
327,0,0,240,18
328,0,0,253,28
329,0,0,257,32
330,0,0,261,37
331,0,0,267,42
332,0,0,273,47
333,0,0,281,54
334,0,0,288,61
335,0,0,295,66
336,0,0,302,72
337,0,0,309,77
338,0,0,316,82
339,0,0,324,88
340,0,0,331,93
341,0,0,338,99
342,0,0,344,105
